_ClientNumber__,Unnamed: 0, TransactionDate  , Value  ,AMOUNT,_Curr.__, State  ,branch_region,remarks,Memo,,year_added_2024, new_col_202409 ,currency,mystery_2024_09_56,mystery_2024_09_61,mystery_2024_09_83
C56125,,32/13/2023,"-6,152.92",,EUR,CANCELLED,UAQ,needs review,needs review,,,m9,EUR,x,,
C88651,,32/13/2023,,19255.13760718428,GBP,CANCELLED,  AUH,ok,ok,,,,GBP,,,
,,Sep-17-24,6519.18,not available,AED,,FJR,needs review,needs review,,Y24,m9,AED,,,
C59660,,03 September 2024,"12,295.17",,SAR,In Review,  RAK,ملاحظة,ملاحظة,,Y24,m9,SAR,,,
C45060,,,-6976.69,-6976.69,AED,Closed,FJR,ok,ok,junk,Y24,m9,AED,,,
C98001,,,17727.26,17717.570682041583,AED,Closed,FJR,,,,1,m9,AED,,,x
C94286,,10/09/2024,,7437.15,GBP,Pending,AAN,!!!,!!!,,,m9,GBP,,,
C83113,,,3446.33,3446.33,AED,Pending,UAQ,ok,ok,junk,Y24,m9,AED,,,
C22974,,Sep-18-24,7980.364174790975,7984.63,SAR,In Review,DXB,ok,ok,,0,m9,SAR,,,
C11800,x,2024-09-11,15335.55,"15,335.55",OMR,CANCELLED,DXB,,,,Y24,12,omr ,,,
C43294,,2024-09-08,543.17,,USD,Pending,AAN,ok,ok,,1,,USD,,,
C21792,,Sep-02-24,(12740.50),"12,788.38",SAR,In Review,RAK,ملاحظة,ملاحظة,,Y24,m9,SAR,,,x
C32934,,2024-09-25 00:00:00,21280.5,21280.5,AED,,DXB,ok,ok,,0,,AED,,,
,x,,,not available,GBP,In Review,AUH,ملاحظة,ملاحظة,junk,,,GBP,,,x
,,2024-09-05,13583.09008173262,,GBP,Open,SHJ,,,,1,68,GBP,,,
C82413,,,29523.72,29523.72,OMR,CANCELLED,UAQ,needs review,needs review,,1,,OMR,,x,
C80963,,2024-09-23,"24,944.87","24,944.87",AED,Open,FJR,,,junk,0,,AED,,,x
C77079,,Sep-04-24,,10033.96,EUR,Open,RAK,needs review,needs review,,,,EUR,,,
C94639,,01/09/2024,9359.294960620973,9324.68,AED,In Review,AAN,needs review,needs review,,,m9,AED,,,
C49848,,11/09/2024,7034.44,7044.018210269553,GBP,Open,RAK,!!!,!!!,,1,m9,GBP,,,
C35153,,12 September 2024,10529.25646917707,10507.41,AED,Closed,FJR,needs review,needs review,,Y24,m9,AED,x,,
C13002,,17 September 2024,-1118.85,,USD,Closed,RAK,ok,ok,,,m9,USD,,x,
C77374,,2024-09-05,5736.33856199676,"5,783.90",OMR,Pending,DXB,,,,Y24,,omr ,,,
C87593,x,32/13/2023,,26505.15,USD,,RAK,ملاحظة,ملاحظة,,0,m9,USD,,,
C27429,x,2024-09-17,-5320.272935060032,"-5,332.58",GBP,Open,FJR,,,,Y24,m9,GBP,,,
C27682,,2024-09-11 00:00:00,5540.71,5540.71,GBP,Closed,UAQ,needs review,needs review,,,,GBP,,,
C37747,,04/09/2024,,(2453.53),USD,,RAK,ok,ok,,,,USD,,,
C45337,x,Sep-13-24,(7807.42),-7807.42,AED,Pending,DXB,needs review,needs review,,1,m9,AED,,,
C12186,,2024-09-27,17318.87,(17318.87),GBP,,  DXB,ok,ok,,1,,GBP,,,
C31480,,32/13/2023,18291.56,,eur ,,SHJ,!!!,!!!,,,34,EUR,,,
C65684,,05/09/2024,9152.36,9152.36,EUR,Pending,FJR,!!!,!!!,,Y24,m9,EUR,,,
C50621,,15/09/2024,"17,055.26",17055.26,gbp ,Open,AAN,,,,,m9,GBP,x,,x
C43041,,16/09/2024,21499.4,"21,460.99",OMR,CANCELLED,UAQ,needs review,needs review,,Y24,,OMR,,,
C52048,,2024-09-26,,"24,661.37",EUR,Closed,UAQ,ok,ok,,Y24,m9,eur ,,,
C12191,,21 September 2024,"-1,146.76",-1146.76,GBP,CANCELLED,FJR,ملاحظة,ملاحظة,,0,94,GBP,,,x
,,2024-09-23 00:00:00,,(22224.08),OMR,,AUH,ok,ok,junk,Y24,m9,OMR,,,
,,Sep-21-24,18770.27033457097,18753.47,omr ,,AUH,,,,,28,OMR,,,
C74702,,18 September 2024,2707.07,2754.155472159142,USD,CANCELLED,AAN,ملاحظة,ملاحظة,,Y24,m9,USD,,,
C32119,,Sep-18-24,22266.14,22266.14,SAR,In Review,  AUH,,,,Y24,,SAR,,,
C59977,,08 September 2024,-5782.189817085609,-5793.99,GBP,,DXB,ok,ok,,,,GBP,,,
,,2024-09-02,29650.13,29650.13,EUR,In Review,SHJ,,,,Y24,m9,EUR,,,
C63416,,Sep-14-24,,14670.3,SAR,,RAK,,,,Y24,m9,SAR,,,
C91258,,2024-09-01,not available,16073.02139213992,AED,Pending,AUH,,,,1,,AED,,,
C47635,,02/09/2024,5512.38,(5512.38),OMR,Pending,AAN,,,,Y24,m9,OMR,,x,
,,32/13/2023,(6682.97),"6,656.49",GBP,,SHJ,,,,,,GBP,,,
,,2024-09-28,-2519.03,(2483.48),GBP,In Review,RAK,ok,ok,,1,,GBP,,,
C33367,,2024-09-10,,1735.73,EUR,,DXB,ملاحظة,ملاحظة,,1,,EUR,,,
C80758,,16/09/2024,15520.34,15520.34,SAR,,  AUH,needs review,needs review,,Y24,,SAR,,,
C97982,,2024-09-03,not available,4428.81,OMR,,FJR,needs review,needs review,,Y24,,OMR,x,,
,,16 September 2024,12936.79,12912.806813099623,EUR,Closed,DXB,,,,,,EUR,,,x
,,22/09/2024,not available,17911.52,SAR,,RAK,ok,ok,,Y24,12,SAR,,,
C41232,,2024-09-17 00:00:00,5846.98,5846.98,GBP,CANCELLED,  SHJ,,,,0,66,GBP,,,
C13383,,09 September 2024,,3745.3,AED,Open,UAQ,ok,ok,,Y24,,AED,,,
C70944,,06/09/2024,-7353.37,-7353.37,GBP,Open,AAN,,,,,m9,GBP,,,
C48027,,2024-09-09,18347.09,"18,347.09",EUR,,FJR,,,,Y24,,EUR,,x,
C96735,,07/09/2024,"-3,195.36","-3,195.36",OMR,,  UAQ,needs review,needs review,,,m9,OMR,,,x
C77843,,Sep-05-24,-7207.4,"-7,222.89",SAR,,DXB,,,,1,m9,SAR,,,
C21396,x,2024-09-17,not available,,eur ,Closed,FJR,needs review,needs review,,,m9,EUR,,,
C65298,,22/09/2024,19423.17109537921,"19,445.91",OMR,Pending,FJR,needs review,needs review,,0,83,OMR,,,
C79641,,2024-09-17 00:00:00,2101.88,2106.387196965824,USD,Closed,RAK,ok,ok,,Y24,m9,USD,,,
C53505,,32/13/2023,-3459.81,-3459.81,EUR,In Review,FJR,needs review,needs review,,,,EUR,,,
C97539,,Sep-01-24,,"12,329.05",OMR,CANCELLED,DXB,ok,ok,,Y24,40,OMR,,,
C66013,,2024-09-01,-3568.31,,OMR,CANCELLED,RAK,,,junk,Y24,m9,OMR,x,,
C18006,,06/09/2024,26484.46,,OMR,Open,AAN,ok,ok,,,m9,OMR,,x,x
C71678,,2024-09-18 00:00:00,2889.531135792188,"2,845.92",OMR,In Review,UAQ,needs review,needs review,,Y24,m9,OMR,,,
C79449,,2024-09-09,28076.48,28076.48,OMR,In Review,RAK,ok,ok,,0,m9,OMR,,,
C97682,,2024-09-19,,,EUR,Pending,UAQ,,,,,m9,EUR,,,
,,2024-09-17 00:00:00,26689.79,26689.79,EUR,Closed,AUH,ok,ok,,Y24,m9,EUR,,,
C43834,,32/13/2023,3230.18,"3,230.18",omr ,Open,  DXB,,,,Y24,m9,OMR,,,
,,2024-09-28,-2016.76,-2016.76,omr ,In Review,SHJ,needs review,needs review,,,m9,OMR,,x,
C39392,,Sep-15-24,1632.69,1632.69,OMR,CANCELLED,RAK,ok,ok,,Y24,57,omr ,,,x
,,2024-09-04,17858.16,,SAR,Closed,SHJ,ok,ok,,Y24,m9,SAR,,x,
C66718,,2024-09-20,16202.18103424344,"16,174.82",OMR,Open,AUH,ملاحظة,ملاحظة,,1,,OMR,,,
,,2024-09-11 00:00:00,-3743.348685611316,-3738.910802408178,GBP,,UAQ,needs review,needs review,,Y24,m9,GBP,,,
C98345,,28/09/2024,10576.15,"10,544.61",EUR,In Review,AUH,needs review,needs review,,Y24,m9,eur ,,,
C28587,,Sep-09-24,11343.27957745141,11383.84,omr ,CANCELLED,RAK,ok,ok,,1,m9,omr ,,,
C44476,,32/13/2023,25270.95,25246.72374227858,OMR,CANCELLED,FJR,,,junk,1,94,omr ,,,
C54515,,Sep-14-24,22467.11117214426,22452.94,AED,CANCELLED,DXB,,,,Y24,51,aed ,,,x
C51315,,2024-09-07,-4757.117421383755,-4711.69,SAR,Pending,FJR,,,,0,75,SAR,x,,x
C83090,,32/13/2023,14922.78577665875,"14,886.16",OMR,In Review,AAN,ok,ok,,1,,OMR,,,
C12044,,2024-09-28,19493.57,19493.57,GBP,,AAN,ملاحظة,ملاحظة,,,46,GBP,x,x,
C45399,,Sep-08-24,746.6235509162236,,SAR,CANCELLED,DXB,ok,ok,,,,SAR,,,
C63697,,05/09/2024,26437.16,(26437.16),GBP,,DXB,ok,ok,,Y24,69,gbp ,x,,
C17070,,2024-09-04 00:00:00,not available,"28,867.55",EUR,Open,  FJR,!!!,!!!,,1,m9,EUR,,,
C73400,,,,3629.3,GBP,Pending,  RAK,needs review,needs review,,Y24,,GBP,x,,
C67397,,23/09/2024,-1211.556257565653,-1173.37,USD,Closed,  UAQ,,,,,73,USD,,,x
,,2024-09-08,,-2333.09,GBP,Pending,AUH,!!!,!!!,,Y24,m9,GBP,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
_ClientNumber__,Unnamed: 0, TransactionDate  , Value  ,AMOUNT,_Curr.__, State  ,branch_region,remarks,Memo,,year_added_2024, new_col_202409 ,currency,mystery_2024_09_56,mystery_2024_09_61,mystery_2024_09_83
C50861,,05 September 2024,-1268.244848795625,-1223.68,AED,Pending,FJR,ok,ok,,,30,AED,,x,
C65496,,2024-09-21,-3616.91,-3617.559979195154,OMR,Open,UAQ,needs review,needs review,,0,m9,OMR,,x,
C30641,,2024-09-09,8903.360355562938,8971.658918607396,USD,,AAN,ملاحظة,ملاحظة,,,m9,USD,,x,
C30471,,22/09/2024,5773.325476842361,5734.162633183114,USD,Closed,  SHJ,ملاحظة,ملاحظة,,,m9,USD,,x,x
C94136,,2024-09-20,13579.73,13565.434608912812,EUR,Open,RAK,needs review,needs review,junk,,,EUR,,,x
C58962,,05 September 2024,2349.97,2349.97,SAR,Pending,UAQ,ok,ok,,0,70,SAR,,,
C54780,x,10/09/2024,,24737.38,EUR,Open,DXB,,,,,m9,EUR,x,,
,,Sep-21-24,,,USD,CANCELLED,AUH,ok,ok,junk,Y24,56,USD,,,
C16028,,2024-09-10 00:00:00,29676.32,"29,676.32",OMR,CANCELLED,RAK,needs review,needs review,,,,OMR,,,
C87677,,02/09/2024,,24129.57,USD,In Review,UAQ,ملاحظة,ملاحظة,,Y24,m9,USD,,,
C12857,,Sep-19-24,,177.62,EUR,,SHJ,ملاحظة,ملاحظة,,Y24,m9,EUR,,,
C11066,,2024-09-25 00:00:00,19827.25,not available,OMR,CANCELLED,SHJ,ok,ok,junk,1,95,OMR,,,
C82742,,2024-09-03 00:00:00,(8090.83),not available,AED,Pending,SHJ,ok,ok,,0,58,AED,,,
C32521,,2024-09-16,12378.93818083772,12337.82386909688,AED,,AUH,ok,ok,,,53,AED,,,
C62605,,Sep-10-24,-1598.51,-1598.51,AED,,DXB,ok,ok,,Y24,m9,AED,,,
,,23/09/2024,29734.48,29694.56944105757,AED,In Review,  RAK,ok,ok,,1,77,AED,,,
,x,04 September 2024,9161.583810071776,9154.52,OMR,CANCELLED,UAQ,,,,Y24,m9,OMR,,,
C40490,,2024-09-15,,26218.95,OMR,CANCELLED,UAQ,ok,ok,,,,OMR,,,
C26364,,2024-09-28 00:00:00,17830.068650464076,17805.42,USD,In Review,SHJ,ملاحظة,ملاحظة,junk,,m9,USD,,x,x
C14382,,Sep-01-24,(21568.44),(21521.96),SAR,,UAQ,,,,0,m9,SAR,,,
,,2024-09-26,26007.72,"26,007.72",OMR,,SHJ,needs review,needs review,,Y24,,OMR,,,
C80398,x,Sep-16-24,(672.31),-655.99,EUR,Pending,SHJ,ملاحظة,ملاحظة,,Y24,75,EUR,x,,
C53561,,10/09/2024,20716.62,20746.852208098448,SAR,CANCELLED,SHJ,ok,ok,,Y24,m9,SAR,,,
C40333,,Sep-14-24,,,AED,Open,  SHJ,,,,Y24,,AED,,,
C65042,,28 September 2024,28963.04250977945,29004.72,SAR,,RAK,needs review,needs review,,Y24,,SAR,x,,
C62058,,2024-09-27 00:00:00,-3522.36,"-3,522.36",AED,Closed,UAQ,needs review,needs review,,1,m9,AED,,,
C95149,x,2024-09-20,not available,,SAR,In Review,DXB,ok,ok,,1,61,SAR,,,
C38448,,32/13/2023,(2518.45),-2477.2491690675706,OMR,In Review,RAK,,,junk,,62,OMR,,,x
C86254,,2024-09-25,(23191.52),23191.52,EUR,Closed,AAN,ok,ok,,Y24,,EUR,,,x
C25485,,25 September 2024,(25004.80),,EUR,Open,AAN,needs review,needs review,,Y24,m9,EUR,,,
C19772,x,2024-09-15 00:00:00,"23,886.04",,OMR,,DXB,!!!,!!!,,Y24,m9,OMR,,,
C39726,,23/09/2024,"1,858.66",1858.66,GBP,,RAK,,,,Y24,m9,GBP,x,,
C33207,,2024-09-24,,(20015.33),AED,,UAQ,ok,ok,,Y24,m9,AED,,,x
C95450,,32/13/2023,8161.24,8161.24,EUR,,AUH,,,,1,,EUR,,,
C55826,,2024-09-07 00:00:00,-6239.57,,EUR,,AAN,ملاحظة,ملاحظة,,Y24,m9,EUR,,,
C61002,,2024-09-27,18898.11,18898.11,aed ,Open,FJR,needs review,needs review,,0,m9,AED,,,
C90379,,2024-09-04,,1054.06,USD,,FJR,ok,ok,junk,Y24,m9,USD,,,
C74799,,32/13/2023,16759.84,16759.84,OMR,CANCELLED,UAQ,needs review,needs review,,,,OMR,,,
C21182,,2024-09-08 00:00:00,6206.94,"6,206.94",SAR,Open,SHJ,!!!,!!!,,Y24,m9,SAR,,,
C84329,,19/09/2024,27226.5,not available,GBP,,UAQ,ok,ok,junk,,,GBP,,,
C70613,,Sep-01-24,-6329.71,-6329.71,SAR,Closed,DXB,ok,ok,,Y24,,SAR,,,
C18556,,2024-09-08,not available,(28244.68),AED,In Review,DXB,needs review,needs review,,Y24,96,AED,,,
C53927,,22 September 2024,1888.86,"1,888.86",SAR,Closed,  RAK,needs review,needs review,,,,sar ,,x,
C15687,,09/09/2024,19613.06,19564.50830126552,SAR,Pending,AAN,ok,ok,,Y24,,SAR,,,
C53282,,2024-09-25,(14747.44),14747.44,USD,CANCELLED,AUH,needs review,needs review,junk,Y24,,USD,,,
C76705,,27/09/2024,23826.544090044703,,AED,,  DXB,,,junk,,m9,AED,,,
C86289,,2024-09-26,4237.442435297154,"4,263.84",OMR,In Review,AAN,,,junk,Y24,m9,OMR,,,
,,32/13/2023,4803.88,4803.88,AED,,SHJ,,,,,,AED,,,x
,x,Sep-04-24,16186.24,16186.24,SAR,Open,RAK,needs review,needs review,,,m9,sar ,,,
C78910,,2024-09-06 00:00:00,,(2704.99),OMR,Pending,AAN,ملاحظة,ملاحظة,,Y24,92,OMR,,,
C37937,,03/09/2024,,,AED,CANCELLED,FJR,,,,0,m9,AED,,,
C41015,,Sep-07-24,-5703.34,not available,AED,CANCELLED,AUH,ok,ok,,,11,AED,,,
,,32/13/2023,"1,757.38",,USD,Pending,AUH,needs review,needs review,,Y24,,USD,,,
C26964,,Sep-07-24,28876.35805135576,not available,EUR,Open,UAQ,ملاحظة,ملاحظة,junk,Y24,,EUR,,,
C61775,,08 September 2024,4977.25,4977.25,GBP,Pending,FJR,ok,ok,,Y24,m9,GBP,,,
C31765,,19/09/2024,-701.65,-701.65,OMR,,DXB,!!!,!!!,,1,,OMR,,,
C19627,,2024-09-21,"15,082.16",15082.16,EUR,Open,AUH,ملاحظة,ملاحظة,,,29,EUR,,,
C49340,,32/13/2023,-4562.483167462123,-4536.264469365471,AED,,RAK,ok,ok,,Y24,46,AED,,x,
C43130,,2024-09-27,,,EUR,Pending,AAN,needs review,needs review,,Y24,94,EUR,,,
C11919,,18/09/2024,,18556.16,EUR,,FJR,needs review,needs review,,Y24,11,EUR,,,
C65321,,06/09/2024,-781.67,-781.67,SAR,Closed,AAN,,,junk,Y24,m9,SAR,,,
C56172,,2024-09-27 00:00:00,,"6,965.74",GBP,Open,FJR,,,,Y24,42,GBP,,,
C60506,,08/09/2024,"13,924.60","13,924.60",SAR,,DXB,ok,ok,,,,SAR,,x,
C22252,,Sep-20-24,17878.1,17835.79772277448,GBP,Closed,DXB,needs review,needs review,,,m9,GBP,x,,
C33240,,14 September 2024,20497.18633264043,20480.16,OMR,,RAK,needs review,needs review,,Y24,,OMR,,,
C59203,x,2024-09-26,8259.7,8259.7,OMR,In Review,AAN,ملاحظة,ملاحظة,,,,OMR,,,
C47093,,2024-09-14 00:00:00,2347.83,"2,348.09",USD,CANCELLED,AAN,,,,,,USD,,,
C31953,x,Sep-09-24,28923.65,28923.65,SAR,Pending,FJR,ok,ok,,Y24,,SAR,,,
C48663,x,20 September 2024,27246.98365364773,27256.21,SAR,CANCELLED,AUH,ok,ok,,Y24,,SAR,,,
C44445,,2024-09-28 00:00:00,"1,887.67",1887.67,GBP,In Review,SHJ,ok,ok,,Y24,23,GBP,x,,
C98052,,2024-09-22,18653.15,,EUR,,DXB,ok,ok,,,,EUR,,,
C20334,,0000-00-00,not available,-7316.05,OMR,In Review,UAQ,needs review,needs review,,Y24,m9,OMR,,,x
C47496,,2024-09-11,"29,706.25",29727.161746268725,OMR,CANCELLED,UAQ,,,,0,,OMR,,,x
C88905,,2024-09-14,-487.52,-487.52,AED,In Review,DXB,ok,ok,,,,AED,,,
C34880,,2024-09-13,-5795.391623089879,"-5,815.53",SAR,In Review,AUH,needs review,needs review,,Y24,,SAR,,,
C76684,,27/09/2024,12219.11,,EUR,,UAQ,needs review,needs review,,,78,EUR,,,
C88112,,15 September 2024,24459.27,not available,EUR,Pending,AAN,ملاحظة,ملاحظة,,Y24,,EUR,,x,
C46902,,Sep-13-24,11061.35052520472,"11,013.40",GBP,,FJR,needs review,needs review,,Y24,,GBP,,,
C96121,,13/09/2024,20087.8532611277,,AED,CANCELLED,SHJ,needs review,needs review,,,m9,AED,,,
C36296,,32/13/2023,"12,288.22",12288.01,SAR,Open,  UAQ,ok,ok,junk,1,m9,SAR,,,
C78956,,32/13/2023,25005.24,"25,005.24",OMR,,DXB,needs review,needs review,,Y24,,OMR,,,
C89942,,19 September 2024,4954.227049083634,,SAR,In Review,FJR,,,,,m9,SAR,,,
C46362,,2024-09-25,"8,638.81",,EUR,Open,SHJ,ملاحظة,ملاحظة,,,46,EUR,,,
C90938,,20/09/2024,"2,098.51",2098.51,AED,,DXB,!!!,!!!,,,m9,AED,x,,
C58626,,,,not available,SAR,,SHJ,,,,0,m9,SAR,,,x
,,0000-00-00,"22,271.99",22314.24,OMR,Closed,DXB,ok,ok,,,m9,OMR,,,
C55318,,0000-00-00,"15,912.82",15912.82,EUR,Open,AUH,ok,ok,,,,EUR,,,
C12573,,06 September 2024,(21067.89),21048.4,GBP,CANCELLED,AAN,ok,ok,,Y24,,GBP,x,,
C14033,,20 September 2024,5821.65,not available,SAR,,DXB,ok,ok,junk,Y24,m9,SAR,,,x
C83398,x,15/09/2024,"24,874.10",24874.1,EUR,Closed,AAN,,,,,,EUR,,,
,,2024-09-09,27157.7,27157.7,SAR,,FJR,,,,,99,SAR,,,
C71539,,0000-00-00,22559.49,"22,559.49",eur ,Closed,RAK,needs review,needs review,,0,,EUR,,,
C28560,,09 September 2024,-5360,"-5,389.98",EUR,,  AAN,ملاحظة,ملاحظة,junk,Y24,,EUR,,,
C58867,,2024-09-05 00:00:00,"12,744.86",12699.35,AED,Open,  AAN,,,,Y24,,AED,,,
C60128,,07/09/2024,,,GBP,In Review,AAN,needs review,needs review,,Y24,,GBP,,,
C94098,,22 September 2024,10883.83,10883.83,GBP,Closed,DXB,!!!,!!!,,0,,GBP,,,
C31478,,2024-09-24 00:00:00,(801.35),-801.35,USD,,UAQ,ok,ok,,Y24,m9,USD,,,
C70196,,2024-09-08,7795.85,not available,AED,,SHJ,ok,ok,,Y24,12,AED,x,,
C44875,x,Sep-24-24,-1980.04,-1980.04,USD,CANCELLED,  AAN,,,junk,Y24,61,USD,,,
C50047,,2024-09-14,385.51,359.9656185587935,AED,Open,AUH,needs review,needs review,junk,Y24,m9,AED,,x,
C38042,,2024-09-10,(27414.00),,EUR,,DXB,needs review,needs review,junk,Y24,29,EUR,,,
C40592,,02/09/2024,17823.5,17836.76451002473,SAR,Open,SHJ,needs review,needs review,,Y24,m9,SAR,,,
C56505,x,Sep-27-24,-5146.4,-5146.4,SAR,CANCELLED,AAN,ملاحظة,ملاحظة,,0,m9,SAR,,,
,,32/13/2023,16156.186475977867,,AED,Open,AAN,!!!,!!!,,Y24,m9,AED,x,x,
C28743,,Sep-10-24,10812.67917785824,"10,788.98",GBP,,RAK,needs review,needs review,,,m9,GBP,,,
C88307,,2024-09-19 00:00:00,19976.21,19976.21,GBP,Closed,SHJ,,,,Y24,m9,gbp ,,,
C36278,,Sep-08-24,19339.64,"19,339.64",OMR,Open,DXB,,,,Y24,,OMR,,x,
C53236,,26 September 2024,3428.059830560863,3413.87,OMR,,UAQ,ok,ok,,0,m9,OMR,,,
C96367,,21 September 2024,(7676.19),-7643.68276647186,OMR,In Review,RAK,,,,,m9,OMR,,x,
C53801,,21/09/2024,10469.3,10469.3,GBP,,UAQ,needs review,needs review,,0,m9,GBP,,,x
,,2024-09-02 00:00:00,,,OMR,Closed,DXB,,,,Y24,,OMR,,x,
C25003,,2024-09-14,,,SAR,Pending,AUH,ملاحظة,ملاحظة,,Y24,,SAR,,,
C59897,,2024-09-14 00:00:00,-2813.500122823484,-2762.933284221761,USD,In Review,DXB,,,,Y24,80,USD,,,
,,,3587.42,3587.42,USD,Open,  UAQ,,,,,m9,USD,x,,
C12451,,2024-09-21,,"5,550.32",AED,In Review,AUH,ملاحظة,ملاحظة,,1,45,AED,,,
C94314,,2024-09-04 00:00:00,"-6,587.05",not available,USD,Open,AUH,,,,,m9,USD,,,
C54508,,32/13/2023,"-7,019.98","-7,042.14",USD,CANCELLED,AAN,ok,ok,,0,m9,USD,,,
C11429,x,19/09/2024,25823.36,25823.270857792624,USD,,AAN,ok,ok,,Y24,,USD,,,
C22617,,2024-09-09,13329.05,"13,329.05",AED,In Review,UAQ,ok,ok,,1,15,AED,x,x,x
C63342,,04/09/2024,(24472.88),(24456.45),EUR,Pending,  FJR,ملاحظة,ملاحظة,,Y24,,EUR,,,
C39276,,26 September 2024,(24152.10),24152.1,USD,,  AAN,,,,1,19,USD,,x,
C14220,,2024-09-15,6460.02,"6,460.02",OMR,Pending,AAN,,,,Y24,m9,OMR,,,
