C41561,A-5108091,May-03-24,27930.33,27930.33,EUR,,DXB,ملاحظة,,,0,,EUR,x,,
C22358,A-7226635,32/13/2023,,(8193.03),USD,In Review,SHJ,ok,,,1,,USD,,,x
C87166,A-5335129,2024-05-07 00:00:00,10297.48,"10,323.08",AED,Closed,SHJ,needs review,,,,78,AED,x,,x
C23308,A-6679288,32/13/2023,,3873.78444970805,GBP,In Review,FJR,,,,1,m5,GBP,,,
C71123,A/71164,2024-05-26,-2302.4,-2302.4,AED,CANCELLED,  DXB,ok,,,Y24,m5,AED,,,
C72145,A/93623,2024-05-12,7144.387847772437,,USD,In Review,UAQ,ok,,,,,USD,,,
C23858,A-4870925,32/13/2023,-3297.596068885669,-3338.99,SAR,Pending,FJR,needs review,,,Y24,31,SAR,,,
C49337,A-3903789,32/13/2023,(28127.65),"28,150.69",SAR,Open,AUH,needs review,,junk,Y24,,SAR,,,
,A-4746059,2024-05-19,26953.55126254043,26908.24,OMR,Closed,RAK,ok,,,Y24,m5,OMR,,x,
C17886,A/70389,2024-05-18,,7128.39,EUR,,AAN,ملاحظة,junk,,0,,EUR,,,
C14184,A-8723792,03/05/2024,23298.49249446398,"23,276.84",EUR,Pending,FJR,needs review,,,,m5,EUR,,,
C17597,A-3631605,2024-05-18,(28738.64),28741.69,USD,Closed,DXB,,,,Y24,57,USD,,,
C31779,A-9615091,32/13/2023,4494.06,4494.06,omr ,Pending,FJR,ok,,,Y24,m5,OMR,,,
C84482,A-9613588,11 May 2024,(1368.57),1368.57,AED,Closed,UAQ,needs review,,,0,m5,AED,,x,
C13621,A-1664098,2024-05-06,(21303.61),21303.61,SAR,,  AAN,!!!,,junk,0,68,SAR,,,
,A/57967,32/13/2023,,13258.04,USD,CANCELLED,AAN,ok,,,Y24,,USD,,,
C77517,A-5555351,2024-05-25 00:00:00,11637.62,,GBP,,AAN,needs review,,,Y24,76,GBP,,,
C29018,A-3784531,19/05/2024,not available,18125.69880104321,SAR,Closed,UAQ,ملاحظة,,,Y24,,SAR,,x,
C31840,A-9505142,May-05-24,23184.43256568115,23184.0746684853,GBP,Open,SHJ,,,,0,m5,GBP,,,
C80181,A-4128376,2024-05-22 00:00:00,"26,828.45",26828.45,AED,In Review,RAK,needs review,,,Y24,m5,AED,,,
C79496,A/64234,23/05/2024,-5972.73,-5972.73,AED,Open,UAQ,ok,,,Y24,,AED,,,
C84530,A-6299282,2024-05-12,5091.45,5091.45,AED,Pending,  SHJ,needs review,,,1,m5,AED,,,
C36524,A-6337458,0000-00-00,23054.10879689294,23093.039562425143,SAR,Pending,FJR,ok,,,,,SAR,,x,x
C92667,A-9914469,27/05/2024,,27656.35,USD,Open,DXB,needs review,,junk,Y24,m5,USD,,,
C40739,A-7757975,2024-05-20,23573.26,23582.90615738333,GBP,In Review,SHJ,,,junk,Y24,,GBP,,,
,A-6242084,,21441.09,,GBP,In Review,SHJ,ok,,,Y24,m5,GBP,x,,
,A-3752351,May-13-24,(28001.25),,GBP,Closed,UAQ,,,,1,72,gbp ,,,x
,A-9608208,2024-05-25,17208.90864562594,17225.96,USD,CANCELLED,SHJ,ok,,,Y24,83,USD,,,
C37610,A-8554462,2024-05-15 00:00:00,19828.49,19828.49,OMR,Open,  UAQ,,,,Y24,19,OMR,,,
C88647,A-6868967,May-15-24,-1903.6165032065985,-1854.84,sar ,CANCELLED,UAQ,,junk,,Y24,m5,SAR,x,,
,A-4012327,32/13/2023,,(1228.49),SAR,CANCELLED,AUH,ok,,,Y24,33,SAR,,x,
C69840,A-7921039,2024-05-15,-628.43,,USD,CANCELLED,AAN,ok,,,Y24,75,USD,,,
C29091,A-3853965,2024-05-28 00:00:00,16801.84,16801.84,AED,,RAK,needs review,,,,m5,AED,,,
C50848,A-3957632,2024-05-02,,not available,GBP,Pending,FJR,ok,,,,,GBP,,,
C14398,A-7623012,2024-05-08,-121.37,,SAR,CANCELLED,DXB,ok,,,0,56,SAR,,,
C70038,A-4426189,02/05/2024,11430.37967081357,11384.12172985926,GBP,Closed,FJR,needs review,,,0,m5,GBP,,,x
,A-6992386,2024-05-04 00:00:00,(12022.65),not available,SAR,,AUH,ok,,,,73,SAR,,,
C59936,A-5188415,2024-05-07,,,USD,,  DXB,ok,,,Y24,m5,USD,,,
C56062,A-7204334,18 May 2024,15156.6,(15162.00),GBP,Open,RAK,,,,Y24,m5,GBP,,,
C48192,A-9035433,May-19-24,(2982.94),,USD,,SHJ,ok,,,Y24,95,USD,,,
C90789,A-4026228,2024-05-04,,23740.56,AED,In Review,DXB,ok,,,,,AED,,,
C50671,,2024-05-03,,"6,677.20",OMR,,AUH,needs review,,,Y24,67,OMR,,,
C43365,,May-05-24,-1846.8447637003478,,SAR,In Review,AUH,needs review,,,,m5,SAR,,,x
,A/61837,May-23-24,,(988.64),SAR,Pending,RAK,needs review,,,Y24,17,SAR,,,x
C29598,A-2710603,17/05/2024,,-5852.69,AED,CANCELLED,FJR,ملاحظة,,,,m5,AED,,,
C66023,A-5968718,2024-05-13,not available,-5235.302840482114,USD,CANCELLED,RAK,,,,,m5,USD,,,
C59766,A-4299720,04/05/2024,7703.45,"7,703.45",SAR,Open,AUH,ok,,,,,SAR,,,x
C18550,A-9474408,2024-05-04 00:00:00,"21,122.22",21097.9,USD,In Review,SHJ,,,junk,Y24,m5,USD,,,
C49231,A-7247250,2024-05-25,274.4479417856729,270.8,OMR,In Review,DXB,ok,,,Y24,,OMR,,,
C71740,A-6477591,2024-05-05 00:00:00,"7,038.28",7038.28,USD,In Review,AAN,ملاحظة,,junk,,m5,USD,,,
C68931,A-4883168,24 May 2024,"24,843.88",24826.56,aed ,Closed,AAN,ok,,,,m5,AED,,,
C29344,A-9081921,25/05/2024,(7332.99),,AED,Open,DXB,ok,,,,52,AED,,,
C43155,A-4710909,2024-05-17,not available,(18489.65),AED,Open,FJR,ملاحظة,,,,m5,AED,,,
C18256,A-5611795,0000-00-00,18749.275757499945,18724.55,GBP,Closed,RAK,needs review,,,1,56,gbp ,,,x
C90222,A/11672,May-05-24,,20397.4,GBP,Closed,  AAN,needs review,,,0,35,GBP,,x,
C66064,A-6859794,2024-05-04,"16,579.09",16591.74047625868,USD,In Review,AUH,!!!,junk,junk,,m5,USD,,,
C34165,A-4196020,23 May 2024,,not available,GBP,,SHJ,needs review,junk,,,34,GBP,,,
,A-1193949,May-26-24,14651.86,14635.70179456668,OMR,Closed,AUH,ملاحظة,,,Y24,m5,OMR,,,x
C13347,A-7374480,May-25-24,-3222.628638567062,(3205.29),GBP,,UAQ,,,,,,GBP,,,
,A-8300759,20/05/2024,9182.13,(9182.13),GBP,CANCELLED,RAK,ok,,,1,,GBP,,,
C28144,A-1643559,2024-05-25,(21754.14),"21,750.53",GBP,Open,RAK,needs review,,,1,80,GBP,,,
,A-2248103,24/05/2024,-2373.6034304853792,"-2,419.12",omr ,Pending,DXB,,,,,m5,OMR,,,
C39327,A-6159231,May-20-24,(23524.01),23562.189551883162,OMR,,FJR,,,,0,54,OMR,,,
C34217,A-7440130,11/05/2024,27606.599775978277,27597.38,AED,,FJR,needs review,,,Y24,,AED,,,
C12867,A-9466789,11 May 2024,(29211.29),29211.29,aed ,,AAN,ok,,,,,AED,x,x,
C51303,A-4967768,15/05/2024,17148.9,(17148.90),EUR,Closed,  RAK,ok,,junk,Y24,86,EUR,,,
C15806,A-5823715,32/13/2023,"10,080.19",(10080.19),gbp ,,  DXB,needs review,,junk,Y24,,GBP,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
ClientNumber,A/C No.,Date,amount (AED), TXN_VALUE  ,CCY_CODE,_status__,Area,COMMENTARY,,,year_added_2024,new_col_202405, CCY_CODE  ,mystery_2024_05_17,mystery_2024_05_36,Unnamed: 0
C71258,A-2387298,2024-05-11,-1462.3951470625184,(1463.18),OMR,Pending,FJR,,,,,17,OMR,,,
C51130,A-1638767,2024-05-23 00:00:00,(2883.57),"2,883.57",AED,CANCELLED,FJR,needs review,,,1,m5,AED,,,
C46857,A-4102769,06/05/2024,not available,"5,905.09",SAR,Closed,FJR,ok,,,,,SAR,,,
C42446,A/88348,2024-05-24,,"28,274.82",EUR,CANCELLED,UAQ,ok,,,,m5,EUR,,,
C98208,A-1649569,May-26-24,not available,3931.55,AED,,AAN,ملاحظة,,,1,m5,AED,,,
C36126,A-2536903,13 May 2024,12677.22,12677.22,USD,In Review,AAN,,,junk,0,,USD,,,
C69896,A-8382984,32/13/2023,24089.82,24089.82,EUR,CANCELLED,  AAN,,,,Y24,m5,EUR,,,
C74520,A-7629241,10 May 2024,,not available,USD,Closed,UAQ,ملاحظة,,,Y24,48,USD,x,,
,A-4587105,23 May 2024,not available,361.2,USD,Open,AAN,,,,0,m5,usd ,,,x
C48708,A-7933271,25/05/2024,27537.40444574299,(27567.77),GBP,Closed,SHJ,,,,1,m5,GBP,,x,
,A-5708561,2024-05-25,"10,022.01",10038,EUR,In Review,FJR,ok,,,0,46,EUR,,,
C92581,A-7191218,06/05/2024,,(192.97),EUR,Pending,RAK,ok,junk,,Y24,,EUR,,x,
C88082,A-8948830,May-11-24,"26,507.94",,OMR,Open,RAK,needs review,,,Y24,m5,OMR,,,x
C39011,A-8785442,May-22-24,7933.9,,GBP,In Review,AUH,!!!,,junk,,,GBP,,,
C97190,A-4127020,May-10-24,"11,651.03",11651.03,SAR,Pending,UAQ,ok,,,1,m5,SAR,x,,
,A-9112251,05 May 2024,,4321.122871257262,OMR,Closed,AUH,needs review,,,1,m5,OMR,,,
C16301,A-3985411,32/13/2023,-7949.02,not available,SAR,In Review,AUH,needs review,,,Y24,m5,sar ,,,
C87590,A-1256987,27/05/2024,28388.26,(28388.26),AED,CANCELLED,UAQ,needs review,,junk,Y24,,AED,,,
C27776,A-2241721,May-11-24,"11,204.19",11204.19,AED,CANCELLED,SHJ,needs review,,,,m5,aed ,,,
C59045,A-1324341,2024-05-24,-7847.43,,OMR,Open,DXB,ok,,,,,OMR,x,,
C78405,A-6214442,22 May 2024,17963.98,17926.86023707883,OMR,Pending,SHJ,ok,,junk,0,m5,OMR,,,x
C80553,A-7528642,15 May 2024,6099.931628801623,,GBP,CANCELLED,RAK,ok,,,Y24,30,GBP,,,
C34345,A-3404818,03/05/2024,not available,"8,715.76",usd ,Open,AUH,ok,junk,,Y24,12,USD,,,x
C67524,A-3974696,May-01-24,"27,837.96",,SAR,CANCELLED,FJR,ok,,,0,,SAR,,,
C32864,A-9085352,2024-05-02 00:00:00,"29,357.18",29357.18,OMR,In Review,FJR,ok,,,0,57,OMR,,,
C37839,,08 May 2024,17531.78,17531.78,GBP,Open,DXB,ok,,,0,m5,GBP,,x,
C95404,A-1021043,May-20-24,12376.65,(12416.38),SAR,Pending,  FJR,ملاحظة,,,Y24,m5,SAR,,,
C31640,A-4759572,10/05/2024,"13,366.97",,SAR,,DXB,ok,,,,,SAR,,,
C38615,A-7606413,2024-05-17,(7791.02),-7819.90502789197,GBP,,DXB,needs review,,,Y24,,GBP,x,,
C21439,A-6322318,2024-05-10,(6554.58),,GBP,Pending,SHJ,ملاحظة,,,0,m5,GBP,,,
C28700,A-3461436,2024-05-06,-4446.82,-4446.82,EUR,CANCELLED,UAQ,ملاحظة,,,Y24,,EUR,,,
C71642,A-5692395,28 May 2024,666.52,,EUR,Closed,AUH,,,,Y24,m5,EUR,,,
C62503,A-1064512,20/05/2024,"-4,941.66",-4941.66,USD,,RAK,needs review,,,,,USD,,,x
C86795,A-7721946,07/05/2024,23275.87,23275.87,OMR,In Review,UAQ,needs review,,,Y24,74,OMR,,,
,A-8127697,0000-00-00,(21299.63),21333.58536785002,AED,In Review,SHJ,,,,0,m5,AED,,x,
,A-6232737,2024-05-14,12775.05,12775.05,SAR,,AAN,,,,,,SAR,,,
C81218,A/2906,May-17-24,19706.07326873266,19648.23843907524,USD,,AAN,ok,,,Y24,m5,USD,,,
C97761,A-5083355,May-28-24,10079.99809907583,10105.03,OMR,Open,FJR,!!!,,,,32,OMR,,,
C75297,A-5743534,14 May 2024,(12351.59),12371.79,AED,Open,FJR,ملاحظة,,,,,AED,,,x
C58653,,2024-05-25,5478.78,5478.78,GBP,,RAK,needs review,,,Y24,m5,GBP,,,
C66718,A-8696330,25 May 2024,16753.44,16712.3157177722,eur ,Open,SHJ,ok,,,Y24,m5,EUR,,,x
,A-9527811,24 May 2024,3878.05,,GBP,,UAQ,needs review,,,1,,GBP,,x,
C79982,A-8403000,22/05/2024,5976.228262510294,not available,USD,CANCELLED,FJR,,junk,,Y24,m5,USD,,,
C99845,A-3049161,2024-05-01 00:00:00,(7375.28),-7383.85,USD,CANCELLED,DXB,,,,,92,usd ,,,
C50825,A-1757026,17/05/2024,,(19567.84),AED,In Review,RAK,ملاحظة,,junk,0,,AED,,,
C24955,A/9249,32/13/2023,,,AED,,RAK,needs review,,,Y24,m5,AED,x,,
C44908,A/36624,2024-05-03 00:00:00,-3504.91,-3504.91,GBP,Open,FJR,!!!,,,,,GBP,,,
,A-7125318,2024-05-13,,25747.84673208089,EUR,,RAK,ok,,,Y24,m5,EUR,x,,
C75031,A-8608620,2024-05-13 00:00:00,11632.949443376814,11691.17359021106,AED,In Review,UAQ,ok,,,Y24,66,AED,,,x
,A-6525074,2024-05-27,not available,21432.51415342624,AED,CANCELLED,AUH,,,,0,m5,AED,,,
C93067,A-4610965,2024-05-13,"-1,583.03","-1,583.03",USD,In Review,UAQ,needs review,,,0,m5,usd ,,,
C34396,A-1589263,May-24-24,not available,-682.90,SAR,CANCELLED,FJR,needs review,,,1,,sar ,,x,
C87126,A-5822842,21/05/2024,18692.51,18692.51,SAR,Open,AUH,ok,,,0,,SAR,,,
C29426,A-6758685,May-09-24,not available,15251.95,GBP,Closed,SHJ,,,junk,Y24,m5,GBP,,,
C89124,A-8776265,19/05/2024,"23,606.13",23606.13,EUR,In Review,SHJ,,,,Y24,82,EUR,,x,
C12811,A/62172,2024-05-10 00:00:00,587.9195123629542,(562.20),SAR,Pending,SHJ,,,,Y24,m5,SAR,,x,x
C26569,A-9061218,2024-05-10,15665.81,15665.81,SAR,CANCELLED,SHJ,ok,,,Y24,m5,SAR,,,
C24558,A-9912764,May-13-24,6663.37,,aed ,,SHJ,ok,,,Y24,31,AED,,,
C31684,A-2354517,2024-05-03,-3311.172501207633,"-3,306.27",GBP,Closed,UAQ,needs review,,,0,m5,GBP,,,
C74898,A-6677516,May-02-24,,12415.33,GBP,Open,RAK,ok,,,Y24,m5,GBP,,,
C28460,A-1174901,2024-05-23,,(11280.70),OMR,Open,DXB,needs review,,,1,m5,OMR,,,
C85761,A/7329,2024-05-03,5909.36,5930.558964288255,USD,In Review,SHJ,ملاحظة,,,1,,USD,,,
C29242,A/86239,23 May 2024,25684.57,"25,684.57",GBP,In Review,RAK,needs review,,,Y24,m5,GBP,,,
C15579,A/2115,May-22-24,"6,553.61",6543.923260447649,GBP,,AAN,ملاحظة,,,Y24,,gbp ,,,
C56022,A-8581868,May-21-24,19834.61,19834.61,GBP,CANCELLED,UAQ,,,,0,m5,gbp ,,,
C19894,A-1736362,32/13/2023,1111.94,(1111.94),GBP,Open,  AAN,ملاحظة,,,,m5,GBP,x,,
C52250,,2024-05-08 00:00:00,3256.7109396189426,3306.71,OMR,,UAQ,needs review,,,Y24,40,OMR,,,
C85063,A-9773825,20 May 2024,,11561.82,EUR,Closed,SHJ,ok,,,Y24,m5,EUR,,,
C31207,A-7692218,2024-05-20 00:00:00,29968.45,29968.45,USD,Pending,AAN,needs review,,,0,m5,USD,x,,
C17201,A-6549001,32/13/2023,"12,250.20",12250.2,GBP,In Review,FJR,ok,,,1,22,GBP,,,
C22761,A-2857964,2024-05-28,19587.27,19587.27,SAR,Closed,SHJ,ملاحظة,,,0,97,SAR,,x,
C53797,A/42498,2024-05-19,(22702.10),22749.3,SAR,,UAQ,needs review,,,Y24,m5,SAR,,,
C87349,A-1773006,21/05/2024,19181.76,19181.76,USD,Open,  FJR,ok,,,Y24,,USD,,,
C12925,A-7560096,03 May 2024,-6406.79,-6386.302494244757,EUR,In Review,RAK,needs review,,,Y24,m5,EUR,,,
C50482,A-4973790,2024-05-18,"-1,785.00","-1,786.70",OMR,,AUH,needs review,,,,m5,OMR,,,
C67547,A-4583827,09 May 2024,24510.65791929197,24532.57,USD,In Review,RAK,ملاحظة,,,,,USD,,,
C44417,A-9805400,2024-05-25,"6,731.88",6731.88,EUR,CANCELLED,RAK,ok,,,Y24,47,EUR,,,
C62333,A-9181894,,,10353.75,USD,Closed,RAK,,,,,21,USD,x,,
C42069,A/8730,04/05/2024,7139.51,7139.51,GBP,,  RAK,ملاحظة,,,,m5,GBP,,,
C77762,A-8132322,32/13/2023,(7809.16),7809.16,SAR,In Review,DXB,,,,Y24,m5,SAR,,,
,A-3879119,32/13/2023,"22,353.14",22383.43380775721,AED,Closed,SHJ,needs review,,,0,,aed ,x,,
C77298,A/78068,01/05/2024,26139.66,26143.268369087506,sar ,Pending,RAK,ok,,,Y24,,SAR,,,
C27635,A-8704700,2024-05-09,16040.82608855641,(15994.80),OMR,Pending,AUH,ok,,,0,,OMR,x,x,
C91343,A/84958,2024-05-14,(2960.55),(3032.94),SAR,In Review,RAK,needs review,,,0,49,SAR,x,,
C38915,A-4321183,May-02-24,24563.28,24563.28,EUR,Pending,UAQ,needs review,,,Y24,90,EUR,,,
,A-1120706,2024-05-26,(14824.08),"14,831.24",USD,Open,AUH,,,,,,USD,,,
C12879,A-3938010,22/05/2024,,"3,676.97",eur ,Closed,RAK,ok,,,,,EUR,,,
C42515,A-5634598,26/05/2024,-2132.31,"-2,132.31",OMR,,AUH,,,,,m5,OMR,,,
C71107,A-8340069,May-16-24,12837.49341875156,12843.57,USD,Closed,SHJ,needs review,,,Y24,,USD,,,
C86210,A-1212960,May-28-24,-5606.259705159589,,OMR,In Review,DXB,,,,Y24,m5,OMR,,,
C61004,A-7467695,32/13/2023,-2580.93,-2580.93,GBP,In Review,SHJ,ok,,,0,57,GBP,,x,x
C79616,A-1372913,2024-05-09,7538.36,7528.243458948304,AED,CANCELLED,AUH,,,,,m5,AED,,,
C55244,A-8979069,2024-05-26,13322.62,13322.62,GBP,,DXB,,,,1,m5,GBP,,,
C92489,A-7104182,0000-00-00,25062.69,25062.69,GBP,Open,UAQ,ok,,,,,GBP,,,
C57981,A-5163721,32/13/2023,17901.47,17901.47,AED,Pending,AUH,ok,,,0,,AED,x,,x
C31913,A-9193154,17/05/2024,13348.67,"13,348.67",SAR,Open,AUH,needs review,,,Y24,m5,SAR,,,
C76782,A-6130372,May-09-24,"-2,405.71",-2405.71,GBP,Open,FJR,ok,,,Y24,m5,GBP,,,
C68083,A-6619607,May-13-24,17455.37,17455.37,OMR,Closed,AUH,ok,,,Y24,m5,OMR,,,
C50850,A-2382666,2024-05-15 00:00:00,23742.03,23742.03,USD,In Review,FJR,needs review,,,1,m5,usd ,,,
C39370,A-2399397,32/13/2023,,"16,351.51",USD,Pending,AUH,!!!,,,,44,USD,,,
C40067,A-7281120,,15220.18811027077,15195.23346013072,EUR,Pending,AUH,ملاحظة,,,Y24,93,EUR,,,
C46517,A-2030399,0000-00-00,-4371.170191548402,-4354.84,AED,In Review,FJR,ok,,,Y24,,AED,x,x,x
C74117,A-3641953,32/13/2023,9981.79,9981.79,EUR,Closed,SHJ,,,junk,Y24,,EUR,,,
C72784,A-4304697,14 May 2024,25949.170054535396,"25,997.17",EUR,In Review,DXB,ملاحظة,,,1,m5,EUR,,,x
C38522,A-6956732,2024-05-21,21998.398592704623,(22044.21),USD,Open,SHJ,ok,,,,,USD,,x,
C50149,A-9200344,0000-00-00,3622.42,not available,OMR,Open,UAQ,!!!,,,0,,OMR,,,
C27940,A-6646916,2024-05-11,27005.11558893426,"26,998.23",SAR,,AUH,ok,,,,,SAR,,,
C18336,A-7510042,05 May 2024,-587.25,-587.25,gbp ,,RAK,needs review,,,Y24,,GBP,,,
C61280,A-5010403,May-28-24,7198.27,"7,198.27",USD,Open,SHJ,needs review,,junk,0,m5,USD,,,
C67924,A-1022144,32/13/2023,14794.193195070626,14802.93,EUR,Closed,RAK,ok,,,Y24,46,EUR,,x,
C42414,A-8888414,32/13/2023,22991.53,22991.53,GBP,,UAQ,,,,Y24,m5,gbp ,,,
C95609,A-8020657,2024-05-08,15531.0,,EUR,Pending,AAN,ok,,,,,EUR,,,
C84641,A-2951603,May-08-24,(17185.01),17158.46,GBP,CANCELLED,AAN,needs review,,,Y24,m5,GBP,,,
