C60757,A-6363252,03/10/2024,-2978.09,"-2,990.55",OMR,Open,,ملاحظة,ملاحظة,,Y24,m10,C60757,,,,
C17500,A-2237685,2024-10-12,17061.23,17061.23,GBP,Closed,x,,,,,41,C17500,,,,
C79551,A-3177760,28/10/2024,"-2,867.95",,EUR,CANCELLED,,needs review,needs review,,Y24,92,C79551,,,,
C90469,A-8457787,19 October 2024,,-6749,USD,,,needs review,needs review,,0,m10,C90469,,,,
,A/60389,19/10/2024,25943.21,(25943.21),OMR,In Review,,ملاحظة,ملاحظة,,Y24,,,,,,
C43906,A-6520561,26/10/2024,-2979.74,(2979.74),USD,Open,,ملاحظة,ملاحظة,,,77,C43906,x,,,
,A-3379377,28 October 2024,,12958.96,aed ,,,!!!,!!!,,Y24,m10,,,x,,
,A-8778904,2024-10-04,,12005.369073263371,GBP,Closed,,,,,,m10,,,,,
C27237,A-6417587,14/10/2024,9164.5,,AED,Open,,ok,ok,,1,m10,C27237,,,,
C89059,A-5569780,32/13/2023,"-3,746.82",-3751.4,USD,Open,,,,,Y24,,C89059,,,,
C39619,A-7700152,2024-10-24,,"22,099.03",GBP,CANCELLED,,,,,Y24,,C39619,x,,,
C11420,A-4798503,05 October 2024,9108.82,9108.82,OMR,CANCELLED,,ok,ok,,Y24,83,C11420,,,,
C92413,A-1035576,Oct-03-24,not available,-3706.97,SAR,Open,,ok,ok,,Y24,28,C92413,x,,,
C97685,A-9796828,2024-10-01,10008.62,10008.62,EUR,Closed,,!!!,!!!,,Y24,,C97685,,,,
C72324,A/1984,2024-10-15,24306.78,not available,EUR,Closed,,ok,ok,,Y24,m10,C72324,,,,
C39923,A-2513975,Oct-23-24,"-5,385.05",,aed ,Pending,,ملاحظة,ملاحظة,,0,,C39923,,x,,
C23544,A-9824250,0000-00-00,13262.06,13262.06,aed ,Pending,,ok,ok,junk,Y24,,C23544,,x,,
C45973,A-3149283,2024-10-06,"5,329.56",5342.637004107584,EUR,Open,,needs review,needs review,,1,m10,C45973,,,,
C67553,A-3944919,2024-10-24 00:00:00,7546.06,7546.06,OMR,,,ملاحظة,ملاحظة,,,17,C67553,,,,
C50281,A-2081638,2024-10-08,-6024.055533674883,-5976.257619128789,SAR,CANCELLED,,needs review,needs review,,1,m10,C50281,,,,
C69006,A/75254,2024-10-26,5435.11,5435.11,OMR,Closed,,!!!,!!!,,,m10,C69006,,x,,
C69189,A-4727460,2024-10-07,402.62,,AED,CANCELLED,,needs review,needs review,,,m10,C69189,,,,
C30617,A-2961843,Oct-01-24,"-4,254.12",,SAR,Pending,,ok,ok,junk,,m10,C30617,,,,
C49735,A-6722508,12 October 2024,21269.31,21269.31,AED,,,needs review,needs review,,Y24,m10,C49735,,,,
C92625,A-3075269,16 October 2024,,(25316.36),SAR,CANCELLED,,needs review,needs review,,Y24,m10,C92625,,,x,
C22852,A-5213698,32/13/2023,6016.88,,AED,Pending,,!!!,!!!,,Y24,m10,C22852,,,,
,A-7403840,Oct-14-24,11960.82,,USD,,,,,,0,m10,,,,,
C71795,A-3361716,2024-10-02,10356.13,"10,398.34",GBP,CANCELLED,,,,,Y24,m10,C71795,,,,
,A-9172232,2024-10-12,3824.57,,SAR,Pending,,ok,ok,,1,96,,,,,
C82026,A-1578041,2024-10-03,-6175.622086549546,-6146.47,USD,CANCELLED,,needs review,needs review,,Y24,,C82026,,,,
C15264,A/6578,Oct-04-24,10064.48,,GBP,Open,,ok,ok,,Y24,m10,C15264,x,,,
C47203,A-1547388,08 October 2024,9151.41,"9,151.41",OMR,Open,,ok,ok,,,m10,C47203,x,,,
C79373,A/70623,2024-10-08 00:00:00,not available,,USD,,,ok,ok,,Y24,m10,C79373,,,x,
C56328,A-3128295,Oct-28-24,19278.66429186697,19240.78650597113,AED,,,,,,1,m10,C56328,,,,x
C64376,A-1187858,Oct-25-24,21349.74,21349.74,AED,,,ok,ok,,,m10,C64376,,,,
C27376,A-9987131,25 October 2024,(28750.95),28750.95,USD,,x,,,,1,,C27376,,,,
C63979,A-4800969,20 October 2024,15079.05,,GBP,In Review,,ملاحظة,ملاحظة,junk,,59,C63979,,,,
C67153,A-8849611,Oct-16-24,(20638.01),(20662.91),AED,Open,,ملاحظة,ملاحظة,,,,C67153,,,x,
,A-7168830,2024-10-05,"3,634.78",3624.045624790891,GBP,In Review,,,,junk,Y24,98,,,,x,x
,A-5798151,32/13/2023,,(14823.24),OMR,,,ok,ok,junk,Y24,76,,,x,,
C98550,A-9943131,Oct-18-24,not available,15408.55,AED,Pending,,needs review,needs review,,,,C98550,,,,
C90627,A/46858,2024-10-04,(25314.44),"25,314.44",SAR,CANCELLED,,!!!,!!!,,1,54,C90627,,,,
C43589,A-1474739,2024-10-01,-2744.95,-2772.854438960248,SAR,Open,,ok,ok,,,,C43589,x,,,
C21553,A-7866250,2024-10-03 00:00:00,-5760.05,-5774.084964243854,SAR,In Review,,needs review,needs review,,,m10,C21553,,x,,
C70714,A-6160176,32/13/2023,21845.96,21845.96,EUR,,,ok,ok,,Y24,m10,C70714,,,,
C24514,A-2492379,28/10/2024,(25531.51),25531.51,OMR,Closed,x,ok,ok,,0,m10,C24514,x,,,
C24291,A-3472525,13 October 2024,22867.0921148706,22887.18,eur ,,,,,,1,m10,C24291,,,,
C72598,,Oct-16-24,21744.94,"21,744.94",GBP,Closed,,needs review,needs review,,,m10,C72598,,,,
C15244,A-8831842,0000-00-00,,not available,OMR,In Review,,needs review,needs review,,Y24,m10,C15244,,,,
C92318,A-1309898,2024-10-28 00:00:00,13320.37,13349.057080642408,EUR,In Review,,ok,ok,,Y24,m10,C92318,,,x,
C12197,,Oct-04-24,(6126.67),-6164.53,SAR,Pending,,ملاحظة,ملاحظة,junk,Y24,m10,C12197,,,,
C65429,A-6587092,21/10/2024,(28673.73),28663.03,USD,,,needs review,needs review,,,51,C65429,,,,
C24546,A-4887487,Oct-08-24,"4,173.77","4,164.53",SAR,CANCELLED,,ok,ok,,Y24,m10,C24546,,x,,
C15248,A-2078275,Oct-19-24,1583.84,,SAR,,,!!!,!!!,,Y24,m10,C15248,,,,x
C92070,A/62018,11/10/2024,,-7800.37,aed ,Open,,needs review,needs review,junk,1,,C92070,,,x,
C38949,A-5691095,23/10/2024,,,omr ,Open,,needs review,needs review,,1,73,C38949,,,,x
C46600,A-4598021,Oct-28-24,17492.79292223158,17491.07,OMR,In Review,x,ok,ok,,,m10,C46600,x,,,
,A-5317036,2024-10-10 00:00:00,,(16437.34),GBP,Closed,,needs review,needs review,,1,m10,,,,,
C83128,A-4355721,11 October 2024,599.57,632.8131404262057,EUR,Pending,,,,,Y24,24,C83128,,,,
C86925,A-9545679,2024-10-27,5585.7,"5,585.70",SAR,In Review,,needs review,needs review,,Y24,,C86925,,,x,
C72703,A-4040563,Oct-12-24,18114.16,18114.16,OMR,Closed,x,ok,ok,,Y24,m10,C72703,,,,
C32140,A-4640576,,"24,891.92","24,891.92",OMR,In Review,,ok,ok,junk,Y24,,C32140,,,,x
C38558,A-3202087,Oct-17-24,not available,2954.0190357921188,GBP,Pending,,ملاحظة,ملاحظة,,,71,C38558,,,,
C18495,A-6542508,18 October 2024,-839.21,-839.21,EUR,In Review,,ok,ok,,1,m10,C18495,,,,
,A-5332616,11/10/2024,(6619.14),6619.14,sar ,Open,,ok,ok,junk,0,,,,,,
C82274,A-4394844,18 October 2024,-2325.37,-2325.37,USD,Open,,needs review,needs review,,Y24,,C82274,,,,
C59210,A-4135712,2024-10-24,,not available,OMR,,,needs review,needs review,,,71,C59210,,,,
C53625,A-6511846,13/10/2024,18630.98,18630.98,OMR,Closed,,,,,1,m10,C53625,,,,x
C97988,A-3055295,2024-10-22,"22,235.12",22235.12,EUR,Pending,,!!!,!!!,,0,,C97988,,,x,
C33854,A-8374108,2024-10-08,(12151.28),,SAR,CANCELLED,,needs review,needs review,,Y24,,C33854,,,,x
,A-9638948,2024-10-23,16282.659335230857,16295.05,AED,,,ok,ok,,0,,,,x,,
C27122,A-8461959,20 October 2024,23332.89,23363.05168944111,EUR,CANCELLED,,,,,Y24,m10,C27122,x,,,
C28212,A-4489452,22/10/2024,(23210.00),,USD,Closed,,needs review,needs review,,Y24,m10,C28212,,,,
C42835,A-8002465,2024-10-02,-5900.11,(5888.97),OMR,Closed,,!!!,!!!,junk,Y24,m10,C42835,,,,
C57806,A-4334522,2024-10-21,24571.15,"24,527.23",USD,,,needs review,needs review,,Y24,m10,C57806,,,,x
C65451,A-2436444,0000-00-00,17392.92,17392.92,OMR,Open,,ملاحظة,ملاحظة,,Y24,16,C65451,,,x,
,A-3782413,2024-10-01,12496.59,12496.59,EUR,Closed,,ok,ok,,,m10,,,,,
C46771,A-6485916,21/10/2024,,(4939.92),OMR,CANCELLED,,needs review,needs review,,1,m10,C46771,,,,
C21194,A-6434392,Oct-21-24,13867.09214426515,13838.056841643276,EUR,Closed,,ok,ok,,Y24,,C21194,,,x,
C80700,A-5348238,07/10/2024,"29,729.07","29,729.07",sar ,,,ok,ok,,,m10,C80700,,,,
C36294,,2024-10-18,-5100.07,-5100.07,EUR,Open,,ok,ok,,Y24,m10,C36294,,x,,
C78060,A/34774,21 October 2024,(6004.40),-6009.95,AED,Pending,,ok,ok,,0,m10,C78060,,,x,
C83167,A-6280964,2024-10-06,-2248.9,(2272.22),SAR,Open,,ok,ok,junk,Y24,38,C83167,,,,
C63892,A/3462,2024-10-06 00:00:00,7323.294623822756,7347.37,GBP,,,ملاحظة,ملاحظة,,1,13,C63892,,,,
C13952,A-4942625,2024-10-28,(3051.57),3050.572814347423,GBP,Pending,,needs review,needs review,,Y24,m10,C13952,x,,x,
C31602,A-8368833,2024-10-21,"25,590.29",25578.92,USD,Pending,,,,,Y24,,C31602,,,,
C17237,A-6191970,2024-10-06,-4769.76,,USD,,,ok,ok,,Y24,,C17237,x,,,
C88374,A-2474087,Oct-05-24,28225.93095262451,28234.29,AED,Closed,,!!!,!!!,,Y24,m10,C88374,x,,,
C92534,A-7918422,2024-10-19,-3351.340869753569,(3400.44),AED,CANCELLED,x,,,,,,C92534,,x,x,
C79177,A-1671892,32/13/2023,12361.6,12361.6,SAR,CANCELLED,x,,,,Y24,59,C79177,,,,
C39744,A-9754467,10/10/2024,14476.28333501818,(14471.72),OMR,Open,,,,,,,C39744,x,,,
C13310,A-2405808,0000-00-00,,,OMR,In Review,,,,,,,C13310,,,,x
,A/5618,2024-10-05,12305.55,(12305.55),EUR,In Review,,ملاحظة,ملاحظة,,,91,,,,,
,A-9319587,Oct-06-24,,19688.118172928618,USD,CANCELLED,,needs review,needs review,,,m10,,,x,,x
C19523,A-5666226,2024-10-19 00:00:00,11978.84,,OMR,In Review,,needs review,needs review,,1,m10,C19523,,,,
C53007,A-1968259,21/10/2024,9244.76,9244.76,USD,CANCELLED,,ملاحظة,ملاحظة,,Y24,,C53007,,,,
C52605,A-2485724,Oct-17-24,4811.532565598875,"4,837.11",GBP,,,ok,ok,junk,Y24,,C52605,x,,,
C73084,A-4393706,0000-00-00,-5425.33,"-5,425.33",GBP,Open,,,,,,66,C73084,,,x,
C95905,A-5920111,2024-10-15,not available,3532.53,SAR,In Review,,,,,1,,C95905,x,,,x
C83222,A-6367295,0000-00-00,,-2655.226949000195,omr ,,,,,,Y24,,C83222,,x,,x
,A-7901036,32/13/2023,"9,842.78","9,850.21",SAR,Pending,,,,,Y24,82,,,x,,
C47103,A-7996190,2024-10-09,840.96,840.96,AED,Pending,x,ok,ok,,Y24,55,C47103,,,,
C10052,A-6788428,2024-10-15,4797.579271130175,,AED,CANCELLED,,!!!,!!!,,,,C10052,,,,
,A-9867081,2024-10-27,21127.184954864017,21167.19,OMR,Open,,needs review,needs review,junk,Y24,,,,,x,
C31873,A/80478,12 October 2024,,9986.3,USD,In Review,,,,,Y24,m10,C31873,,,x,
C80678,A-7966426,27 October 2024,24350.56,,OMR,,,ok,ok,junk,Y24,66,C80678,,,,x
C88915,A-5579495,2024-10-08 00:00:00,,5104.73,OMR,Closed,,!!!,!!!,,1,,C88915,,,,
,A-6229551,2024-10-27,(7503.95),7485.135418360227,SAR,In Review,,,,,Y24,m10,,,x,x,
C50626,A-5057436,26 October 2024,-4017.84,(4054.53),USD,Open,,needs review,needs review,,,,C50626,,,,
C40620,A-2743794,Oct-17-24,,22774.19,USD,CANCELLED,,ok,ok,,Y24,m10,C40620,,,x,
C44981,A-2709392,Oct-18-24,16496.64,16496.64,EUR,,,!!!,!!!,,,,C44981,,,x,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,
 ClientNumber  ,ledger_account,posting_dt,amount_(aed),Amt,Currency,_txn_status__,Unnamed: 0,_Notes__,Notes,,year_added_2024, new_col_202410 ,Customer Id,mystery_2024_10_1,mystery_2024_10_52,mystery_2024_10_90,mystery_2024_10_56
,A/70785,0000-00-00,(990.93),(1014.52),SAR,Open,,needs review,needs review,,Y24,31,,,,,
C75438,A-7588534,2024-10-19 00:00:00,not available,"-1,357.22",OMR,CANCELLED,,ok,ok,junk,0,m10,C75438,,,,x
C14539,A-2437179,,23620.69,23577.426495391686,USD,,,ok,ok,,Y24,m10,C14539,,,,
C69938,A/38961,32/13/2023,15409.43,15409.43,GBP,,,ok,ok,,Y24,m10,C69938,,,,x
,A/58415,2024-10-05 00:00:00,,19888.67,GBP,CANCELLED,,,,,Y24,m10,,,,,
C77681,A/70954,05/10/2024,"19,780.06",,EUR,Open,,!!!,!!!,,Y24,,C77681,x,,x,x
C82528,A-9192465,27 October 2024,24078.69433635671,24095.09122236379,GBP,,x,needs review,needs review,,1,m10,C82528,,,,
,A/37215,01/10/2024,27943.31,27943.31,OMR,Pending,,needs review,needs review,junk,Y24,m10,,,,,
C11458,A-2947487,2024-10-13,"16,114.70",16114.7,OMR,In Review,,needs review,needs review,junk,Y24,12,C11458,x,x,,
C63861,A-4257468,2024-10-25,(27429.72),27426.81059333184,AED,Closed,,needs review,needs review,,Y24,m10,C63861,,,,
C50118,A-7554026,32/13/2023,14606.76,"14,606.76",OMR,Closed,,ok,ok,junk,,m10,C50118,,x,,
C31276,A-3167595,07/10/2024,5150.76,5194.204615365443,USD,,,ok,ok,,Y24,m10,C31276,x,,,
C17869,A-6416448,32/13/2023,24362.04,24362.04,EUR,In Review,,,,junk,Y24,m10,C17869,,x,,
C88188,A-7209482,Oct-07-24,not available,14460.58,usd ,Closed,,,,,Y24,51,C88188,,,,
,A-7208534,23/10/2024,25691.02,not available,USD,,,needs review,needs review,,0,69,,,,,
C59899,A-5904495,32/13/2023,1222.07,,USD,Open,,,,,Y24,,C59899,,,,
C80069,,Oct-14-24,3.57,3.57,GBP,CANCELLED,x,needs review,needs review,junk,0,,C80069,,,,
C34007,A-4472927,Oct-26-24,-1057.09,(1057.09),USD,,,,,junk,1,16,C34007,,,x,
,A-5112162,Oct-01-24,12125.53,,OMR,CANCELLED,,needs review,needs review,,Y24,10,,,x,,
C93156,A-2738040,Oct-01-24,25093.69,,GBP,,,ok,ok,,Y24,,C93156,x,,,
C86506,A-8975011,17 October 2024,3178.18,3176.161012591866,OMR,Open,,ok,ok,,1,m10,C86506,,,,
C45464,,04 October 2024,not available,-6440.42,aed ,Closed,,needs review,needs review,,Y24,,C45464,,,,x
,A-3877709,2024-10-25 00:00:00,"13,831.18",13794.76,GBP,CANCELLED,,!!!,!!!,,Y24,92,,,,,
,A/82484,2024-10-20,24371.64,24405.16922648799,EUR,Open,,needs review,needs review,junk,Y24,m10,,,,,
C67120,A/27669,2024-10-22,,16427.17,AED,,,ملاحظة,ملاحظة,,,m10,C67120,,,,
C48945,A-8569849,2024-10-15,,13460.84,USD,In Review,,!!!,!!!,,Y24,,C48945,x,,,
C79275,A-4282659,01/10/2024,21988.57,21982.38384492547,AED,,,needs review,needs review,,Y24,,C79275,,,,
,A-4755468,02 October 2024,-727.31,(690.65),AED,CANCELLED,,,,,Y24,m10,,,,,
C26644,A-3414095,07/10/2024,,-3511.6,AED,Closed,,,,,1,,C26644,,,,
C85922,A-8655127,2024-10-08,3196.72,3196.72,omr ,Closed,,ok,ok,,,m10,C85922,x,,,
C37368,A-2690147,2024-10-16,14309.37589022589,14256.03427382466,AED,,,ok,ok,,,m10,C37368,,,,
C41381,A-4926355,2024-10-04 00:00:00,17342.66,17342.66,USD,,,ok,ok,,Y24,88,C41381,,,,
C55011,A-8733855,16 October 2024,(12469.91),12469.91,SAR,In Review,,,,,Y24,m10,C55011,,x,x,
C34903,A-3909631,26/10/2024,18521.89367866562,(18487.42),GBP,In Review,,needs review,needs review,,1,,C34903,,,,
C77405,A-1606173,08/10/2024,18553.69,"18,553.69",SAR,,,,,,Y24,32,C77405,,,,
C14365,A-1459698,08/10/2024,28847.98,28847.19265778711,EUR,Pending,,,,,,,C14365,,,,
C21475,A-8418053,32/13/2023,3856.2,3856.2,SAR,,,ok,ok,,,m10,C21475,,,,
C72339,A-6753014,32/13/2023,,2990.82,EUR,Open,,!!!,!!!,,Y24,,C72339,,,,
C42158,A-7773367,15/10/2024,,8700.35,EUR,Pending,,,,,,m10,C42158,,,,
C94518,A-4456918,2024-10-11,24207.679954474628,24243.45,AED,,,!!!,!!!,,Y24,,C94518,,,,
C68138,A-8398399,11 October 2024,,-7731.8,OMR,CANCELLED,,,,junk,0,21,C68138,,,,
C87118,A-1677784,Oct-16-24,12751.06,12787.099523715164,EUR,In Review,,,,,Y24,m10,C87118,,,,
C25763,,,,14943.71,GBP,,,!!!,!!!,,1,,C25763,,,,
C83440,A-1610754,Oct-03-24,"-7,483.08",-7493.819114146073,SAR,In Review,,ok,ok,,Y24,60,C83440,,,,
C37477,A/61542,2024-10-19,29999.19,29999.19,OMR,CANCELLED,,ملاحظة,ملاحظة,,,,C37477,,,,
C20913,A/46239,2024-10-24 00:00:00,23660.52,23660.52,USD,,,needs review,needs review,,,m10,C20913,,,,
C18016,A-1915339,22/10/2024,1487.54,,EUR,Pending,x,,,,,m10,C18016,,,,
C61397,,22 October 2024,26285.42,26285.42,USD,,,,,,,m10,C61397,,,,x
C71204,A/88877,12 October 2024,7688.5,7688.5,EUR,Closed,,!!!,!!!,,Y24,23,C71204,,,x,
,A-7294960,2024-10-28 00:00:00,"24,719.94",,AED,,,needs review,needs review,junk,,m10,,,,,
C48132,A-2631863,17/10/2024,,,OMR,,,!!!,!!!,,Y24,m10,C48132,,,,
,A/3025,2024-10-22,4239.222628000235,4205.39,AED,Open,,needs review,needs review,,Y24,m10,,x,,,
C39012,A-1324743,Oct-12-24,,6502.38,SAR,Open,,,,,Y24,m10,C39012,,,,
C31527,A-7280732,2024-10-22,,(20556.80),EUR,,,ok,ok,,,m10,C31527,x,,,
C10134,A-6094007,2024-10-06,28824.78,28824.78,OMR,Pending,,ok,ok,,Y24,m10,C10134,,,,
C18964,A-9977550,2024-10-16 00:00:00,15639.63,15596.99299665772,usd ,In Review,x,ok,ok,,0,m10,C18964,,,,
,A-7204303,25 October 2024,26813.68,,OMR,Open,,,,,Y24,91,,,,,x
C28805,A-9358676,2024-10-01 00:00:00,11088.76,not available,USD,Pending,,ok,ok,,Y24,m10,C28805,,,,
C41520,A-6777451,2024-10-18,(2121.54),(2089.78),AED,Pending,,ok,ok,,,m10,C41520,,,,x
C15334,A-3221164,Oct-12-24,29923.61,29923.61,SAR,,,ملاحظة,ملاحظة,,0,,C15334,,,,
C58058,A-1732146,04 October 2024,(21480.06),21480.06,USD,,,needs review,needs review,,Y24,,C58058,,,,
C78291,A-5718834,0000-00-00,10182.79965798459,10148.90421407976,OMR,,,needs review,needs review,,Y24,m10,C78291,,,,
C41641,A-4604196,16 October 2024,,3967.422348832125,OMR,,x,,,junk,Y24,61,C41641,,,,
,A-7096170,Oct-12-24,8457.761710547922,8469.300852344353,AED,Open,,ملاحظة,ملاحظة,,Y24,,,,,,
,A-2496375,28 October 2024,28355.94,28355.94,USD,Pending,,needs review,needs review,,,m10,,,,,
C17464,A-5110734,2024-10-11,,914.62,SAR,In Review,x,ok,ok,,Y24,51,C17464,,,,
C47931,A-4384016,32/13/2023,(6210.61),6258.55,SAR,,,ok,ok,,0,,C47931,,,x,
C44716,A-5350774,32/13/2023,,24520.27,USD,,,,,,Y24,,C44716,,,,
,A-9387797,22 October 2024,23195.57,23145.973882146114,EUR,Closed,,,,,,,,,,,
C85542,A/65049,15/10/2024,23677.29,23677.29,AED,CANCELLED,,needs review,needs review,,Y24,m10,C85542,,,,
,A-5172053,0000-00-00,-3010.256012399755,-2976.3,AED,,,ملاحظة,ملاحظة,,Y24,m10,,x,x,,
C12305,A-2676814,07/10/2024,,(7961.31),SAR,In Review,,,,,,m10,C12305,,,,
C74737,A-7332145,07 October 2024,891.04,863.6594654928404,EUR,,,needs review,needs review,,0,m10,C74737,x,,,
C67930,A/22466,09 October 2024,"16,467.83",,USD,Pending,,,,,Y24,,C67930,,,,x
C47014,A-8118977,22/10/2024,,(20132.48),EUR,Closed,x,,,,,,C47014,,,x,
C26232,,2024-10-19 00:00:00,24632.35,(24603.01),USD,Pending,,,,,,m10,C26232,,,,
C29426,A-3350952,09/10/2024,(7935.51),-7935.51,SAR,In Review,,,,junk,Y24,10,C29426,,,,
C63321,A-8244094,2024-10-27,not available,1881.225729557808,USD,Closed,,ok,ok,,Y24,26,C63321,,,,
C73711,A-7310720,2024-10-01 00:00:00,25541.44840259248,25588.23,AED,,,!!!,!!!,,Y24,,C73711,,,,
C42841,A-2585483,2024-10-25 00:00:00,(1314.71),-1314.71,GBP,Closed,,ok,ok,,0,45,C42841,,,,
C53800,A-1393221,2024-10-08 00:00:00,550.351699989252,543.71,AED,Pending,,ok,ok,,Y24,,C53800,x,,,
C27703,A-1026977,08/10/2024,-2872.576155665673,-2871.9655133243054,EUR,,,,,,1,,C27703,x,x,,
C83075,A-7798145,26/10/2024,-5801.91,,usd ,,,!!!,!!!,,1,m10,C83075,,,,
C55466,A-7845117,07 October 2024,14319.628745671,"14,347.94",EUR,Closed,,,,junk,0,m10,C55466,,x,,
C80218,A-5922349,2024-10-12,,20540.5389318866,GBP,Closed,,needs review,needs review,junk,0,m10,C80218,,,,
C78265,A-3128939,Oct-02-24,21291.7855066642,,GBP,In Review,,ok,ok,,Y24,m10,C78265,,,,
C27072,A-6674915,2024-10-13,"10,189.72",,USD,Open,,needs review,needs review,,Y24,93,C27072,,,,
C32333,A-4202695,2024-10-06,"-7,902.88",-7864.094895323094,OMR,In Review,,needs review,needs review,,0,m10,C32333,,,x,
C65883,A-7872081,,29926.65,29926.65,EUR,Closed,x,!!!,!!!,,Y24,m10,C65883,,x,,
C25964,A-3623359,2024-10-26,-4703.75920196679,-4685.87,USD,Closed,,ملاحظة,ملاحظة,,1,,C25964,x,,,
C18745,A-6651123,2024-10-18,not available,15344.47,SAR,Closed,,needs review,needs review,,0,33,C18745,,,,
,,2024-10-14,not available,"17,565.19",aed ,,,needs review,needs review,junk,1,,,,x,,
C28742,A-7106969,06/10/2024,,"19,131.60",EUR,In Review,,needs review,needs review,,0,m10,C28742,,,,
C86692,A/73765,2024-10-12,-5986.79,"-5,948.07",OMR,Closed,,!!!,!!!,,Y24,,C86692,,,,
C44066,A-4628594,19/10/2024,23752.68,23752.68,OMR,Closed,,,,,,24,C44066,,x,,
,A-5964211,2024-10-09,6280.65,6328.441445651346,USD,Pending,,!!!,!!!,,Y24,25,,,,,
C27088,A-1590541,06/10/2024,15417.96,(15464.70),usd ,Closed,x,ok,ok,,,m10,C27088,,,,
C42716,A-9676997,05/10/2024,7656.039273586932,"7,715.77",SAR,Closed,,needs review,needs review,,Y24,24,C42716,,,,
C99134,A/41413,2024-10-20,1236.94,1236.94,USD,Closed,,,,,Y24,m10,C99134,,,,
C93863,A-4905258,2024-10-02 00:00:00,,548.94,sar ,Open,,ok,ok,,Y24,,C93863,,,,
,,2024-10-28 00:00:00,"9,265.26","9,265.83",GBP,,,needs review,needs review,,Y24,16,,,,,
C21764,A-1928383,09 October 2024,"22,289.00",(22289.00),GBP,Closed,,needs review,needs review,,,m10,C21764,,,,x
C46949,A-5102975,2024-10-15 00:00:00,12503.797748519832,12546.85,OMR,,,ok,ok,,0,m10,C46949,,,x,
C52250,A-1949879,19 October 2024,8903.412295746472,8908.14,OMR,In Review,,ok,ok,,1,36,C52250,,,,
C31483,A-7054360,32/13/2023,,-3124.51,AED,CANCELLED,x,ملاحظة,ملاحظة,,1,94,C31483,,,,x
C92164,A-1775401,Oct-06-24,19278.01,19278.01,SAR,Open,,,,junk,Y24,,C92164,,,,
C71175,A-3434814,2024-10-17 00:00:00,3218.64,"3,218.64",EUR,Open,,ملاحظة,ملاحظة,,Y24,62,C71175,,,,
C73111,A-9054282,Oct-26-24,29398.66,29374.036211397226,SAR,Closed,,needs review,needs review,,,m10,C73111,,,x,x
C27382,A-8800959,04 October 2024,29136.09,29124.713247870386,USD,Closed,,ok,ok,,,,C27382,,,,
C35983,A-6075848,21/10/2024,18593.09,"18,597.08",EUR,,,ok,ok,,Y24,m10,C35983,x,,,
C88327,A-8610316,2024-10-10 00:00:00,9903.96,9903.96,SAR,,,ملاحظة,ملاحظة,,,,C88327,,,,
C26396,A-7345790,Oct-16-24,,26337.84346483329,SAR,CANCELLED,,,,,1,m10,C26396,,,,
C59530,A-6000669,32/13/2023,(19463.39),,OMR,In Review,,ok,ok,,Y24,,C59530,,,,
