C28673,A-9005548,,10924.98,"10,971.30",USD,Open,AAN,ok,ok,,Y24,m8,,
C26729,A-7384516,,12804.92,12770.39233054898,GBP,,AAN,,,,Y24,m8,,
,A-9631638,,7691.759991374744,,SAR,Open,RAK,needs review,needs review,,,,,
C53795,A-3564574,,1762.11,1762.11,GBP,Open,  AAN,,,,0,,,
C46942,A-8618724,,"10,665.23","10,665.23",USD,Pending,  FJR,!!!,!!!,,Y24,,,
C38080,A-6725359,,27257.77,27257.77,AED,Pending,UAQ,ok,ok,,,,,
C97801,A-3737887,,,24681.92,OMR,Open,  FJR,,,,,m8,x,
C20343,A-4479755,,5798.4819926986775,"5,798.87",AED,Closed,SHJ,needs review,needs review,,,,x,
C70525,A-6180364,,6950.71,6961.474768176941,OMR,,RAK,!!!,!!!,,Y24,m8,,
C27880,A-3488831,,7099.8,,AED,Closed,AAN,ok,ok,,0,m8,,
C58571,A-8862770,,23508.04,"23,544.14",AED,In Review,AAN,ملاحظة,ملاحظة,,Y24,m8,,
C63413,A-4565130,,not available,-4955.62,OMR,Pending,AUH,ok,ok,,Y24,m8,,
C64515,A-6943357,,(28620.00),28657.32,GBP,In Review,FJR,ملاحظة,ملاحظة,,0,18,,
,A-7188017,,"-6,068.48",,SAR,CANCELLED,AUH,ok,ok,,1,m8,,
,A-4165872,,8490.7,8490.7,gbp ,Pending,AAN,ok,ok,,Y24,,,
C96013,A-6501459,,7940.84,7917.755638626431,EUR,,AUH,needs review,needs review,,Y24,,,
C94417,A-4070146,,-5065.150579443729,-5020.86,GBP,In Review,RAK,,,,,,,
C52292,A-2396764,,7711.414983254376,7746.06,AED,Pending,UAQ,ok,ok,,,74,,
,A-5942098,,"17,178.22",17131.83,USD,Pending,RAK,needs review,needs review,,,,,x
C41136,A-3067471,,18588.55,18588.55,usd ,Pending,  AAN,,,,,,,
C71119,A-6348130,x,-7584.27,-7584.27,AED,Pending,FJR,needs review,needs review,,Y24,m8,,
C35983,A-2406271,,19839.33,19839.33,OMR,Closed,RAK,ok,ok,,Y24,,,
C80709,A-2760478,x,"17,814.86",(17814.86),SAR,CANCELLED,  UAQ,needs review,needs review,,Y24,15,,
C23315,A-2428096,,7215.967262007347,7193.869495024508,USD,,SHJ,ok,ok,,,,,
C44468,A-3539314,x,-6876.69,-6923.97720197993,SAR,Pending,UAQ,!!!,!!!,,0,m8,,
C36520,A-6078821,,,-6196.29,USD,CANCELLED,AUH,ok,ok,,Y24,,,
C83065,A-7452505,,,,AED,Open,SHJ,!!!,!!!,junk,Y24,33,,
C77637,A-5409002,,(10595.98),10635.18,GBP,In Review,DXB,needs review,needs review,,Y24,m8,x,
C24252,A-8715546,,15450.05,,OMR,,AAN,,,,0,,,
C84792,A-7589283,,28102.840383575163,not available,SAR,Open,AUH,ok,ok,,,m8,x,
C70134,A-7649809,,(18259.24),(18221.31),EUR,In Review,SHJ,needs review,needs review,,1,m8,,
C49043,A-2145878,,12941.372623246,,USD,Open,DXB,ok,ok,,,,,
C38547,A-2809281,,21639.61,21625.28854364476,OMR,Pending,RAK,ok,ok,,,m8,x,
C94042,A/8359,,27158.94,"27,203.24",OMR,Closed,FJR,ok,ok,,Y24,,,
C30807,A-6177631,,,-15.84,SAR,CANCELLED,FJR,ok,ok,junk,,m8,,x
,A/46107,x,29807.79033403421,"29,833.81",EUR,CANCELLED,RAK,ok,ok,,0,m8,x,
C92073,A-8850168,,21754.57473103562,21762.11,USD,,UAQ,ok,ok,,,,,
C70419,A-8272126,,16366.78,,GBP,Closed,RAK,ok,ok,,Y24,m8,,
C79028,A-8851747,x,(12439.68),,SAR,Pending,  AUH,,,,Y24,92,,
C66375,A-8528347,,11669.1,11630.19788697019,AED,,DXB,,,,1,m8,,
C54685,A-1547081,,-6168.04,,EUR,Pending,RAK,ملاحظة,ملاحظة,,Y24,m8,,
C37955,A-8079545,,-5627.41801907002,(5648.56),OMR,CANCELLED,AUH,ok,ok,,1,m8,,
C99899,A/82728,,,27407.65,OMR,In Review,SHJ,ok,ok,,Y24,m8,,
C44917,A/70276,x,21301.98,21301.98,USD,,UAQ,ok,ok,,Y24,m8,,
C27232,A-2162817,,(19994.21),,AED,In Review,FJR,,,,Y24,86,x,
C91009,A-5417896,,-2725.96,-2725.96,OMR,Open,DXB,needs review,needs review,,,m8,,
C26841,A-5717395,,,27033.5,EUR,CANCELLED,  AUH,needs review,needs review,,,m8,,
C11537,A-4146736,,,4198.106512333062,GBP,CANCELLED,SHJ,ok,ok,,,m8,,
,A-9744882,,28877.87,28877.87,EUR,In Review,SHJ,,,,Y24,m8,,
C11542,A-9351540,,-5834.928808376732,-5832.69,SAR,CANCELLED,FJR,ok,ok,,Y24,,,
C39247,A-1076241,,(15666.41),15595.353805437551,USD,,UAQ,ok,ok,,,m8,,
C36901,A-5481520,,15628.85,15628.85,OMR,Open,AAN,ملاحظة,ملاحظة,,Y24,22,,
C13261,A-2777361,,not available,(16578.74),GBP,In Review,SHJ,ok,ok,,,,,
C53220,A-2937362,,2139.21,(2139.21),GBP,CANCELLED,AAN,needs review,needs review,,Y24,m8,,
C46912,A-9551077,,not available,27136.67,SAR,Closed,RAK,ملاحظة,ملاحظة,junk,Y24,40,,
C97817,A-9024060,,,-2937.58,USD,,DXB,needs review,needs review,,1,,,x
C53574,,,5475.55,,sar ,In Review,UAQ,needs review,needs review,,Y24,,,
C99691,A-7201058,,not available,,GBP,,AAN,,,,Y24,,,
C62085,A-9772200,,"3,518.72",,EUR,Closed,FJR,,,,,m8,x,
C99527,A/79479,,28989.9,28989.9,GBP,,UAQ,needs review,needs review,junk,Y24,,,
C69082,A-3122382,x,,,SAR,,  SHJ,ok,ok,,Y24,99,,
C45850,A-7082241,,7038.24,7038.24,GBP,,FJR,ok,ok,,Y24,m8,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,
CUST IDENTIFIER,ACC_KEY,Unnamed: 0,Gross_Amount, amt  ,Currency,txn_status, Region  ,OPS_COMMENT,_REASON_TEXT__,,year_added_2024,new_col_202408,mystery_2024_08_74,mystery_2024_08_9
C50468,A-6900667,,16600.98,(16600.98),USD,,AAN,needs review,needs review,,,m8,,
C24739,A-9058626,,7830.22,7830.22,SAR,,DXB,ok,ok,,,m8,,
C12468,A-5345277,,290.60,,AED,CANCELLED,AUH,ok,ok,,Y24,58,,
,A-4923583,,8863.84,,EUR,,  UAQ,ok,ok,,,m8,,
C24579,A-4895047,,29717.55,(29749.91),USD,,AUH,ok,ok,,Y24,,,
C52503,A-2559447,,,"10,557.95",OMR,Pending,RAK,ok,ok,,Y24,m8,,
C69640,A-3943816,,,"15,208.33",EUR,Closed,DXB,needs review,needs review,,,m8,,
C66605,A-1940521,,29078.97,29078.97,OMR,Pending,DXB,,,,1,96,,
C26255,A-8067278,,15116.94,15116.94,SAR,,DXB,ملاحظة,ملاحظة,,,m8,,
C20704,A-2151118,,,-6931.91,OMR,CANCELLED,UAQ,ملاحظة,ملاحظة,,0,14,,
C93139,A/49528,,(5710.07),,EUR,Open,RAK,ok,ok,,Y24,m8,,
C15995,A-4104578,,"23,443.16",23399.35778769817,SAR,In Review,UAQ,ok,ok,,,54,,
C49818,A/38321,,,,OMR,,  FJR,needs review,needs review,junk,,m8,,
C96089,A-7295420,,"8,356.96",8356.96,USD,Pending,AUH,ok,ok,junk,1,95,,
C68617,A-4672072,,1468.03,,GBP,Closed,AAN,,,junk,Y24,36,,
C57882,A-3179908,x,,10998.45,EUR,Open,AUH,needs review,needs review,,Y24,m8,,
C32187,A-3166478,,8785.39,,usd ,,UAQ,ملاحظة,ملاحظة,,Y24,21,,
C50559,A-6733710,,10787.04724422085,10770.38,EUR,Closed,RAK,,,,Y24,m8,,
C21963,A-4263116,,"16,103.08",16147.939222155077,GBP,Open,UAQ,,,,Y24,m8,,
C96859,A/19898,,"5,161.89",,usd ,CANCELLED,FJR,needs review,needs review,,Y24,28,,
C45887,A-5727828,,"16,833.44",(16833.44),OMR,CANCELLED,AAN,,,,Y24,m8,,
C47213,A-7274866,,5321.802824332989,5340.926254469982,GBP,Open,SHJ,ok,ok,,,m8,,
C97926,A-1566276,,,26960.2,SAR,In Review,FJR,needs review,needs review,,0,m8,,
,A-4699886,,23354.95782219341,23369.49265906012,GBP,Pending,FJR,,,,Y24,,,
,A-8656090,,-3164.875498233976,-3133.6238789441013,USD,Closed,AAN,ok,ok,,,,,
C39148,A-1883366,,4723.685561683497,4761.35,OMR,Closed,RAK,ok,ok,,Y24,m8,x,
C50898,A-6375318,,(17811.74),17811.74,EUR,Closed,FJR,ok,ok,,,,,
C36621,A-1134881,,11411.69,(11411.69),GBP,Closed,UAQ,,,,Y24,m8,,
C29107,A/21211,x,17494.69326913931,,GBP,,DXB,,,,1,,,x
C32502,A-8023670,,13822.09,13822.09,EUR,Pending,  UAQ,,,junk,,39,,
,A-2785306,,791.97,787.3343470422424,AED,In Review,AAN,ok,ok,,Y24,30,,
C66051,A/43969,,9565.739120701917,,USD,In Review,DXB,,,,Y24,m8,,
C91314,A/53407,,21876.41450777965,21902.61904069252,USD,,RAK,,,,Y24,m8,,x
C64747,A-7739486,,(6385.55),6385.55,AED,In Review,AUH,needs review,needs review,junk,,,,x
C10814,A-6663301,,"4,638.67","4,638.67",OMR,Closed,AAN,,,,,10,,x
C55078,A-3454097,,27712.4,27755.38957285129,OMR,Pending,RAK,needs review,needs review,,Y24,34,,
C89983,,,6015.79,(5984.43),AED,In Review,AUH,,,junk,Y24,m8,,
C57624,A-2321779,,24538.82,,EUR,,DXB,ok,ok,,0,17,,
C94644,A-5278292,x,,25085.83,GBP,In Review,RAK,!!!,!!!,,,,x,
C49477,A-2091077,,4571.36,4571.36,EUR,In Review,UAQ,ملاحظة,ملاحظة,,1,97,,
C83932,A-6229664,,"-6,806.03",-6774.15,SAR,Open,FJR,ok,ok,,Y24,m8,x,
C94505,A-6486760,x,not available,21128.32,EUR,Pending,  FJR,needs review,needs review,,Y24,,,
C31886,A-2691374,,"-2,913.76","-2,904.14",OMR,,FJR,,,,,m8,,
C66436,A-5887706,,22361.8,22361.8,AED,Pending,DXB,!!!,!!!,,1,m8,,
C51706,A-2939404,,not available,-3876.49,SAR,Open,AAN,ok,ok,,Y24,91,x,
C28808,A-1105036,,8275.35,8275.35,USD,CANCELLED,AAN,needs review,needs review,,Y24,m8,,
,A-8499321,,not available,(16048.21),GBP,In Review,FJR,needs review,needs review,,Y24,,,
C50845,A-6655865,,8386.32,not available,GBP,Closed,DXB,ok,ok,,Y24,92,,
C25196,A/37018,,26960.98,26960.98,OMR,Pending,UAQ,,,junk,Y24,m8,,
C59590,A-7795037,x,26401.61,,AED,Pending,FJR,,,,Y24,m8,,
,A-4960236,,-900.03,-896.1441091954165,SAR,In Review,SHJ,needs review,needs review,,,24,,
C10143,A-3530118,,,8644.212910307262,AED,,AAN,ملاحظة,ملاحظة,,Y24,91,,
C94677,A-9037831,,25681.65,25684.717245085227,AED,Pending,AUH,,,,1,m8,,x
C42867,A/69985,,,-6232.02,SAR,Pending,DXB,ok,ok,,Y24,64,,
C20227,A-7684949,,,9783.95,GBP,CANCELLED,AAN,ok,ok,,,75,,
C13987,A-9132820,,not available,25676.83,SAR,CANCELLED,  UAQ,needs review,needs review,,Y24,m8,,x
C80858,A-3181879,x,10133.01237893339,10161.432011059202,OMR,,  DXB,ok,ok,,,,,
C82419,A-3173935,,9869.46,9869.46,OMR,,AAN,,,,,,,x
C44656,A-7166588,,,-6008.258769963251,EUR,,FJR,needs review,needs review,junk,0,82,,
C76982,A-7018233,,-5586.98,-5586.98,OMR,CANCELLED,SHJ,,,,Y24,m8,,
C47238,A-6245565,,26216.91,(26216.91),USD,,UAQ,ok,ok,junk,,m8,,
C36213,A/39930,x,,24595.15,OMR,,AAN,ok,ok,,,29,,x
C78769,A-2751790,x,,25771.56078171356,USD,Closed,SHJ,,,,,m8,,
C54948,A-1597009,,24732.11851079996,24711.33,SAR,Closed,UAQ,needs review,needs review,,Y24,,,
C97684,A-6693186,,24797.54,24797.54,USD,Open,DXB,ok,ok,,Y24,m8,,
C59294,,,29538.69,29493.819411451,EUR,Open,RAK,,,,0,64,,
C92745,A-6026437,,11761.71,,GBP,,AUH,ملاحظة,ملاحظة,junk,,,,
C39535,A-4335654,,-1039,-1039.0,SAR,CANCELLED,RAK,needs review,needs review,,0,m8,,
C16256,A/7908,,,(12674.98),EUR,Pending,  RAK,,,,Y24,m8,,
C64545,A-5379313,,not available,(6175.91),SAR,Pending,AUH,ok,ok,,1,,,
C65795,A-1021936,,18100.03,"18,106.03",OMR,In Review,  AAN,,,,Y24,,,
C97273,A-8802670,,,-3161.344267049567,usd ,,UAQ,!!!,!!!,,Y24,m8,,
C91366,A-5857467,,,,EUR,Open,RAK,,,,Y24,m8,,
,A-3645371,,(7337.00),7337.0,eur ,Open,AUH,ok,ok,,,m8,,
C58494,A-5417174,,3569.3785920740047,3560.65,EUR,Closed,RAK,ملاحظة,ملاحظة,,Y24,m8,,
C28881,A-7835426,x,5463.37,"5,463.37",GBP,In Review,AUH,!!!,!!!,junk,,92,,
C17273,A-6928509,,12652.39,(12652.39),GBP,,AUH,ok,ok,,Y24,m8,,
C77341,A-3114817,,6296.73,"6,296.73",SAR,Open,AUH,ok,ok,,,m8,,
C13945,A-8629023,,-6536.61,-6536.61,OMR,Open,AUH,ok,ok,,,m8,,
C75047,A-6818165,,"23,235.03",,GBP,Closed,AAN,ملاحظة,ملاحظة,,0,m8,,x
C57943,A-4804462,,-6415.43,-6415.43,EUR,,RAK,needs review,needs review,junk,Y24,m8,,
C57189,A-6085593,,7410.94,7410.94,OMR,CANCELLED,SHJ,ملاحظة,ملاحظة,,0,m8,,
C43321,A-3640559,,not available,-4298.731275536172,SAR,,AUH,!!!,!!!,,Y24,,,
,A-7432630,,(25109.86),,USD,Open,UAQ,,,,Y24,m8,,
C84978,A-7671310,,15996.05,15996.05,AED,Pending,DXB,needs review,needs review,,Y24,,,
C29977,A-1343199,,22689.52,not available,SAR,Closed,RAK,ok,ok,,,m8,,
C14792,A-7117416,x,not available,25939.27163409875,GBP,Open,UAQ,needs review,needs review,,Y24,m8,,
C21004,A-1240546,,-616.09,,AED,,UAQ,ok,ok,,0,90,,
,,,"17,772.95",17754.72,gbp ,,DXB,needs review,needs review,,Y24,m8,x,
C55583,A-8491709,,21650.99,21650.99,gbp ,In Review,UAQ,needs review,needs review,,,m8,,
C23872,A-6287786,,5308.93,not available,EUR,In Review,AUH,!!!,!!!,,Y24,,,x
C47748,A-7120005,,11060.19,11016.4165433692,GBP,,  FJR,needs review,needs review,,Y24,m8,,
C30109,A-1117638,,(3105.25),,USD,In Review,AAN,needs review,needs review,,Y24,,,
C25738,A-1976303,,not available,17446.77,USD,Closed,FJR,ok,ok,,Y24,m8,,
C59185,A-8393939,,18127.89160363521,,GBP,,SHJ,ok,ok,,Y24,,,
,A-3923155,,-1375.38,-1375.38,EUR,In Review,AUH,,,,,m8,,x
C61312,A/73709,,,,SAR,Closed,AAN,needs review,needs review,,Y24,57,,
C12282,,,222.4812523528697,,SAR,Closed,UAQ,ok,ok,,Y24,20,,
,,,11026.25707509104,10986,GBP,,RAK,ok,ok,,Y24,41,,
C64226,A-5578971,,7518.09,7484.694081169419,AED,CANCELLED,SHJ,ok,ok,,Y24,m8,,
C45755,A-9640218,,,15978.33541425979,EUR,Open,DXB,needs review,needs review,,Y24,m8,,
C23692,A-8834998,,,(6799.50),SAR,CANCELLED,AUH,needs review,needs review,,Y24,m8,,
C75442,A-2497439,x,,"24,565.23",SAR,CANCELLED,AUH,needs review,needs review,,Y24,m8,,
C83352,A-6795116,,,25267.69,USD,Open,RAK,needs review,needs review,,,,,
C76555,A-7896474,,(7399.72),7399.72,USD,,SHJ,ok,ok,,,m8,,
,A-6719766,,6743.85,6743.85,GBP,Pending,  AUH,,,,Y24,m8,,
C41557,A/94445,,18651.13,18651.13,OMR,Open,UAQ,,,,,m8,,
C43309,A-9854632,,3637.67,,AED,Closed,RAK,ok,ok,,0,58,,
C93511,A-8150216,x,3832.89,3832.89,USD,,AAN,needs review,needs review,,0,17,,
C32401,A-9247644,,-2171.163471226972,-2149.24,GBP,Closed,  FJR,,,,Y24,m8,,x
,A/26792,,,"24,251.84",USD,In Review,SHJ,,,,1,m8,,
C40843,A-4311369,,not available,10610.47,eur ,,AUH,ok,ok,,,m8,,
C93195,A-7515798,,29744.204764223585,29835.34192103838,USD,In Review,UAQ,needs review,needs review,,Y24,,,
,A-5671134,,2504.876618350016,2513.28,GBP,Pending,SHJ,,,,,12,,x
C87639,A-2227769,,2770.19,(2770.19),OMR,In Review,AAN,,,,,38,,
C45138,A-2635816,,-4780.60071294868,,gbp ,Closed,  AUH,ok,ok,,Y24,,,
C64748,,,12298.64,,GBP,Pending,AUH,ok,ok,,,,,x
C65235,A-9747667,,24363.71751801863,24288.10863374157,OMR,Open,UAQ,!!!,!!!,junk,0,,,
C83932,A-1114931,,,17447.39,OMR,CANCELLED,UAQ,ok,ok,,0,85,,
C51218,A-5660410,,-2153.2,(2110.46),AED,CANCELLED,UAQ,!!!,!!!,junk,Y24,,,
C31914,,,5566.29,"5,566.29",OMR,Closed,UAQ,!!!,!!!,,Y24,,,x
,A-1220858,,,5823.577923704343,GBP,Closed,AUH,needs review,needs review,junk,,,,x
C96964,A-4857801,,9436.336509144901,9433.76,AED,,RAK,ملاحظة,ملاحظة,,Y24,m8,x,
C70713,A-5619631,,23922.49,,AED,In Review,FJR,needs review,needs review,,,23,,
C75495,A-8564502,x,"15,492.99",15461.07,USD,CANCELLED,FJR,,,,Y24,81,,
,A-1710402,,-530.9880173266965,,GBP,Pending,UAQ,,,,,m8,,
C76340,A/70067,,313.35,313.35,OMR,CANCELLED,  AAN,,,,Y24,m8,,
,A-6530737,,23502.79,23489.04443203039,USD,Open,  RAK,ok,ok,,1,41,,
C29752,A-9970793,,-1999.32,-1970.944806599693,EUR,Open,AUH,ok,ok,,0,m8,,
C77557,A-6287174,,23215.63579163143,,SAR,,UAQ,ok,ok,,1,m8,x,
