 CID  , ledger_account  ,Date,VALUE,txn_value,CURR.,State,branch, remarks  ,REASON_TEXT,,YEAR_ADDED_2024, new_col_202411 ,,mystery_2024_11_21,mystery_2024_11_56,mystery_2024_11_22,mystery_2024_11_96
C73994,A/51352,06/11/2024,19345.35,19345.35,EUR,CANCELLED,AAN,,,,,m11,,,,,
C91622,A/23889,2024-11-11 00:00:00,not available,,EUR,,  AAN,ok,ok,,1,87,,,,,
,A-2798113,2024-11-06,,13588.28774359754,AED,Open,DXB,ملاحظة,ملاحظة,,Y24,,junk,,,,
C86976,A-7301096,2024-11-15,(7218.72),-7218.72,SAR,Pending,FJR,needs review,needs review,,,71,,,,,
C82535,A-7997807,2024-11-20,25443.89789384513,not available,SAR,In Review,SHJ,needs review,needs review,,,m11,,,,,x
C86610,A-4860042,08/11/2024,13765.03,13792.1325546424,GBP,Closed,SHJ,ok,ok,,0,35,junk,,,,
C60395,A-9380777,2024-11-28 00:00:00,26308.5992669762,,AED,Open,AUH,ملاحظة,ملاحظة,,Y24,m11,,,x,,
C53660,A/54875,04/11/2024,-6042.64,-6042.64,SAR,,AAN,ok,ok,,Y24,,,,x,,
C89894,A-9815406,2024-11-02,21822.29,21822.29,GBP,,UAQ,ok,ok,,,23,,,,,
C65597,A-3754000,2024-11-17,5543.7,5543.7,OMR,,  AAN,needs review,needs review,,1,,junk,,,,
C23206,A/60128,0000-00-00,,13498.33866434575,OMR,Pending,RAK,ok,ok,,Y24,92,junk,,,,
C17380,A-1514608,05 November 2024,18403.62,18403.62,aed ,Open,RAK,,,,Y24,m11,,,,,x
,A-8987617,Nov-18-24,16002.03,16002.03,SAR,Pending,AUH,ok,ok,,Y24,,,,,,x
,,2024-11-10 00:00:00,20683.16,20683.16,GBP,CANCELLED,SHJ,ملاحظة,ملاحظة,junk,Y24,34,,,,,
C59194,A-4881362,15 November 2024,,,EUR,In Review,FJR,ok,ok,,0,m11,,,,x,
C56052,A-2596272,14/11/2024,"6,756.62",6756.62,USD,,AUH,ok,ok,,Y24,m11,,,,,
C70490,A-4500984,32/13/2023,"16,267.13",16300.942020201908,AED,In Review,AUH,ok,ok,,,,,,,,
,A-6630553,Nov-20-24,-4115.86,,AED,Pending,AAN,ok,ok,,Y24,85,,,,,
C27269,A-5475072,32/13/2023,,"3,367.58",OMR,In Review,FJR,,,,,64,,,,,
C46487,A-7743535,Nov-13-24,,"15,730.60",GBP,,  RAK,!!!,!!!,,1,,,,,,
C77484,A-6495677,2024-11-08,,(20376.90),GBP,Open,RAK,needs review,needs review,,Y24,,,,,,
C29774,A-5024581,Nov-03-24,14822.49,14822.49,USD,Closed,DXB,needs review,needs review,,Y24,,,,,,
C22514,A-1525644,07/11/2024,not available,,SAR,,UAQ,ملاحظة,ملاحظة,,Y24,m11,,,x,,x
C39913,A-5044174,23 November 2024,28475.353134586625,28540.58690023046,SAR,In Review,FJR,ok,ok,,0,,,,,,
C29083,A-4925991,2024-11-20,,2352.45,EUR,Closed,SHJ,needs review,needs review,,Y24,m11,,,,x,
C71735,A-9804230,,,-4931.811897276578,GBP,,AUH,,,,1,m11,,,,,
C15769,A-2342238,26 November 2024,29561.68640660929,29514.83,USD,Closed,AAN,ok,ok,,Y24,m11,,,,,
C50381,A-9548500,19/11/2024,,,OMR,In Review,RAK,ملاحظة,ملاحظة,junk,Y24,m11,,,,x,
C75105,A-8421819,Nov-08-24,21962.026475535207,(21917.75),aed ,,AUH,,,,Y24,m11,,,x,x,
C55090,A-1556829,32/13/2023,8754.57,8708.064177395745,AED,In Review,DXB,,,,Y24,m11,,,,,x
C90993,A-3575295,2024-11-17 00:00:00,,8894.11,GBP,,AAN,,,,0,m11,,,,,
C18810,A-4826317,Nov-25-24,,24068.0375171384,USD,CANCELLED,AAN,ملاحظة,ملاحظة,,Y24,,,,,,
C58811,A-2353110,0000-00-00,15131.29715563653,"15,197.64",GBP,Closed,UAQ,!!!,!!!,,0,m11,,x,x,,
C62990,A-9229099,2024-11-06,not available,-1810.37,OMR,Pending,AAN,needs review,needs review,junk,1,m11,,,,,
C63980,A-8858145,18 November 2024,25038.19,25046.41155438642,EUR,CANCELLED,RAK,,,,Y24,,,,,,
C97832,A/44872,Nov-17-24,"1,373.73",,omr ,,UAQ,ملاحظة,ملاحظة,,Y24,m11,,,,,
C58031,A-8923248,28 November 2024,"12,610.70",(12610.70),EUR,In Review,AUH,!!!,!!!,,Y24,,,,x,,
C27874,A-1766939,25 November 2024,-651.11,-669.7634326352153,SAR,CANCELLED,FJR,,,,Y24,m11,,,,,
C19914,A-8074444,2024-11-19,22341.33,22341.33,SAR,CANCELLED,AAN,!!!,!!!,,,m11,,,,,
C88478,A-6233132,Nov-24-24,(17589.24),17590.33,AED,Open,  AUH,ملاحظة,ملاحظة,,,m11,,,,,
C33501,A-4513229,2024-11-09,8383.23,8383.23,EUR,Open,FJR,ok,ok,,Y24,m11,,,x,,x
C19608,A-5693248,2024-11-08,-2870.26,-2870.26,OMR,Closed,AAN,ok,ok,,,,junk,,,,
C78479,A/30160,17 November 2024,(194.14),194.14,SAR,Closed,SHJ,!!!,!!!,junk,Y24,m11,junk,,,,
C41279,A-8340611,2024-11-23 00:00:00,"24,180.82",24180.82,OMR,Open,DXB,needs review,needs review,junk,Y24,m11,,,,,
C71918,A/91518,2024-11-08,1623.86,not available,usd ,Open,AAN,!!!,!!!,junk,1,m11,,,,,
C35880,A-5807764,01 November 2024,21480.82,,EUR,,AUH,ok,ok,,1,,,x,,,
C23993,A-7848107,2024-11-24,23004.0687492752,22989.35,EUR,,DXB,,,,Y24,m11,,,,,
C20031,A/5916,2024-11-08,28000.40687825574,27996.79,GBP,CANCELLED,  SHJ,ok,ok,,,,,,,,
C12463,A-5652154,2024-11-03,,29596.6,GBP,CANCELLED,FJR,ملاحظة,ملاحظة,,0,71,,,,,
,A/16500,18/11/2024,2456.37,2456.37,omr ,Open,RAK,ملاحظة,ملاحظة,,1,m11,,,,,
C42082,A-5170989,14/11/2024,,7924.18,SAR,Pending,  SHJ,ok,ok,,Y24,m11,,,,,
C23896,A-1189913,32/13/2023,6208.82,6182.920771657373,AED,Closed,AAN,ok,ok,,Y24,m11,,,,,
C86222,A-2459651,27/11/2024,11541.21,11541.21,EUR,Closed,SHJ,needs review,needs review,,1,m11,,,,,x
C75828,A-3352692,05/11/2024,"8,995.07","9,020.82",SAR,,AAN,ok,ok,,Y24,75,,,,,
C55339,A-5938061,2024-11-15,(14766.24),14749.84,USD,CANCELLED,FJR,ok,ok,,Y24,27,,,,,
C48311,A-4900333,Nov-12-24,,"3,033.46",GBP,Open,RAK,needs review,needs review,,Y24,,,,,,
C16486,A-7913585,2024-11-07,9169.62,9139.559921741346,AED,CANCELLED,FJR,ok,ok,,,m11,,,,,
C82556,A-8858940,22/11/2024,"5,367.08",5393.982777760572,EUR,Open,AUH,needs review,needs review,junk,Y24,m11,,,,,
,A-3398658,32/13/2023,25817.25,(25817.25),OMR,,AAN,,,,Y24,m11,,,,,
C17275,A-2313424,2024-11-03 00:00:00,"-7,668.84",-7650.20613902388,USD,Open,FJR,,,,1,m11,,,,,
C13489,A-5425509,2024-11-10,-1383.16,-1422.722911613222,USD,Open,RAK,ok,ok,,Y24,,,,,,
C38507,A-9609648,Nov-28-24,27246.96,27246.96,SAR,,AUH,ok,ok,,Y24,72,,,,,
C21749,A-6185355,2024-11-27 00:00:00,18667.61332039308,not available,GBP,In Review,AUH,ok,ok,,,43,,,,,
,A-4609671,0000-00-00,(5543.11),-5543.11,GBP,Pending,AUH,ok,ok,,1,m11,,,,,
,A-5649507,2024-11-07,24955.57,24955.57,EUR,,RAK,,,,Y24,m11,,,,,
C72770,A-3733330,Nov-15-24,"12,542.35",(12542.35),OMR,CANCELLED,FJR,ok,ok,,Y24,,,,,,
C64397,A-5425241,2024-11-10,13655.56,13655.56,GBP,Pending,  AUH,ok,ok,,Y24,,,,,,
C52192,A-3415346,17 November 2024,,7196.24,EUR,Closed,AAN,ملاحظة,ملاحظة,,Y24,,junk,,,,
C35397,A-3774269,07/11/2024,16345.14,16345.14,GBP,Open,DXB,ok,ok,,0,,,,,,
C61493,A/11586,Nov-17-24,18698.76827996208,"18,667.17",AED,In Review,FJR,ok,ok,,Y24,,junk,,,,
,A-9159942,04 November 2024,-4270.784613221364,-4310.28,EUR,Pending,RAK,ملاحظة,ملاحظة,,Y24,,,x,,,
,A/89648,08/11/2024,,23200.15,EUR,In Review,FJR,,,,Y24,m11,,,,,
C15230,A-5893175,12/11/2024,,,usd ,In Review,UAQ,needs review,needs review,,Y24,98,,x,,,
,A-3697946,2024-11-10 00:00:00,(8199.34),8226.01,GBP,,DXB,needs review,needs review,,0,m11,,,,,
C73901,A-1912400,2024-11-21,-2413.31,-2413.31,SAR,,AUH,ملاحظة,ملاحظة,,1,m11,,,,,
C66289,A-6508277,Nov-19-24,10523.64,(10523.64),OMR,Closed,FJR,ok,ok,,0,m11,junk,,,,
C57364,A-2906752,Nov-26-24,23253.41,,eur ,In Review,RAK,,,,Y24,17,,,,,
C99187,A-2939905,21 November 2024,-4995.19,-4997.975117075751,GBP,Closed,AUH,ملاحظة,ملاحظة,,0,m11,,,x,,
,A-6254051,Nov-23-24,-56.74,-8.31,EUR,,AAN,ok,ok,,,56,junk,,,,
C89496,A-4546112,,"17,168.25",17135.405346664927,omr ,In Review,RAK,!!!,!!!,junk,Y24,61,,,x,,
C28744,A/27156,14/11/2024,22094.32,,USD,,SHJ,!!!,!!!,,0,,,,,,
C57720,A-9841264,Nov-25-24,220.80,220.8,GBP,Closed,SHJ,,,,1,m11,,,x,,
C55244,A-4137553,Nov-03-24,"8,500.45",(8488.00),AED,Pending,UAQ,,,,Y24,,,,,,
C90906,A-8394144,32/13/2023,3802.943866676616,,SAR,Pending,AUH,ok,ok,,Y24,m11,,,,x,
,A-9793874,32/13/2023,(26192.14),"26,192.14",EUR,CANCELLED,RAK,ok,ok,,,,,,,,
C74469,A-4277348,2024-11-22,19330.05018014256,19295.69,GBP,,RAK,ملاحظة,ملاحظة,,Y24,m11,,,x,,
,A-8472253,2024-11-21,27001.49,27001.49,SAR,,DXB,,,,Y24,,,,,,
,A-1653501,26/11/2024,2426.28,2426.28,EUR,Open,RAK,needs review,needs review,,0,m11,,,,,
C90409,A-2803033,12 November 2024,,10563.85,GBP,,SHJ,ok,ok,,1,m11,,,,,
C44385,A-4092019,05 November 2024,17635.67,17635.67,OMR,,DXB,!!!,!!!,,Y24,m11,,,,x,
C86023,A-7060385,2024-11-24,-6283.95,,AED,,UAQ,,,,Y24,m11,,,,,
,A-2402505,21 November 2024,-7284.600022079128,,EUR,,RAK,needs review,needs review,,Y24,76,,,,,
C92282,A-8185418,Nov-02-24,,not available,USD,,RAK,ok,ok,,Y24,,,,,,x
C64441,A-5891884,2024-11-26,19386.9,19386.9,eur ,Open,  AAN,!!!,!!!,,1,m11,,,,,
C20817,A/16735,2024-11-01 00:00:00,14000.97,14000.97,EUR,,SHJ,ok,ok,,0,92,,,,,
C21614,A-8516655,2024-11-12,21813.0,21813.0,eur ,,RAK,,,,Y24,m11,,,,,
C59635,A-3291187,22/11/2024,7921.89,7921.89,USD,In Review,UAQ,needs review,needs review,,Y24,m11,,,,,
,A-2510593,2024-11-20 00:00:00,-6809.986177888524,"-6,796.87",EUR,In Review,AUH,needs review,needs review,,Y24,m11,junk,,,x,
C58902,A-8473480,2024-11-16,(2951.98),2951.98,USD,Open,AUH,ملاحظة,ملاحظة,,Y24,m11,,,,,
C49506,A-7218365,07/11/2024,-5050.148386521429,"-5,072.08",USD,Pending,DXB,ok,ok,,Y24,m11,,,x,x,
C88303,A-8240898,2024-11-11,22197.7,22197.7,GBP,Open,DXB,,,,Y24,m11,,,,,
C76454,A-5748238,2024-11-27,"23,198.58",23198.58,AED,In Review,DXB,needs review,needs review,,0,m11,,,x,,
C46321,A-3679970,2024-11-27 00:00:00,19456.78,19460.2159840736,USD,,AUH,needs review,needs review,,0,m11,,,x,,
C92297,A/92634,Nov-20-24,13265.698721751467,13258.84,USD,,UAQ,needs review,needs review,,Y24,78,junk,,,x,
C47031,A-1793997,2024-11-09,23063.888909693094,23072.74,GBP,Open,  FJR,ok,ok,junk,Y24,m11,,,x,,
C64985,A-8121355,13/11/2024,-3637.84,,SAR,In Review,  UAQ,needs review,needs review,,1,m11,,,,,
C90998,A-7090956,2024-11-25 00:00:00,11102.129820497581,"11,085.01",AED,Open,  UAQ,,,,,m11,junk,,,x,
C10123,A-8363020,2024-11-28 00:00:00,17161.64,,EUR,Open,FJR,,,,,,,,,,
C88752,A-5441847,26/11/2024,4182.32,"4,182.32",OMR,In Review,DXB,ok,ok,,Y24,77,,,,,
,A-6497887,04/11/2024,1420.74,1447.0322107688366,AED,,DXB,,,,,m11,,,x,,x
C73508,A/61711,20 November 2024,25665.6,25665.6,SAR,CANCELLED,RAK,,,,Y24,m11,,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,
 CID  , ledger_account  ,Date,VALUE,txn_value,CURR.,State,branch, remarks  ,REASON_TEXT,,YEAR_ADDED_2024, new_col_202411 ,,mystery_2024_11_21,mystery_2024_11_56,mystery_2024_11_22,mystery_2024_11_96
C99570,A-2595782,2024-11-16 00:00:00,,,AED,,AAN,,,,Y24,m11,,,,,
C99759,A-3685540,,26032.03051329709,25962.54434546426,SAR,Closed,UAQ,!!!,!!!,,Y24,15,,,,x,x
C77809,A/23230,2024-11-28 00:00:00,10677.381622754687,10719.38,AED,,RAK,needs review,needs review,,Y24,,,,,,
C30878,,32/13/2023,9518.195925728867,9563.26,sar ,In Review,SHJ,ملاحظة,ملاحظة,,Y24,m11,,,,,
C95431,A-7808816,Nov-12-24,16012.89,16025.64648043459,EUR,CANCELLED,AAN,needs review,needs review,,0,m11,,,,,
C95425,A-6047623,Nov-08-24,(9264.78),9352.91789050759,EUR,Open,SHJ,ok,ok,,Y24,m11,,,,,
C90319,A-9743837,,181.09,181.09,AED,,FJR,needs review,needs review,,Y24,,,,,,
C40901,A/46416,32/13/2023,7948.51,7948.51,USD,,AAN,ok,ok,,,,,,,,
C18758,A-9855783,2024-11-03,16601.939327667904,(16650.15),AED,,FJR,ok,ok,,Y24,m11,,,,,
,A-6110508,2024-11-12,16415.29371261258,16462.43,OMR,Closed,FJR,,,,,m11,junk,,,,
C71879,A-3616847,Nov-08-24,5938.01,"5,938.01",USD,,AUH,,,junk,,96,,,,x,
,A-5535435,32/13/2023,7288.979433584247,"7,263.83",AED,Pending,UAQ,,,,,m11,,,,,
C42637,A-6914627,Nov-13-24,(8147.87),"8,147.87",EUR,CANCELLED,SHJ,ملاحظة,ملاحظة,,1,,junk,,,,
C80965,A-6055366,2024-11-21,4972.9,4944.799129737878,EUR,,DXB,ok,ok,,Y24,m11,,,,,
C10223,,17/11/2024,,11226.725432045036,SAR,Closed,RAK,needs review,needs review,,Y24,,,,,x,x
C29311,A-4080117,2024-11-27,10168.74,,OMR,Open,AAN,,,,,59,junk,,,,
C34096,A-5881231,2024-11-09 00:00:00,15086.24,"15,086.24",AED,,FJR,ok,ok,,Y24,m11,,,,,
C80231,A/79706,03 November 2024,,22317.02,omr ,Closed,AUH,,,,Y24,29,,,x,x,
C11729,A-8660924,2024-11-28 00:00:00,5827.13,5827.13,GBP,Closed,DXB,,,,1,,,,,,
C20827,A-3582992,0000-00-00,7173.414411228972,7160.75,SAR,Pending,RAK,,,,0,,,,,,
C73139,A-2345274,0000-00-00,,20452.60875692389,eur ,Open,DXB,ok,ok,junk,Y24,m11,,,,,
C31911,A-2972528,12 November 2024,-2894.66,,EUR,Open,AUH,ok,ok,,0,m11,,,,,
C46750,A-9548821,Nov-03-24,-704.6103655309604,-667.63,OMR,In Review,RAK,,,,Y24,,,,,,
C44438,A-5591505,27 November 2024,14070.64,14070.64,EUR,In Review,SHJ,needs review,needs review,junk,,,,,,,x
C85834,A-9865652,14 November 2024,2472.86,2455.7130004858113,OMR,,UAQ,ملاحظة,ملاحظة,,Y24,,,,,x,
C53035,A-4931369,Nov-07-24,"14,561.42",not available,USD,Closed,RAK,,,,1,m11,,,,x,
C32800,A/3203,2024-11-18,25618.17,,GBP,,FJR,,,,0,,,,,,x
,A-3898412,17/11/2024,(25351.57),25351.57,SAR,Closed,AAN,!!!,!!!,junk,0,m11,,,,,
C95103,A-4183179,06/11/2024,19390.81,(19390.81),GBP,,DXB,,,,1,32,,,,,
C46990,A-3452026,18 November 2024,"22,726.66",22775.313313599294,GBP,,UAQ,ok,ok,,Y24,,junk,,,,
C57781,A-3811207,2024-11-16 00:00:00,not available,8703.1,OMR,CANCELLED,SHJ,,,,,m11,,,,,x
C62766,A-3169714,Nov-28-24,,4751.77,GBP,,FJR,ok,ok,,Y24,m11,,,,,
C89503,A-2039334,32/13/2023,,6302.1,GBP,Open,AUH,ok,ok,,Y24,m11,,,,,
C34158,,15 November 2024,16913.68,(16913.68),AED,Closed,RAK,ok,ok,,Y24,,,,,,
C87807,A-4949975,10 November 2024,,27628.205009334408,AED,Closed,  FJR,,,,,m11,,,,,
C24279,A-2784364,32/13/2023,-3318.093179773771,-3295,OMR,CANCELLED,FJR,ok,ok,,Y24,m11,,,,x,
C54211,A-5142720,Nov-25-24,15146.93385079695,"15,185.02",SAR,Open,  AAN,,,,Y24,54,,,,,
C86165,A/97899,17 November 2024,"23,981.18",23981.18,AED,Pending,FJR,!!!,!!!,,Y24,,junk,,,,
C49169,A-8608071,2024-11-24 00:00:00,-81.22,-112.4358632809748,aed ,CANCELLED,AUH,!!!,!!!,,,,,,,,
C33585,A-9428541,12/11/2024,(7730.10),-7763.771863085699,SAR,Pending,DXB,ok,ok,,Y24,71,,,,,
,A-6421432,Nov-14-24,15993.38,"15,993.38",SAR,Open,RAK,needs review,needs review,,1,m11,,,x,,
C74850,A-4373591,32/13/2023,10606.36,"10,606.36",SAR,Pending,AUH,,,,Y24,69,,,,,
C99769,A-3947671,,,(3421.89),EUR,Closed,FJR,,,,,m11,,,,,
C25373,A-6876337,23/11/2024,18221.16,(18221.16),GBP,In Review,FJR,,,,,m11,junk,,,x,
C57120,A-6687114,08 November 2024,6787.956283576414,6819.62,OMR,Closed,FJR,needs review,needs review,,0,m11,junk,,,,x
C11258,A-5616522,32/13/2023,not available,29964.21,GBP,CANCELLED,SHJ,ok,ok,,Y24,31,,,,,
C69851,A-7656130,04 November 2024,25861.33590438516,25901.09,OMR,,DXB,,,,,m11,,,,,
C66552,A-8456620,Nov-03-24,25911.63,25911.63,USD,,FJR,needs review,needs review,,,,,,,,
C17819,A-9653513,17/11/2024,10504.82,,OMR,,AUH,,,junk,,,,,,x,
C98104,A-1074509,0000-00-00,10991.15332963558,11010.53519616332,USD,,SHJ,ok,ok,,,m11,,,,,
,A-6248557,0000-00-00,"-4,662.86",-4671.99,EUR,Open,AUH,ok,ok,,0,,junk,,,,
C43146,A-7940726,2024-11-17,7536.15,,EUR,,DXB,ok,ok,,1,57,,,,,
C93043,A-9042664,2024-11-24,22620.18,22620.18,SAR,Closed,DXB,ok,ok,,Y24,m11,,x,,,
,A-6158178,21/11/2024,13921.99,(13921.99),USD,Pending,  RAK,needs review,needs review,,Y24,m11,,,,,
C99788,A-3994362,Nov-23-24,-2117.64,,EUR,In Review,RAK,ok,ok,,1,65,,,,x,
C55522,A-1386401,2024-11-21 00:00:00,,"-1,038.24",GBP,In Review,AAN,needs review,needs review,,,,,,,,
C94400,A-5807081,23/11/2024,(28463.50),28463.5,SAR,Pending,RAK,needs review,needs review,,Y24,,,x,,,
C13636,A-8224100,2024-11-04 00:00:00,4856.41,(4856.41),AED,,RAK,,,,1,79,,,,x,
C56029,A-7671797,2024-11-06,"25,850.66",25850.66,SAR,Open,UAQ,!!!,!!!,,,m11,,,,,
C14710,A-5441777,19 November 2024,-5987.63,"-5,987.63",EUR,In Review,SHJ,ملاحظة,ملاحظة,,1,,,,,,x
C81169,A-1043905,14 November 2024,(20458.59),20458.59,AED,In Review,UAQ,ملاحظة,ملاحظة,,Y24,m11,,,,,x
C67855,A-1264404,32/13/2023,15431.57,15431.57,USD,,UAQ,needs review,needs review,,1,m11,,,,,
C60865,A-1666274,Nov-09-24,-4799.32,-4799.32,GBP,Pending,RAK,!!!,!!!,,Y24,m11,,,,,
C30834,A-5289389,2024-11-08,5129.35,,OMR,In Review,UAQ,ok,ok,,Y24,32,,,,,
C86407,A-1048680,01/11/2024,"-5,035.70","-5,035.70",GBP,CANCELLED,UAQ,ملاحظة,ملاحظة,,0,,,,x,x,
C74208,,2024-11-25 00:00:00,,"13,880.66",EUR,In Review,DXB,,,,Y24,m11,,,,,x
C56246,A-5202066,2024-11-12,24593.702687470715,24602.33,OMR,,SHJ,,,,,m11,,,,,
C55089,A-1574108,2024-11-11,,15054.44,USD,Pending,  AUH,,,,Y24,m11,,,,,
C64471,A-3072431,2024-11-18 00:00:00,-7001.91,,SAR,Pending,DXB,ok,ok,,,m11,,,,,
C74110,A-7625647,23/11/2024,"28,443.97",,EUR,,UAQ,ok,ok,,Y24,,,x,,,
C66747,A-7777438,2024-11-26,1676.22,"1,664.08",GBP,Pending,SHJ,,,,Y24,,,,,,
C63366,A/57588,32/13/2023,22031.97499939868,22072.5,AED,,  AUH,,,,,m11,,,,,
C20298,A-7839009,2024-11-20,(29060.10),29019.93643455244,SAR,In Review,UAQ,ok,ok,,0,m11,,,,,
C42653,A-8722362,18/11/2024,,"6,215.26",AED,Open,RAK,ok,ok,,Y24,m11,,,,,x
C33243,A-7161508,Nov-24-24,28672.38,28672.38,SAR,,UAQ,ملاحظة,ملاحظة,,Y24,,,,,,
C89698,A-2538602,10 November 2024,16454.62,,AED,In Review,RAK,needs review,needs review,junk,,,,,,,
C84680,A-9212766,2024-11-13 00:00:00,29080.14,(29065.00),GBP,Pending,UAQ,!!!,!!!,,1,46,,,,,
C64246,A/51139,01/11/2024,,2632.61,SAR,CANCELLED,AAN,needs review,needs review,,,m11,,,x,,
,A/29463,32/13/2023,"21,795.50",21795.5,GBP,Open,AAN,,,,Y24,m11,,,,,
C28969,A-1354061,21/11/2024,-6051.68,-6051.68,EUR,Open,FJR,!!!,!!!,,,m11,,,,,
C53533,A-9588361,2024-11-19 00:00:00,7674.8181504187105,7721.5,eur ,In Review,FJR,needs review,needs review,,Y24,m11,,x,,,
C44530,A-1433747,Nov-02-24,-3680.104220360969,-3690.99,OMR,In Review,AUH,needs review,needs review,,Y24,m11,,,,,
C98550,A-5771234,2024-11-13,"25,979.86",25932.93029164544,EUR,Open,DXB,ok,ok,,0,,,,,,x
C60064,A-5890076,Nov-13-24,(9169.16),,EUR,In Review,DXB,,,,Y24,m11,,,,,
,A/65517,03 November 2024,-5281.72,(5281.72),SAR,CANCELLED,SHJ,needs review,needs review,,1,m11,,,x,,
C44217,A-4246548,2024-11-09,"4,424.48",(4424.48),GBP,Closed,  SHJ,!!!,!!!,,Y24,m11,,,x,,x
C61163,A-2844952,2024-11-04,18627.06,18627.06,SAR,Pending,  FJR,ok,ok,,0,,,,,x,
C81609,A-1042033,2024-11-17,"8,328.02",(8328.02),USD,In Review,UAQ,needs review,needs review,,Y24,,,,,,
C10314,A-1143908,32/13/2023,6600.212883064492,6587.81,OMR,Pending,DXB,ok,ok,junk,,m11,,,,,
C94313,A-9261390,16 November 2024,4682.444859045711,4621.816248279494,EUR,In Review,  FJR,,,,Y24,,,,,,
C24284,A-3562383,32/13/2023,-5164.34,,GBP,,AUH,needs review,needs review,,,,,,,,
C13669,A-1195241,2024-11-15,7430.74,,AED,,FJR,,,,Y24,m11,,,,,
C41265,A-6371639,2024-11-28,-2807.6,"-2,777.32",sar ,In Review,UAQ,ok,ok,,1,m11,,,,,
C24082,A-8332050,2024-11-27,,19725.42,GBP,,SHJ,,,,Y24,m11,,,,,
,A-6862007,32/13/2023,21058.44,"21,058.44",GBP,,DXB,needs review,needs review,,,m11,,,,,
C88406,A-8674514,Nov-03-24,,(1692.12),OMR,In Review,  AUH,ok,ok,,0,m11,,,,,x
C35547,A/41644,2024-11-04,4769.91,(4769.91),GBP,,SHJ,needs review,needs review,junk,Y24,m11,,,,,
C95474,A/59151,Nov-23-24,,8635.544469366005,OMR,Open,AAN,,,,0,m11,junk,,,,
C83405,,Nov-25-24,not available,,AED,,UAQ,ok,ok,,Y24,m11,,,,x,
C77433,A-5409109,2024-11-12,,2544.25,AED,In Review,SHJ,needs review,needs review,,,m11,,,,,
C99330,A-9643277,2024-11-01,353.12,,USD,,SHJ,ملاحظة,ملاحظة,junk,Y24,35,,,,,
C53274,,2024-11-13,27834.08242703529,27840.40338620778,EUR,CANCELLED,AUH,ok,ok,,Y24,,,,,,
C26814,A-1560774,32/13/2023,5079.191056865208,,OMR,,DXB,needs review,needs review,,Y24,,,,,,
C53831,A-5989104,02 November 2024,5508.71,not available,EUR,Closed,AAN,needs review,needs review,,Y24,,,,,,
C53490,A-1737999,08 November 2024,9844.8,9844.8,GBP,,SHJ,needs review,needs review,,,,,,,,
C34479,A-4783057,21 November 2024,22363.7,"22,401.87",EUR,Open,AUH,!!!,!!!,,Y24,,,,,,x
C24227,A/71350,2024-11-13,(18638.06),18638.06,GBP,,UAQ,,,,Y24,,,,,,
,A-3081645,2024-11-22 00:00:00,-6861.26,,omr ,,UAQ,,,,1,52,,,,,
