C47456,A-3809078,11/04/2024,-629.73,,EUR,,RAK,,,,0,m4,,,,x,
,A-3175698,2024-04-03 00:00:00,(16082.23),,SAR,,UAQ,!!!,!!!,,1,m4,x,,,,
C89724,A-2062435,2024-04-16 00:00:00,7753.38,,OMR,,SHJ,!!!,!!!,,Y24,m4,,x,,,
C34211,A-4555330,Apr-13-24,not available,,EUR,Open,RAK,ok,ok,junk,,,,,,,x
,A-7444438,12/04/2024,(16652.27),,USD,Closed,  AUH,needs review,needs review,junk,1,13,,,,,
C70454,A-5349217,2024-04-24,"-1,994.47",,omr ,,AAN,,,,,m4,,,,,
C21808,,Apr-01-24,19474.21357425683,,EUR,,DXB,needs review,needs review,,0,29,,,,,
C73220,A-2207264,Apr-23-24,13518.49,junk,SAR,Pending,UAQ,,,,,m4,,,,,
,A-9090974,32/13/2023,"23,379.31",junk,AED,Pending,RAK,,,,Y24,,,,,,
C90312,A-8200200,07/04/2024,25860.72,,AED,Pending,SHJ,ok,ok,,,,,,x,x,
C90013,A-6303091,,11216.63,,USD,CANCELLED,AUH,ملاحظة,ملاحظة,,Y24,m4,x,,,x,
C79630,A-9710789,26 April 2024,"3,409.13",,GBP,CANCELLED,DXB,,,,1,95,,,,,
C96151,A-5802510,2024-04-14,"-4,323.38",,AED,Closed,AUH,,,,1,m4,,,x,,
C70878,A-7039932,2024-04-16,5001.12,,OMR,Open,SHJ,!!!,!!!,,Y24,m4,,x,,,
C41729,A-3398753,03/04/2024,19961.94,junk,EUR,,SHJ,!!!,!!!,,Y24,m4,,,,,x
C60568,A-5790129,Apr-20-24,,junk,USD,In Review,RAK,ok,ok,,0,m4,,,,,x
C44665,A-4269705,2024-04-05,13042.31,,OMR,,SHJ,needs review,needs review,,Y24,,,,,,
C30432,A-2948119,Apr-09-24,,,GBP,,AUH,,,,1,m4,,,,,
,A-6660042,Apr-03-24,,,AED,CANCELLED,RAK,needs review,needs review,,,,x,,,,
C40028,A-2007884,0000-00-00,18282.52,,USD,Open,UAQ,needs review,needs review,,,m4,,,,,
C45315,A/50022,Apr-23-24,"12,587.21",,AED,Open,DXB,ملاحظة,ملاحظة,,1,m4,,,,,
C90101,A-7779419,Apr-01-24,not available,junk,OMR,Open,FJR,ok,ok,,,,,,,,
C24796,A-2882378,,,,OMR,In Review,SHJ,ok,ok,,,m4,,x,,,
C25517,A-3484532,25 April 2024,26135.49,,GBP,In Review,RAK,ملاحظة,ملاحظة,,Y24,m4,,,,,
C44239,A-1129176,Apr-23-24,,,OMR,CANCELLED,  AUH,,,,1,m4,,,,,x
C64509,A-6097274,Apr-11-24,16532.89,,omr ,,RAK,ok,ok,,Y24,,,,,,
C87506,A-5279167,2024-04-18,8188.199544871451,,EUR,CANCELLED,FJR,,,,Y24,55,,,,,
C81761,A-7217385,12 April 2024,-6191.08,,OMR,,FJR,,,,0,,,,x,,
C56943,A-3896364,2024-04-23 00:00:00,26065.56,,AED,In Review,RAK,,,,1,m4,,x,,,
C27166,A-6564920,Apr-28-24,23546.97,,EUR,Pending,SHJ,ok,ok,,1,15,,,,,
C94294,A-9985404,Apr-08-24,,,OMR,Open,UAQ,ok,ok,,Y24,,,,,,
C65699,A-2327566,Apr-13-24,,,EUR,Open,DXB,ملاحظة,ملاحظة,,0,m4,,,,,
C46813,A-1964241,2024-04-19,20419.48937026244,,USD,CANCELLED,SHJ,!!!,!!!,junk,,18,,,,x,
C35632,A-1902070,Apr-25-24,21543.3,,USD,Open,AAN,ok,ok,,Y24,10,,,,,
C94061,A-5146299,22 April 2024,25883.45355352307,,OMR,CANCELLED,SHJ,ok,ok,,Y24,,,,,,
C95318,A-5056678,21/04/2024,23688.9,,USD,In Review,SHJ,needs review,needs review,,Y24,,,,,,x
C72327,A-2123905,20 April 2024,20262.067416552298,,EUR,CANCELLED,SHJ,needs review,needs review,,,m4,,,,,x
C49725,A-5214871,32/13/2023,,,OMR,Pending,RAK,ok,ok,,,m4,,x,,,
C50683,A-6402418,Apr-11-24,-4214.034100509556,,GBP,,SHJ,ok,ok,junk,Y24,m4,,,,x,x
C11875,A-4205790,Apr-01-24,13084.91,,GBP,Pending,AUH,ok,ok,,,m4,,,,,
C57559,,25/04/2024,28011.11943100376,,SAR,,SHJ,ok,ok,,0,,,,,,
C85383,,2024-04-18,13385.12,,USD,Closed,AAN,ok,ok,,,m4,,,,,
C30917,A-9188405,08/04/2024,16375.97353083167,,SAR,Pending,AAN,,,,,m4,,,,,
C35910,A-2906955,Apr-16-24,"24,742.34",,EUR,CANCELLED,AUH,needs review,needs review,,Y24,m4,x,,,,
C78183,A-5214648,2024-04-11,19405.65,,USD,,SHJ,ok,ok,,1,m4,,,,,
C19460,A-4280653,,8060.36,,SAR,In Review,DXB,,,,,m4,,,,,
C44789,A/4338,Apr-11-24,20314.67,,OMR,Pending,FJR,ok,ok,,Y24,m4,,,,,
C43941,A-6560312,25 April 2024,-1442.17,,EUR,Pending,DXB,ok,ok,,Y24,m4,,,,,
C16365,A-3208306,10/04/2024,25520.61,,SAR,Closed,UAQ,,,,Y24,m4,x,,,,
C72550,A-5270916,Apr-27-24,-4543.16,,GBP,Pending,SHJ,ok,ok,,,64,,x,,,
C83968,A-1173365,04 April 2024,,,EUR,,DXB,,,,1,m4,,,,,
C30408,A-7040559,27/04/2024,(2598.99),,SAR,In Review,DXB,needs review,needs review,junk,Y24,m4,,,,,
C13101,A-4555459,23 April 2024,-4682.67,,sar ,In Review,UAQ,ok,ok,,1,,,,,,
,A-5940042,2024-04-09,,,GBP,Closed,FJR,,,junk,1,m4,,,,,
,A-9136924,Apr-14-24,-5445.66,,EUR,CANCELLED,AUH,ok,ok,,Y24,m4,,,,,x
C67559,A/22016,2024-04-19,-3883.68,,AED,Open,AUH,ok,ok,,Y24,m4,,,,,
C37547,A-3380561,27/04/2024,"11,309.29",,OMR,Open,RAK,ok,ok,junk,,80,,x,,,
C96070,A-6380901,Apr-03-24,-5156.95,,GBP,,FJR,!!!,!!!,,,m4,,,,,
C58173,A-9286718,Apr-03-24,13455.06,junk,SAR,In Review,  DXB,needs review,needs review,,0,m4,,,x,,
C63348,A-1085925,11 April 2024,not available,junk,EUR,In Review,FJR,,,,Y24,m4,,,x,,
C39356,A-3836095,2024-04-18,-5782.73,,OMR,Pending,DXB,ok,ok,,Y24,35,,,,,
C30776,A-8806351,2024-04-20,20738.96459917403,,USD,CANCELLED,FJR,ok,ok,,,,,,,x,
C81039,A-7633138,0000-00-00,9778.65,,OMR,Closed,AAN,needs review,needs review,,Y24,,,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,
CLIENT_REF (v2),GL_ACC, POSTING DATE  #,NET_VALUE,,CCY_CODE,state,Area,Commentary, NOTES  ,,year_added_2024,new_col_202404,mystery_2024_04_95,mystery_2024_04_99,mystery_2024_04_77,mystery_2024_04_21,mystery_2024_04_97
,A-4423035,Apr-17-24,789.1783555075648,,GBP,,SHJ,needs review,needs review,,0,m4,,,,,
,A-3214161,2024-04-24 00:00:00,9726.667073406128,,EUR,Open,AUH,,,,1,m4,,,x,,
C75957,A-2905040,12 April 2024,,,USD,Closed,AAN,,,junk,Y24,87,,,,,
C66568,A-9109633,2024-04-23,,,GBP,,AUH,ملاحظة,ملاحظة,,Y24,54,,x,,,
C10489,A-4829047,Apr-04-24,25417.07,,AED,CANCELLED,SHJ,needs review,needs review,,1,56,,,,,
C20399,A-2091531,2024-04-21,24191.56234695529,,GBP,Pending,RAK,ملاحظة,ملاحظة,,,m4,,,,,
,A/58590,05/04/2024,(3728.32),,GBP,,DXB,ok,ok,,Y24,m4,,,,,
C71331,A-9346892,0000-00-00,20104.241258326707,,EUR,In Review,RAK,!!!,!!!,,Y24,m4,,,,,
C93691,A-6711266,23/04/2024,"7,174.53",,AED,Closed,SHJ,ok,ok,,Y24,32,,,,,
,A-7356605,04/04/2024,"23,101.45",,GBP,,FJR,ok,ok,,1,m4,x,,,,
C44268,A-8337576,2024-04-19,21274.37,,SAR,CANCELLED,  FJR,ok,ok,,1,m4,,,,x,
C66923,A-2345375,11/04/2024,,,GBP,Open,AUH,ok,ok,,,m4,,,,,
C46224,A-3642977,2024-04-16,28923.97,junk,EUR,Closed,FJR,ملاحظة,ملاحظة,,0,35,,,,,
C65566,A/8679,Apr-04-24,-3919.16,junk,AED,Closed,RAK,ملاحظة,ملاحظة,,1,m4,,,x,,
C54468,A-5338381,32/13/2023,-1312.73,,SAR,Open,RAK,,,,Y24,,,,,,
,,2024-04-06,8399.72,,gbp ,In Review,UAQ,,,junk,Y24,m4,,,,,
C47568,A/68277,2024-04-27,20012.27,,USD,,UAQ,,,,Y24,m4,,,,,
C74279,A-8317480,,-2553.56,,EUR,,DXB,ok,ok,,Y24,m4,,,,,
C85594,A-9801298,2024-04-07,3906.53,,SAR,,RAK,ok,ok,,Y24,79,,,,,
C71628,A-2944687,2024-04-26,11161.58,,EUR,CANCELLED,DXB,needs review,needs review,,Y24,m4,,,,,
C70901,A-7136451,2024-04-13,9221.07,,GBP,In Review,AUH,!!!,!!!,,,m4,x,,,x,
C82926,A-4376400,0000-00-00,27410.61,,AED,CANCELLED,SHJ,ok,ok,,,76,,,,,x
C55320,,10/04/2024,13274.21,,SAR,Closed,RAK,,,junk,Y24,m4,,,x,,
,A-3480918,32/13/2023,-6661.596039250007,junk,SAR,Pending,  AAN,ملاحظة,ملاحظة,,1,m4,,,,,
C36965,A-4333021,,7145.518154517086,,AED,Closed,  DXB,,,,,,,,,,
C15622,A-5345047,19 April 2024,22399.26,,SAR,Open,DXB,ok,ok,,Y24,m4,,x,x,,x
C55764,A-2757962,2024-04-08,16739.4,,EUR,Closed,AAN,,,,,m4,,,x,,
,A-6093809,Apr-22-24,,,AED,CANCELLED,UAQ,needs review,needs review,,Y24,m4,x,x,,,
C21829,A-3457768,16/04/2024,5507.1,,SAR,Pending,FJR,ملاحظة,ملاحظة,junk,Y24,17,,,,,
C47582,A-8699280,10/04/2024,-3466.21,junk,SAR,Pending,RAK,ملاحظة,ملاحظة,,Y24,m4,,x,,,
C37098,A-3029693,,not available,,GBP,,FJR,!!!,!!!,,0,,x,,x,,
C38897,,Apr-02-24,-252.48,,EUR,CANCELLED,RAK,ملاحظة,ملاحظة,,,m4,x,,,,
C81588,A-8684343,Apr-01-24,11365.91,,SAR,In Review,DXB,needs review,needs review,,Y24,24,,,,,
C23057,A-9916558,Apr-15-24,13369.51,,GBP,,AAN,ok,ok,,,95,,,,,
C64853,A-4476408,2024-04-19 00:00:00,(26677.39),,EUR,,DXB,ok,ok,,Y24,m4,,,,,
C76725,,2024-04-10,-4870.53,,EUR,Pending,AUH,!!!,!!!,,,,,,,,
C96125,A-5247433,2024-04-18,10973.56,,EUR,Pending,  DXB,needs review,needs review,,Y24,,x,,,,
C30594,A-2829889,2024-04-08,"25,269.41",junk,OMR,Open,FJR,ok,ok,,Y24,92,,,,,
C70385,A-9819974,2024-04-19 00:00:00,-7005.19,junk,SAR,Open,AAN,needs review,needs review,,,10,,,,,
C73787,A-8316335,2024-04-27,-6639.131560290192,,AED,,SHJ,needs review,needs review,,Y24,19,,,,x,x
C63122,A-5650674,2024-04-01,,,omr ,Closed,SHJ,,,,Y24,m4,,,,,
C90101,A-8874810,2024-04-21,,,AED,,FJR,ok,ok,,Y24,,,,,,
,A-8890286,2024-04-21 00:00:00,(2757.69),,OMR,In Review,AAN,ok,ok,,0,,,,x,,
C29711,A-9211871,15/04/2024,28070.52114586959,,USD,,RAK,!!!,!!!,,Y24,97,,,,,
C80271,A-3798796,08 April 2024,18903.31094202091,,eur ,,DXB,!!!,!!!,junk,Y24,m4,,,,,
C29570,A-5884106,2024-04-27 00:00:00,-416.7402418152727,,USD,CANCELLED,SHJ,ok,ok,,0,,,x,,,
C71452,A-8315840,15 April 2024,17845.25,,OMR,In Review,AAN,ok,ok,,,60,,,,,
C38383,A-2144961,2024-04-22 00:00:00,"8,818.36",junk,SAR,Open,DXB,ok,ok,,Y24,,x,,,,x
C53327,A-7710146,2024-04-04 00:00:00,,,GBP,CANCELLED,SHJ,ok,ok,junk,,m4,,,,,
C11251,,Apr-05-24,,,GBP,Closed,UAQ,ok,ok,,Y24,,,,,,
,,2024-04-05,-6892.76,,EUR,,AUH,ملاحظة,ملاحظة,,Y24,63,,,,x,
,A-2038000,,"-2,502.50",,AED,Closed,AAN,ملاحظة,ملاحظة,,Y24,60,,,,,
C32392,A-5660494,2024-04-08,,,SAR,CANCELLED,UAQ,ok,ok,,Y24,,,,,,
C64199,A-2128153,11 April 2024,"5,271.83",,OMR,Pending,FJR,!!!,!!!,,Y24,m4,,,,,x
,A-4043011,11 April 2024,14309.67,,OMR,,RAK,needs review,needs review,,Y24,,,,,,
C15675,A-2992275,22/04/2024,,,SAR,,UAQ,ok,ok,,Y24,m4,,,,,
,A-6772374,Apr-12-24,(5739.74),,AED,,AUH,ok,ok,junk,Y24,,x,,,,
C68767,A-1247130,01/04/2024,,,EUR,CANCELLED,RAK,,,,Y24,,x,,,,
C60745,A-1950746,24/04/2024,(26909.40),,EUR,Open,AUH,,,,0,m4,,,,,
C92366,A/46665,2024-04-27,"15,316.27",,AED,,AUH,ملاحظة,ملاحظة,,Y24,m4,,,,,
C84302,A-9068769,2024-04-21 00:00:00,21338.35,,GBP,CANCELLED,  FJR,needs review,needs review,,Y24,89,,,,,x
C58623,A/15652,Apr-18-24,"15,028.50",,GBP,,FJR,!!!,!!!,,0,m4,,,,,
C86071,A-3829120,32/13/2023,-2765.64,,USD,Closed,UAQ,ok,ok,,Y24,,,,,,
,A-2760145,26/04/2024,"-2,233.99",,EUR,,FJR,needs review,needs review,,Y24,m4,,,,,x
C46782,A-6277243,2024-04-02,28327.3,,GBP,,AUH,ملاحظة,ملاحظة,,Y24,m4,,,,,x
C75038,A-1028399,2024-04-21,,,EUR,Closed,RAK,,,,Y24,m4,,,,,
C66683,A-9304766,19/04/2024,6626.19,,eur ,Pending,FJR,!!!,!!!,,1,m4,,,,,
C22354,A-6433897,16 April 2024,6128.47,,AED,Pending,AUH,ملاحظة,ملاحظة,,1,,,x,,,
C74781,A/35038,Apr-04-24,"-1,580.14",junk,gbp ,Open,AAN,needs review,needs review,junk,Y24,m4,,,,,
C45419,A-5999840,Apr-04-24,25042,,EUR,In Review,FJR,ok,ok,,Y24,56,,,x,,
C32359,A-9300526,04 April 2024,-3887.86,junk,OMR,Open,AUH,,,,Y24,12,,,,,
C93691,A-5565917,03 April 2024,,,AED,,DXB,needs review,needs review,,,m4,,,,,
C24891,A-4965702,19/04/2024,,,USD,Closed,DXB,ملاحظة,ملاحظة,,1,,,,,,
,A-1828226,2024-04-23,"27,057.48",,OMR,,UAQ,ملاحظة,ملاحظة,,0,,x,,x,,
C29589,A-8117558,25/04/2024,3021.46,,sar ,,SHJ,needs review,needs review,,0,,,,,,
,A-7157358,21/04/2024,-2521.96,,EUR,Closed,DXB,,,,Y24,,x,,,,
,A-3471111,Apr-17-24,20844.97572106425,,USD,,UAQ,ok,ok,,Y24,,,,,,
,A-1380469,2024-04-04 00:00:00,8370.46,,OMR,In Review,  UAQ,ok,ok,,Y24,,,,,,
C42108,A-2391456,06/04/2024,(2255.29),,OMR,In Review,AAN,ok,ok,junk,Y24,,,x,,,x
,A-7975611,2024-04-12,,,EUR,Pending,SHJ,needs review,needs review,,,,,,,,
C27337,A-2334043,2024-04-07,21349.597920006065,,SAR,Closed,SHJ,ok,ok,junk,Y24,74,,,x,,
C99452,A-2026216,23 April 2024,660.56,,AED,Pending,AUH,needs review,needs review,,Y24,m4,,,x,,
C86907,A-9272423,32/13/2023,14655.66,,USD,Closed,FJR,,,,Y24,m4,x,,,,
C18650,A-9405367,2024-04-08,2742.53,,SAR,In Review,RAK,,,,Y24,,,,,,
C96479,A-4496807,18 April 2024,,,sar ,In Review,  AAN,ok,ok,,Y24,m4,,,,,
C45400,A-3769138,06 April 2024,"3,140.93",,AED,,AUH,ok,ok,,Y24,m4,x,,,,
C60765,A-9286067,2024-04-07,-5634.582534221028,,gbp ,,FJR,ملاحظة,ملاحظة,,Y24,m4,,,,,
C42775,A-1954729,2024-04-18,11271.27,junk,GBP,CANCELLED,DXB,needs review,needs review,,,,x,,,,
C66946,A-9395110,2024-04-19,-1736.53,,OMR,In Review,UAQ,needs review,needs review,,,68,,,,,
C75026,A-1914282,2024-04-21,"6,448.53",,OMR,,  DXB,ok,ok,junk,Y24,m4,,,,x,
C14135,A-1665202,Apr-04-24,726.54,,OMR,Closed,AUH,ملاحظة,ملاحظة,,Y24,m4,,,,,
C20631,A/59078,Apr-24-24,,,EUR,Open,AAN,,,,Y24,m4,,,,,
C46507,A-1965597,17 April 2024,-7607.699096849977,,EUR,,UAQ,ok,ok,,,m4,,,x,,
C34582,A-9063127,2024-04-09,2234.71,,SAR,In Review,UAQ,,,,Y24,65,,,,,x
C62647,A-5093064,2024-04-27 00:00:00,24122.748013103475,,AED,In Review,AUH,ok,ok,,Y24,,,,,,
C47762,A-1420317,2024-04-06,21270.09,,USD,Pending,AAN,ok,ok,,Y24,69,,,,,x
C36674,A-2108068,32/13/2023,21809.7,,USD,CANCELLED,AUH,needs review,needs review,,Y24,,,,x,,
C73178,A-2251693,2024-04-14,-5610.88,,AED,CANCELLED,FJR,ملاحظة,ملاحظة,,Y24,m4,,,,x,
C68559,A-5274813,32/13/2023,(557.32),,SAR,Closed,AAN,,,,Y24,m4,,,,,
C28009,,Apr-23-24,"-5,481.27",,GBP,,SHJ,!!!,!!!,,,m4,,,,,
C90210,A-9042440,04 April 2024,"27,089.34",,EUR,,DXB,ملاحظة,ملاحظة,,,m4,,,,,
C88197,A-7755418,17/04/2024,,junk,EUR,Open,  RAK,ok,ok,,1,m4,,,,,
C20963,A-6067757,28/04/2024,5913.377021780334,,SAR,In Review,DXB,needs review,needs review,,Y24,m4,,,,,
C27506,A-5605641,24/04/2024,17422.21,,OMR,CANCELLED,DXB,needs review,needs review,,Y24,34,,,,,
C59890,A-4167198,04 April 2024,"19,079.29",,eur ,,AUH,ok,ok,,Y24,,,,,x,
C85620,A-3048954,12/04/2024,-7315.31,,SAR,Closed,FJR,,,junk,1,20,,,,,
C17668,A-8678604,Apr-07-24,23129.22,,OMR,Closed,RAK,ok,ok,,Y24,,,,,,
C41660,A/89532,2024-04-22,,,OMR,,UAQ,ok,ok,,Y24,96,,,,,
C14249,A-9638831,2024-04-26 00:00:00,21804.0148246162,,USD,CANCELLED,UAQ,,,,,14,,x,,,
C98622,A-7051603,Apr-06-24,29739.59,,AED,,RAK,ملاحظة,ملاحظة,junk,,33,,,,x,
C66174,A-5665547,07 April 2024,,,AED,,  UAQ,needs review,needs review,,Y24,72,,,,,
C25799,A-7625968,22/04/2024,,,USD,Open,UAQ,ok,ok,,0,17,,,,,
C12304,A-9150892,Apr-03-24,8634.226313770941,,AED,In Review,SHJ,ok,ok,,,81,,,,,x
,A-9581660,Apr-03-24,4512.95,,GBP,In Review,  RAK,ok,ok,,Y24,64,,,,,
C15392,A/38591,12/04/2024,-6346.66,junk,SAR,Open,AUH,!!!,!!!,junk,Y24,69,x,,,,x
C88300,A-7164916,10/04/2024,22020.87,,omr ,CANCELLED,AUH,ok,ok,,Y24,m4,,,,,
C80267,A-5751434,32/13/2023,(18620.39),,USD,Open,SHJ,,,,1,,x,,,,
C57821,A-5085586,14/04/2024,(4405.00),,AED,,AUH,,,,1,m4,x,,,x,
C52356,A-4745621,11 April 2024,,,EUR,CANCELLED,UAQ,,,,Y24,m4,,,,,
C65404,A-7573037,18/04/2024,19872.23165629147,,USD,,UAQ,!!!,!!!,,,m4,,x,,,
C22380,A-4470340,05 April 2024,5849.95,,EUR,Pending,RAK,needs review,needs review,,Y24,79,,,,,
,A-9256395,Apr-23-24,29945.493070043238,,OMR,Pending,AUH,ok,ok,,Y24,m4,,,,x,
,A-4783719,Apr-20-24,21914.83684839354,,AED,Closed,RAK,,,,Y24,74,,,,,
C44372,A-1103057,0000-00-00,not available,,AED,,RAK,needs review,needs review,,Y24,43,,,,x,
C41776,A-8778327,2024-04-01,20007.4,,omr ,Open,RAK,!!!,!!!,,Y24,,,x,x,,
C42173,A-4644721,32/13/2023,5483.72,,EUR,Open,FJR,ok,ok,,,,,,,x,
C36991,A-4341804,27/04/2024,15345.75,,OMR,,AAN,,,,Y24,m4,,,x,,
