_CLIENT_REF__,ledger_account, Date  ,net_value,NET_VALUE,CURRENCY,APPRV_STATE,branch_region, REMARKS  , OPS_COMMENT  ,,year_added_2021, new_col_202110 , Customer Id  ,mystery_2021_10_73,mystery_2021_10_23
C27190,A-5793189,2021-10-07 00:00:00,,-3614.19,USD,,RAK,,,,Y21,,C27190,,
C58180,A-9944746,0000-00-00,25708.10477151526,25691.02,SAR,,AAN,ok,ok,,Y21,m10,C58180,,
C99905,A/4481,2021-10-25 00:00:00,,426.72,GBP,Closed,AAN,needs review,needs review,,,m10,C99905,,
C43492,A-6771143,18/10/2021,26610.7,26610.7,OMR,,SHJ,ok,ok,,Y21,39,C43492,,
C45100,A-5228681,2021-10-08,13935.33,,GBP,Pending,DXB,,,,Y21,m10,C45100,,
C69302,A-6980429,Oct-21-21,13808.84886931154,,USD,,  FJR,ok,ok,,Y21,91,C69302,,x
C90047,A/9900,2021-10-25,5528.759614719882,not available,GBP,Pending,AUH,ok,ok,,,,C90047,x,
C37633,A-8204204,Oct-20-21,,13560.81,EUR,CANCELLED,AAN,,,,Y21,48,C37633,x,x
C64431,A-7114465,2021-10-06,-3084.84,,GBP,In Review,FJR,needs review,needs review,,Y21,m10,C64431,,
C99034,A-6382654,2021-10-05,25521.31,25521.31,SAR,In Review,AAN,needs review,needs review,,Y21,,C99034,x,x
C84142,A-8978185,2021-10-15,-6512.15,,SAR,CANCELLED,AUH,,,,1,,C84142,,
C38857,A-8293324,18/10/2021,15728.85,15706.409062929017,OMR,Closed,SHJ,ok,ok,,Y21,,C38857,,x
C18107,A-4238594,17/10/2021,14739.65,"14,739.65",EUR,Pending,FJR,needs review,needs review,junk,Y21,,C18107,,
,A-4228878,Oct-11-21,18179.37,(18142.69),SAR,Closed,FJR,needs review,needs review,junk,Y21,32,,,
C15205,A-3107098,Oct-07-21,11941.26,11959.86213253561,SAR,CANCELLED,AAN,ok,ok,,Y21,74,C15205,,x
C87386,A-8796785,2021-10-23,11386.286177710394,11447.812885606001,AED,,FJR,needs review,needs review,,Y21,m10,C87386,,
C48861,A/7971,2021-10-13,,"20,331.85",GBP,,UAQ,ok,ok,,Y21,m10,C48861,,
C48507,A-5776499,2021-10-02 00:00:00,27508.82,27508.82,EUR,CANCELLED,UAQ,ok,ok,,,,C48507,,x
C96772,A-5263959,2021-10-24,not available,"29,390.74",AED,Closed,AUH,needs review,needs review,,Y21,m10,C96772,,x
C64472,A-1036614,2021-10-05,"11,143.80",not available,USD,,SHJ,ok,ok,,,,C64472,,
C25384,A-1486736,2021-10-27,(19129.66),,GBP,Closed,FJR,,,,Y21,m10,C25384,,
C74070,A-2700412,2021-10-15,27627.44103064608,27610.51,GBP,Closed,DXB,ok,ok,,,m10,C74070,,
C64414,A-8244240,2021-10-16,-7181.69,"-7,181.69",SAR,Closed,AUH,,,,Y21,m10,C64414,,
C52154,A-9445197,32/13/2023,17950.45,"17,950.45",EUR,,AUH,,,,Y21,m10,C52154,x,x
C33991,A-3843939,26/10/2021,1265.505030949719,1247.55970068797,SAR,CANCELLED,SHJ,,,,Y21,,C33991,,
C44615,A/191,2021-10-05,11219.74840510772,11194.33,AED,Closed,AUH,,,,Y21,81,C44615,,
C10593,A-2986193,Oct-21-21,-2800.09,-2800.09,GBP,,SHJ,needs review,needs review,,,86,C10593,x,
C57615,A-1495334,2021-10-12 00:00:00,3390.69,(3390.69),SAR,Open,SHJ,needs review,needs review,,Y21,47,C57615,,
C88027,A-1032723,2021-10-18,18727.54064097927,,OMR,,DXB,needs review,needs review,,Y21,m10,C88027,,
C68286,A-4451124,0000-00-00,2819.35,2830.807103535825,SAR,Open,AAN,ملاحظة,ملاحظة,,1,84,C68286,x,
C76855,A-9961517,18/10/2021,,1188.4,EUR,Closed,AUH,needs review,needs review,,1,m10,C76855,,
,A-3234942,23 October 2021,-6496.48,(6496.48),OMR,,AAN,needs review,needs review,,,m10,,,
,A-5128067,2021-10-08 00:00:00,-4111.13,-4111.13,sar ,CANCELLED,SHJ,needs review,needs review,,Y21,m10,,,
,A-7712925,2021-10-15,,28706.45,OMR,,UAQ,,,,Y21,45,,,x
C67016,A-7115519,05/10/2021,8894.969214572706,(8876.33),EUR,CANCELLED,SHJ,,,,Y21,m10,C67016,,x
C79573,A-8539399,2021-10-07,"26,316.04",26353.09,GBP,,  DXB,ok,ok,,Y21,34,C79573,,
C26015,A-9760372,23/10/2021,12674.90087856091,,GBP,,  FJR,,,,,m10,C26015,x,
,A-2553937,2021-10-01,-3670.31,-3689.84020373482,OMR,CANCELLED,DXB,ok,ok,,Y21,,,,
,,22 October 2021,-18.50,-9.91613771460976,OMR,In Review,SHJ,ok,ok,,Y21,m10,,,
,A-6608364,2021-10-01,7600.33,7598.216150374931,EUR,CANCELLED,AAN,ok,ok,,Y21,m10,,,
C24254,A-5890949,20 October 2021,,,USD,,FJR,needs review,needs review,,0,,C24254,,
C53481,A-8512913,2021-10-01,11158.55,,OMR,Closed,SHJ,,,,,,C53481,x,
C90770,A-2141084,32/13/2023,not available,"24,922.28",SAR,Open,RAK,,,,0,m10,C90770,,
C19703,A-6860162,32/13/2023,(3746.99),"3,746.99",EUR,Closed,AAN,needs review,needs review,,1,,C19703,,
C87301,A-8874781,08/10/2021,9279.49,9279.49,eur ,,FJR,,,,0,m10,C87301,,
C69319,A-3706235,05 October 2021,7716.87,(7716.87),GBP,CANCELLED,  AUH,!!!,!!!,,Y21,m10,C69319,,
C34639,A-9978990,32/13/2023,-1238.17,"-1,238.17",AED,,  UAQ,ok,ok,,Y21,m10,C34639,,
C21050,A-8822983,2021-10-20,(4957.69),4972.853283171283,AED,CANCELLED,AAN,,,,Y21,,C21050,,
,A-1161139,09/10/2021,27649.64,27684.243320078545,EUR,In Review,AAN,ok,ok,,Y21,m10,,x,
C84644,A-7428739,Oct-03-21,,17130.48,EUR,Closed,AUH,ok,ok,,0,m10,C84644,,
C78275,A-3885556,01/10/2021,10804.02,10804.02,USD,Pending,RAK,ok,ok,,1,m10,C78275,,
C92922,A-9642403,2021-10-14,,-711.2063279517885,SAR,Pending,FJR,ok,ok,,1,m10,C92922,,
,A/43947,2021-10-28,-507.49,-507.49,SAR,Closed,AUH,,,,Y21,21,,x,
C82153,A-3329232,08/10/2021,21056.82076517425,21056.12,USD,,AAN,,,,Y21,m10,C82153,,
C68680,A-4990625,2021-10-26,-6813.09,-6813.09,EUR,,AAN,ok,ok,,,70,C68680,,
C28939,A-8597064,2021-10-25 00:00:00,729.77,729.77,OMR,,FJR,,,,,m10,C28939,,
C60572,A-9316051,0000-00-00,9555.27,,USD,Closed,DXB,needs review,needs review,,0,71,C60572,,
C44984,A-4748882,2021-10-24 00:00:00,not available,8682.21,OMR,Pending,UAQ,ok,ok,,0,,C44984,,
C68912,A/64987,Oct-23-21,25785.89,"25,785.89",EUR,Open,AUH,ok,ok,,Y21,,C68912,,
C19310,A-8170059,2021-10-24,-7214.64,-7214.64,USD,CANCELLED,FJR,ok,ok,,Y21,76,C19310,,
C44003,A/2995,2021-10-25,26041.54999999619,26044.13,AED,,SHJ,ok,ok,,Y21,,C44003,,
C68287,A-1841715,2021-10-25 00:00:00,-1668.91,-1668.91,SAR,,RAK,ok,ok,,,m10,C68287,,
C34363,A-4420022,Oct-10-21,-5820.11,-5820.11,USD,,AAN,ok,ok,junk,Y21,m10,C34363,,
C88066,A-8607998,03 October 2021,-1575.03,,sar ,CANCELLED,AAN,ملاحظة,ملاحظة,,Y21,,C88066,,
C14911,A-6089466,28/10/2021,,-336.16,EUR,CANCELLED,FJR,ok,ok,,Y21,,C14911,,
C59827,A-4890422,,(13617.34),(13617.34),SAR,,DXB,needs review,needs review,,Y21,,C59827,,x
C94227,A-6854509,2021-10-13,14943.41,14943.41,OMR,Open,  AUH,needs review,needs review,,Y21,32,C94227,,
,A-4971263,2021-10-20 00:00:00,,"19,699.59",USD,,SHJ,needs review,needs review,,0,m10,,,x
C12071,A-2122045,06 October 2021,-7029.724996168552,-7072.47,SAR,CANCELLED,DXB,,,junk,Y21,40,C12071,,
C49771,A-9713501,17/10/2021,-5627.7308305069,-5660.155338674976,USD,Open,DXB,ok,ok,,Y21,62,C49771,,
C49535,A-1421609,32/13/2023,(9846.79),,sar ,Closed,FJR,needs review,needs review,,0,m10,C49535,,x
C53393,A-7111843,2021-10-07 00:00:00,28264.67,28264.67,GBP,CANCELLED,UAQ,needs review,needs review,,,61,C53393,,
C70140,A/13074,2021-10-18,(25440.87),25440.87,SAR,Closed,RAK,needs review,needs review,,Y21,m10,C70140,x,
C76690,A/73115,02/10/2021,22419.37,22419.37,AED,In Review,SHJ,ok,ok,,,m10,C76690,,
C64437,A-6775792,16 October 2021,814.25,,EUR,CANCELLED,DXB,,,,0,20,C64437,,
C84558,A-8622007,2021-10-28 00:00:00,18150.27,18150.27,OMR,,RAK,needs review,needs review,junk,0,m10,C84558,,
,A-7352040,0000-00-00,24967.89217434795,24925.59,GBP,Open,AUH,ok,ok,,0,m10,,,
C72457,A-9778395,2021-10-21,,487.72,USD,CANCELLED,UAQ,ok,ok,junk,Y21,,C72457,,
C95709,A-7767680,24/10/2021,28187.76,28187.76,GBP,,AUH,ملاحظة,ملاحظة,junk,,m10,C95709,,
C16253,A-8996197,32/13/2023,"-4,588.70",,USD,Open,UAQ,,,,Y21,m10,C16253,,
C89443,A-7627455,Oct-01-21,,8588.73,USD,Closed,UAQ,ok,ok,,Y21,29,C89443,,
C91805,A/69173,21/10/2021,,-6973.74,USD,,DXB,ملاحظة,ملاحظة,,0,,C91805,,
C87165,A-2525632,2021-10-08 00:00:00,5045.66,5045.66,OMR,Pending,FJR,ملاحظة,ملاحظة,,Y21,20,C87165,,x
C19931,A-3231264,15/10/2021,"9,127.65",,OMR,,AUH,needs review,needs review,,Y21,,C19931,,
C97055,A-1656608,32/13/2023,(1354.01),,GBP,Open,  RAK,ok,ok,,0,m10,C97055,,
C15171,A-1461964,2021-10-24,-5497.848603461617,-5552.020830201988,AED,,SHJ,,,junk,Y21,62,C15171,,
C88013,A-1928091,32/13/2023,19699.69019318781,(19717.44),OMR,Closed,AUH,needs review,needs review,,0,75,C88013,,
C99112,A-1489923,05/10/2021,,11095.99,sar ,Closed,AAN,,,junk,Y21,,C99112,,
C11179,A-5508770,2021-10-04 00:00:00,16044.66,16050.426102482388,AED,,FJR,ok,ok,,,,C11179,,
C27027,A-7061175,2021-10-12,20983.05,21032.34620421162,OMR,,UAQ,ok,ok,,Y21,,C27027,,
C50548,A-6469232,2021-10-16,3264.79,3264.79,OMR,,AAN,needs review,needs review,,,,C50548,,
C74729,A-4800890,,,"-2,924.64",GBP,Closed,RAK,ok,ok,,,m10,C74729,,
C97850,A-1761373,Oct-06-21,-1417.15,-1417.15,EUR,Closed,AAN,needs review,needs review,junk,0,,C97850,,
C80096,A-2449331,22 October 2021,,6898.305182763051,SAR,In Review,RAK,needs review,needs review,,Y21,,C80096,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,
_CLIENT_REF__,ledger_account, Date  ,net_value,NET_VALUE,CURRENCY,APPRV_STATE,branch_region, REMARKS  , OPS_COMMENT  ,,year_added_2021, new_col_202110 , Customer Id  ,mystery_2021_10_73,mystery_2021_10_23
C70076,A-2396959,2021-10-24,3192.85,,EUR,,FJR,ok,ok,junk,Y21,m10,C70076,,
C79030,A-7324817,2021-10-22,,,GBP,Open,AAN,needs review,needs review,,Y21,,C79030,,
C54107,A-5829757,2021-10-02 00:00:00,,(19480.51),USD,In Review,DXB,!!!,!!!,,0,,C54107,,
C30303,A-6396305,Oct-26-21,12955.03,,GBP,Open,UAQ,!!!,!!!,,Y21,m10,C30303,,
C55157,A-3281370,Oct-25-21,"23,045.59",23045.59,EUR,,UAQ,needs review,needs review,,Y21,52,C55157,,
C99875,A-1206231,2021-10-07,"2,835.74",2835.74,OMR,In Review,AAN,!!!,!!!,,1,,C99875,,
C42714,A-4733042,Oct-19-21,"24,989.07","24,989.07",GBP,In Review,UAQ,,,,,,C42714,,
,A-7587336,2021-10-20,,,SAR,CANCELLED,UAQ,ok,ok,,Y21,,,,
C17732,A-8631876,Oct-22-21,8376.31225733168,8369.04,EUR,,FJR,ok,ok,,Y21,61,C17732,,
C11412,A-5429745,26 October 2021,18890.26,"18,913.90",SAR,,UAQ,needs review,needs review,,,10,C11412,,
,A/11163,05/10/2021,,-1993.837458541403,GBP,In Review,DXB,!!!,!!!,,Y21,,,,
,A-3545415,03/10/2021,-1762.867921214886,"-1,793.69",GBP,Open,DXB,!!!,!!!,,Y21,,,,
C28162,A-9407491,2021-10-09,18355.68,"18,355.68",EUR,,AUH,,,,,83,C28162,,
C45442,A-4628747,32/13/2023,3209.699573809976,3289.571221612575,SAR,,RAK,needs review,needs review,,Y21,m10,C45442,,
C92836,A-5158345,Oct-21-21,,,USD,Pending,RAK,needs review,needs review,,Y21,m10,C92836,,
C75494,A-7667788,Oct-26-21,,,GBP,,UAQ,!!!,!!!,,Y21,m10,C75494,,
,A/41051,2021-10-18 00:00:00,9146.48076454954,(9118.05),SAR,Open,FJR,ok,ok,,1,m10,,,
C86860,A-2526016,2021-10-09,-1086.64,-1086.64,OMR,,SHJ,ملاحظة,ملاحظة,,Y21,m10,C86860,,
C53402,A-9454587,Oct-18-21,-7761.28,,OMR,Closed,AUH,ok,ok,,Y21,,C53402,,
C87950,A-4768255,24/10/2021,11787.76,"11,787.76",SAR,Pending,SHJ,ok,ok,,0,m10,C87950,,
C52886,A-2681857,13 October 2021,not available,"15,779.56",GBP,In Review,UAQ,needs review,needs review,,Y21,m10,C52886,,
C67687,A-8592889,2021-10-22,"17,042.63","17,042.63",SAR,,FJR,ملاحظة,ملاحظة,,Y21,m10,C67687,,
C57929,A-7304249,2021-10-27,"-4,676.00",-4676,EUR,,AUH,needs review,needs review,,1,m10,C57929,,
C77598,A-2180011,2021-10-26,16006.98,not available,USD,CANCELLED,AUH,ok,ok,,1,50,C77598,,
C31093,A-8645316,2021-10-05 00:00:00,"7,559.36",7589.896553158836,SAR,,AAN,,,,0,m10,C31093,,x
C37767,A-2588117,2021-10-08,26095.84789626854,26066.91,OMR,CANCELLED,AAN,needs review,needs review,,Y21,,C37767,,
C74002,A-5855439,2021-10-13,not available,8181.69,OMR,CANCELLED,AUH,,,,,m10,C74002,,
C96706,A-8514965,01/10/2021,,"-7,826.76",AED,Closed,UAQ,ok,ok,,0,,C96706,,
,A-3903911,28 October 2021,28299.99,"28,299.99",AED,Pending,DXB,!!!,!!!,junk,0,66,,,
,A-9217550,10 October 2021,(4850.94),-4850.94,omr ,In Review,FJR,needs review,needs review,,,m10,,,
C67186,A-5148755,13/10/2021,not available,,AED,In Review,DXB,needs review,needs review,,1,30,C67186,,
C90735,A-4448576,16/10/2021,29174.52,,OMR,Open,RAK,ok,ok,,,,C90735,,
C30010,A-2726135,2021-10-10 00:00:00,2456.28,,USD,,FJR,,,,Y21,m10,C30010,,
C27423,A/37009,2021-10-23 00:00:00,11682.6,11682.6,GBP,Closed,DXB,!!!,!!!,junk,Y21,,C27423,,
C56379,A-6809368,2021-10-13,5839.41,"5,839.41",GBP,Open,UAQ,,,,0,97,C56379,,
C12321,A-5586563,Oct-14-21,,,AED,Open,FJR,needs review,needs review,,0,,C12321,,
C85558,A-7432459,Oct-03-21,18148.64,"18,148.64",gbp ,Open,SHJ,ok,ok,,1,m10,C85558,x,
C34403,A/42940,32/13/2023,5827.452784676017,5863,OMR,Open,FJR,needs review,needs review,,,17,C34403,,
C94535,A-3903500,2021-10-06 00:00:00,22222.87,22222.87,USD,Pending,RAK,ملاحظة,ملاحظة,,Y21,m10,C94535,,
C44556,A-4858145,21 October 2021,19397.14,19397.14,AED,Open,UAQ,ok,ok,,,m10,C44556,,
C55959,A-8717186,2021-10-08,"9,312.22",9312.22,AED,,AUH,needs review,needs review,junk,Y21,,C55959,,
C24765,A-9029278,26 October 2021,23898.1,,eur ,,SHJ,ملاحظة,ملاحظة,,Y21,m10,C24765,,
C89805,A-8554613,20 October 2021,(9631.53),"9,631.53",USD,Closed,RAK,ok,ok,,Y21,m10,C89805,,
C64787,A-7011151,32/13/2023,26106.19,26085.37273456259,EUR,In Review,FJR,!!!,!!!,,,m10,C64787,,
,A/4889,Oct-25-21,16567.64,16566.67685125882,EUR,,DXB,ملاحظة,ملاحظة,,Y21,,,,x
C52675,A-4555075,06/10/2021,8427.11,not available,SAR,,DXB,ok,ok,,Y21,77,C52675,,
C60063,A-4128540,Oct-16-21,,(16961.25),GBP,CANCELLED,SHJ,needs review,needs review,,1,m10,C60063,,x
C23323,A-9859906,32/13/2023,,"13,318.91",USD,In Review,AAN,ok,ok,,0,m10,C23323,,
C33992,A-6631010,2021-10-01 00:00:00,,20856.03,AED,,AAN,ملاحظة,ملاحظة,,Y21,,C33992,x,
C77859,A-5009201,04/10/2021,-6446.79,-6455.607541170678,omr ,In Review,UAQ,,,,Y21,39,C77859,,
,A-3396186,2021-10-22,"8,416.70",8491.39228041751,USD,CANCELLED,AAN,needs review,needs review,,Y21,72,,,
,A-5452921,2021-10-15,9090.579878553246,9110.011082789955,EUR,Closed,SHJ,ok,ok,junk,,,,,
C18512,A-8196582,2021-10-15 00:00:00,25852.19,(25852.19),USD,,DXB,ok,ok,,1,m10,C18512,,
C50741,A-6519166,2021-10-20 00:00:00,-5412.17,"-5,450.19",EUR,,DXB,!!!,!!!,,,m10,C50741,,
C68114,A-3408008,2021-10-14 00:00:00,17066.58,not available,SAR,CANCELLED,AAN,needs review,needs review,,Y21,57,C68114,,x
C78380,A-9077219,03 October 2021,19201.58,(19201.58),AED,In Review,FJR,needs review,needs review,,Y21,71,C78380,,
C18602,A-4727846,14 October 2021,10359.44,10408.23277638215,SAR,Closed,AUH,,,,,m10,C18602,,
C28749,A-2821651,25/10/2021,17788.28472829998,17772.86768692404,AED,Pending,FJR,,,,Y21,54,C28749,,
,A-3129831,2021-10-24 00:00:00,,-5721.73,EUR,,UAQ,ok,ok,junk,,,,,
C11417,A-2246815,14 October 2021,10187.62,10187.62,EUR,Closed,DXB,needs review,needs review,,Y21,m10,C11417,,
,A-2765673,Oct-25-21,5875.16,"5,875.16",EUR,Pending,  UAQ,ملاحظة,ملاحظة,,0,m10,,,x
,A-6894716,09 October 2021,"20,781.07",,GBP,,UAQ,ملاحظة,ملاحظة,junk,Y21,,,,
C97092,A-1298881,21 October 2021,(6275.27),6285.742192742097,SAR,Open,UAQ,,,junk,0,m10,C97092,,
C19659,A-4383723,Oct-25-21,(5328.13),5328.13,EUR,Closed,AUH,ok,ok,junk,Y21,28,C19659,x,
C84286,A-5682735,21/10/2021,19098.71968305892,19115.23,AED,Closed,AUH,,,,,85,C84286,,
C51980,A-8141691,Oct-01-21,,"3,057.99",AED,CANCELLED,RAK,,,,Y21,m10,C51980,,
,A-3177826,Oct-25-21,,"-1,122.24",USD,,  FJR,needs review,needs review,,Y21,m10,,,
C11351,A-2805727,2021-10-02 00:00:00,14655.02,"14,655.02",OMR,,UAQ,needs review,needs review,,,m10,C11351,,
C23991,A-4048981,32/13/2023,,"-3,911.34",EUR,In Review,FJR,needs review,needs review,,Y21,58,C23991,,
C11463,A-8071560,2021-10-20,15301.64,15301.64,AED,Closed,DXB,needs review,needs review,junk,,28,C11463,,
C27309,A-6318040,20 October 2021,28075.690108778308,28114.85220594853,OMR,,RAK,needs review,needs review,,Y21,m10,C27309,,
C75882,A-9328853,27/10/2021,-6502.45,,OMR,CANCELLED,DXB,ok,ok,,Y21,82,C75882,,
,A-1137926,24/10/2021,-5079.45,-5128.409537780208,OMR,Pending,FJR,ok,ok,,,m10,,,
C48447,A-6543523,2021-10-18,,"2,465.03",AED,,SHJ,!!!,!!!,,Y21,m10,C48447,,
C40315,A-7142483,32/13/2023,"19,610.29",,GBP,Closed,UAQ,,,,Y21,m10,C40315,,
C48137,A-4127370,17/10/2021,not available,3668.810692558274,EUR,CANCELLED,FJR,ok,ok,,Y21,m10,C48137,x,
C16451,A-7405974,2021-10-04,,,OMR,Open,AUH,,,,Y21,m10,C16451,,
C90539,A-9760624,32/13/2023,26773.35,(26762.68),EUR,CANCELLED,DXB,ملاحظة,ملاحظة,,0,m10,C90539,,
C41143,A-6316562,Oct-25-21,"23,101.48",,GBP,,AAN,needs review,needs review,,Y21,,C41143,x,
C95474,A-9109052,Oct-12-21,19268.44,19268.44,AED,Open,RAK,ok,ok,,1,m10,C95474,,
,,05/10/2021,(7155.48),-7155.48,USD,,UAQ,ok,ok,,Y21,,,,
C99777,A-7058960,Oct-26-21,18994.11,"18,994.11",AED,In Review,  FJR,ok,ok,,Y21,m10,C99777,,
C83909,,2021-10-04,-1663.39,not available,AED,,  UAQ,needs review,needs review,junk,Y21,m10,C83909,,
C62479,A-6409825,,9161.74,9152.617033681356,SAR,Pending,RAK,ok,ok,,,92,C62479,,
C64978,A-7019936,01 October 2021,,26044.600275444333,USD,CANCELLED,  DXB,needs review,needs review,,,m10,C64978,,
C45209,A/79731,2021-10-09,,-4874.33719984463,SAR,Open,DXB,ok,ok,,1,m10,C45209,,
C59823,A-6285073,Oct-22-21,12519.3,12519.3,SAR,Closed,AUH,needs review,needs review,,,73,C59823,,
C12820,A-8004709,2021-10-08,-2585.3,-2590.605356584974,EUR,Closed,UAQ,,,,Y21,30,C12820,,
C37500,A-2895082,2021-10-02,"-1,421.21",not available,EUR,,UAQ,ok,ok,junk,Y21,m10,C37500,,
C74414,A-1342461,2021-10-25,6358.7,6384.576082841297,AED,Pending,AAN,ok,ok,,,,C74414,,
C44630,A-1823632,Oct-11-21,not available,19352.7069319137,SAR,In Review,  FJR,,,,Y21,93,C44630,,
C11662,A-2532974,32/13/2023,,25183.44,USD,Open,AAN,needs review,needs review,junk,Y21,m10,C11662,,
C69832,A-9591793,2021-10-10 00:00:00,,4032.5527419986197,EUR,In Review,DXB,ملاحظة,ملاحظة,,Y21,,C69832,,
C71475,A-7938409,2021-10-25,3473.888547277077,3475.14,USD,Closed,  DXB,ok,ok,,,27,C71475,,
C11523,A-5088898,0000-00-00,16653.332851969033,16623.033419379946,GBP,Open,FJR,ok,ok,,,41,C11523,,
C99607,A-4992941,2021-10-14,5655.162831694477,5664.17661677762,USD,CANCELLED,DXB,!!!,!!!,,0,19,C99607,,
C56889,A-6580881,2021-10-16,,15630.62,USD,Closed,  DXB,ملاحظة,ملاحظة,,0,,C56889,,
C70693,A-2940249,16/10/2021,(7366.41),7342.231323179153,GBP,Pending,FJR,needs review,needs review,,Y21,m10,C70693,,x
,A-9856973,0000-00-00,12251.23,12251.23,USD,Closed,RAK,,,,0,,,,
C49924,A-2405969,2021-10-23,2058.45,2058.45,OMR,Pending,DXB,needs review,needs review,,,m10,C49924,,
C69099,A-3204414,09 October 2021,-568.9344867767429,-586.85,AED,,AUH,ملاحظة,ملاحظة,,Y21,97,C69099,,
C21060,A-8951537,2021-10-23,-1113.08,,USD,Open,RAK,ok,ok,junk,,,C21060,,
C58424,A-7742976,18 October 2021,8689.640153649176,8708.21,OMR,Pending,RAK,,,,0,m10,C58424,,
C30062,A/90483,Oct-19-21,"21,144.06",21188.75,OMR,In Review,  UAQ,,,junk,Y21,m10,C30062,,
C12678,A-9328605,Oct-10-21,29732.87,29739.380164476723,SAR,Closed,SHJ,ok,ok,,Y21,,C12678,,
