ClientNumber,ACC_KEY,VALUE_DATE,,NET_VALUE, ISO_CURR  ,Approval Status#,branch_region,REASON_TEXT, NOTES  ,,year_added_2021,new_col_202105,mystery_2021_05_8,mystery_2021_05_98,mystery_2021_05_74
C92307,A-4607132,2021-05-05,junk,27055.97803377299,AED,Open,AAN,ok,ok,,0,m5,,,
C55428,A-5829908,32/13/2023,,"26,778.39",EUR,CANCELLED,UAQ,,,,,,,,
C34614,A/57225,May-22-21,,24374.17,GBP,Pending,UAQ,!!!,!!!,,Y21,m5,,,
C65472,A-6508711,19/05/2021,,(11103.23),SAR,Open,FJR,,,,,47,,,
C13507,A/78075,2021-05-11,,5136.860432386433,EUR,In Review,FJR,,,,Y21,52,x,,
C58772,A-4018551,May-09-21,,"18,905.50",USD,Closed,RAK,needs review,needs review,,1,41,,x,
C64533,A-5448505,2021-05-24,,-3990.13,sar ,Closed,DXB,ملاحظة,ملاحظة,,,,,,
C49469,A-3598197,2021-05-13,,17836.21694979424,SAR,Pending,DXB,,,,,24,,,
,A-4142999,2021-05-11,,(13213.26),OMR,Closed,DXB,needs review,needs review,,1,m5,,,
C36335,A/48570,10/05/2021,,17876.88495430881,GBP,Pending,UAQ,ok,ok,,1,m5,,,
C81607,A-1410098,2021-05-17,,"6,128.61",GBP,Closed,RAK,ok,ok,,Y21,m5,,,
,A-4962847,02/05/2021,,9034.052482892279,USD,,AUH,needs review,needs review,,0,,x,,
C77174,A-4113753,2021-05-10 00:00:00,,21105.14,SAR,Pending,SHJ,ok,ok,,Y21,m5,,,
C99535,A-8958633,2021-05-03,,(3489.40),GBP,In Review,DXB,ok,ok,,1,,,x,
C28897,A/1342,21/05/2021,junk,,GBP,,AUH,,,,Y21,m5,,,
,A-3288452,2021-05-21,,10644.52,USD,Open,DXB,needs review,needs review,,Y21,,,,
,A-6531488,,,"18,086.47",EUR,,UAQ,needs review,needs review,,1,,,,
C95414,A-5285710,0000-00-00,,28788.38,USD,Closed,SHJ,ok,ok,,Y21,m5,,,
C42710,,32/13/2023,,5208.86,OMR,Open,UAQ,needs review,needs review,,1,m5,,x,
C63838,A-4436174,14/05/2021,junk,not available,OMR,,  AUH,,,,Y21,m5,,,
C95762,A-5957199,2021-05-27 00:00:00,,7444.31,GBP,In Review,AUH,ok,ok,,Y21,m5,,,
C72801,A-7145165,16/05/2021,,8268.06,AED,In Review,UAQ,ok,ok,junk,Y21,80,,,
C68126,A-2459426,05/05/2021,,7601.924671208329,SAR,,AUH,ok,ok,junk,Y21,,x,,
C17529,A-6269479,2021-05-16,,25791.86,EUR,,UAQ,,,,1,m5,,x,
,A-7123271,2021-05-26 00:00:00,junk,718.040342272257,OMR,Closed,AUH,ملاحظة,ملاحظة,,Y21,,,,
C29386,A-7642851,02/05/2021,,20495.29,EUR,,FJR,ok,ok,,0,,,,
C61295,,32/13/2023,,(320.91),USD,Open,AAN,needs review,needs review,,1,34,,,
C45331,A-2867625,01 May 2021,,,GBP,Closed,RAK,,,,,,,,
,A-5009415,2021-05-24,,-5370.8,AED,,AAN,,,,,,,,x
C49318,A-6878493,2021-05-24 00:00:00,,15956.76043261697,EUR,,DXB,!!!,!!!,,1,57,,,
C33892,A-3686287,0000-00-00,,,OMR,,SHJ,,,,Y21,65,,,x
C95679,,May-03-21,,10984.58,sar ,,DXB,needs review,needs review,,,95,,,
C23786,A-8160556,May-04-21,,,SAR,Pending,SHJ,ok,ok,,Y21,m5,x,,
,A-8710198,2021-05-08,,"21,732.56",GBP,Closed,AAN,ok,ok,,Y21,64,,,
,A-5733741,2021-05-17,,1072.81,GBP,In Review,FJR,ملاحظة,ملاحظة,,1,m5,x,,
C43314,A-3065085,2021-05-13,,10652.12901762725,GBP,Open,RAK,needs review,needs review,,Y21,40,,,
C40857,A-6561358,2021-05-08,,"-1,476.75",USD,In Review,FJR,ok,ok,,Y21,m5,,,x
C85891,A-8390299,05 May 2021,,not available,AED,,DXB,needs review,needs review,,1,m5,,,
C97728,A-6063522,2021-05-05,junk,"5,290.20",GBP,,AUH,ok,ok,,Y21,,,x,
C64749,A-5304732,2021-05-12,,(4184.04),GBP,CANCELLED,UAQ,,,,,m5,,,
C29124,A-8951448,May-10-21,,"5,254.69",GBP,Closed,AUH,!!!,!!!,,Y21,,,x,
C58458,A-6384807,08/05/2021,,,OMR,Open,AUH,ok,ok,,Y21,m5,,x,
C47202,A/426,2021-05-11 00:00:00,,,USD,Pending,FJR,ok,ok,,1,m5,,,
,A-5348453,2021-05-26,,19373.957037908698,AED,CANCELLED,  AUH,,,,,,,,
C31686,A-2790029,32/13/2023,,-5439.75,GBP,Open,RAK,ok,ok,,1,20,,,
,A-6360227,03 May 2021,,,AED,,AAN,,,,0,m5,,,
C48036,A-1114753,04/05/2021,,,EUR,,FJR,needs review,needs review,,0,,,,
C67126,,2021-05-10 00:00:00,,,EUR,In Review,AAN,needs review,needs review,,Y21,m5,,,
C35085,A-2907218,0000-00-00,,25912.35,AED,Closed,AUH,needs review,needs review,,Y21,m5,,x,x
C61712,A-7594547,09 May 2021,,15929.81,USD,Open,DXB,ok,ok,,Y21,m5,,,
C80157,A-8157265,19/05/2021,,9885.383774858825,AED,In Review,FJR,,,,Y21,m5,,x,
C88426,A-9271947,22 May 2021,junk,9554.18,USD,Pending,AAN,ok,ok,,Y21,m5,,,
C82208,A-4108486,2021-05-19 00:00:00,,-4065.9419351687206,gbp ,Closed,UAQ,!!!,!!!,,,m5,,,x
C69848,A-4875284,2021-05-12,,"14,879.23",GBP,Closed,AUH,,,,1,m5,,,
C59146,A-5991775,32/13/2023,,13959.01,GBP,,SHJ,ok,ok,,Y21,m5,,,
C46425,A-3732729,12/05/2021,,"4,792.58",USD,,UAQ,,,junk,0,m5,,,
C24058,A-8195547,,,5508.31,GBP,Open,UAQ,ok,ok,,Y21,m5,,,
,A-3893887,23 May 2021,,12709.72,USD,In Review,  AUH,needs review,needs review,,Y21,49,,,
,A-4648331,25/05/2021,,15048.51653254198,USD,Closed,  AUH,,,,Y21,m5,,,
C64720,A-7244866,2021-05-23,,,AED,Closed,AUH,needs review,needs review,,Y21,m5,,,
C84432,A-9023657,2021-05-10,,,AED,Pending,DXB,ملاحظة,ملاحظة,,Y21,m5,,,
C58023,A-8637240,11/05/2021,,-6201.65,SAR,,DXB,,,,0,,,x,
,A-9335208,May-25-21,,24261.71,SAR,CANCELLED,SHJ,needs review,needs review,,,m5,,,
C46403,A-4771932,02 May 2021,,-3557.45,EUR,Pending,AAN,,,,,20,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,
ClientNumber,ACC_KEY,VALUE_DATE,,NET_VALUE, ISO_CURR  ,Approval Status#,branch_region,REASON_TEXT, NOTES  ,,year_added_2021,new_col_202105,mystery_2021_05_8,mystery_2021_05_98,mystery_2021_05_74
C98779,A/45592,2021-05-24,,22584.6,GBP,Pending,RAK,ok,ok,,,79,,,
C51444,A-7888358,2021-05-19,,24202.72,SAR,Open,DXB,!!!,!!!,,,,,,
,A-1604167,May-09-21,,"26,865.46",OMR,In Review,FJR,needs review,needs review,,1,,,,
C28328,A-1153492,2021-05-25 00:00:00,,"20,731.67",EUR,CANCELLED,UAQ,!!!,!!!,junk,,m5,,,
C63589,A-9754630,14/05/2021,,2437.9762069063413,SAR,Closed,  UAQ,ok,ok,,Y21,43,,,
C48503,A-1489026,22 May 2021,,(3702.39),SAR,,SHJ,,,,1,42,,,
,A-3394648,2021-05-24,,13771.69610111348,EUR,CANCELLED,AUH,ok,ok,,Y21,m5,x,,
C70780,A-2353481,May-06-21,,"1,384.51",USD,,SHJ,ok,ok,,Y21,,,,
C54113,A-2115038,2021-05-27 00:00:00,,26952.01808440145,AED,,DXB,ok,ok,,Y21,,,,
C42026,A-7132699,21 May 2021,,17451.44,EUR,,SHJ,ok,ok,,Y21,m5,,x,
C51514,A-3587445,2021-05-15 00:00:00,junk,19353.79,GBP,Pending,AUH,needs review,needs review,,,,x,,
C92389,A-3875528,22 May 2021,,,SAR,Pending,AUH,,,,0,,,,
C61186,A-5115149,0000-00-00,,2727.84,AED,Open,SHJ,ok,ok,,Y21,m5,,,
C95619,A-1347249,May-10-21,,not available,EUR,Open,SHJ,ok,ok,,Y21,,,,
,A/87613,2021-05-05,,(22220.36),OMR,CANCELLED,AAN,ok,ok,,,m5,,,
C70283,A-6997646,05 May 2021,,"1,211.74",AED,,UAQ,needs review,needs review,,1,m5,,,
C47735,A-3411346,32/13/2023,,12105.18,USD,,DXB,!!!,!!!,,,m5,,,
C61044,A-7150244,09 May 2021,,12992.39,USD,In Review,AUH,!!!,!!!,,Y21,,,,
C27672,A-8046413,32/13/2023,,2370.49,USD,In Review,DXB,ok,ok,,Y21,,,,
C15382,A-7364528,32/13/2023,,20793.074478255,AED,Pending,  DXB,,,junk,,99,,,
C10563,A-4263930,May-06-21,,395.8350339484256,OMR,,RAK,!!!,!!!,junk,Y21,,,,
C30959,A/87798,2021-05-02,,"6,178.50",OMR,,FJR,ok,ok,junk,Y21,m5,,,
C55504,A-6424896,09/05/2021,,-6563.5,USD,Closed,AUH,,,,,24,,x,x
C18786,A/22191,10 May 2021,,19901.32,AED,Closed,AUH,ok,ok,,Y21,54,,,
C67375,A-5162555,2021-05-27,,3068.17,SAR,Closed,SHJ,ok,ok,,,23,,,
,A-3453442,23 May 2021,junk,,OMR,Closed,AAN,ملاحظة,ملاحظة,,,m5,,x,
C57173,A-8491339,17/05/2021,,28393.97,AED,Open,SHJ,ملاحظة,ملاحظة,,Y21,,,,
C46534,A-2837351,2021-05-06,,"5,542.22",OMR,In Review,RAK,!!!,!!!,,,66,x,,
,A-3341457,06/05/2021,,28937.91073692229,USD,,  FJR,ok,ok,,,m5,,,
C86936,A-4928024,26 May 2021,,-1098.11,SAR,CANCELLED,  AUH,ok,ok,junk,,,,x,
C93476,A-4171701,2021-05-27,,4280.74,OMR,In Review,AAN,ملاحظة,ملاحظة,,,,,,x
C16669,A/95627,32/13/2023,junk,10551.63,EUR,Pending,DXB,needs review,needs review,,Y21,,,,
,A-9415336,11/05/2021,,11893.87,EUR,,RAK,,,,Y21,31,,,
C20768,A-3287623,2021-05-06,,,GBP,,UAQ,needs review,needs review,,Y21,,,,
C73304,A-5461373,May-15-21,,,OMR,CANCELLED,SHJ,ok,ok,junk,Y21,,x,,
C58816,A-8264930,2021-05-13,,1564.9,SAR,Open,RAK,needs review,needs review,,0,,,,
C87763,A-9181418,2021-05-05,,,EUR,Closed,DXB,ok,ok,,0,m5,,,
C28309,A-8244272,16 May 2021,,1378.333775662616,AED,Pending,DXB,ok,ok,,0,,,,
C54975,A-6365061,32/13/2023,,3002.89,USD,In Review,SHJ,ok,ok,,Y21,62,,,
C96079,A/52091,2021-05-03,,26726.96,SAR,Closed,FJR,!!!,!!!,,1,m5,,,
C66644,A-8123072,04 May 2021,,9880.02,OMR,Closed,RAK,ok,ok,,Y21,,,,x
,A-9295548,2021-05-05 00:00:00,,,GBP,Pending,  UAQ,,,,,34,,,
C45476,A-4068086,May-10-21,,6834.396085454394,SAR,CANCELLED,DXB,ملاحظة,ملاحظة,,0,m5,,,
C88027,A-5761675,28/05/2021,,(25980.82),AED,Closed,AAN,needs review,needs review,,,m5,,,
C71031,A-5445932,2021-05-26,,27259.16,USD,Open,AUH,,,,Y21,22,,,
C43718,A-2088364,11/05/2021,,"5,564.78",USD,Pending,AAN,ok,ok,,Y21,m5,x,,
C16685,A-2157193,May-23-21,,16397.80340644517,USD,Pending,UAQ,,,,0,m5,,,x
C27248,A-1728150,03/05/2021,,,GBP,Open,DXB,!!!,!!!,,1,82,,,
C95648,A-6455993,2021-05-13,,(7847.16),EUR,,AAN,ok,ok,,,m5,,,
C70737,A-3770757,2021-05-02,,11008.58,EUR,Closed,  SHJ,needs review,needs review,,,50,,,
C28417,A/84593,21/05/2021,,27409.43,EUR,Pending,SHJ,needs review,needs review,,Y21,31,,x,
C97838,A/37362,2021-05-26,junk,21338.302576095266,EUR,Pending,FJR,needs review,needs review,junk,Y21,m5,,,
C84228,A-7851615,27 May 2021,,"-7,520.93",OMR,,DXB,,,,1,m5,x,,
C56285,A-7178480,11/05/2021,,16364.61,USD,CANCELLED,SHJ,needs review,needs review,,Y21,,,,
C36255,A/40816,32/13/2023,,17504.58,GBP,Closed,DXB,ملاحظة,ملاحظة,,Y21,96,x,,
C71320,,18/05/2021,,3161.928579795037,SAR,CANCELLED,SHJ,,,,Y21,66,,,
C77900,A-3663703,May-07-21,,26406.03,AED,In Review,AAN,ok,ok,junk,Y21,m5,,,x
C42118,A-6103128,2021-05-16,,7707.033714839938,GBP,,FJR,ملاحظة,ملاحظة,,Y21,,,,
C88577,A-7481628,,,not available,GBP,CANCELLED,DXB,needs review,needs review,,,76,,,
C57215,A-8167966,2021-05-20 00:00:00,,7849.34,AED,Closed,FJR,ok,ok,,,m5,,,x
C36671,,2021-05-21,,1412.69,GBP,In Review,UAQ,ok,ok,,Y21,m5,,,
C61770,A-4638154,May-27-21,,,GBP,In Review,  DXB,ok,ok,,Y21,m5,,,
C51969,A-1230539,21 May 2021,,18197.3563870059,OMR,In Review,FJR,!!!,!!!,junk,,,,,
,A-6244828,2021-05-04,,3568.91,gbp ,Open,AUH,needs review,needs review,,,98,,,
,A-4390767,01/05/2021,,13580.26,AED,Closed,UAQ,ok,ok,,Y21,m5,,,
C30994,A-1720263,13/05/2021,,(3755.28),SAR,CANCELLED,RAK,needs review,needs review,,Y21,m5,,,
C80387,A-3276657,24 May 2021,,4154.63,EUR,Closed,RAK,needs review,needs review,junk,,m5,,,
C11563,A-4311593,2021-05-22,,2678.45,AED,Open,  FJR,needs review,needs review,,Y21,m5,,,
C10909,A-4812149,32/13/2023,,6922.73,OMR,Pending,UAQ,ok,ok,,Y21,m5,,x,
C27096,A-2810933,32/13/2023,,-5597.98,USD,Pending,  AUH,needs review,needs review,,,m5,,,
C20176,A-8732422,2021-05-26,,,EUR,,UAQ,needs review,needs review,,,m5,,,
C42303,A-9744546,03/05/2021,,26737.17714407661,AED,,UAQ,ok,ok,,1,,,,
C65334,A/63331,15/05/2021,,9734.65,AED,Closed,DXB,ملاحظة,ملاحظة,,Y21,,,,
C33931,A-9793516,32/13/2023,,not available,EUR,,RAK,needs review,needs review,,,89,x,,
C65533,A-9866902,22 May 2021,,"2,874.91",EUR,Pending,DXB,ملاحظة,ملاحظة,,0,m5,,,
C72039,A-4787417,05 May 2021,,26008.26,SAR,,DXB,ok,ok,,Y21,m5,,,
C37758,A-9861374,2021-05-14,junk,25701.98,USD,Pending,SHJ,ok,ok,,Y21,,,,
C44731,A-6577582,19/05/2021,,"-1,707.92",AED,,RAK,needs review,needs review,,Y21,,,,
C60776,A-9407200,2021-05-22,,8755.23,USD,Pending,DXB,ملاحظة,ملاحظة,junk,Y21,92,,,
,A/90095,May-09-21,,-6148.77,SAR,,RAK,ok,ok,,1,m5,,,
C36946,A-2191374,May-10-21,,"-7,455.33",SAR,,FJR,ملاحظة,ملاحظة,,0,,,,
C92421,A-6673473,2021-05-23,junk,24281.16,EUR,CANCELLED,AUH,needs review,needs review,,Y21,m5,,,
C80927,A-9580496,20/05/2021,,(3700.99),USD,Open,RAK,needs review,needs review,,Y21,99,,x,
C94847,A-2422327,2021-05-02,junk,-2816.23,SAR,Open,FJR,needs review,needs review,,Y21,,,,
C96467,A/27963,May-11-21,,26111.44,OMR,,RAK,needs review,needs review,,Y21,50,,,
C86890,A-5573373,12 May 2021,,(4068.61),AED,,AAN,,,junk,0,m5,,,
C56822,A-8851786,2021-05-07 00:00:00,,10453.02122489428,aed ,,DXB,ok,ok,,0,m5,,,
C89500,A-6396396,26 May 2021,,"4,781.91",EUR,,DXB,needs review,needs review,,,m5,,x,
C56218,A-3595598,2021-05-26,,,EUR,,FJR,needs review,needs review,,Y21,,,,x
,A-4506867,2021-05-14,,1682.22,GBP,In Review,RAK,ok,ok,,,95,,,
,A-4714075,11/05/2021,,-5370.76,USD,,RAK,,,,1,m5,,,
C63427,A-9845117,2021-05-09,,10849,SAR,Closed,RAK,ok,ok,,,,x,x,
,A-4882367,2021-05-08,,6200.78,EUR,Open,RAK,ملاحظة,ملاحظة,,Y21,m5,,,
,,19/05/2021,,27408.47,SAR,CANCELLED,UAQ,needs review,needs review,,,,,,x
C42783,A/14140,23 May 2021,,-2691.02,GBP,Closed,  RAK,ok,ok,,Y21,16,,,
C51274,A-1478014,2021-05-17,,,AED,CANCELLED,DXB,,,,Y21,m5,,,
C42071,A-5277779,May-18-21,,18496,GBP,CANCELLED,DXB,ok,ok,junk,Y21,m5,,,
C31077,A-4032258,04/05/2021,,29481.83,GBP,In Review,AUH,ملاحظة,ملاحظة,,,,x,,
C66696,A-6392695,0000-00-00,,14198.79,AED,Pending,  AUH,!!!,!!!,,Y21,,,,
C15905,A-6054323,0000-00-00,junk,-6347.46,GBP,,UAQ,ok,ok,,Y21,,,,
C45369,A-8102763,08 May 2021,,-3977.86,AED,Closed,FJR,ok,ok,,1,,,,
,A-7704386,28/05/2021,,11080.68,AED,Pending,FJR,ok,ok,,1,m5,,,x
C84143,A-5009474,May-02-21,,16290.61,EUR,In Review,AAN,ok,ok,,Y21,m5,,,
,A-8208441,May-05-21,,"20,084.88",EUR,In Review,UAQ,,,,1,m5,,,
C16678,A-4437076,32/13/2023,,"23,569.57",usd ,Closed,UAQ,needs review,needs review,,Y21,m5,,,
C65738,A-1284865,17/05/2021,,5143.173210020344,SAR,Open,SHJ,,,,Y21,m5,,x,
C11100,A-1592818,10/05/2021,,(1944.80),USD,Open,DXB,,,,,,,,
C29824,A-5074092,17/05/2021,junk,"24,074.06",OMR,,FJR,ملاحظة,ملاحظة,,,m5,,,
C37406,A-8111840,26 May 2021,,6906.75,OMR,In Review,AAN,needs review,needs review,,0,m5,,,
C39480,A-4669305,01/05/2021,,not available,OMR,Open,FJR,ok,ok,,1,,,,
C82803,A-2125062,15/05/2021,,21369.0,EUR,Closed,AAN,,,junk,,m5,,,
C71185,A-7939994,32/13/2023,,1376.577384422667,OMR,Open,SHJ,,,,Y21,m5,,,
C27175,A-5421473,2021-05-28,,-787.3444257466191,OMR,,  AAN,,,,Y21,,x,,x
C21849,A-6816305,28/05/2021,,(8856.80),USD,Closed,DXB,needs review,needs review,,,,,,
C63708,A-9909589,2021-05-08 00:00:00,,,SAR,Closed,AUH,ملاحظة,ملاحظة,,,,x,,
C12287,A-8445699,2021-05-06 00:00:00,,1508.39,USD,CANCELLED,AAN,needs review,needs review,,Y21,22,,,
C61261,A-4376025,2021-05-09 00:00:00,,6935.728175015659,OMR,In Review,AUH,ملاحظة,ملاحظة,,Y21,,,x,
,A-3954424,2021-05-04,,7943.78,EUR,Pending,SHJ,,,,0,m5,,,
C98017,A-1585896,19 May 2021,,11245.78,EUR,Pending,SHJ,needs review,needs review,,0,m5,,,
C59540,A-9785821,2021-05-19,,-341.5184466074037,AED,Pending,AAN,ok,ok,,1,m5,,,
C33781,A-8524258,2021-05-03 00:00:00,junk,23176.53,AED,,FJR,ok,ok,,Y21,,,,
,A-6196614,2021-05-27,,13438.65,SAR,In Review,DXB,needs review,needs review,,Y21,99,,,
C33640,A-7406870,01 May 2021,,25344.32547807258,SAR,Open,AAN,!!!,!!!,,0,m5,,,
C97148,A/4374,26 May 2021,,-5755.13,USD,In Review,SHJ,ok,ok,,Y21,55,,,
C88262,A-3935465,2021-05-09,,20524.67,SAR,Open,DXB,!!!,!!!,,1,63,,,x
C77922,A-6421371,22/05/2021,,16907.154646165534,GBP,In Review,AUH,,,,,,,,
C17901,,2021-05-12,,12694.65,GBP,,DXB,!!!,!!!,,Y21,,x,,
C37075,A-3528827,32/13/2023,,,EUR,Closed,AAN,,,,Y21,m5,,,
C29050,A-7334004,2021-05-22,,not available,sar ,,DXB,,,,1,,,,
C34303,,2021-05-25 00:00:00,,,AED,,RAK,ok,ok,,Y21,,,,
