Customer Id (v2),ACC_KEY,POSTING DATE*,VALUE,Amt, CCY  ,Unnamed: 0,BRANCH*,Memo,Commentary,,year_added_2021,new_col_202106, date  ,mystery_2021_06_45,mystery_2021_06_35,mystery_2021_06_96,Unnamed: 0
C55584,A-9350455,2021-06-01,not available,28410.451576098993,GBP,,AUH,needs review,needs review,,,m6,Jun-01-21,x,,,
C34521,A-6802206,32/13/2023,10337.61,10333.04424457507,GBP,,UAQ,needs review,needs review,,Y21,m6,2021-06-21,,,,
C45237,A-2496186,2021-06-07,,"6,314.87",EUR,,FJR,,,,,m6,2021-06-07,,,,
C82817,A-5212260,Jun-02-21,(22030.21),22055.24,EUR,x,FJR,,,,,61,02 June 2021,,,,
C38394,,2021-06-07 00:00:00,not available,13008.92,OMR,,  FJR,,,,Y21,m6,07/06/2021,,,,
,A-8516480,2021-06-06,not available,-2492.567870084647,AED,,FJR,,,,1,m6,06/06/2021,x,,,
C44041,,2021-06-27,5450.16,5450.16,OMR,,AUH,,,,Y21,75,2021-06-27 00:00:00,,,,
,A-4188178,24/06/2021,24203.71012663782,24230.00366433864,AED,,DXB,!!!,!!!,,Y21,,2021-06-24 00:00:00,x,,,x
C77905,A-5551579,2021-06-02,2611.64,2611.64,USD,,FJR,needs review,needs review,,1,m6,02/06/2021,,,,
C32808,A-4870435,26 June 2021,-149.4019959612451,,OMR,,FJR,,,,,,2021-06-26 00:00:00,,,,x
C27500,A-5802704,01 June 2021,21523.91,,OMR,,AAN,ok,ok,,1,m6,2021-06-01,,,,
C94659,A/93380,2021-06-16,-4980.02,-4980.02,AED,,AUH,needs review,needs review,,Y21,,0000-00-00,,,,
C26996,A/47197,2021-06-20,,10716.5,SAR,,DXB,needs review,needs review,junk,Y21,m6,2021-06-20,,,,
C80022,A-9480850,Jun-25-21,21783.29,21783.29,OMR,,FJR,ok,ok,,,90,,,,,
C17152,A-6322278,Jun-21-21,(24384.59),24382.61,OMR,,  FJR,ملاحظة,ملاحظة,,Y21,66,Jun-21-21,,,,
C27703,A-2084532,19/06/2021,4742.01,4742.01,SAR,,DXB,!!!,!!!,,,m6,19/06/2021,,,,
C84736,A-9031098,2021-06-15,-2159.36,-2159.36,USD,,AUH,needs review,needs review,,Y21,m6,2021-06-15,x,,,
C68366,A-1235219,2021-06-13,-7900.549270598061,,EUR,,AAN,needs review,needs review,,,m6,13 June 2021,,,,
C53501,A-4643060,2021-06-05,27866.35807252562,,EUR,,SHJ,needs review,needs review,,1,m6,05/06/2021,,,,
C92280,A/3912,0000-00-00,"7,691.56",(7691.56),OMR,,RAK,ok,ok,,,,2021-06-22,,,,
C16608,A-6842914,32/13/2023,27348.94,(27374.87),GBP,,FJR,ok,ok,,Y21,,08/06/2021,,,,
C19434,A-7356509,,"18,511.43",18511.43,GBP,,  FJR,needs review,needs review,,Y21,m6,22/06/2021,x,,,
C36326,A-2981728,2021-06-13,(5065.62),not available,EUR,,SHJ,needs review,needs review,,,m6,13/06/2021,,,x,
C51537,A-7586181,32/13/2023,18528.02480708845,18484.98,EUR,,  AAN,needs review,needs review,,Y21,33,2021-06-20,,x,,
C84963,A-5392610,2021-06-17 00:00:00,-5506.047426446528,"-5,555.13",SAR,,RAK,,,,Y21,73,2021-06-17,,,,
C30334,A/47387,2021-06-06,"18,271.88",18250.53,EUR,,SHJ,ملاحظة,ملاحظة,,Y21,m6,2021-06-06,,,x,
C49363,A-3628128,32/13/2023,3814.840129418451,3772.51,OMR,,  AAN,needs review,needs review,,Y21,68,14/06/2021,,x,,
C98820,A-2864190,2021-06-24,12131.64,12131.64,AED,,RAK,,,,Y21,,24/06/2021,,,,
C49367,A-8427035,32/13/2023,7520.11,7520.11,USD,,SHJ,needs review,needs review,,Y21,m6,32/13/2023,,,,
C10511,A-3190505,2021-06-21,15711.684918071087,15767.500375848027,OMR,,SHJ,ok,ok,,Y21,85,21 June 2021,,,,
C55884,A-6023750,2021-06-17,not available,17911.222012746646,EUR,,UAQ,needs review,needs review,,Y21,90,Jun-17-21,,,,
C45935,A-8455384,2021-06-17 00:00:00,(22935.26),(22917.22),GBP,,  RAK,,,,Y21,73,17 June 2021,,,,
C84353,A-4760061,2021-06-11,(932.60),-990.0065272224356,SAR,,UAQ,ملاحظة,ملاحظة,,Y21,m6,Jun-11-21,,x,,
C30503,A-3013907,Jun-13-21,,-8021.704905019252,SAR,,SHJ,,,,1,74,2021-06-13,,,,
C75351,,Jun-19-21,"22,056.60",(22105.56),aed ,,FJR,ok,ok,,1,,2021-06-19 00:00:00,,,,
C55302,A-4986296,Jun-06-21,,"3,563.00",AED,,AAN,needs review,needs review,,Y21,m6,Jun-06-21,,,,
C53166,A-4363522,Jun-16-21,(7915.65),-7868.275446003649,USD,x,SHJ,ok,ok,,Y21,m6,2021-06-16,,,,
C68969,A/63374,2021-06-18,11786.35,not available,EUR,x,SHJ,needs review,needs review,,Y21,m6,2021-06-18,,,,
,A-8103217,14/06/2021,(12357.75),12383.09039750006,SAR,,FJR,needs review,needs review,,Y21,,2021-06-14 00:00:00,,,,
C15124,A-9945500,2021-06-10,11083.35,11083.35,AED,,FJR,needs review,needs review,junk,,m6,2021-06-10,,,,
C49711,A-2961973,25/06/2021,11873.88,"11,873.88",AED,,  UAQ,,,,Y21,m6,25 June 2021,,,,
C27055,A/53234,05/06/2021,,13727.84143244814,OMR,,FJR,needs review,needs review,,1,m6,2021-06-05,,,,
C73506,A-4706609,Jun-04-21,"21,719.91",21729.21,eur ,,FJR,ملاحظة,ملاحظة,,Y21,,32/13/2023,,,,
C81268,A-7998094,Jun-25-21,23973.4956756913,24002.42,AED,x,AUH,,,junk,Y21,m6,32/13/2023,x,,,
C24232,A-2609440,32/13/2023,6478.84,6478.84,EUR,x,SHJ,needs review,needs review,junk,Y21,m6,Jun-20-21,,,,
C46712,A-2005410,2021-06-16,,11245.94786766357,SAR,,  SHJ,,,,Y21,,2021-06-16,,,,
C55220,A-9392388,Jun-10-21,,14784.61,SAR,x,RAK,ok,ok,,Y21,94,10 June 2021,x,,,
C31598,A-3912847,2021-06-24,-7907.63,-7907.63,SAR,,FJR,ملاحظة,ملاحظة,,Y21,m6,0000-00-00,x,,,
C57197,A-1149213,23/06/2021,"2,380.48",2380.48,USD,,FJR,needs review,needs review,,,m6,Jun-23-21,,,,
C96058,A/69403,2021-06-06,(19865.52),19865.52,USD,,SHJ,needs review,needs review,,Y21,,Jun-06-21,x,,,
C70005,A-3534174,0000-00-00,15060.57695086884,15116.08365887393,USD,,AUH,ok,ok,,Y21,m6,2021-06-23 00:00:00,,,,
,A-9114525,23 June 2021,,4978.65,EUR,x,DXB,needs review,needs review,,Y21,23,Jun-23-21,x,x,,
C90557,A-7129798,2021-06-23,,5437.23,OMR,x,RAK,needs review,needs review,,Y21,m6,2021-06-23,,,,
C28815,A-9295609,2021-06-06,-3016.088581934161,-2990.56,EUR,,FJR,,,,,,Jun-06-21,,,,
C78610,A-9013030,Jun-20-21,,24955.83,SAR,,SHJ,needs review,needs review,,Y21,m6,32/13/2023,,,,
C30323,A-1873238,32/13/2023,20079.4,"20,079.40",SAR,x,SHJ,,,,Y21,,2021-06-20,,,,
C37159,A-8608700,32/13/2023,28634.7,28634.7,EUR,,  AUH,ok,ok,,0,47,2021-06-20 00:00:00,x,,,
C62400,A-9778524,Jun-07-21,5314.68,not available,OMR,,AAN,ملاحظة,ملاحظة,,,53,2021-06-07 00:00:00,,,,
C10309,A-4514454,2021-06-17,,20779.77,OMR,,RAK,needs review,needs review,junk,Y21,m6,2021-06-17,,,,
C60636,A-4803656,2021-06-25,-4429.829676806006,(4454.72),AED,,DXB,ok,ok,,Y21,20,Jun-25-21,,,x,x
C67799,A-4904902,2021-06-14,,,USD,,RAK,needs review,needs review,,,m6,14/06/2021,,,,
C68425,A-5824263,2021-06-12 00:00:00,not available,14039.11,EUR,,AUH,needs review,needs review,junk,Y21,,Jun-12-21,,x,,x
C62565,A-5182131,Jun-04-21,,"-3,976.19",AED,,AUH,ok,ok,,Y21,,32/13/2023,,,,
,A-6326416,2021-06-11,,5371.58,OMR,,AUH,ok,ok,,,,2021-06-11,,,,
C21514,,21 June 2021,(9864.89),,SAR,,UAQ,needs review,needs review,,Y21,m6,,,,,
C32613,A-2169655,2021-06-23,,29945.5,EUR,,FJR,needs review,needs review,,Y21,m6,Jun-23-21,,,,
C90397,A-5682146,2021-06-11,4132.086300516572,4057.8349233542,AED,x,UAQ,needs review,needs review,,Y21,,2021-06-11,,,,
C48089,A-5061756,22 June 2021,17971.94691153801,,SAR,,RAK,,,,0,m6,22 June 2021,,,,
C45057,A-7226350,08 June 2021,,not available,SAR,,SHJ,,,,Y21,m6,Jun-08-21,,,,
C62144,A-8510968,Jun-20-21,20034.56,20034.56,EUR,,RAK,ok,ok,,Y21,54,Jun-20-21,,,,
C21846,A-5519924,,19355.662537559387,(19400.27),OMR,,UAQ,needs review,needs review,junk,1,m6,04/06/2021,,,,x
,A-4110109,32/13/2023,10938.03,,EUR,,UAQ,,,,0,,2021-06-07,,,,x
C23268,A-6192858,06/06/2021,"15,149.66",15149.66,USD,,SHJ,ملاحظة,ملاحظة,,Y21,57,06 June 2021,,,,x
C85324,A-9249296,01/06/2021,(28774.88),,GBP,,  SHJ,ok,ok,,Y21,68,2021-06-01,x,,,
C72314,A-7257158,2021-06-01,,(25001.32),SAR,,AAN,!!!,!!!,,1,m6,2021-06-01,,,,
C23739,,32/13/2023,"13,350.56","13,350.56",SAR,,  DXB,needs review,needs review,,Y21,m6,2021-06-27,,x,,
C83283,A-5133107,2021-06-18,8881.99,8881.99,EUR,,  SHJ,,,,0,m6,32/13/2023,,,,
C77998,A-4430339,17/06/2021,,,AED,,RAK,ok,ok,,0,39,2021-06-17,,,,x
C40783,A-1559029,Jun-26-21,"6,512.23",6539.290851918347,SAR,,SHJ,ok,ok,,Y21,m6,26 June 2021,x,,,
,A-1141285,32/13/2023,15978.93,15978.93,USD,,SHJ,ok,ok,,,m6,Jun-20-21,,,,
C17945,A-6510898,11 June 2021,(15065.02),15024.37,EUR,,DXB,needs review,needs review,,1,m6,11/06/2021,,,,
C89231,A-7952674,19 June 2021,(27626.44),27621.16626914348,OMR,,AAN,ok,ok,junk,,,2021-06-19 00:00:00,,,,
C52707,A-5707823,2021-06-22,,,AED,,SHJ,ملاحظة,ملاحظة,,1,86,2021-06-22,,,,
C43735,A-1822483,17 June 2021,,3164.33,aed ,,FJR,needs review,needs review,,Y21,m6,17 June 2021,,,,
C79513,A-8893892,2021-06-07 00:00:00,-4993.44,-4993.44,GBP,,DXB,ملاحظة,ملاحظة,junk,,m6,07/06/2021,x,x,,
C66732,A-9070296,2021-06-21,28904.23885783397,28884.18,OMR,,DXB,,,,0,,2021-06-21,,,,
C76201,A-4020122,2021-06-21 00:00:00,(4808.09),(4808.09),OMR,,DXB,ok,ok,,,,21/06/2021,,,,x
,A/2624,27 June 2021,(13828.43),,EUR,,AAN,,,,,,27/06/2021,,x,,
,A-8596125,Jun-19-21,1432.8,1432.8,USD,,AUH,needs review,needs review,,Y21,,2021-06-19,,,,
C85610,A-4533194,2021-06-11,,(24887.16),SAR,x,UAQ,ok,ok,,Y21,m6,11/06/2021,,,,
C45611,A/61351,04/06/2021,(5894.61),,EUR,,AUH,,,,Y21,m6,Jun-04-21,,,,
C54148,A/51168,32/13/2023,,27702.02,OMR,,DXB,ok,ok,,1,m6,11 June 2021,,,,x
,A-5575186,16 June 2021,16514.33,16514.33,SAR,,SHJ,ok,ok,junk,,88,16 June 2021,,,,
C62180,A-8253664,Jun-20-21,10837.76,"10,837.76",SAR,,RAK,ok,ok,,Y21,,2021-06-20,,,,
C65979,A-9894649,12 June 2021,(11365.74),11365.74,USD,,SHJ,ملاحظة,ملاحظة,junk,0,m6,Jun-12-21,,,,
C10495,A-7364181,2021-06-18,,,GBP,,AUH,ok,ok,,0,m6,2021-06-18,,x,x,
,A-7455399,24 June 2021,not available,16598.191486028893,EUR,,DXB,needs review,needs review,,,81,2021-06-24 00:00:00,,,,
,A-8967468,24/06/2021,-4985.8,-4985.8,SAR,,DXB,,,,Y21,,Jun-24-21,,,,
C73886,A-5036471,25/06/2021,17308.34,17308.34,GBP,,AAN,,,,,,2021-06-25 00:00:00,x,,,
C59925,A-5726117,32/13/2023,10470.92,,AED,,RAK,ok,ok,,Y21,m6,26/06/2021,,,,
C51661,A-4515050,32/13/2023,-5602.19,"-5,602.19",AED,,AUH,,,,Y21,,2021-06-12,,,,x
C10892,A/92491,08 June 2021,,29932.59,SAR,,SHJ,ok,ok,,,m6,,,,,
C78710,A-5528569,Jun-07-21,27208.46,27208.46,AED,x,FJR,ok,ok,,,m6,07/06/2021,,x,,
C24746,,23 June 2021,25981.77,not available,OMR,x,AUH,,,,Y21,,32/13/2023,,,x,
,A-1954560,2021-06-10,2011.17,2011.17,OMR,,RAK,needs review,needs review,,,m6,10/06/2021,,,,
C53295,A-9222666,22/06/2021,7297.363692986627,,OMR,,SHJ,,,,,m6,Jun-22-21,,x,,x
C67442,A-7963399,2021-06-08,,1594.466542873214,GBP,,AUH,ok,ok,junk,Y21,82,2021-06-08,,,,
C95269,A-7567171,24/06/2021,,(17921.57),EUR,,AUH,,,,Y21,,2021-06-24,,,,
C91937,A-9106630,2021-06-17,8471.81,not available,SAR,,FJR,ok,ok,,,32,17/06/2021,,,,x
,A-2715606,09/06/2021,,(6292.32),GBP,,UAQ,ok,ok,,1,,09/06/2021,,x,,
C96268,A/52879,0000-00-00,-1588.425188504451,,AED,,FJR,needs review,needs review,,Y21,,16 June 2021,,x,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,
Customer Id (v2),ACC_KEY,POSTING DATE*,VALUE,Amt, CCY  ,Unnamed: 0,BRANCH*,Memo,Commentary,,year_added_2021,new_col_202106, date  ,mystery_2021_06_45,mystery_2021_06_35,mystery_2021_06_96,Unnamed: 0
C17123,,13 June 2021,6318.6007852509765,"6,277.23",SAR,,DXB,,,,Y21,m6,,,,x,
,A-1938299,2021-06-21,8606.67,,EUR,,AAN,needs review,needs review,,,m6,32/13/2023,,,x,
C58885,A-1089167,Jun-16-21,25575.95,25568.49528378165,AED,,UAQ,!!!,!!!,,Y21,m6,0000-00-00,x,,,
C74348,A/27493,Jun-11-21,11296.26122326657,11301.82,AED,,AAN,ok,ok,,Y21,30,11/06/2021,,,,
C67372,A-8952121,Jun-03-21,21437.57,21437.57,AED,,  AAN,ok,ok,,,m6,,,,,
C37897,A-3584107,Jun-27-21,not available,15748.76,sar ,,RAK,,,,Y21,75,27 June 2021,,,x,x
C72545,A-5984128,07/06/2021,16516.86,16516.86,GBP,,AUH,needs review,needs review,,Y21,,Jun-07-21,,,,
C14158,A/14269,Jun-12-21,6496.02,6521.985471600271,usd ,,FJR,!!!,!!!,,0,89,2021-06-12,,,,
C10533,A-6442459,Jun-13-21,19120.87,19120.87,USD,,AUH,ok,ok,,,,Jun-13-21,,,,
C75990,A-4441993,2021-06-14,,-5800.41,GBP,,RAK,!!!,!!!,,Y21,15,14/06/2021,,,,x
C64267,A-7774052,2021-06-21,,,usd ,,FJR,ملاحظة,ملاحظة,,1,m6,2021-06-21 00:00:00,,,,
C98816,A-3250906,2021-06-03,-4167.2,-4167.2,GBP,x,UAQ,needs review,needs review,junk,Y21,m6,32/13/2023,,x,,x
C42333,A-7987328,0000-00-00,26881.63,26861.39445038327,SAR,x,FJR,ok,ok,,Y21,m6,2021-06-18,,,,x
C68344,A/92542,32/13/2023,"1,125.85","1,166.01",AED,,SHJ,,,,Y21,m6,2021-06-07 00:00:00,,,,
C43034,,24/06/2021,,-1956.1,USD,,UAQ,ok,ok,,Y21,m6,24/06/2021,,,,
C51498,A-6753656,2021-06-22,"26,312.44",,OMR,,AAN,ok,ok,,1,m6,32/13/2023,,,,
C63366,,2021-06-18,(15413.63),15413.63,USD,,RAK,ملاحظة,ملاحظة,,Y21,55,Jun-18-21,,,,
C20381,A-3699983,21/06/2021,808.95,817.4971323127871,EUR,,FJR,needs review,needs review,,0,,2021-06-21,,,,
C52346,A-6217409,0000-00-00,,,SAR,,UAQ,ok,ok,,Y21,,2021-06-28 00:00:00,x,,,
,A-7266564,04 June 2021,"-3,972.47","-3,972.47",OMR,,AUH,ملاحظة,ملاحظة,,,,,,,,
C98011,A-3351301,2021-06-10,26752.53,26752.53,AED,,AAN,!!!,!!!,junk,Y21,72,32/13/2023,,,,
,A-4142286,2021-06-11,-5372.022026705344,,EUR,,DXB,!!!,!!!,,,,11/06/2021,,,,
C99011,A-8190499,2021-06-12 00:00:00,19795.53,19795.53,OMR,,AAN,!!!,!!!,,,m6,12/06/2021,,,,x
C19761,A-8420437,2021-06-22,29403.1,,GBP,,DXB,needs review,needs review,,Y21,m6,Jun-22-21,,,,
C21612,A-9871649,32/13/2023,2050.97,(2050.97),EUR,,  AAN,!!!,!!!,,,m6,Jun-19-21,,,,
,A-6471831,2021-06-24,9958.19,9959.276558460242,OMR,,UAQ,ok,ok,,Y21,,24 June 2021,,,,
C68189,A-7224797,,16261.51,16261.51,USD,,  FJR,ok,ok,,Y21,,2021-06-01,,,,
,A-9367764,15 June 2021,-1822.825823876598,"-1,802.88",OMR,,RAK,ملاحظة,ملاحظة,junk,,m6,15/06/2021,,,,
C89258,A-8036525,,14924.54,,GBP,,DXB,needs review,needs review,,Y21,,2021-06-05 00:00:00,,x,,
C90774,A-2589943,03/06/2021,(15957.01),,USD,x,UAQ,ok,ok,,,31,03/06/2021,,,,x
C95152,A-4242718,Jun-02-21,,,USD,,UAQ,,,,Y21,81,02/06/2021,,,,
C37054,A-3248108,25 June 2021,"4,356.52",4356.52,GBP,,FJR,ok,ok,,Y21,m6,25/06/2021,,,,
C28495,A-8495316,2021-06-19 00:00:00,5446.015484209638,,USD,,FJR,needs review,needs review,,Y21,m6,Jun-19-21,,x,,
C91165,A-7751549,2021-06-03,"6,304.64",6304.64,AED,,FJR,ok,ok,,Y21,,03 June 2021,,,x,
C94264,A-6047602,19/06/2021,4853.445686292838,4827.37,sar ,,AAN,ملاحظة,ملاحظة,,Y21,16,19 June 2021,,x,,x
C11663,A-5971723,Jun-26-21,-7997.34,,SAR,,  RAK,ok,ok,,Y21,m6,32/13/2023,,,,
C93857,A-8873233,19/06/2021,17639.85,,AED,x,RAK,!!!,!!!,,Y21,,2021-06-19 00:00:00,,,,
C80668,A-9468212,19/06/2021,238.26,,EUR,,SHJ,!!!,!!!,,1,,19 June 2021,,,,
C38322,A-3539860,Jun-28-21,-5480.58611671428,,EUR,,  SHJ,,,,Y21,m6,2021-06-28,,,,
C23871,A-7850358,2021-06-22 00:00:00,29368.92,29368.92,AED,,DXB,ok,ok,,Y21,,Jun-22-21,,,x,
C89278,A-5277504,04 June 2021,13456.07,,AED,,FJR,ملاحظة,ملاحظة,,0,m6,,,,x,
C60952,A-9001177,32/13/2023,not available,"-2,219.73",GBP,,DXB,!!!,!!!,,,m6,32/13/2023,,,,
C20946,A-9722896,32/13/2023,5206.87,,GBP,,SHJ,ok,ok,,0,m6,Jun-07-21,,,x,
,A-3246352,Jun-07-21,"20,572.76",20572.76,OMR,,SHJ,ok,ok,,1,m6,2021-06-07,,,,x
C63136,,32/13/2023,(25063.61),25063.61,AED,x,RAK,needs review,needs review,,,m6,32/13/2023,,,,
C55801,A/75512,19/06/2021,"4,384.05",4406.093135406973,SAR,,RAK,ok,ok,,,m6,2021-06-19,x,,,
C55521,A-4014861,0000-00-00,19836.58,19836.58,SAR,,UAQ,needs review,needs review,,0,,2021-06-24 00:00:00,,,,x
C21056,A/83351,03/06/2021,"20,396.07","20,396.07",USD,,AAN,,,,,66,Jun-03-21,,,,x
C53616,A/70730,28 June 2021,(12928.75),12954.6966734865,AED,,DXB,,,,,m6,2021-06-28 00:00:00,,,,
C36936,A-7842541,2021-06-22,,(22406.35),USD,,RAK,,,,Y21,m6,22/06/2021,x,,,
C59955,A-9662020,2021-06-03,"3,632.90",3632.9,USD,,RAK,needs review,needs review,,,,2021-06-03 00:00:00,,,,
C32034,,32/13/2023,12840.25,not available,gbp ,,UAQ,needs review,needs review,,,m6,2021-06-11 00:00:00,,,,
C37449,A-9186848,Jun-09-21,23963.2776765814,"23,935.70",USD,x,UAQ,,,,,m6,2021-06-09 00:00:00,,,,
C59256,A-5385930,2021-06-11 00:00:00,-3381.89,,AED,,  UAQ,needs review,needs review,,Y21,31,2021-06-11 00:00:00,,,,
C12223,A-5101993,2021-06-25,3920.784856001329,3925.8964508688578,GBP,,  AUH,,,,1,m6,2021-06-25,,,x,
C33707,A-2081049,2021-06-22,16230.127378007874,16248.11205117222,USD,,RAK,ملاحظة,ملاحظة,,Y21,,2021-06-22,,x,,
C74346,A-5736848,32/13/2023,19094.14,19094.14,GBP,,SHJ,,,,0,m6,05/06/2021,,,x,
C54292,A-4713450,2021-06-03,"14,467.72",14483.92,SAR,,AUH,,,,Y21,10,,,,,
C76108,A-1195688,2021-06-11,3340.89,,SAR,,FJR,needs review,needs review,,Y21,m6,11 June 2021,,,,
C47692,A-1984056,Jun-28-21,(20936.23),20946.739118255708,GBP,,DXB,ok,ok,junk,Y21,m6,28 June 2021,,,,
C12739,A-2579470,12/06/2021,(17151.31),not available,OMR,,RAK,ملاحظة,ملاحظة,,,87,12 June 2021,,,,
C60260,A-6693507,,6294.311576624128,6310.6,EUR,,AAN,ok,ok,,0,m6,2021-06-08 00:00:00,x,,,
,A-8125708,Jun-16-21,9064.98,9064.98,USD,,AAN,ok,ok,,Y21,m6,2021-06-16,,,,
C31942,A-3848766,Jun-01-21,,26798.85,OMR,,AUH,ok,ok,,Y21,,01 June 2021,,,,
C37693,A-7813283,2021-06-07,-4085.453240997723,,GBP,x,UAQ,ملاحظة,ملاحظة,,Y21,m6,2021-06-07,,,,
C50069,A-3604540,28/06/2021,-7431.591571116435,-7424.446577986272,gbp ,,DXB,needs review,needs review,,Y21,m6,Jun-28-21,,x,,
C83767,A-9876767,32/13/2023,-920.90477930997,,USD,,RAK,,,,,m6,Jun-04-21,,x,,
C12277,A-9214245,24/06/2021,,-6669.86,EUR,,AAN,!!!,!!!,,Y21,m6,32/13/2023,x,,,
C91911,A-7327245,2021-06-15,621.6399584082114,592.70647901734,OMR,x,DXB,ok,ok,junk,,,2021-06-15,,,x,
C40235,A-9506299,2021-06-21,18382.46424491458,18409.22599882286,AED,,FJR,,,,,m6,2021-06-21,,,,
C55148,A-9079008,32/13/2023,8622.71,,GBP,,SHJ,ok,ok,junk,0,46,0000-00-00,,,,
C95446,A-7650945,Jun-03-21,14513.23,14513.23,SAR,,DXB,needs review,needs review,,Y21,92,03/06/2021,,,,x
,A-9527110,26 June 2021,20540.11,20540.11,OMR,x,AAN,ok,ok,,,33,26/06/2021,,,,
C34901,A-3243054,03 June 2021,-345.94,-345.94,OMR,,AAN,ok,ok,,Y21,92,2021-06-03 00:00:00,,x,,
C72267,A-3707257,24/06/2021,18432.43,18391.267265670373,GBP,,RAK,ok,ok,,,94,2021-06-24,,,,
C74633,A-1241109,2021-06-17,26707.44,"26,707.44",OMR,,RAK,needs review,needs review,,Y21,m6,32/13/2023,,,,x
C34095,A-9672017,32/13/2023,"13,742.57",,USD,x,AAN,ok,ok,,1,m6,2021-06-26,,x,,
C99020,A-7471240,,-4783.21,-4820.393960314864,OMR,,UAQ,ok,ok,,Y21,m6,Jun-03-21,,,,
C27030,A-8703962,26 June 2021,7808.56,7808.56,USD,,FJR,,,junk,0,62,26/06/2021,,,,
C58697,A-2436510,32/13/2023,414.28,,SAR,,SHJ,,,,1,98,2021-06-27,,x,,
C44993,A-4060417,09 June 2021,6817.64,6817.64,OMR,,DXB,ok,ok,,,32,2021-06-09,,,,
C14056,A-9235041,27/06/2021,-2031.498124373016,-2092.6618880443084,GBP,,RAK,!!!,!!!,,Y21,m6,2021-06-27,,,,
C87077,A-7022445,2021-06-12,27737.93,(27737.47),eur ,,  AAN,needs review,needs review,,Y21,m6,32/13/2023,,,,
C85005,A-1481200,02/06/2021,,6422.07,AED,,UAQ,ملاحظة,ملاحظة,,0,,2021-06-02,,x,x,x
C53010,A-7072327,32/13/2023,"-7,384.27",-7356.461442249823,GBP,,AAN,,,,Y21,m6,2021-06-15 00:00:00,,,,
C47896,,Jun-04-21,27631.73,27631.73,GBP,x,AAN,ok,ok,,,m6,2021-06-04 00:00:00,,,,
C35860,A-6428134,32/13/2023,,15100.55063840485,GBP,,AUH,needs review,needs review,,Y21,81,03/06/2021,,,,
C89456,A-4384417,16/06/2021,28190.50210229234,,EUR,,RAK,needs review,needs review,,Y21,m6,32/13/2023,,,,
C87071,A-5677995,27/06/2021,6770.74621945829,6768.81,SAR,,UAQ,needs review,needs review,,,,27/06/2021,,,,
C46890,A-5368989,2021-06-22,9405.58,9371.890946307783,SAR,,AAN,ok,ok,,1,71,2021-06-22,,,,
,A-1519935,Jun-18-21,,11881.39,GBP,,FJR,ok,ok,,0,m6,2021-06-18,,,,
C49908,A-7617162,16 June 2021,29332.09,29332.09,SAR,,RAK,needs review,needs review,,Y21,,32/13/2023,,,,
