C48449,,19 February 2021,"-7,773.79",-7811.6457318892535,GBP,CANCELLED,UAQ,ok,ok,,Y21,m2,Feb-19-21,,,,x,
C49438,,05 February 2021,-373.4,-373.4,AED,Open,DXB,ملاحظة,ملاحظة,,0,m2,Feb-05-21,x,,x,,
C12838,,21/02/2021,,18585.89,USD,CANCELLED,SHJ,ok,ok,,,m2,2021-02-21 00:00:00,,,,,
C70076,,24/02/2021,(24718.84),(24718.84),USD,Pending,FJR,needs review,needs review,junk,Y21,m2,2021-02-24 00:00:00,,,,,
C96364,,Feb-25-21,28297.39,(28297.39),EUR,In Review,RAK,,,,Y21,m2,0000-00-00,,,,,
C19552,,2021-02-02,-6880.54,-6880.54,USD,Pending,AUH,,,,Y21,91,Feb-02-21,,,,x,x
C63480,,,"19,733.02",19746.04524228315,OMR,,RAK,needs review,needs review,,0,70,2021-02-12,,,x,,x
C56911,junk,0000-00-00,13863.52,,GBP,In Review,RAK,ok,ok,,0,24,13 February 2021,,,,x,
C14634,,2021-02-20 00:00:00,15272.44,15319.58656489175,AED,In Review,SHJ,!!!,!!!,,1,m2,Feb-20-21,x,,,,
C59444,,2021-02-25,-2764.72,(2725.89),SAR,Open,RAK,!!!,!!!,,Y21,m2,2021-02-25 00:00:00,x,,,,
C88959,,12/02/2021,"7,089.14",7145.130840549026,OMR,Open,FJR,ok,ok,,,36,2021-02-12 00:00:00,,,,,
C20282,,09/02/2021,20192.53,20192.53,USD,Open,AAN,,,,Y21,40,2021-02-09,,,x,,
C59719,,07 February 2021,,(3595.63),GBP,,  AAN,!!!,!!!,,,,07/02/2021,,,x,,
C84488,,Feb-19-21,9758.63,9758.63,USD,Closed,AUH,ok,ok,,Y21,,19/02/2021,,x,x,,
C71137,,2021-02-01,,13151.12,SAR,Open,  RAK,!!!,!!!,,,m2,2021-02-01,,x,,,
,,2021-02-02,24277.48,"24,269.08",GBP,,AUH,ملاحظة,ملاحظة,,Y21,m2,02 February 2021,,,,,
C14083,,32/13/2023,"26,651.16",(26651.16),AED,Open,RAK,ok,ok,junk,1,,32/13/2023,,,,,
C16741,,2021-02-17,2266.962677905802,2228.94,GBP,Pending,DXB,ok,ok,,Y21,,17/02/2021,,,x,,
C63427,,2021-02-25,2901.64,(2901.64),EUR,Open,AUH,needs review,needs review,,0,,,,,,,
C65359,junk,,(19055.37),(19055.37),AED,Pending,UAQ,,,,,m2,Feb-13-21,x,,,,
C95118,,Feb-22-21,19434.785720032152,19501.61136680543,EUR,,AUH,ok,ok,,Y21,82,22/02/2021,,x,,,
C45893,,2021-02-10,26872.34,26876.13159212037,GBP,,AUH,!!!,!!!,,Y21,36,10/02/2021,,,,,
C25720,,Feb-04-21,"24,851.10",(24851.10),EUR,,FJR,ok,ok,junk,,,04/02/2021,,,,x,
,,2021-02-21,not available,6295.94,USD,,DXB,ok,ok,,Y21,,21/02/2021,,,,,
,,22 February 2021,,10628.44,OMR,CANCELLED,RAK,needs review,needs review,,Y21,m2,2021-02-22 00:00:00,,,,x,
C40783,,14/02/2021,(24314.39),,SAR,Open,RAK,,,,1,m2,2021-02-14,,,,,
C12767,,01/02/2021,5402.62,5402.62,GBP,Open,FJR,ok,ok,,Y21,,2021-02-01,x,,,,
C30571,,32/13/2023,"18,146.66",(18098.68),AED,Pending,FJR,ok,ok,,1,,Feb-02-21,,x,x,,
C13071,,32/13/2023,28831.97,28831.97,GBP,CANCELLED,SHJ,ok,ok,,Y21,62,2021-02-24,,,,,
C50712,,21 February 2021,-108.09,(108.09),SAR,In Review,  DXB,ok,ok,,1,70,Feb-21-21,x,,,,
,,16 February 2021,(10353.86),10353.86,GBP,,  FJR,!!!,!!!,,,64,2021-02-16,x,,,,
C25411,,32/13/2023,17713.96,17713.96,GBP,Pending,RAK,,,junk,Y21,76,2021-02-10,,,,,
C50873,,2021-02-01 00:00:00,,9426.56,AED,Open,RAK,needs review,needs review,,Y21,91,Feb-01-21,,,,,
C83880,,2021-02-09,6600.878722561928,6516.619165528517,GBP,,UAQ,ملاحظة,ملاحظة,,,88,2021-02-09,,,,,
C41558,,04 February 2021,5489.68,5508.216758512437,GBP,Pending,RAK,ok,ok,,,,04/02/2021,,,,,
C60129,,2021-02-07,11988.1,"11,988.10",AED,In Review,AAN,ok,ok,junk,,,07 February 2021,x,,,,
C94875,,2021-02-16,15290.98,"15,260.40",omr ,Closed,FJR,,,,Y21,m2,16/02/2021,,,,,
C62844,,2021-02-22,20962.9259697201,20929.14,USD,,AAN,ok,ok,,Y21,m2,Feb-22-21,,,,,
,,19/02/2021,6232.12,,AED,,DXB,ok,ok,,0,m2,19/02/2021,,,,,
C92709,,2021-02-27 00:00:00,,(14238.47),USD,In Review,RAK,ok,ok,,Y21,,2021-02-27,,,,,
C96285,,2021-02-13,(15919.94),"15,919.94",AED,Closed,SHJ,needs review,needs review,,1,m2,Feb-13-21,,,,,
C40710,junk,2021-02-02,21439.93500919607,,GBP,CANCELLED,RAK,ok,ok,,,,02/02/2021,,,,x,
C34195,,03/02/2021,1299.84,1299.84,OMR,In Review,UAQ,,,,Y21,m2,03/02/2021,,,,,
C65652,,2021-02-28,17455.31,17455.31,GBP,Open,  DXB,,,,,m2,2021-02-28,,,,,
C14564,,16/02/2021,17928.91,17928.91,AED,CANCELLED,UAQ,ok,ok,,0,,16/02/2021,,,,x,
C72068,,2021-02-12,"-1,204.10",-1210.6111957128765,sar ,In Review,UAQ,needs review,needs review,,Y21,,2021-02-12,,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,,
buyer_id,,Date,Amount,Value !!,ccy_code,status,Region !!,REASON_TEXT,NOTES,,year_added_2021,new_col_202102, txn date  ,mystery_2021_02_40,mystery_2021_02_75,mystery_2021_02_70,mystery_2021_02_19,Unnamed: 0
C81139,,2021-02-01,(8977.27),8977.27,EUR,,AUH,ملاحظة,ملاحظة,,1,,2021-02-01,x,x,,,
C52806,,2021-02-03,"16,212.64",16270.635331726333,AED,CANCELLED,RAK,!!!,!!!,,Y21,,03/02/2021,,x,,,
C38207,,2021-02-16,21591.46127873433,(21575.74),EUR,In Review,FJR,ok,ok,,,m2,2021-02-16 00:00:00,,,,,
C93200,,2021-02-14 00:00:00,-7522.45,"-7,475.68",EUR,Pending,AAN,,,,Y21,m2,32/13/2023,,,,,
C91823,,06 February 2021,-7110.48,-7103.405498418994,EUR,In Review,FJR,needs review,needs review,,Y21,m2,06/02/2021,,,,,
C92611,,12 February 2021,"6,918.21",6902.59,SAR,CANCELLED,UAQ,needs review,needs review,,Y21,m2,2021-02-12,,,,,
C12992,,14/02/2021,,9932.71,AED,Pending,AUH,,,,1,,2021-02-14,,,,,
C89168,,04/02/2021,"28,574.01",(28574.01),AED,,AUH,,,,,,Feb-04-21,,,,x,
C62354,,0000-00-00,8286.36,8286.36,AED,Open,DXB,,,,0,m2,2021-02-12,,,,,
C14685,,2021-02-20 00:00:00,398.82,361.68,EUR,In Review,AAN,,,,,30,20 February 2021,,,,,
C77740,,28/02/2021,14311.15,14311.15,GBP,Pending,RAK,needs review,needs review,,1,77,2021-02-28,,,,,
,,2021-02-24,,"7,142.67",AED,Pending,RAK,ok,ok,,,m2,2021-02-24,,,,,
C17977,,2021-02-10,10136.73,10136.73,AED,In Review,UAQ,ok,ok,,Y21,m2,10/02/2021,,,,,
C63368,,09/02/2021,11321.699701837137,,GBP,Pending,  FJR,ok,ok,,Y21,96,09/02/2021,,,,,
C24249,,25/02/2021,4160.6,4160.6,GBP,CANCELLED,AUH,,,,0,m2,25/02/2021,,,,,x
C29003,,0000-00-00,"3,704.64","3,704.64",GBP,CANCELLED,UAQ,needs review,needs review,,Y21,m2,12 February 2021,,,,,
C45908,junk,Feb-28-21,"10,227.94",10227.94,OMR,In Review,SHJ,!!!,!!!,,,59,32/13/2023,,,,,
C29715,,05 February 2021,1318.61,1359.1203495513669,GBP,In Review,UAQ,ملاحظة,ملاحظة,,1,,Feb-05-21,,,,,
C28385,junk,32/13/2023,10481.59,10481.59,AED,,RAK,ok,ok,,Y21,,2021-02-01,,,x,,
C35020,,21 February 2021,25834.459698056493,"25,795.52",OMR,Closed,  FJR,ok,ok,,0,53,2021-02-21,x,,,,
,,,-166.52,,USD,Open,AUH,needs review,needs review,,,m2,,,,,x,x
C59861,,07 February 2021,21297.38,(21297.38),GBP,,AUH,ok,ok,junk,0,,07 February 2021,,,,,
C65052,,32/13/2023,,3747.045838565662,AED,CANCELLED,UAQ,ملاحظة,ملاحظة,,,20,2021-02-26,,,,,
C30641,,2021-02-27 00:00:00,20171.24813449108,,OMR,Closed,AAN,,,,,13,27/02/2021,,,,,x
,,03/02/2021,not available,7772.92,GBP,CANCELLED,DXB,,,,Y21,,Feb-03-21,x,,,,
C90611,,2021-02-10,(17091.11),(17069.23),EUR,,  SHJ,ملاحظة,ملاحظة,,,m2,10 February 2021,,,,,x
,,32/13/2023,9220.09551485837,"9,221.36",EUR,In Review,SHJ,ok,ok,,1,,07/02/2021,,,,,
C25765,,2021-02-04,(3667.16),"3,667.16",SAR,In Review,AUH,!!!,!!!,,Y21,m2,04 February 2021,,,,,
C99180,junk,,12551.22,12501.25536125635,GBP,CANCELLED,UAQ,ok,ok,junk,,m2,Feb-04-21,,,,,x
C41780,,32/13/2023,"14,473.82",14424.89690366861,USD,,AAN,ok,ok,,Y21,m2,Feb-25-21,,,,,
,,03 February 2021,1743.698506806604,"1,706.64",OMR,CANCELLED,  SHJ,ملاحظة,ملاحظة,,,38,03 February 2021,x,,,,
,,Feb-22-21,22627.68,not available,usd ,In Review,SHJ,ok,ok,,1,,2021-02-22 00:00:00,,,,,
C89142,,32/13/2023,"5,197.57",5197.57,SAR,,  SHJ,needs review,needs review,,,,32/13/2023,,,,,
C70057,,11/02/2021,(21290.74),,GBP,,AAN,,,,,,Feb-11-21,,,,,
,,2021-02-26,"-3,763.74",,GBP,Pending,RAK,,,,,m2,26/02/2021,x,,x,,
,,2021-02-03,,-2109.55,EUR,Open,SHJ,ok,ok,,Y21,m2,2021-02-03,,,,,
C57706,,2021-02-09,26230.4318609225,26202.01,USD,Pending,RAK,needs review,needs review,,Y21,m2,2021-02-09 00:00:00,,,,,
C70324,,2021-02-02 00:00:00,"28,220.23",not available,USD,Open,RAK,needs review,needs review,,,,,,,,,
,,19 February 2021,"14,276.03",14269.08408158104,AED,In Review,AUH,,,,1,19,2021-02-19,,,,,
C72181,junk,2021-02-23 00:00:00,(5495.96),5495.96,OMR,CANCELLED,AAN,needs review,needs review,,Y21,m2,23/02/2021,,,,,
C84459,,0000-00-00,15560.89920113931,15546.18416671014,USD,In Review,DXB,!!!,!!!,junk,,29,01 February 2021,,,,,
C75228,,04/02/2021,,27637.09,OMR,In Review,UAQ,needs review,needs review,,,95,0000-00-00,x,,,,
C83793,,2021-02-17,12762.48,"12,762.48",USD,Pending,AAN,ok,ok,,Y21,m2,17 February 2021,,,,,
C84878,,Feb-19-21,-6937.4,,EUR,CANCELLED,DXB,needs review,needs review,,,,2021-02-19,,,,,
,,2021-02-07,,not available,EUR,Closed,SHJ,,,,,m2,2021-02-07,,,,,
C73991,,2021-02-27,-6411.62,"-6,366.09",SAR,Closed,FJR,,,,0,m2,27 February 2021,,,,x,
C82712,,Feb-03-21,-6643.58,-6643.58,SAR,Open,AUH,ok,ok,,Y21,,2021-02-03,,,,,
C55890,,06 February 2021,27979.21,27979.21,GBP,Open,DXB,ok,ok,,Y21,m2,Feb-06-21,,,,,
C99694,,Feb-04-21,22920.83,22920.83,GBP,Open,UAQ,ok,ok,,0,m2,2021-02-04,,,,x,
C39339,,12 February 2021,"25,476.12",25513.62,EUR,,AUH,needs review,needs review,,Y21,m2,32/13/2023,,,,,
C35030,,,21022.32178466893,not available,SAR,Pending,FJR,ok,ok,junk,Y21,23,2021-02-23,,,,,
C30428,,2021-02-25,9806.03,,OMR,Closed,  UAQ,!!!,!!!,junk,1,88,25/02/2021,,,,,
,,2021-02-11,-1341.72,,EUR,Open,UAQ,needs review,needs review,,Y21,25,11 February 2021,,,,,
,,2021-02-23 00:00:00,,"28,871.27",OMR,In Review,AAN,,,,,m2,23/02/2021,,,,,
C43123,,0000-00-00,-7109.11,,eur ,Closed,AUH,ملاحظة,ملاحظة,,Y21,m2,2021-02-12,,,,,
C77185,junk,2021-02-12,-2971.07,-2971.07,EUR,,AAN,needs review,needs review,,Y21,,2021-02-12,,,x,,x
C11762,,01 February 2021,14144.69,(14095.07),SAR,,  UAQ,ok,ok,,0,,01/02/2021,,,,,
C71500,,06 February 2021,-7787.318445438726,-7780.418050403629,USD,Closed,AAN,ok,ok,,0,,06/02/2021,,,x,,
C18474,,32/13/2023,"-5,704.65",-5704.65,SAR,Open,FJR,,,,Y21,m2,Feb-06-21,,,,,
C32354,,2021-02-19,not available,9542.33,SAR,CANCELLED,UAQ,,,,Y21,m2,Feb-19-21,,,,,
C75185,junk,2021-02-01,-782.05,-782.05,GBP,,SHJ,needs review,needs review,,Y21,m2,2021-02-01,,,,,
C88527,,04/02/2021,,(22717.97),USD,Pending,RAK,!!!,!!!,,Y21,m2,2021-02-04,,,,,
C89873,,,25797.862544705782,(25841.17),EUR,In Review,AUH,needs review,needs review,,0,20,Feb-19-21,,,,,
,,2021-02-26,"12,379.79",12359.60770132556,OMR,Closed,  RAK,ملاحظة,ملاحظة,,1,34,26/02/2021,,,,,
C87836,,32/13/2023,9325.84,"9,330.85",USD,,RAK,needs review,needs review,,0,,06 February 2021,,,,,x
C27284,,02/02/2021,11865.66,11885.118660598831,OMR,Closed,AUH,,,,Y21,m2,02 February 2021,x,,,,
C39559,,2021-02-21 00:00:00,28098.71,28098.71,USD,In Review,  AAN,ok,ok,,Y21,47,Feb-21-21,,x,,,
C91630,,Feb-21-21,23723.25,23723.25,gbp ,Pending,AAN,ok,ok,,Y21,m2,32/13/2023,,,x,,x
C49763,,32/13/2023,not available,13540.17,EUR,Closed,RAK,ok,ok,junk,Y21,,27 February 2021,,,x,x,
,,2021-02-28,19732.2821699906,,USD,Open,AUH,needs review,needs review,junk,,m2,28 February 2021,,,,,
C40776,,03 February 2021,not available,13402.76,AED,,FJR,ok,ok,,Y21,m2,Feb-03-21,x,,,x,
,,Feb-15-21,"8,543.09",8543.09,OMR,CANCELLED,UAQ,ok,ok,,Y21,21,2021-02-15,,,,,x
C74816,,2021-02-25,not available,-4715.07,EUR,Closed,AAN,!!!,!!!,,Y21,,2021-02-25,x,,,,
C75717,,Feb-04-21,"1,679.25",1679.25,GBP,,DXB,,,junk,Y21,,2021-02-04,,,,,
C76127,,2021-02-26,18407.62,18425.66815163563,EUR,Closed,UAQ,needs review,needs review,junk,0,,2021-02-26 00:00:00,,,,,
,,20/02/2021,,,EUR,Pending,AUH,ok,ok,,,,2021-02-20,,,x,,
C54221,,13 February 2021,12994.222997179255,"12,999.78",OMR,,SHJ,ok,ok,,Y21,m2,2021-02-13,,,,,
C15218,,2021-02-06,-2117.74,,AED,Closed,SHJ,needs review,needs review,junk,Y21,,2021-02-06,,,,,
C66357,junk,12/02/2021,,12614.52108773716,SAR,CANCELLED,AUH,ok,ok,,Y21,m2,32/13/2023,,,,,
C15210,,18/02/2021,18637.96291975195,18656.01,AED,Pending,AUH,needs review,needs review,,Y21,m2,2021-02-18,,,x,,
C76829,,28/02/2021,29474.04089059731,29519.75,GBP,Closed,DXB,ملاحظة,ملاحظة,,,,28 February 2021,,,,,
,,2021-02-14,"2,929.85",not available,AED,CANCELLED,RAK,ok,ok,,0,,Feb-14-21,,x,,,
C96639,,Feb-20-21,,18274.11,EUR,In Review,RAK,ملاحظة,ملاحظة,,Y21,,2021-02-20 00:00:00,,,,,
C28255,,26/02/2021,5736.5,5736.5,GBP,In Review,AAN,ok,ok,,1,m2,26/02/2021,,,,,
C43100,,Feb-03-21,-7875.85,not available,USD,,AAN,!!!,!!!,,,80,2021-02-03,,x,,x,
C80152,,2021-02-18,(214.08),-228.7248561245441,omr ,In Review,AUH,ok,ok,,,m2,2021-02-18,,,,,
,,2021-02-19 00:00:00,,1355.33,SAR,Closed,DXB,needs review,needs review,,,m2,2021-02-19,x,x,,,
C98252,,07/02/2021,10933.93309105897,10963.22,GBP,CANCELLED,UAQ,needs review,needs review,,Y21,19,Feb-07-21,,,,,
C12867,junk,Feb-26-21,not available,,OMR,CANCELLED,SHJ,ok,ok,,Y21,m2,2021-02-26,,,,,
C69388,,09 February 2021,(26843.27),26806.59,USD,CANCELLED,AAN,ok,ok,,Y21,21,0000-00-00,,,,,
C70625,,32/13/2023,12278.98,"12,253.17",USD,Closed,UAQ,ok,ok,,,,25/02/2021,,,,,
C27813,,2021-02-13 00:00:00,17771.133126179153,17745.97,SAR,In Review,RAK,,,,,m2,Feb-13-21,,,,,
C13129,,,8550.43,8550.43,OMR,,DXB,needs review,needs review,junk,0,m2,2021-02-12,,,,,
,junk,2021-02-13,"23,166.17",23201.58,GBP,CANCELLED,AUH,!!!,!!!,,Y21,m2,13/02/2021,,,,,
C86758,,2021-02-17 00:00:00,(21018.31),21018.31,AED,,UAQ,needs review,needs review,,,,17/02/2021,,,,,
C29876,,2021-02-14,not available,,AED,Pending,FJR,needs review,needs review,,Y21,,14/02/2021,,,,x,
C46564,,2021-02-22,8487.19,8525.264615565075,EUR,Pending,RAK,ok,ok,,Y21,m2,Feb-22-21,,,,,
,,2021-02-20,not available,,SAR,,SHJ,ok,ok,,,,20/02/2021,,,,,
C66169,junk,2021-02-18 00:00:00,29689.82,29689.82,AED,CANCELLED,DXB,ok,ok,,,56,2021-02-18,,,,x,x
