 ClientNumber  #,GL_ACC,date,Amt,amount, ISO_CURR  , txn_status  ,Area,OPS_COMMENT,notes,UNUSED,year_added_2021,new_col_202101,Commentary,mystery_2021_01_47,mystery_2021_01_29,mystery_2021_01_18,mystery_2021_01_66,mystery_2021_01_64,Unnamed: 0
,A-1771600,2021-01-23,3159.951036853742,3112.291772012851,EUR,CANCELLED,DXB,ok,ok,,1,m1,ok,x,,,,,
C49210,A-8118722,32/13/2023,24137.37298159287,"24,121.55",USD,CANCELLED,  UAQ,needs review,needs review,,Y21,55,needs review,,,,,,
C34920,A-3294774,21/01/2021,15843.41,15881.05605967066,AED,Pending,UAQ,needs review,needs review,,1,,needs review,,,,,x,x
C19869,A-4785186,2021-01-15 00:00:00,29237.81,29281.83918917796,GBP,Pending,  AUH,,,x,Y21,25,,,,,,x,
C95097,A/5944,10 January 2021,(3557.76),3565.85,SAR,Open,AUH,ok,ok,,Y21,57,ok,,,,,,x
C99873,A-7017548,2021-01-04,,not available,AED,,UAQ,needs review,needs review,,0,,needs review,,,,,,
C42853,A/86647,18 January 2021,(2991.48),(2991.48),EUR,,UAQ,ok,ok,,Y21,m1,ok,,,,x,,
,A-7738019,Jan-01-21,10630.22,10630.22,SAR,Open,AUH,ok,ok,,Y21,45,ok,,,x,,x,
C64239,A-8608449,08 January 2021,-4386.74,-4355.56307147226,SAR,Pending,FJR,ok,ok,,0,m1,ok,,,,,x,
C88696,A-2738129,10 January 2021,not available,-2120.25,SAR,Closed,UAQ,ok,ok,,Y21,45,ok,,,,,,x
C96159,A-3380261,19/01/2021,,-6880.053750756704,OMR,In Review,DXB,needs review,needs review,,Y21,m1,needs review,,,,,,
C73783,A-6174418,2021-01-19,29408.94,29408.94,AED,Open,DXB,ok,ok,,,m1,ok,,,,,,
C85465,A-7785090,11 January 2021,3001.58,3001.58,SAR,Open,AAN,ok,ok,,,m1,ok,,,,,,
C94599,A-4963933,24 January 2021,not available,-503.67,GBP,Closed,UAQ,,,,Y21,90,,,,,,,
C70521,A-1954456,10 January 2021,-5084.22,-5084.22,AED,In Review,RAK,needs review,needs review,x,1,m1,needs review,,,,,,
C78690,A-3663319,15/01/2021,2749.96,,SAR,,AAN,ملاحظة,ملاحظة,,,m1,ملاحظة,,,,,,
C21104,A-7319630,2021-01-23,,,OMR,,UAQ,!!!,!!!,,0,64,!!!,,,,,x,
C59377,A-4034091,Jan-20-21,22772.04003594348,,USD,,SHJ,ok,ok,,1,,ok,,,,,,
C36174,A-3321942,32/13/2023,,10262.44,eur ,In Review,  AUH,,,,Y21,m1,,,,,,,x
C53947,A-3308538,2021-01-21,23530.94,23541.828009911605,OMR,,DXB,,,,Y21,,,,,,,x,
C12154,A-5059048,18/01/2021,(8315.49),8311.08,GBP,Pending,  DXB,needs review,needs review,,0,20,needs review,,,,,,
C86271,A-6578736,04 January 2021,(12748.52),12748.52,omr ,Closed,UAQ,,,,,71,,,,,,,
C47501,A-1802018,Jan-07-21,not available,"-3,269.95",EUR,CANCELLED,SHJ,,,,Y21,33,,,,,,,
C68606,,2021-01-12,2450.9088871995446,2433.1,AED,Open,FJR,ملاحظة,ملاحظة,,1,m1,ملاحظة,,,,,,
C79397,A-6274512,2021-01-05,,28498.88001952542,AED,,DXB,needs review,needs review,x,,m1,needs review,,,,x,,
C82089,A-6032437,2021-01-03,27238.33,27238.33,OMR,Closed,UAQ,needs review,needs review,x,Y21,,needs review,,,,,,
C19666,A-6318841,32/13/2023,9701.66,9701.66,GBP,Pending,DXB,,,,,m1,,x,x,,,,
C90534,A-9431778,32/13/2023,27808.17223687945,27781.07,USD,Closed,  FJR,ملاحظة,ملاحظة,x,,m1,ملاحظة,,,,,x,
C19564,A-3652149,2021-01-15,9648.8,9648.8,EUR,In Review,DXB,ok,ok,,1,,ok,,,,,x,
C85718,A-4184887,11/01/2021,11559.54,11574.966003688962,SAR,Pending,SHJ,ok,ok,,1,m1,ok,x,,,,,
C57516,A-2233658,07 January 2021,,21047.36,EUR,,  RAK,,,,Y21,m1,,,,,,,
C51750,A-6020319,2021-01-20,23475,"23,512.21",GBP,CANCELLED,FJR,needs review,needs review,,,m1,needs review,,,,,,
C91230,A-7378535,2021-01-24,"1,203.47",not available,GBP,,AUH,ok,ok,,Y21,m1,ok,,,,,,
C56437,A-5435261,Jan-18-21,28378.82,28400.98643785943,EUR,In Review,AAN,ok,ok,x,,36,ok,,,,,,
,A-5302415,2021-01-03,-348.8528353718336,-321.42,GBP,Pending,RAK,,,,Y21,m1,,,,,,x,
C36143,A-5819172,21 January 2021,,(5751.82),AED,,RAK,ok,ok,,,m1,ok,,,,,,
,A-3251501,17 January 2021,(673.17),,AED,Pending,DXB,,,,1,,,,,,,,
C68554,A-6530194,08/01/2021,not available,13769.34,EUR,,AAN,,,,0,m1,,,,,,,
C71712,A-4664338,18 January 2021,20650.315677896662,,AED,In Review,SHJ,needs review,needs review,,Y21,m1,needs review,x,,,,,
C70604,A-6170227,,,(1669.37),AED,,DXB,needs review,needs review,,Y21,m1,needs review,,,,x,,
,A/85661,Jan-22-21,-3491.94,-3491.94,GBP,CANCELLED,RAK,ok,ok,,,,ok,x,,,,,
C41544,A-2692765,01 January 2021,,14723.441033558029,OMR,,AUH,ok,ok,,Y21,39,ok,x,,,,,
C32955,A-8167236,19/01/2021,,,OMR,,SHJ,,,,1,m1,,,,,,,x
C80206,A-4195751,32/13/2023,(17599.53),not available,GBP,Open,UAQ,ok,ok,,Y21,m1,ok,,,,,,
C71080,A-8876742,32/13/2023,26744.56,26744.56,EUR,Pending,SHJ,ok,ok,,0,m1,ok,,,x,,,
C56160,A/24124,2021-01-06,"12,601.20",12601.2,OMR,Open,RAK,ok,ok,,,m1,ok,,,,,,
C11553,,2021-01-14,-7348.58,(7348.58),OMR,,SHJ,,,,Y21,22,,,,,x,,
C14152,A-7362994,21 January 2021,-5867.63,-5867.63,AED,,DXB,ok,ok,,1,52,ok,,,,x,,
C51220,A-4475536,Jan-28-21,(23186.25),23205.1810541184,SAR,Open,AAN,ok,ok,,0,59,ok,,,,,,
C13883,A-8558977,2021-01-11,13015.43,(13015.43),SAR,CANCELLED,DXB,ملاحظة,ملاحظة,,Y21,m1,ملاحظة,,,,,,
C68830,A-9597330,14/01/2021,,-4587.283956925045,GBP,Open,RAK,ملاحظة,ملاحظة,,,m1,ملاحظة,,,,,,
C42321,A-9318184,09/01/2021,,9362.352447157826,USD,Pending,AUH,!!!,!!!,,,,!!!,,,,,,
C52714,A-7592357,2021-01-08,13459.44818087104,"13,455.82",GBP,In Review,DXB,,,,,,,,,,,,
,A-8017921,18/01/2021,28800.27,28818.01718958642,OMR,,RAK,ملاحظة,ملاحظة,,Y21,41,ملاحظة,,,,,,
C59036,A-9396422,15/01/2021,-7064.508517019953,(7066.62),AED,Pending,  SHJ,!!!,!!!,,Y21,m1,!!!,,,,,x,
C41970,A-3686631,24 January 2021,28416.53750113741,28421.58,USD,,SHJ,ملاحظة,ملاحظة,,0,m1,ملاحظة,,,,,,
C74157,A-6258048,Jan-22-21,6916.67,6916.67,AED,Pending,AAN,,,,,,,,,,,,
C82733,A-5845843,32/13/2023,"23,995.44",,GBP,Open,  UAQ,needs review,needs review,,Y21,,needs review,,,,,,
C74921,A-2899365,25 January 2021,,,EUR,In Review,UAQ,,,,1,m1,,x,,,,,
C37082,A-1995859,Jan-05-21,2712.748090587277,2672.389622310675,GBP,Closed,AAN,!!!,!!!,,Y21,,!!!,,,,,x,
C85684,A-7949543,2021-01-05,(16101.13),"16,077.86",AED,CANCELLED,  RAK,,,,Y21,m1,,,,,,x,
C27117,A/45055,2021-01-19,"20,935.88","20,965.65",AED,Open,FJR,,,,Y21,m1,,,,,,,
C40689,A-2530068,2021-01-10,129.40310011221106,110,AED,Closed,RAK,ok,ok,,Y21,m1,ok,,,x,x,,
C79534,A-3753418,2021-01-03,(96.11),96.11,OMR,Closed,SHJ,ملاحظة,ملاحظة,,,,ملاحظة,,,,,,
,A-4446807,2021-01-28 00:00:00,,-831.43,SAR,Pending,FJR,ok,ok,,Y21,m1,ok,,,,,,
C44365,A-2014499,2021-01-01,15885.69,15933.12133843546,GBP,,SHJ,needs review,needs review,,Y21,78,needs review,,,,,,
,A-2945931,2021-01-08,(5906.61),-5942.213704580762,OMR,,FJR,,,x,Y21,,,,,x,,,
C92251,A-8636951,2021-01-19,10985.18,10959.63514503567,GBP,Closed,AAN,ok,ok,,,,ok,x,,,,,
C51934,A-2306728,0000-00-00,11077.56,11077.56,AED,Closed,DXB,,,,,,,,,,,,
C42129,A-7879264,Jan-18-21,5164.1,not available,OMR,Open,AAN,ok,ok,x,,m1,ok,,,,,,
C93521,A-2255447,05 January 2021,8529.35,8529.35,USD,Closed,AAN,ok,ok,,,,ok,,,,,,
C70731,A-3011815,10/01/2021,18070.08,,OMR,,RAK,ok,ok,,Y21,,ok,,,,,,
C62505,A-2409947,07 January 2021,26862.29,26862.29,AED,Open,AUH,ok,ok,,,,ok,,,,,,
C14541,A-5123584,05 January 2021,,7655.7,GBP,CANCELLED,AUH,ok,ok,,Y21,35,ok,,,,,,
C46822,A-8913550,32/13/2023,,14191.58,USD,Closed,AUH,ok,ok,,Y21,,ok,,,,,,
C74517,A-3945353,2021-01-27,,-5865.62,GBP,Closed,AUH,needs review,needs review,,Y21,m1,needs review,x,x,,,,
C54113,A-3289279,04/01/2021,8580.451726471892,"8,601.00",OMR,CANCELLED,FJR,ok,ok,,Y21,,ok,,,,x,,
C75035,A-2305378,2021-01-04 00:00:00,(4141.71),4096.5247457733285,OMR,Open,UAQ,,,,Y21,m1,,x,,,x,,
C39567,A-2236638,32/13/2023,"4,111.24",4111.24,AED,Open,AAN,ok,ok,x,Y21,19,ok,,,,,,
C80795,A-5723173,24 January 2021,-6113.85,-6113.85,GBP,In Review,UAQ,needs review,needs review,,Y21,m1,needs review,,,,x,,
C34232,A-7399588,2021-01-13 00:00:00,-6304.56,not available,SAR,CANCELLED,AAN,ok,ok,x,1,,ok,,,x,,x,
,A-1582647,03 January 2021,11639.06,not available,GBP,,RAK,ok,ok,,Y21,,ok,,,,,,
C11620,A-9767135,15 January 2021,,-2313.59,GBP,In Review,RAK,,,,,,,,,,,x,
,A-7248518,32/13/2023,22135.721998100875,22158.78,EUR,Pending,UAQ,needs review,needs review,,,m1,needs review,,x,x,,,
C62872,A-9796063,2021-01-17,-674.48,-674.99,USD,,AUH,ok,ok,,Y21,,ok,x,,,,x,
C21847,A-7485495,,13745.81,13745.81,USD,,DXB,ملاحظة,ملاحظة,,Y21,62,ملاحظة,,,,,x,x
C43029,A-6069153,15/01/2021,15697.03,,GBP,Open,AUH,needs review,needs review,,1,86,needs review,,,x,x,x,
C51888,A-1427068,2021-01-22 00:00:00,,3232.98,SAR,CANCELLED,SHJ,,,,Y21,38,,,,,,,
C95778,A-6960666,2021-01-11 00:00:00,"3,669.24",3669.24,EUR,Pending,AAN,ملاحظة,ملاحظة,,,m1,ملاحظة,,x,,,,
C28772,A-4025884,2021-01-15,16007.22524563077,15979.25,USD,Pending,FJR,ok,ok,,Y21,31,ok,,,,x,,
C98702,A-5174559,01/01/2021,5094.92699186155,5134.837240982793,USD,Open,SHJ,needs review,needs review,,Y21,m1,needs review,,,,,,
C12872,A-3835093,2021-01-24 00:00:00,"16,720.53",16720.53,AED,CANCELLED,FJR,ok,ok,,0,16,ok,,,,,,
C27978,A-2760168,20/01/2021,-3526.09,not available,AED,,AUH,needs review,needs review,,,,needs review,,,,,,
,,03/01/2021,(3208.34),not available,SAR,Open,AUH,,,,,,,,x,,x,,
C45629,A-9023619,Jan-15-21,"22,282.56",,AED,Closed,FJR,,,,Y21,85,,,x,,,,
C98857,A/87798,28/01/2021,,11725.79,OMR,,RAK,ok,ok,x,Y21,94,ok,,,,,,
C59628,A-4942645,2021-01-21,22447.93,,SAR,Open,UAQ,needs review,needs review,x,Y21,,needs review,,,,,x,x
C69566,A-8937865,28/01/2021,"19,204.71",19204.71,AED,Open,UAQ,ملاحظة,ملاحظة,,Y21,,ملاحظة,,,,,,
C34979,A-2808009,2021-01-26,27211.81,,OMR,In Review,AUH,,,,Y21,,,,,,,,
,A/79823,2021-01-11 00:00:00,"20,950.13",not available,EUR,CANCELLED,AAN,!!!,!!!,,,m1,!!!,,,,,,
C93476,A-2936178,Jan-23-21,10254.06,10254.06,GBP,,FJR,needs review,needs review,,,,needs review,,x,,,,
C69322,A-4763253,27/01/2021,6825.272272205612,6777.69,GBP,,UAQ,,,,1,,,x,x,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,,,
 ClientNumber  #,GL_ACC,date,Amt,amount, ISO_CURR  , txn_status  ,Area,OPS_COMMENT,notes,UNUSED,year_added_2021,new_col_202101,Commentary,mystery_2021_01_47,mystery_2021_01_29,mystery_2021_01_18,mystery_2021_01_66,mystery_2021_01_64,Unnamed: 0
C89087,A-4246352,2021-01-18,,,AED,Closed,DXB,,,,Y21,m1,,,x,,,,
C51662,A-4084811,23/01/2021,not available,11195.33,SAR,In Review,RAK,needs review,needs review,,Y21,37,needs review,,,,,,
,A-2902100,2021-01-11,,19514.86748309643,AED,In Review,UAQ,,,,Y21,,,x,,,,,
C67047,A-2209981,Jan-25-21,-7097.39,"-7,097.39",OMR,Pending,  AUH,ok,ok,,Y21,42,ok,,,,,,
,A-2780658,2021-01-03,(3451.33),3486.276743805501,AED,Pending,UAQ,!!!,!!!,x,Y21,m1,!!!,,x,,,,x
C26152,A-7611593,2021-01-05,"-4,765.18",-4765.18,USD,,FJR,,,,Y21,,,,,,,,
C22871,A-9173698,2021-01-09 00:00:00,17509.23,,USD,Open,AAN,ملاحظة,ملاحظة,,Y21,m1,ملاحظة,,,,,,
C70666,A-6124966,32/13/2023,-1320.73,-1320.73,GBP,Open,UAQ,ok,ok,,,m1,ok,,,,,,
C61445,A-5882155,12 January 2021,11395.66,11395.66,SAR,Pending,RAK,ok,ok,,,88,ok,,,,,,
C37102,A-7060792,Jan-22-21,9276.45,,AED,Open,FJR,ok,ok,,,43,ok,,x,,,x,
C67658,A-2293325,05 January 2021,37.65,37.65,USD,Closed,  AAN,ملاحظة,ملاحظة,,0,,ملاحظة,,,,,,
C33597,,32/13/2023,(16239.74),"16,197.85",OMR,,FJR,,,,Y21,,,,,,,,
C76107,A-3509220,Jan-28-21,(10122.73),10083.03,GBP,In Review,  AUH,,,,Y21,m1,,,x,,,,
C85513,A-3246185,25 January 2021,835.49,835.49,AED,Pending,RAK,,,,Y21,,,,,,x,,
C99208,A-4417412,2021-01-09 00:00:00,"13,222.88","13,182.04",USD,Pending,RAK,needs review,needs review,,,m1,needs review,,,,,,
C21939,A-8913286,Jan-01-21,-5564.94,"-5,532.92",USD,Pending,AUH,ملاحظة,ملاحظة,,,61,ملاحظة,x,,,,,
C98345,A-5014060,06 January 2021,-2017.1,,EUR,,SHJ,needs review,needs review,,Y21,35,needs review,,,,,,
C83220,A/44561,04 January 2021,22557.933872530164,22511.81,eur ,In Review,UAQ,,,,1,58,,,,,,,
C80208,A-5418274,Jan-17-21,(7159.36),(7128.38),OMR,,AAN,ok,ok,,Y21,m1,ok,,x,x,,,
,A-9265544,Jan-03-21,24610.99068296725,24569.39,AED,,SHJ,needs review,needs review,,Y21,,needs review,,,,,,
C77922,A-1141240,Jan-23-21,6418.26,6418.26,AED,Pending,AAN,ملاحظة,ملاحظة,x,Y21,m1,ملاحظة,,,,,,
C40907,A-7390162,09 January 2021,28427.623418215342,28447.62,USD,CANCELLED,  UAQ,ok,ok,x,Y21,90,ok,,,,,,
C43779,A-7908201,2021-01-26 00:00:00,(17824.26),17812.36709984128,GBP,Closed,RAK,needs review,needs review,,,m1,needs review,x,,,,x,
C55039,A-6316334,06/01/2021,2163.95,not available,OMR,CANCELLED,AAN,,,,1,,,,x,,,,
C23622,A-3605071,2021-01-03,25647.91,25684.334114164823,EUR,Closed,DXB,,,,1,26,,,,,,,
C67013,A/40588,2021-01-19,10337.55464883827,10302.76,USD,,AUH,needs review,needs review,,Y21,m1,needs review,,,,,,
C83472,A-5192561,2021-01-14 00:00:00,(16547.65),,SAR,Closed,AAN,ok,ok,,0,,ok,,,,,,
C23405,A-3097809,Jan-06-21,,(7688.24),AED,Closed,AUH,needs review,needs review,,Y21,,needs review,x,x,x,,,
C68059,A-1562209,2021-01-25,21299.94262529175,21297.85,GBP,,DXB,needs review,needs review,,,30,needs review,,,,,,
C41862,A-1704531,26/01/2021,10086.24601649965,10060.29,GBP,Closed,AAN,,,,Y21,21,,,,,,x,
C59514,A/32860,01/01/2021,not available,10407.514340909776,SAR,In Review,AAN,needs review,needs review,,Y21,33,needs review,,,,,x,
C91290,,12/01/2021,"23,123.89",,usd ,In Review,FJR,needs review,needs review,,0,m1,needs review,,,,,,
C58018,A/1716,02 January 2021,-67.95,(67.95),SAR,,  AUH,needs review,needs review,,Y21,,needs review,,,,,,
,A-7965641,Jan-19-21,"16,267.72",16267.72,EUR,,SHJ,,,,,,,,x,,,x,
C83812,A/72121,2021-01-08,,(1655.39),SAR,CANCELLED,SHJ,ok,ok,,,m1,ok,,,,,,
,A-5191903,09 January 2021,3411.49,3421.013120255958,GBP,CANCELLED,RAK,,,,0,m1,,,,,x,,x
C39716,A-1191837,2021-01-28,6523.788270451903,6534.5,EUR,In Review,AUH,ok,ok,,Y21,m1,ok,,,,,,
C66949,A-3187332,17/01/2021,"13,212.21",13253.25,SAR,CANCELLED,FJR,needs review,needs review,,Y21,,needs review,,,,,,
C40603,A-7271672,2021-01-02 00:00:00,24405.04,24405.04,AED,,AUH,ok,ok,,,m1,ok,,,,,,
C96969,A-5285846,19 January 2021,,-358.6088855247772,OMR,In Review,AAN,ok,ok,,Y21,m1,ok,,x,,,,
C12816,A-9882115,32/13/2023,6949.19,,USD,Open,AAN,,,,1,,,,,,,,
C91988,A-8001691,2021-01-28 00:00:00,8205.67,,EUR,In Review,AAN,needs review,needs review,,Y21,27,needs review,,,,,,
C51628,A-3441467,2021-01-06,4121.318159766903,4110.12,SAR,CANCELLED,AAN,needs review,needs review,,Y21,m1,needs review,,,,,,
C60785,A-3307080,32/13/2023,"-6,775.28",-6736.521308415842,AED,Pending,SHJ,ok,ok,x,,m1,ok,,,,,,
C15047,A-8576751,32/13/2023,,-6388.2,USD,In Review,RAK,needs review,needs review,,0,,needs review,,,,,,
C81618,A-7938373,2021-01-19 00:00:00,(1202.61),"-1,202.61",GBP,,  DXB,,,,Y21,98,,,,,,,
C53934,A/21250,2021-01-06,"-1,203.06",-1203.06,OMR,Open,SHJ,ok,ok,,Y21,m1,ok,x,,,,,
C10861,A-5665960,20 January 2021,,23164.61,USD,Open,DXB,ok,ok,,Y21,14,ok,,,,,,
C49229,A-7357547,2021-01-03 00:00:00,24045.77,,AED,Pending,SHJ,ok,ok,,Y21,62,ok,,,,,,
C90516,A-9719216,05 January 2021,"10,685.90",10715.17,USD,In Review,DXB,,,,Y21,13,,,,,,,
C10803,A-6591559,25 January 2021,13619.02,,AED,,DXB,ok,ok,,,,ok,,x,,,,
C85680,,2021-01-07,not available,2657.48,AED,Pending,SHJ,ملاحظة,ملاحظة,x,0,m1,ملاحظة,,,,,,
C68166,A-9097744,0000-00-00,(4924.40),"4,924.40",SAR,,  UAQ,needs review,needs review,,Y21,,needs review,,,,,,
C50957,A/83736,2021-01-22,"4,193.45",4193.45,USD,Pending,AAN,needs review,needs review,,1,m1,needs review,,,,,,
C16648,A-8897632,2021-01-15,6607.71998231462,6603.2328283763645,AED,CANCELLED,SHJ,ok,ok,,1,m1,ok,,,,,,
C90863,A-7097668,05/01/2021,26856.05,26866.49402314326,EUR,,UAQ,,,,Y21,18,,,,,,,
C41941,A-9092903,2021-01-20,-86.95,-79.53117091898011,OMR,In Review,SHJ,,,,1,53,,x,,,,,x
C59664,A-2031500,25/01/2021,-2721.16,-2721.16,GBP,,FJR,,,,0,67,,,,,,,
C62978,A-5935599,2021-01-17,12857.64,12857.64,AED,Open,FJR,needs review,needs review,,Y21,,needs review,,,,,x,
C97826,A-1194661,,not available,-2528.16,SAR,,SHJ,!!!,!!!,,Y21,,!!!,,,,,,
C85543,A-1635269,Jan-18-21,"6,005.99","6,005.99",GBP,CANCELLED,FJR,ok,ok,,Y21,20,ok,,,,,,
C53452,A-5942868,Jan-19-21,18411.94,18364.669808752846,GBP,,  AAN,,,,Y21,70,,,,,,,
C29809,A-7203657,Jan-19-21,(18663.21),18629.45,SAR,Closed,UAQ,needs review,needs review,,Y21,,needs review,,x,,,x,
C62264,A/97800,2021-01-15,"27,048.33",27071.73763109138,USD,CANCELLED,FJR,,,,Y21,,,,,x,,,
C86569,A-5056679,21 January 2021,21278.9,21278.9,GBP,Pending,FJR,,,,Y21,11,,,,,,x,
C25963,A-3012881,21/01/2021,-3063.52,,OMR,,FJR,needs review,needs review,,,m1,needs review,,,,,,
C44690,,2021-01-09 00:00:00,-353.0299682249157,-374.57,SAR,Closed,FJR,needs review,needs review,x,0,m1,needs review,,,,,,
C85319,A-9232235,13/01/2021,24073.87,,AED,In Review,DXB,ok,ok,,Y21,,ok,,,,,,
C49173,A-2791270,07/01/2021,10501.470763768353,,OMR,CANCELLED,FJR,ok,ok,,Y21,m1,ok,,,,,,x
C29523,A-4908850,2021-01-18,-2619.56,-2623.94154070733,OMR,Open,SHJ,,,,Y21,m1,,,,,x,,x
C98918,A-3026728,24/01/2021,-2781.48,,USD,,AUH,ملاحظة,ملاحظة,,Y21,m1,ملاحظة,,,,,,
,A-7983050,2021-01-21,21357.38,"21,357.38",OMR,Closed,DXB,ok,ok,,1,m1,ok,,,,,,
C80742,A-8788252,2021-01-28,2504.21,2504.21,USD,Open,UAQ,ok,ok,,Y21,30,ok,,,,,,
C68303,A-6468907,08/01/2021,17720.4,,EUR,Closed,UAQ,ok,ok,,Y21,,ok,,,,,,
C84536,A-3290115,32/13/2023,9426,9426.0,USD,,AAN,ok,ok,,1,,ok,,,,x,,
,,2021-01-08 00:00:00,-6477.77,(6477.77),SAR,,UAQ,needs review,needs review,,1,,needs review,,,,,,
C84760,A-1409590,2021-01-15 00:00:00,"-2,732.29",-2732.29,OMR,CANCELLED,DXB,,,,1,m1,,,,,,,
C98428,A-1865076,17/01/2021,"9,683.41",not available,AED,Pending,AAN,ok,ok,,0,m1,ok,x,,,,,
C79033,A-8888040,17/01/2021,,23364.4,EUR,CANCELLED,RAK,needs review,needs review,,Y21,m1,needs review,,,,,,
C68177,A-1360413,14/01/2021,"-7,162.61",-7168.084369631702,USD,,RAK,ملاحظة,ملاحظة,,1,93,ملاحظة,,,,,,
C31805,A-3697606,15/01/2021,-1073.34,-1073.34,usd ,,FJR,,,,Y21,m1,,,,,,,
,A-6372365,16 January 2021,20105.03921016969,20062.81,gbp ,Pending,FJR,,,,,83,,,,,,,
C86471,A-5662844,Jan-07-21,"12,459.67","12,459.67",SAR,,FJR,!!!,!!!,,Y21,50,!!!,,,,,,x
C64474,A-5842475,,,28873.71,SAR,,SHJ,ok,ok,,Y21,48,ok,,,,,,
C49582,A-6098837,2021-01-02 00:00:00,9602.885677216182,9611.17,AED,,AUH,ok,ok,,,91,ok,,,,,x,
C25674,A-1294357,32/13/2023,-5776.61,(5775.22),EUR,CANCELLED,FJR,ok,ok,,Y21,m1,ok,,x,x,,,
C57516,A-6899361,23 January 2021,"11,696.36","11,725.10",EUR,,SHJ,needs review,needs review,,Y21,29,needs review,,,,,,
,A-9776515,2021-01-05,"3,578.00",(3535.77),OMR,,  AUH,ok,ok,,0,m1,ok,,,,,,
C11346,A-3076911,22/01/2021,26244.64,26218.822252217014,USD,,AAN,ok,ok,,,,ok,,,,,,
,A-8964404,2021-01-04,-1002.858459752573,(965.22),OMR,Open,DXB,,,,Y21,m1,,,,,,,
C39605,A-5875279,2021-01-15 00:00:00,-5354.85,-5354.85,SAR,,AAN,ok,ok,,1,m1,ok,,,,,,
