C13640,A-3645228,2021-03-05 00:00:00,-3553.03,"-3,553.03",EUR,,UAQ,needs review,needs review,,Y21,m3,UAQ,,,,,
C43975,A-1454123,22 March 2021,4906.41,,USD,Closed,FJR,ok,ok,,Y21,83,FJR,,x,,,x
C64677,A/39054,18 March 2021,-4048.71,-4048.71,GBP,Open,RAK,ok,ok,,Y21,,RAK,,,,,
,A-7699071,2021-03-13 00:00:00,20323.52,20323.52,GBP,CANCELLED,  FJR,ok,ok,,1,24,FJR,,,,,
C24669,A-8491253,2021-03-19,7437.55,7429.774833674596,GBP,In Review,RAK,ok,ok,,0,75,  RAK,,,,,
C22630,A-1778685,28 March 2021,"2,265.81","2,265.81",GBP,Closed,RAK,,,,1,,RAK,,,,,x
C75745,A-7465343,2021-03-07 00:00:00,,28470.07,USD,,SHJ,needs review,needs review,,0,m3,SHJ,,,,,
C89793,,08 March 2021,,"5,274.45",USD,CANCELLED,FJR,ملاحظة,ملاحظة,,0,,FJR,,x,,,
C42422,A-3138015,Mar-09-21,"28,347.85",28347.85,AED,CANCELLED,  RAK,,,,,63,RAK,,,,x,
C32389,A-6937488,2021-03-25 00:00:00,-2742.1,-2742.1,SAR,Closed,AAN,ملاحظة,ملاحظة,,Y21,38,AAN,,,,,
C67392,A-7649771,03 March 2021,-7853.8,"-7,884.45",GBP,CANCELLED,AAN,,,,Y21,55,AAN,x,,,,
C79889,A-7389110,32/13/2023,,12280.76,EUR,Pending,AAN,ok,ok,,0,,AAN,,x,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,,
clientnumber#,Account ID*,POSTING_DATE, NET_VALUE  ,Value,currency_code,txn_status !!,branch_region,NOTES, remarks  ,,year_added_2021,new_col_202103,BR_CODE,mystery_2021_03_12,mystery_2021_03_67,mystery_2021_03_38,mystery_2021_03_19,mystery_2021_03_69
C23680,A/72913,Mar-17-21,(13779.11),,USD,,FJR,,,,Y21,,  FJR,,,,,
C99084,A-7549444,02 March 2021,-4130.74,,GBP,Pending,FJR,ok,ok,,Y21,22,FJR,,,,,
C14576,A-4423305,Mar-21-21,18141.42,not available,AED,Closed,AAN,,,,,m3,AAN,,,,,
C88296,A-9014254,2021-03-20 00:00:00,(8167.87),8167.87,USD,Closed,UAQ,ok,ok,,Y21,,UAQ,,,,,x
C40377,A-6243548,32/13/2023,"-4,900.80",-4847.188172398714,USD,Pending,AAN,,,junk,Y21,,AAN,,,,,
C42293,A-6385234,18 March 2021,13057.47,13057.47,USD,Closed,RAK,ملاحظة,ملاحظة,,0,m3,RAK,,,,,
C50272,A-4864146,Mar-15-21,,not available,usd ,Pending,SHJ,,,,Y21,m3,  SHJ,,,,x,
C41410,,07 March 2021,8230.71,,AED,In Review,  SHJ,needs review,needs review,,,m3,SHJ,,,,,
C77090,A/73994,16/03/2021,not available,5537.14,OMR,CANCELLED,DXB,ok,ok,,Y21,m3,DXB,x,,,,
C87010,A-1486424,2021-03-20 00:00:00,-6167.48,-6167.48,GBP,In Review,AAN,needs review,needs review,,0,,AAN,,,,,
C97817,A-8680964,Mar-27-21,,-1513.53,EUR,,UAQ,,,,1,m3,UAQ,x,x,x,,
,A-8580838,21 March 2021,27196.75,27199.05722874024,GBP,In Review,  AAN,,,,,,AAN,,,,x,
C85775,A-9249090,,,27919.88,EUR,In Review,AUH,,,,0,89,AUH,,,,,x
C76137,A-1346743,11 March 2021,28525.02,28525.02,AED,,UAQ,ملاحظة,ملاحظة,,Y21,m3,UAQ,,,,,
C85231,A-9910694,2021-03-02 00:00:00,22308.84,"22,308.84",GBP,,AUH,ok,ok,,Y21,m3,AUH,,,,,
C42157,A-5059993,19/03/2021,"-7,729.65",-7697.608864289839,EUR,In Review,AAN,!!!,!!!,,Y21,,AAN,,,,,
,A-8911074,05/03/2021,-6929.42,-6929.42,USD,In Review,RAK,needs review,needs review,,Y21,,RAK,,,,,
,A-7871859,2021-03-18,6185.59,6186.501012941869,AED,Open,DXB,ملاحظة,ملاحظة,,Y21,m3,DXB,,,,,
C15885,A-7746654,19 March 2021,"24,701.42",24701.42,OMR,,RAK,ملاحظة,ملاحظة,,0,32,RAK,x,,,x,
C26159,A-4297494,16 March 2021,8143.09,8143.09,GBP,In Review,  AUH,,,,,,AUH,,,,,
C47219,A-8541478,13 March 2021,-4369.927537379866,-4416.86,OMR,Open,RAK,ok,ok,,,m3,RAK,,,x,x,
C95507,A-8748142,2021-03-24,,20802.55,AED,Open,AUH,,,,1,m3,AUH,,,,,
C83140,A/33523,2021-03-24,"13,844.17",13824.78,USD,Closed,DXB,needs review,needs review,,,m3,DXB,,,,,
C62344,A/7352,2021-03-18,-2245.04,-2245.04,AED,Open,RAK,ok,ok,,Y21,,  RAK,,,,,
C70475,A-8742335,26 March 2021,21590.31,21590.31,OMR,CANCELLED,DXB,ok,ok,,Y21,58,DXB,,,,,
C31913,A-2147606,19 March 2021,9250.316712600401,9281.95,EUR,Closed,SHJ,ok,ok,,,m3,SHJ,,,,,
C68468,A-8960123,Mar-10-21,-7141.05,-7119.029990424819,OMR,Closed,SHJ,ملاحظة,ملاحظة,junk,Y21,,SHJ,,,,,
C97479,A-2525364,,12538.72,,SAR,,FJR,ok,ok,,Y21,m3,  FJR,,,,,
C84958,A-5891832,2021-03-04,-3036.08,-3036.08,SAR,Pending,AUH,ok,ok,,Y21,m3,AUH,,,,,
C11275,A-3793401,2021-03-23,10683.38,(10683.38),OMR,Closed,UAQ,ok,ok,,Y21,,UAQ,,,,,
C25901,A-7814800,2021-03-03,not available,28295.62696696189,AED,CANCELLED,  RAK,,,,,27,RAK,,,x,,x
C65739,A-5328743,0000-00-00,-6074.84,-6072.500862742081,GBP,,UAQ,!!!,!!!,,1,m3,UAQ,,,,x,
C34787,A-1201969,2021-03-01,"4,309.79",4302.984243640912,USD,Pending,  SHJ,needs review,needs review,,Y21,83,SHJ,,x,,,
,A-4732799,32/13/2023,,,EUR,Open,DXB,!!!,!!!,,Y21,m3,DXB,,,,,
C82307,A-2798230,32/13/2023,"7,865.65",7909.57,AED,,  DXB,,,,Y21,m3,DXB,,,,x,
C26666,A-8167490,07/03/2021,(3219.26),-3270.5951201498087,omr ,Pending,RAK,,,,Y21,m3,RAK,,,,,
C24034,A-6585073,01/03/2021,,10970.38,OMR,,FJR,!!!,!!!,,Y21,m3,FJR,,,,,
,A-7714063,26 March 2021,2469.69518119194,2490.35,AED,In Review,SHJ,,,,,66,SHJ,,x,,,
C26456,A-5561309,05 March 2021,3675.07,3660.698032806238,SAR,,UAQ,needs review,needs review,junk,,m3,UAQ,,,x,,
C90276,A-4281032,Mar-23-21,,12185.46,SAR,Closed,AUH,,,,Y21,m3,  AUH,,,,,
C15733,A-3701095,2021-03-04,,16921.41174648692,EUR,Open,UAQ,,,,,,  UAQ,,,,,
C87624,A-1830449,2021-03-18 00:00:00,2497.8194006909694,2488.85,AED,Closed,AAN,,,,,m3,AAN,,,,,
C16675,A-5334737,2021-03-25,2826.02,"2,826.02",omr ,CANCELLED,UAQ,needs review,needs review,,,m3,UAQ,x,,,,
C17371,A/14674,2021-03-25,(3980.22),-3980.22,AED,In Review,FJR,needs review,needs review,,,m3,FJR,x,,x,,
C33863,A-1250389,32/13/2023,12834.888727808846,,EUR,CANCELLED,UAQ,!!!,!!!,,Y21,m3,UAQ,,,,,
C67997,A-6981200,2021-03-13,18223.55,18223.55,USD,In Review,UAQ,!!!,!!!,,1,m3,UAQ,,,x,,
C30518,A-4554778,2021-03-26,not available,,GBP,,DXB,needs review,needs review,,1,47,DXB,,,,x,
C48115,A-5111559,32/13/2023,27557.29,not available,EUR,Closed,AAN,needs review,needs review,,Y21,,AAN,,,,,
,A-6528357,2021-03-03 00:00:00,14537.669817974684,14506.46,GBP,CANCELLED,RAK,ok,ok,,Y21,,RAK,,,,,
C18474,A-1458294,2021-03-12 00:00:00,"23,422.58",23422.58,SAR,Open,AAN,needs review,needs review,,,71,AAN,x,,,,x
C70164,A-7431086,Mar-23-21,-1435.18,-1435.18,eur ,,UAQ,needs review,needs review,,,m3,UAQ,,,x,,
,A-7725763,24/03/2021,-2742.2,,GBP,Closed,DXB,,,,1,70,DXB,,,,,
C89165,A-8956852,2021-03-17 00:00:00,20203.74,,EUR,In Review,UAQ,needs review,needs review,,,m3,  UAQ,,,x,,
C72502,A-7751842,2021-03-06,9306.78,,USD,Closed,AUH,,,,,28,  AUH,,,,,
C62972,A-4903872,,,27719.88,SAR,In Review,  AUH,ok,ok,,Y21,,  AUH,,,x,,
,A/5157,32/13/2023,18039.53,18005.52096846819,AED,Pending,RAK,ok,ok,junk,Y21,m3,  RAK,,,,,
,A-6453433,32/13/2023,,321.39,GBP,Closed,DXB,needs review,needs review,,,m3,DXB,,,,x,
C82478,A-6970972,06/03/2021,2053.3195850284274,2061.45,OMR,,RAK,needs review,needs review,,1,,RAK,,,x,,
,A-6021304,2021-03-06,,2620.73,GBP,In Review,AUH,ملاحظة,ملاحظة,,,,AUH,,,,,
,A-4792260,2021-03-26,22889.47142478521,22900.06,GBP,Pending,FJR,,,,,m3,FJR,,,x,,
,A-1965230,32/13/2023,20551.56,20551.56,SAR,Pending,  UAQ,ملاحظة,ملاحظة,,,m3,UAQ,,,,,
C22817,A-4033513,2021-03-26,"18,713.64",,AED,CANCELLED,AAN,ok,ok,,Y21,,AAN,,,,,
C96487,A-9943029,06/03/2021,-2777.71,-2777.71,AED,Closed,DXB,,,,Y21,,DXB,,,,,
,A-7280747,0000-00-00,(24678.84),24659.091111665115,USD,Open,RAK,needs review,needs review,,1,m3,RAK,,,,,
C66360,A/80939,Mar-18-21,-1671.165911194614,,SAR,,RAK,ملاحظة,ملاحظة,,Y21,m3,RAK,,,,,
C57502,A/83578,2021-03-06,(20010.33),"20,010.33",AED,,RAK,needs review,needs review,,Y21,m3,RAK,,,,,
C32220,A-5121891,2021-03-28,13649.8,,USD,In Review,AUH,,,,Y21,m3,AUH,,,,,
C85356,A-7219910,2021-03-03,,-1249.81,usd ,Pending,UAQ,needs review,needs review,,,m3,UAQ,,x,,,x
C46881,A/93485,13/03/2021,-7607.71,,GBP,Pending,DXB,needs review,needs review,,Y21,m3,DXB,,,,,
C22994,A-5630877,0000-00-00,"20,456.90",20467.34051668966,SAR,Closed,SHJ,needs review,needs review,,1,,SHJ,,x,,,
C74803,A-4167297,Mar-03-21,-1055.42,-1025.8069430747848,USD,Pending,RAK,ok,ok,,Y21,m3,RAK,,x,,,
C27932,A-1695624,2021-03-27,-1415.067855198952,-1450.858311070218,GBP,CANCELLED,FJR,,,,0,10,FJR,x,,,,
C66012,A-9199507,22 March 2021,(20007.49),20053.79188633214,EUR,Closed,SHJ,needs review,needs review,,Y21,m3,SHJ,x,,,,
C18800,A-5981736,2021-03-26,6116.259297407471,"6,165.15",GBP,,RAK,needs review,needs review,,Y21,,RAK,,,x,,x
C42503,A-8127058,08 March 2021,33.20936445729133,,SAR,CANCELLED,FJR,needs review,needs review,,Y21,61,  FJR,,,,,
C98637,A-1783342,11 March 2021,-151.898857995417,-170.76,SAR,Closed,AAN,ملاحظة,ملاحظة,,0,98,AAN,,,,,x
C20190,A-7735594,,-6869.9,(6861.76),SAR,Closed,DXB,,,,Y21,30,DXB,,,,,
C36748,A-4915473,25/03/2021,"20,026.43","20,026.43",AED,In Review,SHJ,,,,1,m3,SHJ,,,,,
C57027,A-8022049,Mar-10-21,,6478.739914866517,USD,Open,RAK,ok,ok,,Y21,m3,RAK,,x,,,
,A-1093623,16 March 2021,28201.41050424975,28284.47843449324,EUR,,DXB,ملاحظة,ملاحظة,,,77,DXB,,,,,
C30457,A-6005378,2021-03-20,"-6,173.85",,AED,In Review,FJR,needs review,needs review,,Y21,m3,FJR,,,,,
C92751,A-2262686,15/03/2021,8073.33,,GBP,,  AUH,,,,,,AUH,,,,,
C87969,A-4085001,32/13/2023,,29936.15,OMR,,SHJ,,,,Y21,,SHJ,,,,,x
C17706,A-7320355,23 March 2021,(7970.77),,EUR,Closed,SHJ,ok,ok,,Y21,m3,SHJ,,,x,x,
,A-8579433,04/03/2021,"6,049.10",6038.67,OMR,CANCELLED,SHJ,ok,ok,,,m3,SHJ,,x,,,
C34378,A-7491970,Mar-09-21,7607.7,"7,607.70",GBP,Closed,AUH,needs review,needs review,,Y21,,AUH,,,,,
C82462,A-7707820,Mar-11-21,,19015.69984697269,SAR,In Review,DXB,needs review,needs review,,Y21,m3,DXB,,,,,x
C48992,A-8825067,Mar-10-21,15443.71,,OMR,Open,UAQ,ok,ok,,,,UAQ,,,,x,
,A/38909,,,"4,527.12",OMR,,DXB,ok,ok,junk,Y21,m3,DXB,,,x,,x
C79985,A-1072374,13/03/2021,(5850.82),(5850.82),OMR,Open,SHJ,ملاحظة,ملاحظة,,Y21,m3,SHJ,,,,,
C96068,A-6297381,03/03/2021,-6004.290484680503,"-6,030.47",SAR,CANCELLED,DXB,ملاحظة,ملاحظة,,Y21,m3,DXB,,,,,
C34097,A-6209474,2021-03-24,,2910.40282198678,GBP,Open,UAQ,ok,ok,,Y21,m3,UAQ,,,,x,
