Customer Id,GL_ACC,Date#,VALUE,amt,Unnamed: 0,txn_status,branch_region, REASON_TEXT  ,reason_text,,year_added_2023,new_col_202311,mystery_2023_11_1,mystery_2023_11_40
,A/49179,0000-00-00,-1121.87,,,In Review,UAQ,needs review,needs review,,Y23,43,,
C21637,A-8621860,Nov-06-23,,10466.19,,In Review,  FJR,ok,ok,junk,Y23,m11,,
,A-8870630,2023-11-26,6313.79,(6313.79),,,RAK,,,,Y23,,x,
C21554,A-8959062,2023-11-20,,8241.33,,Open,UAQ,needs review,needs review,,0,45,,
C84599,A-4800240,Nov-04-23,(1918.44),-1947.39,,Closed,AUH,ok,ok,,,m11,,x
,A-7439020,20/11/2023,11028.38,11024.42829764638,,CANCELLED,FJR,ok,ok,junk,,m11,,
C59458,A-2981916,2023-11-14,15524.44,,,CANCELLED,AAN,,,,Y23,62,,
C88548,A-4224657,Nov-07-23,-912.77,-912.77,,Pending,SHJ,needs review,needs review,,Y23,,,
C67229,A-1288100,24 November 2023,23482.53,23482.53,,,  AUH,,,,,,,
C92034,A-5044748,2023-11-24,9941.42,,,Open,DXB,ok,ok,,Y23,m11,x,
C65018,A-9814187,04/11/2023,,"19,012.00",,,FJR,,,,,81,,
C34147,A-8001792,17/11/2023,(11725.43),11761.5,,Open,UAQ,needs review,needs review,junk,,58,,
C46233,A-3644920,23/11/2023,20905.67914536148,20956.53157646568,,In Review,RAK,ok,ok,,Y23,17,x,
C92449,A/91312,0000-00-00,24960.3146944074,24931.25665376278,,Pending,DXB,ok,ok,,0,,,
C34089,A-9462549,2023-11-05,,17894.35,,,DXB,needs review,needs review,,,96,,
C16091,A-3762654,28 November 2023,"2,618.97",,,CANCELLED,AUH,,,,Y23,m11,,
,A-8334187,02/11/2023,20315.57,"20,267.48",,Closed,  AAN,,,,Y23,m11,x,
C93356,,Nov-21-23,1733.28,(1742.33),,In Review,AAN,ok,ok,,1,,,
C79990,A-8878622,2023-11-06 00:00:00,(17060.03),17042.96,x,,FJR,,,,Y23,,,
C42537,A-8924545,2023-11-17,11709.02,11750.55713967255,,Closed,SHJ,,,,Y23,,,
,A-1938598,2023-11-25,9314.01,not available,x,In Review,  UAQ,ok,ok,,0,80,,x
C49040,A-3008842,2023-11-10 00:00:00,26894.27724379846,not available,,,AAN,ok,ok,,1,,,
C69846,A-7638421,06 November 2023,16575.49,not available,,,UAQ,needs review,needs review,,0,m11,,
C95176,A/48846,2023-11-24,,25887.18,,,AAN,ok,ok,,,,,
,A-3513449,32/13/2023,,not available,,Pending,  RAK,!!!,!!!,,Y23,m11,,
C59163,A-7714532,2023-11-02 00:00:00,22876.38589063376,22877.79,,Open,SHJ,!!!,!!!,,1,m11,,
C94182,A-3401506,2023-11-01,(1572.46),1572.46,,Pending,FJR,ok,ok,,Y23,m11,,
C25892,A-4758555,16/11/2023,,601.75,,,AAN,!!!,!!!,,Y23,m11,x,
C74305,A/78703,Nov-09-23,13281.28,13284.27306397001,,Open,DXB,ok,ok,,Y23,,,
,A-8107541,Nov-23-23,"3,600.22",3600.22,x,Pending,RAK,needs review,needs review,,Y23,m11,,x
C57139,A-2826290,06 November 2023,"25,150.36",(25150.36),,Open,SHJ,ok,ok,junk,,,,
C59746,A-7668226,2023-11-18,19502.62,"19,502.62",,In Review,  UAQ,ok,ok,,Y23,11,,
C45548,A-6065559,2023-11-02,,24402.80035530179,,Closed,AAN,!!!,!!!,,1,m11,,
C24843,A-9187209,2023-11-02,17773,17773,,CANCELLED,AUH,!!!,!!!,,Y23,m11,,
C69249,A-8857049,2023-11-05,4361.11,4361.11,,In Review,RAK,,,,Y23,m11,x,
C92276,A-7231857,2023-11-16,27510.44128043182,,,Closed,SHJ,,,,,m11,,
C83100,A-9805243,2023-11-21 00:00:00,23627.0,23665.9662708455,,Closed,FJR,,,,,,,
C56438,A-8473042,17 November 2023,"9,352.19",9374.094235088412,,Closed,FJR,ok,ok,,0,,,
C60942,A-5568252,10/11/2023,"-4,885.32",-4885.32,x,Open,DXB,!!!,!!!,,Y23,m11,,
C45786,A-5401236,Nov-14-23,,10810.4,,Open,DXB,ملاحظة,ملاحظة,junk,0,81,,
C42161,A/65824,2023-11-09 00:00:00,29335.586197790577,29335.93,,Open,DXB,ok,ok,,,52,x,
C17037,A-7193809,10/11/2023,"7,945.89",7945.89,,Pending,FJR,ok,ok,,1,,,
C47233,A-7730817,0000-00-00,"17,403.95",,,CANCELLED,AUH,ملاحظة,ملاحظة,,0,m11,,
C97437,A-1320614,2023-11-15 00:00:00,1726.953489937183,"1,741.52",,,UAQ,needs review,needs review,,Y23,,,
C32102,A/33487,15 November 2023,19031.94,(19031.94),,,AUH,,,junk,Y23,13,,
,A-5399961,04 November 2023,9323.41,"9,323.41",,In Review,SHJ,needs review,needs review,,Y23,,,
,A-5622092,2023-11-19,-4670.04,,,Pending,AUH,!!!,!!!,,0,m11,,
C94272,A-6572736,Nov-22-23,12462.28,12462.28,,Open,SHJ,ملاحظة,ملاحظة,junk,1,98,,
C40373,A-1546048,2023-11-15,-6027.31,-6057.905893105569,,Open,DXB,ملاحظة,ملاحظة,,1,m11,,
C40299,A-6265447,2023-11-12,13646.18,,,In Review,  AAN,ملاحظة,ملاحظة,,,m11,x,
C97108,A/67507,Nov-05-23,13295.73,13295.73,,,FJR,,,,0,m11,,
C59374,A-8273047,2023-11-19,27696.13169850714,27647.71,,Closed,FJR,,,,Y23,m11,,
C82759,A-2422323,2023-11-16,(20401.76),(20401.76),x,,AUH,,,,Y23,m11,x,
C81985,A-7523257,13 November 2023,2157.76,2157.76,,Pending,DXB,ok,ok,,Y23,24,x,
C15106,A-5829445,2023-11-19,"16,706.69","16,706.69",,In Review,AUH,ok,ok,,,m11,,
C47788,A-2912463,2023-11-03,(17936.00),17936.0,,In Review,AAN,ok,ok,,Y23,,,
C37582,A-5154164,32/13/2023,7362.6,,,Pending,AUH,!!!,!!!,,Y23,64,x,
C84268,A-2473167,2023-11-06,(25690.53),(25690.53),x,CANCELLED,AUH,ok,ok,,,m11,,
C78664,A-4678187,2023-11-21,12960.71,,,Pending,DXB,!!!,!!!,,,,,
C31863,A-6793686,2023-11-05,29220.5432044494,"29,185.87",,Closed,  UAQ,ملاحظة,ملاحظة,,Y23,60,,
C75315,A-8664150,2023-11-27,17319.67094100796,(17320.70),x,,AAN,ok,ok,junk,1,78,,
C18158,A-2787648,2023-11-25,-3936.482240903076,-3918.600177749294,,CANCELLED,RAK,needs review,needs review,,Y23,m11,x,x
C58534,A-9639886,Nov-27-23,"28,868.38",,,Closed,RAK,ok,ok,,1,m11,x,
C99961,A-1518446,Nov-22-23,,23313.75,,In Review,AUH,needs review,needs review,,,,,
C71819,A-7868587,2023-11-06 00:00:00,18060.18,"18,060.18",,Closed,FJR,,,,,74,,
C30973,A-2554490,01/11/2023,24032.44,,,Pending,AUH,ok,ok,,,m11,,
C96071,A-8264179,2023-11-04,"16,351.27",16304.41,,CANCELLED,DXB,!!!,!!!,junk,,,,
C55017,A-1588801,2023-11-02,17526.85,,,Open,AAN,,,,Y23,,,
C37852,A-9564999,2023-11-16,9064.607680922136,9045.49,,,UAQ,ok,ok,,Y23,49,,
C34183,A-5016495,17/11/2023,,21242.3,,Pending,DXB,!!!,!!!,,,m11,x,x
C65252,,09 November 2023,23735.18,23735.18,,Pending,AUH,ok,ok,,Y23,,,
C82098,A-4515032,28/11/2023,-261.61,-218.8242096801875,,In Review,AAN,ملاحظة,ملاحظة,,Y23,26,x,
C92548,A-4592811,2023-11-05,,18931.05192545321,,CANCELLED,AUH,ملاحظة,ملاحظة,,,m11,,
C25889,A-7216623,2023-11-10,,not available,,Open,SHJ,ok,ok,,Y23,m11,,
C21500,A-4040714,0000-00-00,,(1716.05),,,AAN,!!!,!!!,,Y23,44,,
,A-8299575,01 November 2023,7410.232372312479,7441.37,x,Pending,SHJ,,,,Y23,,,
,A/57981,2023-11-04,,,,,  FJR,,,,1,m11,,
C15419,A-6488660,16 November 2023,"-1,795.07",-1774.88,x,,FJR,ok,ok,,Y23,30,,
,A-4966455,2023-11-19,2944.98,2944.98,,Pending,FJR,!!!,!!!,,0,m11,,
C25732,A-6842014,16 November 2023,14405.79,14405.79,,,AAN,,,,1,m11,,
,A/98534,,"27,692.93",27692.93,,,AAN,ok,ok,,,59,x,
,A-5092430,28/11/2023,3623.24,3623.24,,In Review,SHJ,ok,ok,,Y23,m11,,x
C88536,A/64211,2023-11-02 00:00:00,1032.72,,,,FJR,ok,ok,junk,,11,,
C90376,A-3216759,01 November 2023,4937.39,4937.39,,CANCELLED,DXB,ok,ok,,,,,
C17541,A-8861765,Nov-13-23,21140.09945018147,21123.85,,Closed,DXB,needs review,needs review,junk,Y23,10,,
C77963,A-5845191,2023-11-14,29047.04,29047.04,,Pending,AAN,ok,ok,,,53,,
C24562,A-7407784,2023-11-05 00:00:00,13145.54,13145.54,,,RAK,ok,ok,,Y23,58,,x
C78904,A-4545167,2023-11-22 00:00:00,"18,947.86",18909.75,x,,FJR,ok,ok,,Y23,,,
C31630,A-1891037,13/11/2023,,651.2,x,Open,FJR,!!!,!!!,junk,0,m11,,
,A-9810411,2023-11-12,,-6572.98,,Pending,DXB,ok,ok,junk,Y23,,,
C10912,A-4169987,11/11/2023,10023.24,10017.7640833206,,In Review,SHJ,ok,ok,,1,,,
C67938,A/24891,32/13/2023,14655.55,14700.084397334147,,CANCELLED,AAN,needs review,needs review,,Y23,m11,,
C81915,A-8466167,2023-11-18 00:00:00,-3710.2,-3710.2,,,SHJ,ملاحظة,ملاحظة,junk,Y23,m11,,
C84581,A-7580768,14 November 2023,,-3226.95,,,FJR,ok,ok,,0,m11,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,
Customer Id,GL_ACC,Date#,VALUE,amt,Unnamed: 0,txn_status,branch_region, REASON_TEXT  ,reason_text,,year_added_2023,new_col_202311,mystery_2023_11_1,mystery_2023_11_40
C60084,A-7803040,04/11/2023,-2393.5,-2393.5,,,  RAK,ok,ok,,1,14,,
,A-7563715,26/11/2023,22791.54,22791.54,,,SHJ,ok,ok,,Y23,63,,
C43105,A-4323854,22/11/2023,4977.497582634482,4993.92,,Closed,SHJ,needs review,needs review,,0,m11,,
C34706,A-9871604,27/11/2023,not available,15846.48,x,CANCELLED,FJR,,,,Y23,72,,
C39785,A-5005070,2023-11-11 00:00:00,,6438.660208518343,,,RAK,ok,ok,,Y23,m11,,x
C62104,A-4465591,2023-11-25,26858.24,26855.55880204572,x,Open,RAK,,,,Y23,,,
C13354,A-2814108,Nov-05-23,28634.02678571155,28680.23,,,FJR,ok,ok,,Y23,m11,,
C83865,A/81131,23/11/2023,,4517.28,,In Review,RAK,ok,ok,,0,m11,,
C32778,A-2087953,11 November 2023,21515.77,,,Open,RAK,needs review,needs review,,,m11,,
C60127,A-6818393,Nov-06-23,-6394.57,-6394.57,,,  DXB,needs review,needs review,junk,1,,,x
C30398,A-9703533,2023-11-08,"-1,905.98",not available,,Closed,DXB,ok,ok,,Y23,m11,,
,A-7048969,2023-11-17,18967.6,18996.97182341896,,In Review,SHJ,needs review,needs review,,Y23,m11,,
C17063,A-1637345,32/13/2023,-2065.81,(2065.81),,In Review,RAK,!!!,!!!,,Y23,m11,,
C96470,A-7475734,,,(3689.73),x,,RAK,,,,Y23,24,,
C81145,A-7405885,2023-11-07,"5,024.10",5024.1,,Open,  SHJ,needs review,needs review,,Y23,m11,,
C84357,A-7902660,0000-00-00,9470.29,(9470.29),,,UAQ,,,,,,,
C80998,A-4337340,2023-11-15,1059.03,(1059.03),,,DXB,,,,Y23,m11,,
C10339,A-9956294,2023-11-06,-7714.144194963975,-7758.635740246632,,,AUH,needs review,needs review,,Y23,59,,
C88748,A-3280065,2023-11-04 00:00:00,-7725.54,not available,,,UAQ,ok,ok,,0,69,,
C15218,A-7041131,24/11/2023,,20431.51,,,UAQ,needs review,needs review,,,m11,,
C27605,A-2095971,2023-11-09,5673.79,5717.714894938987,,Pending,AAN,ok,ok,,,m11,,
C83342,A-8003306,20 November 2023,-4413.113432461145,-4429.71,,Open,UAQ,needs review,needs review,,Y23,m11,,
C59255,A/3315,04/11/2023,not available,6627.92,,,FJR,ملاحظة,ملاحظة,,Y23,,,
C41953,A-8913587,2023-11-14,9556.96756699499,9536.93,,,AAN,ok,ok,,Y23,,x,
C62639,A-4680122,Nov-02-23,19895.43,19895.43,x,Closed,AAN,ok,ok,,Y23,,,
,A-2916698,2023-11-25,"-2,405.47",,,,AAN,ok,ok,,1,m11,,x
C51810,A-9990706,08/11/2023,"8,191.87",(8191.87),,Open,FJR,needs review,needs review,,,m11,,
,A/9833,2023-11-02 00:00:00,"21,741.96","21,732.07",,,SHJ,,,,,m11,,
C76720,A-5383239,32/13/2023,16108.7,(16108.70),,,AUH,ok,ok,,,,,
C55381,A/83631,2023-11-12,-5561.3,-5561.3,,,UAQ,needs review,needs review,,,m11,,
C49350,A-8721163,2023-11-20,19446.68,19446.68,x,Open,RAK,ok,ok,,,m11,,
C97681,A/2402,2023-11-28,-3282.42,,,In Review,RAK,needs review,needs review,junk,Y23,16,,
,,07 November 2023,27466.27320244176,,,,UAQ,ملاحظة,ملاحظة,,Y23,m11,,
,A-3088315,,(18891.09),18910.09919142439,,CANCELLED,SHJ,ok,ok,,Y23,m11,,x
C69715,A-3779140,32/13/2023,,29209.62,,,UAQ,ok,ok,,Y23,32,,
C51069,A-1559565,Nov-03-23,(2137.56),(2162.74),,In Review,AUH,,,,Y23,,,
C63256,A/55525,2023-11-04,,,x,Open,RAK,,,junk,,,,
,A-2325122,Nov-07-23,-2560.92,"-2,539.22",,,RAK,,,,0,m11,,
C88548,A-7906970,Nov-17-23,-7293.31,,x,Closed,SHJ,,,,1,,,
C51535,A/56272,11/11/2023,(2359.43),not available,,Closed,DXB,ok,ok,,Y23,m11,,
C28515,A/14743,2023-11-08 00:00:00,306.9832808609951,333.51,,Closed,AUH,ملاحظة,ملاحظة,junk,Y23,m11,,x
C37079,A-5033588,13/11/2023,(24557.80),24557.8,,Pending,UAQ,,,,Y23,m11,,
C75092,A-2979797,2023-11-22,-5290.97,-5290.97,,,DXB,!!!,!!!,,,m11,,
,A-3061199,32/13/2023,528.75,,,,FJR,ok,ok,,Y23,m11,,
C94864,A-4700356,11 November 2023,28119.68,28119.68,,In Review,AUH,ok,ok,,Y23,m11,,
C42471,A-5434180,2023-11-21 00:00:00,332.82,352.0908205553595,,,UAQ,,,,Y23,,,
C87604,A-8710234,10 November 2023,-5896.93,,,,FJR,ok,ok,,Y23,44,,
C78241,A-9841635,0000-00-00,15268.986457825886,15280.57,x,,UAQ,ok,ok,,,,,
C83858,A-1773428,2023-11-17 00:00:00,635.2964722444283,(610.85),,,FJR,needs review,needs review,,,,,
C57425,A-1992543,09/11/2023,"-5,134.42",(5134.42),,CANCELLED,AAN,needs review,needs review,,,,,
C52519,A-6430396,18/11/2023,5122.8080250565,(5113.32),,Pending,AUH,,,,,19,,
C40595,A-9904426,2023-11-11,-5899.65,,,Open,UAQ,ملاحظة,ملاحظة,,,,,
,A-8801765,2023-11-25 00:00:00,,"-4,914.04",,,SHJ,,,,0,34,,
C57356,A-7275077,2023-11-23,25243.83,"25,243.83",,,  UAQ,,,,,m11,,
C88456,A-1946615,23/11/2023,"8,866.27",8833.059555939575,,Open,SHJ,ok,ok,,0,82,,
C32944,A-1276488,2023-11-16,18394.7,,,,UAQ,ok,ok,,Y23,,,x
C53111,A-2845045,04/11/2023,1098.61,"1,098.61",,,RAK,ok,ok,,,,,
C89130,A-4034870,2023-11-07 00:00:00,-1424.4852152234855,-1449.07,x,Pending,DXB,,,,0,m11,,
C71190,A-6634549,2023-11-20,28643.1,28643.1,,Closed,FJR,needs review,needs review,,Y23,,,x
C88844,A-4434320,24 November 2023,870.37,859.64,x,Closed,DXB,!!!,!!!,junk,Y23,86,,
C41452,A-2295229,2023-11-06,12082.73,12082.73,,In Review,RAK,!!!,!!!,,,,,x
C86713,A-4616365,32/13/2023,,16400.32211892106,,Open,AUH,needs review,needs review,,Y23,,,x
C66688,A-7149257,16 November 2023,12780.76,12803.89361193156,,In Review,FJR,ok,ok,,,,,
C37928,A-9652117,2023-11-01 00:00:00,(25595.21),25595.21,,In Review,SHJ,needs review,needs review,,0,m11,,
C16466,A-4356782,2023-11-17,22234.25,"22,234.25",x,Pending,SHJ,needs review,needs review,,Y23,m11,,
C43787,A-6778010,2023-11-10 00:00:00,18492.2,18451.231045916036,,Closed,AUH,ملاحظة,ملاحظة,,0,,,
C47896,A-8164781,2023-11-20,(22928.85),22955.39,,Closed,SHJ,needs review,needs review,,Y23,22,,
C25008,A-6519799,2023-11-21,-375.38452351718547,-358.96,,,SHJ,ملاحظة,ملاحظة,,Y23,15,,x
,A-7475178,2023-11-28,7431.616884065544,7384.05,,CANCELLED,RAK,ok,ok,,Y23,,,
C95379,A-6229500,2023-11-28 00:00:00,,-1999.51,x,Open,RAK,needs review,needs review,,,10,,
,A-4079899,2023-11-22,19462.28674523845,19460.68,,Closed,FJR,needs review,needs review,,,m11,,
C40934,A-1889475,2023-11-13,22270.43,22270.43,,Closed,AUH,ok,ok,,Y23,m11,,
C26394,A-2736104,32/13/2023,18325.09,18325.09,,Closed,AUH,ok,ok,,Y23,m11,x,
C44296,,2023-11-04,"-6,828.44",-6828.44,,Closed,FJR,needs review,needs review,,1,39,,
C71074,A-1353704,0000-00-00,26335.41,26331.033428106,,In Review,DXB,needs review,needs review,,,49,,
C63531,A-6207212,08 November 2023,,-3322.906210440074,,,SHJ,needs review,needs review,,Y23,,,
C62320,A-5079296,2023-11-18,(27659.15),27659.15,,Pending,DXB,needs review,needs review,,Y23,83,,
C69358,A-6330935,07/11/2023,-2768.83,"-2,788.60",,CANCELLED,SHJ,!!!,!!!,,,m11,,
,A-3299367,2023-11-14,,20306.85,,Pending,FJR,ok,ok,junk,,49,,
,A/79370,32/13/2023,-1152.53,not available,,Closed,AAN,ok,ok,,Y23,71,,
C81329,A-6281430,2023-11-19,,3188.409707290114,,CANCELLED,AAN,ok,ok,,Y23,m11,,
C32622,A-8515985,2023-11-11,-1275.93,-1275.93,,Open,  AAN,,,,,,,
,A-2585864,Nov-17-23,25133.11,,x,In Review,UAQ,,,,Y23,36,,
C75106,A-4704448,2023-11-06,15158.29,,,In Review,AAN,ok,ok,,1,m11,,
C66795,A-9617426,22/11/2023,28112.14,28112.14,,CANCELLED,AAN,ok,ok,,1,,,
,A-2048257,0000-00-00,13731.49,(13731.49),,,AAN,ok,ok,,Y23,,,
C16731,A-5849653,2023-11-12 00:00:00,,,,Closed,AAN,ok,ok,,Y23,m11,,
C31579,A-2333944,2023-11-03,10275.23,,,In Review,AUH,needs review,needs review,,,m11,,
C84289,A/33669,2023-11-22,(24454.86),24454.86,,Pending,  RAK,ملاحظة,ملاحظة,,Y23,,,
,A-3382704,Nov-11-23,(1168.43),"1,168.43",,CANCELLED,  UAQ,needs review,needs review,,1,m11,,
C76897,A-7092204,2023-11-14,,27693.47,,Pending,RAK,ok,ok,,Y23,m11,,
C87251,A-3466270,Nov-06-23,"-6,245.51",-6289.466457205306,x,Open,AAN,needs review,needs review,,1,m11,,
C37670,A-9610236,17/11/2023,9889.93,,,CANCELLED,SHJ,,,,,,,
C83317,A-3291557,2023-11-14,"15,943.17",15908.93820071453,,Pending,RAK,needs review,needs review,,Y23,m11,,
C90350,A-6707698,16/11/2023,not available,6206.954388689114,,Closed,SHJ,!!!,!!!,,0,69,,
C83496,A/82313,03 November 2023,-3158.18,"-3,158.18",x,Closed,RAK,needs review,needs review,,,m11,,
C21600,A-6544223,17 November 2023,,17655.92667461966,,Open,AAN,ok,ok,,1,,,
C39907,A-1076443,32/13/2023,,10020.53,,In Review,SHJ,ok,ok,,Y23,m11,,
,A-3144929,01 November 2023,9357.06,9335.378412651307,,In Review,DXB,ok,ok,,Y23,,,
C29670,A-2506526,Nov-25-23,28359.33,,,Pending,DXB,ok,ok,,Y23,m11,,
C17931,A-8764532,32/13/2023,"12,153.22",,,In Review,RAK,,,,,59,,
C40649,A-6704922,25/11/2023,19228.727759894555,,,,AUH,needs review,needs review,junk,0,,,
C90635,A-2182089,,19979.76,19941.24656642221,,,AAN,ok,ok,,,m11,x,
,A/72651,Nov-01-23,27844.82329440309,not available,,In Review,UAQ,needs review,needs review,,Y23,m11,,
C46184,A-4199076,,,"14,983.38",,Pending,SHJ,ok,ok,,Y23,51,,
C65649,A-6275405,,17156.93,17138.86952783887,,Open,AAN,needs review,needs review,,Y23,m11,x,
C14930,A-4274006,2023-11-18,,,x,CANCELLED,DXB,needs review,needs review,,Y23,17,,
C79144,A-7001387,32/13/2023,"18,040.75",17993.79708934739,,,RAK,,,,Y23,m11,,x
C21924,A-8534726,16/11/2023,13588.77,13588.77,,,DXB,needs review,needs review,,Y23,74,,
C92379,A-7808135,2023-11-14 00:00:00,,"29,416.63",x,In Review,UAQ,ok,ok,,Y23,m11,,
,A-2476200,2023-11-06,(14143.48),"14,100.37",,,SHJ,!!!,!!!,,0,74,,x
C53580,A/46607,32/13/2023,not available,,,,AUH,,,,Y23,,,
C21021,A-1387661,32/13/2023,-5521.82,(5495.90),,Closed,RAK,,,,Y23,,,x
C97033,A-1501188,24/11/2023,19201.06,19201.06,x,In Review,DXB,,,,0,41,,
C39488,,2023-11-25,,4285.865393025357,,,RAK,ok,ok,,1,12,,
C75240,A-6041125,Nov-18-23,"-3,079.75",-3097.81,,Open,RAK,ok,ok,,Y23,m11,,x
C93782,A-9435301,32/13/2023,,18888.94,,Open,UAQ,needs review,needs review,,,m11,,
C64414,A-3369665,32/13/2023,,19335.03446180088,,Pending,AUH,needs review,needs review,,1,m11,,
C80498,A-3943562,32/13/2023,,,,Pending,RAK,,,,Y23,75,,
C57764,A-8882581,Nov-18-23,,5615.52,,Open,DXB,,,junk,,,,
C32132,A-7866520,,12806.07,12769.10501004228,,,UAQ,,,,1,,,
C14187,A-4213845,Nov-01-23,12444.07,12469.723458714976,,In Review,AAN,needs review,needs review,,Y23,,,
C82055,A/38042,2023-11-03 00:00:00,10147.45538039511,10180.23640162442,,,FJR,!!!,!!!,,Y23,48,,
C90139,A-8073324,2023-11-17,,-6327.798185897316,,Pending,RAK,!!!,!!!,,Y23,m11,,x
,A-4823337,32/13/2023,,10156.53,,,DXB,,,,Y23,m11,,
C79627,A-3328762,23/11/2023,"2,521.67",2505.220052993908,,Closed,DXB,ملاحظة,ملاحظة,,0,27,,
C47014,A/37950,0000-00-00,-3449.32,"-3,449.32",,,AAN,ملاحظة,ملاحظة,,,82,,
C97909,A-3936642,16 November 2023,(8579.45),"8,579.45",,,UAQ,ok,ok,,Y23,m11,x,
C21233,A-1604689,2023-11-06,3553.26,3553.26,,,FJR,ملاحظة,ملاحظة,,1,m11,x,
C62121,A-1362826,Nov-26-23,-3283.790095128489,-3256.76,x,Closed,  UAQ,ok,ok,,0,m11,,x
