CID,GL_ACC,TRANSACTIONDATE (v2),amount (aed),TXN_VALUE,currency_code, Approval Status  , branch_region  , OPS_COMMENT  ,REASON_TEXT,,year_added_2023,new_col_202312,mystery_2023_12_64,mystery_2023_12_8
C79164,A-9953493,0000-00-00,29259.25,29259.25,AED,Closed,FJR,ok,ok,,Y23,,,x
C95067,A/23786,2023-12-14,"26,926.93",,AED,,DXB,ok,ok,,Y23,m12,,
C21544,A-3838297,,9675.6,9675.6,AED,Pending,FJR,ok,ok,,Y23,m12,,
C81388,A-8533719,32/13/2023,23194.371555669666,23169.52608953863,EUR,Pending,FJR,needs review,needs review,,,25,x,
,,2023-12-09,"23,375.85",23365.29,EUR,In Review,UAQ,needs review,needs review,,,m12,,
C86737,A/4863,32/13/2023,-2886.33,(2886.33),USD,,DXB,!!!,!!!,,Y23,m12,,
,A-3724817,2023-12-17,19574.18,19531.10775403797,AED,CANCELLED,AAN,,,,Y23,68,,
C86942,A/57810,14/12/2023,,3855.999406350536,OMR,,FJR,,,,,,,
C34160,A-5292437,22 December 2023,,22742.92496064804,SAR,,  AAN,needs review,needs review,,,m12,x,
C89603,A-3632624,2023-12-17,-5001.2,-5041.063768701566,sar ,In Review,RAK,ملاحظة,ملاحظة,,,m12,,
C31983,A-3175274,2023-12-27 00:00:00,15030.92,(15030.92),USD,CANCELLED,DXB,ok,ok,,0,99,,
C99739,A-4761689,18/12/2023,16981.81,,AED,,DXB,ok,ok,,0,m12,,
C40116,A-9235159,2023-12-22,975.7229846607069,(951.30),OMR,Pending,AUH,ok,ok,,Y23,,,
C53968,A-7378057,12 December 2023,(6960.66),-6960.66,USD,Open,AUH,ok,ok,,Y23,50,,
C85964,A-9821557,2023-12-20,12600.45,12600.45,OMR,CANCELLED,UAQ,ok,ok,junk,1,22,,x
C28086,A-4882878,2023-12-11,(13918.20),13918.2,SAR,Pending,RAK,ok,ok,,Y23,m12,,
C51731,A-6560462,0000-00-00,24065.009349411786,"24,068.92",GBP,Closed,DXB,ok,ok,,1,m12,,
C28280,A-1636775,09 December 2023,"8,917.77",8882.57,USD,CANCELLED,AUH,,,,Y23,,,
C30947,A-5186983,32/13/2023,,,AED,Open,UAQ,needs review,needs review,,Y23,41,,x
C10833,A/52573,15 December 2023,(578.80),,EUR,Closed,  RAK,needs review,needs review,,,m12,,
C25885,A/45814,2023-12-08,(24762.90),24763.83,USD,In Review,RAK,ok,ok,,,m12,,
C26439,A-9141602,2023-12-20,3755.48,3755.48,usd ,Closed,AAN,!!!,!!!,,Y23,,,
C89468,A-5861610,2023-12-16,6890.83,6869.881244237982,OMR,In Review,DXB,!!!,!!!,,Y23,19,,
C88202,A-6665773,25/12/2023,,not available,EUR,CANCELLED,  UAQ,,,,Y23,,,
C16243,A-7377022,10 December 2023,(13385.30),13385.3,SAR,Closed,  UAQ,ok,ok,,Y23,62,,
C58857,A-4939812,Dec-19-23,11297.19,(11297.19),OMR,Pending,FJR,,,,Y23,,,
C39255,A-5761739,2023-12-26,not available,-430.17,AED,Closed,UAQ,,,,Y23,m12,x,
C58537,A-6440368,,-3974.85,-3974.85,omr ,In Review,DXB,ok,ok,,Y23,84,,
C17241,A-5386367,2023-12-25,,,GBP,CANCELLED,FJR,ok,ok,,Y23,m12,x,
C39123,A-7983773,15 December 2023,(21109.48),21142.96,SAR,Closed,  UAQ,ok,ok,,Y23,m12,,x
C72038,A-3117970,2023-12-06 00:00:00,1297.3,,SAR,,AUH,!!!,!!!,,Y23,92,,
C48559,A-1837583,05 December 2023,,14859.40963863049,AED,,DXB,,,,1,,,
C44186,A-6428952,Dec-28-23,"5,506.15",5462.032281460481,SAR,Pending,UAQ,ملاحظة,ملاحظة,,Y23,,,
C90645,A-9535048,32/13/2023,24392.2,,EUR,In Review,UAQ,,,,0,m12,,
C12722,A/8581,2023-12-23,8168.77,,AED,In Review,UAQ,ok,ok,,Y23,m12,,
,,Dec-08-23,,4509.25,EUR,In Review,RAK,ok,ok,,Y23,,,
C57987,,Dec-13-23,,8377.61,AED,Open,  SHJ,ok,ok,,,75,,
C79394,A-8516526,32/13/2023,-4866.46,-4884.883852925901,SAR,Open,RAK,,,,Y23,44,,
,A-8707508,28/12/2023,12961.961218745035,"12,956.90",GBP,Pending,DXB,ok,ok,,Y23,m12,,
C13701,A-3683615,2023-12-28 00:00:00,not available,29145.75,SAR,CANCELLED,SHJ,,,,Y23,m12,x,x
C53411,A-1630517,07/12/2023,"14,890.86",14939.19,OMR,Closed,UAQ,ملاحظة,ملاحظة,,0,52,,
C82434,A-9259809,10 December 2023,"22,589.96",,USD,,RAK,ok,ok,,1,,,
C75508,A-3709432,04 December 2023,,28634.9,GBP,Open,AUH,needs review,needs review,,0,62,,
C81736,A-9847634,2023-12-04,-6732.027863637017,"-6,717.81",USD,,  FJR,ملاحظة,ملاحظة,junk,Y23,,,
C84633,A-5624020,2023-12-17 00:00:00,19216.21,19216.21,GBP,,  SHJ,needs review,needs review,,Y23,m12,,
C16772,A-1142673,21 December 2023,,2773.83,EUR,Open,FJR,ok,ok,,1,m12,,
C27002,A-5330733,32/13/2023,,8349.031130428517,eur ,Closed,SHJ,,,,Y23,m12,,
C47014,A/78760,2023-12-09,,13867.75804601279,OMR,CANCELLED,SHJ,ok,ok,junk,,65,x,x
C82437,A-3594508,2023-12-13,21321.32,21284.55631496315,SAR,CANCELLED,UAQ,needs review,needs review,,1,79,,
C98101,A-8583302,2023-12-23,16925.01877938982,16960.83,AED,,AAN,!!!,!!!,junk,0,,,
C36787,A-5284396,Dec-08-23,4413.57,4429.013832523676,SAR,Pending,AAN,,,,Y23,55,,
,A-1750942,32/13/2023,(13549.92),13514.22,AED,,UAQ,ok,ok,,,48,,
C17653,A-1060656,13/12/2023,"-4,314.75",,EUR,Pending,FJR,needs review,needs review,,Y23,m12,,
C26859,A-4943120,2023-12-16,(17765.93),17756.44,sar ,CANCELLED,AUH,needs review,needs review,,Y23,23,,x
C85535,A-1451597,Dec-03-23,4543.64,,USD,Closed,SHJ,ok,ok,,Y23,,x,
C20002,A-4491864,22 December 2023,10815.293422638813,10758.86685119963,USD,,  RAK,!!!,!!!,,Y23,76,,
C32066,A-3795665,2023-12-09,29117.58,"29,117.58",OMR,Pending,DXB,needs review,needs review,,Y23,m12,,
C19319,A-5617474,18/12/2023,,not available,EUR,Open,RAK,ok,ok,junk,0,,,
C66028,A-6939447,32/13/2023,28491.39,28491.39,AED,Open,AUH,!!!,!!!,,Y23,m12,,
C69523,A-6013833,2023-12-27,29744.30795852005,29710.75,OMR,CANCELLED,AAN,ok,ok,,0,75,,
,A-5694216,27 December 2023,,12071.24,AED,In Review,DXB,ok,ok,,Y23,49,,
C35684,A-2572968,32/13/2023,16277.11735898091,,SAR,Open,DXB,ملاحظة,ملاحظة,,Y23,m12,,
,A-8619642,11 December 2023,,23849.56,EUR,CANCELLED,FJR,ملاحظة,ملاحظة,,1,62,,
C41959,A/11981,Dec-24-23,187.1652470826285,not available,OMR,CANCELLED,AAN,needs review,needs review,,,,,
C53476,A-4690513,32/13/2023,,28611.26,AED,,AUH,ملاحظة,ملاحظة,,1,57,,x
C65903,A-6730311,2023-12-27 00:00:00,-7842.11,-7842.11,SAR,CANCELLED,AAN,ok,ok,,1,m12,,
C92118,A-7514907,2023-12-27,-301.48,-301.48,gbp ,Open,UAQ,needs review,needs review,,1,,,
C91199,A-9786900,2023-12-16,28882.88,"28,882.88",GBP,CANCELLED,  AUH,,,,Y23,m12,,
C12638,A-5321680,2023-12-15 00:00:00,13828.97063413997,not available,OMR,,FJR,ok,ok,,Y23,m12,,
C29660,A-2649905,2023-12-02,-3406.87,-3371.633930590779,EUR,Pending,RAK,ok,ok,,Y23,14,,
C42658,A-6988015,32/13/2023,-6284.200721736439,"-6,301.80",EUR,Pending,AAN,ok,ok,,0,,,
C58628,A/76559,2023-12-22,,29446.71,GBP,,SHJ,,,,1,m12,,
C74113,A-3843269,2023-12-27 00:00:00,,26450.44,USD,In Review,FJR,needs review,needs review,,Y23,m12,,
C24977,A-2537111,2023-12-16,"20,583.64","20,583.64",sar ,,AAN,ok,ok,,,43,,
C16028,A-2824345,2023-12-23 00:00:00,2923.56,2911.358801892217,EUR,,  FJR,needs review,needs review,,,14,,
C64064,A-9675864,2023-12-07 00:00:00,-7783.21,,EUR,,RAK,,,,,m12,x,
C28136,A-6355476,2023-12-18,1271.39,1264.818307352695,sar ,Closed,DXB,,,,0,38,,
,A/20168,01/12/2023,,"1,205.07",USD,Pending,AUH,needs review,needs review,,Y23,m12,x,
C73650,A-6659171,05/12/2023,1492.73,1492.73,SAR,,RAK,ok,ok,junk,1,m12,,
C47925,A-1832820,23/12/2023,not available,28897.77,USD,In Review,AUH,,,,Y23,80,,
,A-1976723,09/12/2023,23677.43,"23,677.43",AED,Closed,  SHJ,ok,ok,,Y23,,,
C42212,A-9845090,2023-12-03,not available,,SAR,Closed,FJR,ok,ok,,0,95,,
C77905,,10 December 2023,,-6527.87,OMR,Pending,AAN,ok,ok,,1,m12,,
,A-8770093,15/12/2023,11998.519164664687,12021.38335953515,EUR,,FJR,,,,,m12,,
C66853,A-7845556,Dec-22-23,,not available,USD,Closed,AAN,needs review,needs review,junk,,,,
C50210,A-8278995,05/12/2023,,,USD,Open,RAK,ok,ok,,Y23,,,
C78060,A-8754606,2023-12-26 00:00:00,1417.581809794756,1389.66,EUR,Closed,UAQ,needs review,needs review,,Y23,m12,,
C74241,A-3175263,19/12/2023,"24,407.13",(24386.73),OMR,Pending,AUH,ملاحظة,ملاحظة,,,m12,,
C97461,A/57138,13/12/2023,24112.38,(24112.38),usd ,,AUH,ملاحظة,ملاحظة,,Y23,m12,,x
C32982,A-5620791,2023-12-02,15149.61195844519,,GBP,,AAN,ok,ok,,Y23,15,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,
CID,GL_ACC,TRANSACTIONDATE (v2),amount (aed),TXN_VALUE,currency_code, Approval Status  , branch_region  , OPS_COMMENT  ,REASON_TEXT,,year_added_2023,new_col_202312,mystery_2023_12_64,mystery_2023_12_8
C68868,A-4872024,2023-12-25,17148.75,17148.75,AED,In Review,DXB,!!!,!!!,,,m12,,
C96387,A-7306059,03 December 2023,-2104.22,-2098.445106751173,USD,,UAQ,needs review,needs review,,,,,
C57444,A-1880931,2023-12-09,,not available,OMR,,RAK,ok,ok,,Y23,m12,x,
C28095,A-9267956,2023-12-17,27764.88,27764.88,SAR,,AUH,,,junk,1,,,
,A-9787308,18/12/2023,20502.500935265478,20541.17,AED,Open,  DXB,,,,1,81,,x
C44838,A-9954810,2023-12-28,7035.86085556225,7006.92,SAR,Closed,AUH,,,,,m12,,
C91796,A/86794,Dec-19-23,18936.78,18936.78,EUR,Closed,UAQ,needs review,needs review,junk,Y23,,,
C61310,A-9756340,,11848.32,,aed ,In Review,RAK,ok,ok,,1,m12,,
C72620,A-9091613,2023-12-25,15229.02,15229.02,EUR,Pending,RAK,needs review,needs review,junk,0,m12,x,
C42509,A-3887664,Dec-09-23,17536.11,17575.726269317904,GBP,Pending,SHJ,ok,ok,,,,,
C23109,A-4465529,2023-12-12,16581.2320852513,16541.48,GBP,Pending,FJR,ok,ok,,1,m12,,
C68069,A-5790551,2023-12-15,,not available,EUR,,UAQ,needs review,needs review,,Y23,m12,,
C35709,A-6104904,Dec-23-23,"26,065.90",(26085.18),SAR,Open,SHJ,ok,ok,junk,0,80,,
C30496,A-7621576,27 December 2023,(5162.55),"-5,113.00",EUR,Pending,FJR,,,,0,,,
C30919,A/35663,Dec-28-23,24169.002544364,24161.01,EUR,,AUH,ok,ok,,,,,
C20487,A-7314490,2023-12-24,6578.36,6614.087727642227,USD,Open,FJR,ملاحظة,ملاحظة,,,94,,
,A-9308251,2023-12-07,4458.65,"4,476.31",USD,Pending,SHJ,ok,ok,,,42,,
C53183,A-9362942,Dec-18-23,,not available,GBP,In Review,RAK,,,,Y23,m12,,
C37945,A/85111,13/12/2023,-4492.535096276934,-4483.58,AED,,SHJ,ok,ok,,Y23,m12,,
C53342,A-4514669,01 December 2023,9256.66,9256.66,SAR,Pending,RAK,ok,ok,,Y23,m12,x,x
C67691,A-1924945,2023-12-19,-290,-290,GBP,,SHJ,,,,1,m12,,
C12145,A/54664,Dec-04-23,26277.24,26285.629006091756,AED,,FJR,,,,,46,,
C44206,A-2221155,2023-12-06,not available,-6199.072172683612,AED,Pending,SHJ,needs review,needs review,,Y23,m12,,
C65788,,2023-12-06,"6,607.48",6607.48,USD,CANCELLED,RAK,ملاحظة,ملاحظة,,0,31,,
,A-3543180,05/12/2023,(27995.67),"28,072.90",USD,CANCELLED,  SHJ,ok,ok,,Y23,,,
C56185,A-7995699,2023-12-27 00:00:00,18777.9,18777.9,AED,Open,UAQ,ملاحظة,ملاحظة,,,,,
C52601,A-1452002,Dec-01-23,not available,25317.33283407405,EUR,,AAN,ok,ok,,Y23,,,
C78689,A-1186490,0000-00-00,18158.76,,SAR,Closed,FJR,!!!,!!!,,,,,
C49836,A-1015318,23 December 2023,29419.55494046796,29424.5389941774,GBP,,DXB,ملاحظة,ملاحظة,,Y23,m12,,
C29359,A-5590700,27 December 2023,14804.18,(14783.33),AED,CANCELLED,DXB,needs review,needs review,,,m12,,
C18497,A-7920729,Dec-21-23,5906.65,5906.65,SAR,,SHJ,needs review,needs review,,Y23,,,
C76687,A-3801760,25 December 2023,4292.4,4292.4,SAR,,FJR,needs review,needs review,,,,,
C87154,A-6253104,27 December 2023,(6277.75),,SAR,CANCELLED,DXB,,,,0,m12,,
,A-3155427,2023-12-28 00:00:00,"14,675.51",14675.51,USD,,UAQ,,,,Y23,,,
C39243,A-2306904,32/13/2023,,19623.4,EUR,In Review,DXB,needs review,needs review,,Y23,m12,,
C42558,A/897,14 December 2023,"4,965.86",4953.450650913271,EUR,Pending,SHJ,,,,Y23,m12,,
C21836,A/73696,32/13/2023,26861.45,26861.45,SAR,In Review,RAK,ملاحظة,ملاحظة,,Y23,,,
C86690,A-5892781,2023-12-15,15037.23,,OMR,Pending,UAQ,needs review,needs review,,Y23,m12,,
C16551,A-1468756,2023-12-23,not available,1062.09,GBP,CANCELLED,SHJ,needs review,needs review,,Y23,94,,
C50462,A/62965,32/13/2023,18229.79,18229.79,SAR,,DXB,,,,,19,,
C91778,A-2884783,19 December 2023,-6551.83,-6551.83,GBP,,RAK,ok,ok,,,,x,
C49066,A-5218750,2023-12-08,,(2172.84),SAR,Pending,DXB,,,,,m12,,
C54438,A-9223106,2023-12-02,24582.44,24582.44,AED,Open,DXB,needs review,needs review,,,38,,
C92006,A-3903589,04/12/2023,23370.75591916037,23329.19,AED,Pending,AUH,ok,ok,,,m12,,
C35580,A-9434338,06 December 2023,7781.477104747316,,aed ,Pending,UAQ,ok,ok,,Y23,,,
C12659,A-5051847,16 December 2023,,"20,278.01",USD,CANCELLED,DXB,needs review,needs review,,1,m12,,
,A-7564188,2023-12-13,22457.66,22457.66,GBP,CANCELLED,AUH,,,junk,Y23,,,
,A-7625002,32/13/2023,-4682.053954603692,-4708.93,GBP,CANCELLED,FJR,ملاحظة,ملاحظة,junk,1,m12,,
C28338,A/42875,24/12/2023,,,AED,Closed,SHJ,ok,ok,junk,Y23,m12,,
C34459,A-2932725,2023-12-15,4731.201254093415,4658.705083183084,AED,Open,DXB,ok,ok,junk,Y23,53,,
C34241,A-2829782,Dec-10-23,not available,-4874.82,OMR,,SHJ,needs review,needs review,,Y23,m12,,
C34229,A-2343489,2023-12-25,24553.52,24553.52,GBP,,AUH,,,junk,,m12,,
C12008,A-2945789,22/12/2023,,,EUR,,AAN,ok,ok,,Y23,82,,
C47807,A/65696,2023-12-12,"3,967.75","3,967.75",EUR,Pending,UAQ,ok,ok,,0,,,
C54014,A-3167377,2023-12-23 00:00:00,not available,398.19,OMR,In Review,UAQ,needs review,needs review,,Y23,m12,,
C57631,A-1340826,32/13/2023,(10791.41),10791.6282681439,USD,CANCELLED,UAQ,,,junk,,26,,
,A-9627376,2023-12-27,23071.24,23091.54356840369,SAR,Pending,FJR,ok,ok,,Y23,,,
C76013,A/90303,2023-12-04,1318.93,1318.93,SAR,,SHJ,ok,ok,,1,m12,,
C16068,A-1027808,23 December 2023,"13,566.71",13612.11,EUR,,AUH,needs review,needs review,,,72,,
C38850,A-6335707,2023-12-13 00:00:00,,26033.70937576876,OMR,CANCELLED,DXB,,,,,,,
C27094,A/44409,Dec-25-23,12849.32765303811,12884.38788544694,USD,,AAN,needs review,needs review,,,m12,,
C82027,A-9686832,18/12/2023,15602.87592284818,15639.04,SAR,Open,UAQ,needs review,needs review,,1,m12,x,
C59302,A-6045683,Dec-10-23,"16,697.18",16670.58,AED,,DXB,ملاحظة,ملاحظة,,Y23,m12,,
C82644,A-8164959,2023-12-28,not available,25724.74,OMR,In Review,AAN,ok,ok,,Y23,,,
,A-1255819,2023-12-23 00:00:00,4719.51,4719.51,AED,In Review,UAQ,ok,ok,,1,64,,
C30183,A-7743862,04 December 2023,26358.83,26318.80699459693,SAR,Pending,  DXB,ملاحظة,ملاحظة,,Y23,28,,
C88133,A-9886728,2023-12-21 00:00:00,-6444.35,-6444.35,USD,Pending,RAK,,,,,m12,,
C22857,A-7372477,2023-12-14,"26,448.56",26464.012619629615,OMR,,AUH,needs review,needs review,,,,,
C53415,A-2304291,Dec-08-23,"8,862.66",not available,SAR,,  AAN,,,,,m12,,
,A-9884078,32/13/2023,18928.85,"18,928.85",USD,Closed,UAQ,,,,,,,
C61969,A-1561635,Dec-17-23,"28,176.85",28176.85,OMR,Closed,UAQ,,,,Y23,m12,,
C32125,A-1930820,2023-12-10,15049.98,15045.49657001474,AED,Pending,SHJ,ok,ok,junk,1,23,,x
,A-9373441,02 December 2023,18443.67,18443.67,SAR,CANCELLED,  UAQ,needs review,needs review,,1,94,,
C80165,,2023-12-18 00:00:00,,(2214.21),AED,In Review,RAK,needs review,needs review,,Y23,,,
C92821,A-7229943,2023-12-25,13545.54,13545.54,AED,Pending,AAN,!!!,!!!,,Y23,,,
C83902,A-2187938,2023-12-20,(6414.94),"-6,414.94",EUR,,AUH,,,,0,,,
,A-1975819,Dec-13-23,"9,407.54",9407.54,USD,Pending,UAQ,ok,ok,junk,1,50,,
C18558,A-5520424,2023-12-27,"24,908.95",,SAR,,UAQ,ok,ok,junk,,m12,,
C84356,A-4780012,18/12/2023,,2763.78,USD,Open,DXB,ok,ok,,Y23,,,x
C32086,A/76279,2023-12-03,26178.45,"26,178.45",GBP,,SHJ,needs review,needs review,,,m12,,
C28573,A-9766462,2023-12-13,(28662.54),28622.50497110146,GBP,CANCELLED,  AUH,needs review,needs review,,,,,
C62153,A-4495943,Dec-21-23,9314.56,"9,314.56",GBP,Open,UAQ,ok,ok,,,,,
C67303,A-3939883,2023-12-10,(19659.47),(19667.75),GBP,In Review,FJR,!!!,!!!,,0,94,,
C92001,A-2786983,2023-12-22 00:00:00,13043.84,"13,043.84",OMR,Open,AUH,needs review,needs review,,,86,,
C52827,A-9150526,32/13/2023,(7257.20),7257.2,GBP,,DXB,needs review,needs review,,Y23,33,,
C58294,A-4506813,2023-12-18,24709.13,24709.13,EUR,Pending,FJR,ok,ok,,Y23,m12,,
C88379,A-7945693,2023-12-05 00:00:00,4703.84,4703.84,omr ,,AUH,needs review,needs review,,Y23,48,,
C53445,A-9544234,2023-12-01 00:00:00,7214.12,,SAR,Pending,  DXB,,,,,m12,,
,A/8129,2023-12-25 00:00:00,-2500.98,not available,EUR,,RAK,ملاحظة,ملاحظة,,1,,,
C75671,A-4742261,,-6603.48,(6603.48),SAR,Open,  SHJ,ok,ok,,Y23,55,,
C31734,A-4948229,20/12/2023,(26322.08),"26,322.08",USD,,SHJ,ok,ok,,,63,,
C10735,A/70000,2023-12-13,"-7,434.66",,USD,Open,SHJ,ok,ok,,0,20,x,
C52155,A-8338728,0000-00-00,(24672.19),24672.19,EUR,Closed,  FJR,,,,,m12,,
C91917,A-6626453,01/12/2023,4273.083122271863,4209.808989240495,GBP,,AAN,,,,,,,
C65429,A-4599392,2023-12-24,18419.14,18419.14,OMR,Pending,UAQ,!!!,!!!,junk,Y23,52,x,
C62233,A-3379150,2023-12-15,10314.23,"10,316.50",USD,Closed,AAN,,,,,m12,,
,A-4476208,Dec-08-23,558.36,558.36,SAR,In Review,UAQ,ok,ok,,Y23,m12,,
C73945,,2023-12-05,10591.05050317814,10580.72,USD,Closed,  SHJ,,,,Y23,46,,
,A-9004808,32/13/2023,-2353.489490398385,,SAR,,RAK,ok,ok,,,m12,,
,A-2843761,Dec-21-23,"6,037.33",,GBP,Pending,FJR,ok,ok,,Y23,,x,
C54983,A-3020470,2023-12-23,-3993.11,-4039.7850236356,SAR,,SHJ,ok,ok,,Y23,37,,
C45013,A-8768292,27 December 2023,9313.980051182734,not available,USD,,DXB,,,,,,,
C71894,A-4082216,02 December 2023,,21102.2,AED,Open,UAQ,,,,Y23,93,,
,A-5170972,2023-12-24 00:00:00,(4540.01),-4540.01,USD,Open,AAN,,,,Y23,m12,,
C79887,,15/12/2023,21253.69,21273.99319758931,OMR,Closed,RAK,,,,1,m12,,
C38723,A/42799,05 December 2023,(19579.85),19579.85,EUR,CANCELLED,AUH,ملاحظة,ملاحظة,,Y23,,,
C75024,A-8591916,09 December 2023,11917.65,11917.65,SAR,,AAN,,,,Y23,45,,
,A-4868829,13 December 2023,-3999.174861897705,"-4,000.89",GBP,Pending,AUH,!!!,!!!,,Y23,m12,,
C15591,A-7132772,2023-12-27,,27040.14,OMR,,AUH,,,,1,m12,,
C75505,A-8521595,32/13/2023,"19,365.34",19397.7291625419,OMR,Pending,FJR,,,,,,,
C82840,A-4892885,21/12/2023,5069.959924828608,not available,AED,,UAQ,,,,1,,x,
C96091,A-1424060,Dec-04-23,12063.48991514762,12068.79,EUR,,  SHJ,ملاحظة,ملاحظة,,Y23,m12,,
C64216,A-1053963,2023-12-13,"6,617.04",,GBP,In Review,AUH,,,,Y23,42,,
C73687,A-2826449,2023-12-05,"19,190.57",(19185.38),USD,Closed,  SHJ,ملاحظة,ملاحظة,,Y23,20,,
C39339,A-4265848,2023-12-02,"6,300.24",6285.529336670799,USD,,AAN,ok,ok,,0,m12,,
C27688,A/94755,Dec-10-23,"7,004.05",,OMR,Open,RAK,!!!,!!!,,Y23,36,,
C74583,A/87656,15 December 2023,8334.66,,EUR,,SHJ,ok,ok,,Y23,35,,
C63130,A-2893077,32/13/2023,,,GBP,Pending,AAN,ok,ok,,Y23,,,
C12160,A-6849464,Dec-25-23,2083.769873767008,2081.84300756476,AED,,AUH,ok,ok,,,m12,,
C25102,A-6029828,2023-12-22 00:00:00,-1924.986355031021,-1987.425072888735,eur ,Closed,  AAN,needs review,needs review,,,m12,,
,A-3765760,2023-12-28 00:00:00,18717.69,18717.69,OMR,,FJR,needs review,needs review,,,,,x
C77067,A-7203493,32/13/2023,,10149.95002239968,EUR,,FJR,,,,Y23,m12,,
C21607,A-5315388,03 December 2023,26032.7,26032.7,GBP,Pending,AUH,ok,ok,,1,65,x,
C87638,A-4749350,2023-12-26,-2718.058945638673,-2695.1292914157575,EUR,Open,FJR,needs review,needs review,junk,Y23,,,
C82051,A-4905954,2023-12-02 00:00:00,"14,146.26",14146.26,GBP,In Review,  SHJ,ملاحظة,ملاحظة,,,m12,,
