System,FileName,Month ,Year,Sheet Name
System_B,BETA__2022.07__REPORT.xlsx,JUL,2022,"['README', 'Claims_Raw', 'NOTES', 'Pivot']"
System_B,BETA__2022.11__REPORT.xlsx,NOV,2022,"['README', 'Extract', 'NOTES', 'Pivot']"
System_B,BETA__2022.12__REPORT.xlsx,DEC,2022,"['README', 'CLAIMS ', 'NOTES', 'Pivot']"
System_B,BETA__May'2022__export (draft).xlsx,MAY,2022,"['README', 'Claims', 'NOTES', 'Pivot']"
System_B,June_2022__BETA__HIST.xlsx,JUN,2022,"['README', 'Claim Dump', 'NOTES', 'Pivot']"
System_B,2023_Feb_BETA_dump.xlsx,FEB,2023,"['README', 'Claim Dump', 'NOTES', 'Pivot']"
System_B,2023_Jan_BETA_dump.xlsx,JAN,2023,"['README', 'Claims ', 'NOTES', 'Pivot']"
System_B,BETA FY23 May Extract FINAL.xlsx,MAY,2023,"['README', 'Monthly Claims', 'NOTES', 'Pivot']"
System_B,BETA_Extract__03_2023__v2.xlsx,MAR,2023,"['README', 'ProviderView', 'NOTES', 'Pivot']"
System_B,BETA_Extract__04_2023__v2.xlsx,APR,2023,"['README', 'Sheet1', 'NOTES', 'Pivot']"
System_B,BETA_Extract__08_2023__v1.xlsx,AUG,2023,"['README', 'Claims', 'NOTES', 'Pivot']"
System_B,BETA__2023.06__REPORT.xlsx,JUN,2023,"['README', 'BatchDetail', 'NOTES', 'Pivot']"
System_B,BETA__2023.07__REPORT.xlsx,JUL,2023,"['README', 'BATCHDETAIL ', 'NOTES', 'Pivot']"
System_B,BETA__Nov-2023__export (draft).xlsx,NOV,2023,"['README', 'EXTRACT', 'NOTES', 'Pivot']"
System_B,BETA__Oct-2023__export (draft).xlsx,OCT,2023,"['README', 'Claims_Raw', 'NOTES', 'Pivot']"
System_B,BETA__Sep-2023__export (draft).xlsx,SEP,2023,"['README', 'ProviderView', 'NOTES', 'Pivot']"
System_B,December_2023__BETA__HIST.xlsx,DEC,2023,"['README', 'Sheet1 ', 'NOTES', 'Pivot']"
System_B,2024_Feb_BETA_dump.xlsb,FEB,2024,"['README', 'Claims_Raw', 'NOTES', 'Pivot']"
System_B,2024_Jul_BETA_dump.xlsx,JUL,2024,"['README', 'Claims', 'NOTES', 'Pivot']"
System_B,April_2024__BETA__HIST.xlsx,APR,2024,"['README', 'Extract', 'NOTES', 'Pivot']"
System_B,BETA FY24 August Extract FINAL.xlsx,AUG,2024,"['README', 'BatchDetail', 'NOTES', 'Pivot']"
System_B,BETA FY24 March Extract FINAL.xlsx,MAR,2024,"['README', 'CLAIMS', 'NOTES', 'Pivot']"
System_B,BETA FY24 October Extract FINAL.xlsx,OCT,2024,"['README', 'CLAIMS_RAW', 'NOTES', 'Pivot']"
System_B,BETA-2024-05 raw.xlsx,MAY,2024,"['README', 'Sheet1 ', 'NOTES', 'Pivot']"
System_B,BETA-2024-06 raw.xlsx,JUN,2024,"['README', 'ProviderView ', 'NOTES', 'Pivot']"
System_B,BETA_Extract__01_2024__v2.xlsx,JAN,2024,"['README', 'Extract', 'NOTES', 'Pivot']"
System_B,BETA_Extract__11_2024__v2.xlsx,NOV,2024,"['README', 'ProviderView ', 'NOTES', 'Pivot']"
System_B,BETA__Sep-2024__export (draft).xlsx,SEP,2024,"['README', 'Claims ', 'NOTES', 'Pivot']"
System_B,December_2024__BETA__HIST.xlsx,DEC,2024,"['README', 'BatchDetail ', 'NOTES', 'Pivot']"
