 Customer Id  ,Account ID, posting_dt  ,Amt, TXN_VALUE  , CCY_CODE  ,Status,AREA,Commentary,ops_comment,,year_added_2022, new_col_202206 ,,mystery_2022_06_16,mystery_2022_06_65,Unnamed: 0
,A-7779162,32/13/2023,-5286.133162233665,-5265.53,USD,Open,DXB,,,,Y22,88,,,x,
C21225,A-3151766,2022-06-10 00:00:00,"-6,115.11",-6115.11,USD,Closed,SHJ,ok,ok,,0,48,junk,,,x
C98985,A-4247653,01 June 2022,7260.17,,SAR,Closed,AAN,ok,ok,,Y22,,,,,
C66992,A-4305558,03/06/2022,,"8,872.42",SAR,Closed,FJR,,,,0,23,,,,
C31954,A/42326,2022-06-18,-4591.24,-4591.24,SAR,Closed,FJR,ok,ok,,Y22,m6,,,,
C37089,A-7002098,2022-06-17,12044.99,12044.99,SAR,Closed,AUH,ok,ok,,,m6,,,,
C57452,A-6019177,09/06/2022,,-2357.31,EUR,Closed,DXB,ok,ok,,,m6,,,,x
C81057,A-5937163,07/06/2022,27194.59994208951,27155,USD,Open,SHJ,!!!,!!!,,0,m6,,,x,
C14030,A-9151127,15 June 2022,,,GBP,CANCELLED,AAN,ok,ok,,Y22,m6,,,,
C95349,A/30725,Jun-06-22,18003.46121823157,(17985.93),GBP,In Review,SHJ,needs review,needs review,junk,Y22,m6,,,,
C99518,A-9985710,08 June 2022,6664.9,,EUR,,DXB,ملاحظة,ملاحظة,,0,,,,,
C80365,A-6344776,Jun-11-22,(3471.71),,EUR,Closed,RAK,,,,0,,,,,x
C41501,,2022-06-10,16828.22,"16,837.19",gbp ,,  SHJ,ok,ok,,1,m6,,,,
C13711,,2022-06-05,not available,-7520.02,GBP,,SHJ,,,,,m6,,,,
C60309,A/26999,2022-06-22,24793.673759546728,24783.85,OMR,,UAQ,,,junk,Y22,m6,,,,
C71596,,,8581.85,"8,562.62",EUR,In Review,  SHJ,ok,ok,,Y22,,,,,
C11359,A-8421118,32/13/2023,16894.59079423539,16942.00749369639,SAR,CANCELLED,SHJ,,,,1,m6,,,,
C13940,A-3948541,2022-06-20,7073.873779328784,"7,068.29",OMR,,AUH,,,,1,,,,,
C86165,A-7427545,14/06/2022,6644.16,6618.366507171654,EUR,Pending,FJR,ملاحظة,ملاحظة,,,m6,,,,
C93755,A-3607314,26/06/2022,6053.66,,SAR,Open,AUH,ok,ok,,Y22,m6,junk,,x,
C32564,A-8173392,2022-06-09,10794.54297843441,10822.59,SAR,,AUH,ok,ok,,,,,,,
C10217,A-5291068,0000-00-00,-3085.3458655415125,"-3,029.77",SAR,In Review,AUH,,,,,10,,,,
C32594,A-8734924,05 June 2022,27504.00319676317,27536.1,OMR,In Review,UAQ,ok,ok,,0,,,,,
C25034,A-2835469,2022-06-21 00:00:00,1126.6,,GBP,Pending,RAK,ok,ok,,0,65,,,,x
C99165,A-9109591,2022-06-11 00:00:00,26747.69,26747.69,GBP,Closed,DXB,ok,ok,,Y22,,,x,,
C14730,A-5451579,2022-06-09,-1889.78,-1889.78,GBP,In Review,AAN,ok,ok,junk,Y22,33,junk,,,
C24246,A-3683622,2022-06-13,,,aed ,CANCELLED,AAN,,,,1,88,junk,,,
C73214,A-1124724,2022-06-12 00:00:00,3232.59,,AED,,SHJ,needs review,needs review,,1,,,,,x
C28334,A-8888446,07 June 2022,not available,26787.26,GBP,Closed,  FJR,ok,ok,,Y22,53,,,,
C47807,A-1347218,,-7256.126470505965,"-7,257.91",AED,,UAQ,ok,ok,,Y22,87,,x,,
C89247,A-2443683,27/06/2022,-6140.72,"-6,140.72",OMR,,FJR,,,,Y22,m6,junk,,,
C70326,A-4639859,14 June 2022,5227.481765824523,5206.240850028695,EUR,Open,  UAQ,needs review,needs review,junk,,m6,,,,
C13867,A-5734164,0000-00-00,,,USD,Open,  AAN,,,junk,0,,,,,
C12717,A-7828897,28/06/2022,26123.37,26123.37,EUR,Closed,AAN,ok,ok,,Y22,m6,,,,
C96510,A-3806393,2022-06-06,2785.38,2785.38,GBP,CANCELLED,UAQ,ok,ok,,Y22,m6,,,,
C59285,A-2074290,Jun-20-22,14530.91396241891,14524.45,USD,CANCELLED,RAK,!!!,!!!,,1,m6,,,,
C84871,,20/06/2022,-7117.37,-7140.384739545407,AED,,FJR,ok,ok,,Y22,m6,,,x,
C24151,A-1949247,2022-06-22 00:00:00,,9973.17369474775,USD,In Review,AUH,,,,Y22,m6,,,x,
C12727,A-4614427,03/06/2022,"-1,461.35",-1461.35,GBP,Closed,DXB,,,,Y22,m6,,x,,
C28191,A-2193483,2022-06-01 00:00:00,"8,298.73",,EUR,CANCELLED,FJR,needs review,needs review,,Y22,m6,,,x,x
C96649,A-9979804,24/06/2022,(18401.37),18401.37,aed ,Pending,  UAQ,ملاحظة,ملاحظة,,0,,,,,x
C47356,A/33285,25/06/2022,,3557.27,USD,Pending,RAK,ok,ok,,Y22,m6,,,,
C40073,A-1439646,Jun-02-22,16688.9,16661.961194228497,USD,Open,AUH,ملاحظة,ملاحظة,,Y22,m6,,,,
C61184,A/91895,,10783.02,10765.532109882308,EUR,,DXB,ok,ok,,1,,,,,
C63187,A-3533057,03 June 2022,16803.18,(16789.98),AED,Pending,RAK,ok,ok,,1,66,,,,x
C23011,A-2237797,Jun-09-22,-6730.91,,OMR,,UAQ,,,,Y22,m6,,,,x
,A-3149458,12/06/2022,6839.55,6839.55,OMR,Closed,AAN,needs review,needs review,,Y22,63,junk,,,
C19544,A-7227195,2022-06-02,12969.97,"12,969.97",USD,,RAK,needs review,needs review,,0,m6,,,,
C99188,A-4470009,Jun-09-22,,(27592.15),EUR,,  FJR,needs review,needs review,,,92,,,,
C55438,,2022-06-25,-614.4585996721581,-643.65,OMR,,UAQ,ok,ok,,Y22,16,,,,
C46405,A/14445,23 June 2022,4907.579641258955,(4885.58),AED,Open,AAN,ok,ok,,Y22,m6,,,,
,A-7049405,2022-06-17,22460.57,22460.57,USD,,DXB,,,,,,,,,
C90887,A-7365704,2022-06-12 00:00:00,12157.28,,USD,,UAQ,ok,ok,,1,,,x,,
C25805,,2022-06-26,-5283.94,(5283.94),USD,Pending,DXB,ok,ok,,Y22,76,,,,x
,A-5229855,2022-06-21,-5287.948063136081,-5280.52,EUR,In Review,SHJ,,,,Y22,88,,,,
C15306,A-3235026,0000-00-00,513.84,513.84,AED,Closed,UAQ,,,,Y22,16,,,,
C85484,A-2393192,2022-06-20,,28428.79,SAR,,DXB,!!!,!!!,junk,Y22,,junk,x,,
C45763,A-9738358,13/06/2022,13532.4,,GBP,Open,FJR,needs review,needs review,,1,,,,,
C75139,A/54332,2022-06-28 00:00:00,(20933.89),20933.89,EUR,,FJR,,,,Y22,20,,,,
,A-9087037,2022-06-27,3001.04,"2,975.32",EUR,CANCELLED,AAN,needs review,needs review,,Y22,25,,,,
C63992,,06 June 2022,,,SAR,,  FJR,ok,ok,,1,m6,,,,
C96152,A-5938652,Jun-25-22,3562.21,3519.275510241072,USD,,FJR,!!!,!!!,,1,m6,,x,,
C14960,A-9472998,2022-06-24,,2295.15,EUR,,FJR,ok,ok,,Y22,,,,,
C93452,A-5247355,Jun-28-22,11555.84,"11,555.84",SAR,Pending,  DXB,,,junk,Y22,,,x,,
C30810,A-1524669,05 June 2022,"21,236.81",21236.81,EUR,CANCELLED,DXB,,,,,m6,,,,
C19005,A-7886061,Jun-07-22,"1,262.35","1,275.57",SAR,,  RAK,,,,,71,,,,
C58088,A-5714550,2022-06-02,,,SAR,Closed,SHJ,,,,Y22,m6,,,,
C26481,A-8639811,2022-06-25,27262.25,(27262.25),AED,,SHJ,!!!,!!!,,1,14,,,,
C98059,A-3804831,2022-06-27,25929.44,25929.44,USD,CANCELLED,AAN,!!!,!!!,,Y22,m6,,,,
C92940,A-6757790,32/13/2023,(29151.36),29151.36,GBP,,AUH,,,,0,,,,,
C23838,A-7905257,22/06/2022,20334.19,(20334.19),EUR,Open,AAN,ok,ok,,,,,,,
C11184,A/40493,Jun-28-22,,24852.97,SAR,Open,AUH,ملاحظة,ملاحظة,,Y22,42,,x,,
C24336,A-1015058,0000-00-00,not available,27231.315530019074,AED,,AUH,ok,ok,junk,,m6,junk,,,
C85995,A-3619225,2022-06-25,not available,(11300.31),USD,,AUH,ok,ok,,Y22,45,,x,,
C80956,A-9683707,28 June 2022,-4645.21,-4645.21,SAR,CANCELLED,  DXB,needs review,needs review,,,97,,,,
C93303,A-3636817,17 June 2022,22985.6,"22,960.08",aed ,Closed,  SHJ,,,,,m6,,,,
C50646,A-7853158,32/13/2023,,"23,165.20",USD,In Review,SHJ,ok,ok,,1,m6,,,,
,A-1508288,2022-06-16,-4345.69,-4345.69,SAR,Closed,DXB,,,,1,76,,,,
C20296,A-3673898,2022-06-22 00:00:00,6257.03,,EUR,In Review,AAN,needs review,needs review,,0,78,,,,
C35898,A-6618914,32/13/2023,16890.2,16890.2,USD,,SHJ,needs review,needs review,,1,m6,,,,
,A-5711070,06 June 2022,-3511.62,(3511.62),GBP,CANCELLED,AAN,needs review,needs review,,,m6,,,,
,A-4162217,2022-06-24,,"3,110.19",USD,Pending,SHJ,!!!,!!!,,Y22,90,,,,
C97827,,32/13/2023,20873.1,20873.1,SAR,Pending,AUH,ok,ok,,Y22,,,,x,x
C14778,A/16804,05 June 2022,10657.49,10657.49,EUR,,  RAK,ok,ok,,Y22,m6,junk,,,x
C17455,A-4941098,23/06/2022,,"18,548.50",GBP,,  FJR,needs review,needs review,,1,m6,,,,
C51008,A-6094375,Jun-12-22,15095.241553412274,15065.48,SAR,Open,FJR,,,,Y22,m6,,,x,
C70924,A-2239023,32/13/2023,18863.42,18863.42,OMR,Pending,FJR,ok,ok,,Y22,m6,,,,
C70222,A/80831,Jun-18-22,(4403.14),-4403.14,EUR,CANCELLED,DXB,ok,ok,,Y22,m6,,,,
C74748,A-7258638,14/06/2022,29973.1,29973.1,USD,,AUH,,,,1,m6,,,,
C38595,A-9803116,2022-06-05,-4571.462108454693,-4525.67,OMR,Closed,UAQ,ok,ok,,1,,,,,
C94419,A-4777609,2022-06-04,"13,588.89",13588.89,GBP,,RAK,,,,Y22,,,,,
C35343,A-8174619,2022-06-18 00:00:00,9956.3,9980.8470665197,AED,Pending,AUH,needs review,needs review,,,m6,junk,,,
C78173,A-3864473,2022-06-22,,"23,364.65",OMR,Closed,DXB,ملاحظة,ملاحظة,junk,Y22,45,,,x,
C32425,A/96010,2022-06-14,13809.30470692047,13834.89,EUR,CANCELLED,SHJ,ok,ok,,Y22,46,,,,
C31014,A-5634862,17/06/2022,16708.88,16708.88,AED,CANCELLED,SHJ,,,,Y22,,junk,,,
C53877,A-9980241,32/13/2023,4938.53,4916.33605210391,USD,Closed,FJR,ok,ok,,,,,,,
C61881,A-8592631,,-5069.512830277155,-5047.75,SAR,,SHJ,,,,,47,,,,
C88985,A-2026820,Jun-06-22,"-5,406.56",-5406.56,GBP,CANCELLED,AAN,,,,Y22,97,,,,
C45953,A-9140074,2022-06-08,(12374.26),(12374.26),sar ,In Review,DXB,ملاحظة,ملاحظة,junk,,m6,,,,
C19673,A-8850440,27 June 2022,7834.9417060817,7816.786203930419,OMR,,AUH,ok,ok,,Y22,m6,,,,
C48355,A-2629667,2022-06-06,,23769.34,GBP,CANCELLED,FJR,,,,,32,,,,
C74253,A-2169482,Jun-26-22,-4298.24,-4298.24,EUR,,  RAK,,,,Y22,m6,,,,
C48724,,2022-06-10,8884.38,(8845.59),SAR,Pending,SHJ,,,,Y22,,,,,
C47545,A/46218,2022-06-02,10289.692557682116,not available,EUR,,DXB,,,,Y22,,,,,
C14559,A-8058972,07/06/2022,,,AED,Pending,RAK,ok,ok,,Y22,72,,,,
C57948,A-4181172,0000-00-00,19467.85,19423.94612885259,omr ,CANCELLED,UAQ,ok,ok,,0,,,,,
,A-1223926,16/06/2022,8529.06,(8529.06),EUR,CANCELLED,AAN,ok,ok,,1,62,,,x,
C31788,A-8690338,2022-06-14,(19020.77),(19020.77),SAR,Closed,AAN,ملاحظة,ملاحظة,junk,0,m6,,,,
C14933,A-1985798,15/06/2022,13849.35,not available,GBP,CANCELLED,SHJ,ملاحظة,ملاحظة,,,27,,,,
C55370,A/81239,2022-06-10,"-4,534.03",,eur ,,DXB,ok,ok,,Y22,m6,,,,
C52648,A-8762888,Jun-16-22,-4874.937253988762,(4826.32),EUR,Open,SHJ,ok,ok,,Y22,77,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
 Customer Id  ,Account ID, posting_dt  ,Amt, TXN_VALUE  , CCY_CODE  ,Status,AREA,Commentary,ops_comment,,year_added_2022, new_col_202206 ,,mystery_2022_06_16,mystery_2022_06_65,Unnamed: 0
C58072,A-1240919,2022-06-21 00:00:00,2995.86,"2,995.86",eur ,CANCELLED,FJR,ok,ok,,Y22,41,,x,,
C70585,A-2332357,,25113.75,25113.75,GBP,Open,AUH,needs review,needs review,,Y22,m6,junk,,,
C40630,A-2938026,32/13/2023,7705.16,7712.378065978508,AED,Pending,FJR,needs review,needs review,,Y22,,,,,
C99538,A-5704763,06/06/2022,,-1627.12,GBP,Closed,DXB,needs review,needs review,,,m6,,,,
,A-9634892,2022-06-15,26361.05,(26361.05),OMR,Pending,FJR,needs review,needs review,,,44,,,,
,A-6191144,04/06/2022,20578.99,,SAR,,  AUH,ok,ok,,0,58,,,x,
C84273,A-1250395,14 June 2022,-6931.12,-6912.681172779814,SAR,Closed,FJR,needs review,needs review,,0,76,,,,
C15375,A/91766,Jun-19-22,5850.234718860132,,GBP,CANCELLED,RAK,ok,ok,,Y22,m6,junk,,,
C42684,A-1051198,Jun-15-22,12771.408337153804,12807.19,EUR,,AUH,,,,Y22,m6,,,,x
C14436,A-4634727,2022-06-28,18875.4,18875.4,EUR,,DXB,ملاحظة,ملاحظة,,Y22,m6,,,,
C45747,A-7413894,Jun-27-22,not available,19940.05,SAR,Pending,SHJ,,,,Y22,m6,,,,
C46062,A-9499578,2022-06-20,,25404.68,OMR,Open,AUH,needs review,needs review,,,m6,,,,
C16414,A-4951062,2022-06-17,18415.8,18415.8,OMR,Open,AUH,ok,ok,,,m6,,,,
C94124,A/72454,19 June 2022,1651.9,1651.9,AED,Open,AUH,needs review,needs review,,,m6,,,,
C13982,A-7839425,2022-06-22,9805.53,9805.53,OMR,Closed,RAK,ok,ok,,Y22,m6,,,,
C17769,A-3731180,24/06/2022,"24,908.14",24955.58,AED,,UAQ,,,,Y22,,,,,x
C28544,,2022-06-19 00:00:00,20913.02067537628,20928.12,EUR,In Review,RAK,!!!,!!!,,Y22,m6,,,,
C81751,A-6130492,07 June 2022,27963.49218214759,,USD,Closed,RAK,needs review,needs review,,Y22,99,,,,
C95879,A-9981098,Jun-03-22,15865.52,(15875.77),AED,Pending,AUH,,,,,m6,junk,,,
C47033,A-4510172,28 June 2022,,22542.53,EUR,Pending,AAN,ok,ok,junk,Y22,m6,,,,
C12707,A-6963177,21/06/2022,11276.53,11276.53,USD,Pending,RAK,needs review,needs review,,Y22,66,,,x,
C38667,A-4072194,2022-06-10,29249.31,29249.31,eur ,In Review,FJR,ok,ok,,Y22,m6,,,,
C52370,A-7137628,32/13/2023,25475.71498253784,,GBP,,DXB,!!!,!!!,,,m6,,,,
C85269,A-5445374,2022-06-05,,(4472.24),OMR,Pending,SHJ,needs review,needs review,,,48,,,,
C33518,A-9109114,08/06/2022,17393.01,17393.01,AED,Open,RAK,needs review,needs review,,,23,,,,
C93608,A-9479299,23/06/2022,,20431.28,SAR,CANCELLED,RAK,ok,ok,,,89,,,x,
C49764,A-9715164,01/06/2022,9515.37,9515.37,OMR,,AAN,needs review,needs review,,0,77,,x,,x
C93032,A-4031538,2022-06-13 00:00:00,25648.88,25648.88,OMR,,SHJ,needs review,needs review,junk,1,,,,x,
C38446,A-5477281,Jun-23-22,,6774.397472147945,USD,Closed,DXB,ok,ok,,0,73,,,,
C14741,A-5752721,05 June 2022,17455.15,17455.15,SAR,CANCELLED,RAK,ok,ok,,,m6,,x,,
C67406,A-7750154,28/06/2022,(29984.42),"29,984.42",EUR,Pending,AUH,ok,ok,,0,98,,,,
C82538,A-4691369,06/06/2022,17907.59,17907.59,SAR,CANCELLED,  AUH,,,,Y22,18,,,,
,A-6606401,Jun-23-22,9878.39,9878.39,omr ,Pending,UAQ,,,,0,,,,,
,A-4065157,Jun-09-22,22349.34077258374,22351.74,SAR,Open,FJR,needs review,needs review,,Y22,m6,,,,
C47772,A-5204972,2022-06-15,13917.56815856494,13879.45,EUR,Pending,  DXB,ok,ok,,,,,,,x
,A/95226,26/06/2022,16623.62,16623.62,SAR,Open,FJR,,,,Y22,,,,,
C76535,A-3870886,28/06/2022,"20,088.50",20088.5,GBP,,FJR,,,,0,,,,x,
C32989,A/55109,2022-06-16,1238.35,1238.35,OMR,,AAN,ok,ok,junk,Y22,77,,,,
C40189,A-4209470,Jun-09-22,21545.6,"21,574.55",aed ,CANCELLED,AUH,ok,ok,,Y22,m6,junk,x,,
C47073,A-5251909,Jun-24-22,"13,060.18",13071.55,SAR,Closed,UAQ,ok,ok,,Y22,m6,,,,
C81428,A-8877465,16/06/2022,14231.42241317604,14279.46,EUR,In Review,FJR,ملاحظة,ملاحظة,,,m6,,,,x
C39309,A-2288332,2022-06-14,16267.96,"16,267.96",OMR,Open,RAK,ok,ok,,Y22,,junk,,,
C84851,A-9864640,19 June 2022,26806.61,(26806.61),EUR,In Review,SHJ,,,,1,m6,,,,
C52087,A-8415098,2022-06-27 00:00:00,29277.329135470078,29323.28,AED,,FJR,!!!,!!!,,,,,,,
C55206,A-2286543,2022-06-06 00:00:00,1599.87,1599.87,SAR,In Review,RAK,ok,ok,,Y22,m6,,,,
C94832,A-2106864,14 June 2022,"1,972.62",2014.179577857966,GBP,Pending,  UAQ,ملاحظة,ملاحظة,,0,,junk,,,
,A-3533817,Jun-19-22,9318.05,9318.05,OMR,CANCELLED,AUH,!!!,!!!,,Y22,43,,,,
C60946,A-8148070,01/06/2022,29046.8001406331,29052.25,AED,In Review,DXB,!!!,!!!,,Y22,16,,x,,
C46835,A-1279739,2022-06-03,-3361.5032223962908,"-3,344.68",AED,,DXB,ملاحظة,ملاحظة,,0,m6,,,,
C77338,A-3965414,2022-06-14,,not available,OMR,Open,  RAK,,,,Y22,,,,,
C62403,A-5464017,,18026.673286073863,18041.4,EUR,Open,FJR,!!!,!!!,,1,81,,,,x
C13100,A-6582862,15 June 2022,,,AED,In Review,AAN,ok,ok,,Y22,30,,,x,
C83904,A/69399,11/06/2022,,8819.187614496215,USD,,SHJ,ok,ok,,Y22,79,,,,x
C64257,A-8474687,32/13/2023,20613.06,(20613.06),EUR,,UAQ,ملاحظة,ملاحظة,,0,63,,,,
C31030,,26/06/2022,"-5,078.42",not available,EUR,CANCELLED,DXB,,,,Y22,m6,junk,,,
C45498,A-3594355,2022-06-27,"-5,273.58",,OMR,CANCELLED,FJR,ملاحظة,ملاحظة,,Y22,m6,,,x,
C18972,A-5153796,13/06/2022,2467.13,not available,EUR,CANCELLED,FJR,,,junk,,,junk,,,
,A-8900843,2022-06-04,6509.122328435601,"6,522.42",AED,Open,SHJ,ملاحظة,ملاحظة,,Y22,m6,,,,
C23495,,2022-06-10,(13197.22),13207.32,GBP,In Review,RAK,,,junk,,85,,,,
C92316,A-7535206,32/13/2023,-4006.499752521768,(3988.46),GBP,In Review,AAN,needs review,needs review,,Y22,27,,,,
C60059,A-1168697,16/06/2022,-1841.54,,OMR,Open,AUH,ok,ok,,Y22,m6,,,,
C99837,A-7770402,2022-06-07,(28419.58),28384.85,SAR,,AAN,needs review,needs review,,,m6,,,,x
C82213,A-4149332,27/06/2022,,-1885.61,eur ,,FJR,,,,1,74,,,,
C99791,A-3034105,Jun-17-22,24078.6576376286,"24,121.75",EUR,Open,UAQ,needs review,needs review,,,,,,,
C43057,A-8777017,2022-06-17,-4945.79,-4945.79,SAR,,UAQ,,,,,m6,,,,
,A-2366069,Jun-08-22,"29,417.12",29417.12,EUR,,AAN,,,,Y22,,,,,
,A-8231644,2022-06-20 00:00:00,15088.206097072822,15081.8,USD,Open,  AUH,ملاحظة,ملاحظة,junk,,m6,,,,
C41209,A-5103923,2022-06-24,(1774.65),-1774.65,EUR,,AAN,,,,Y22,14,,x,,
C97541,A-9850998,06 June 2022,,"21,526.78",OMR,Open,DXB,,,,1,81,,,,
C82187,A-5271440,2022-06-26,not available,"12,035.18",SAR,Closed,AUH,needs review,needs review,,,m6,,,,
C35354,A-8936413,32/13/2023,-7291.42,"-7,291.42",EUR,CANCELLED,SHJ,ok,ok,,,m6,junk,,,
,A-4933488,10 June 2022,,19826.88,OMR,Open,  FJR,ok,ok,,1,m6,,,,
C20638,A-6020359,13/06/2022,9236.310323062788,,SAR,,AAN,ok,ok,,Y22,,,,,
C96165,A-1339167,32/13/2023,12000.84,12000.84,EUR,Pending,AUH,!!!,!!!,,,m6,,,,
C55335,A-1306110,17/06/2022,26714.2880441434,"26,738.17",GBP,,RAK,,,,Y22,m6,,,,x
C54712,A/83939,2022-06-28,1386.53,(1358.64),GBP,Open,AUH,ok,ok,,Y22,m6,,,,
,,Jun-03-22,15150.84858694953,15121.69488291525,EUR,CANCELLED,AAN,ملاحظة,ملاحظة,,Y22,12,,,,
C11988,A-2593563,Jun-13-22,not available,12644.5,SAR,Closed,AAN,ok,ok,,0,m6,,,,
,A-8863025,Jun-03-22,3454.16,3454.16,usd ,,DXB,needs review,needs review,,1,m6,,,,
C22756,A-8059620,09/06/2022,8200.33,8200.33,SAR,,AUH,ok,ok,,1,,,x,,
C19561,A-3306957,19 June 2022,-7328.76,"-7,328.76",OMR,In Review,SHJ,needs review,needs review,,Y22,87,,,,
C31702,A-1703804,12/06/2022,22547.92678039599,22510.8,EUR,Open,SHJ,,,,,,,,,
C97878,A-1063019,Jun-17-22,"-7,184.97",-7186.88817780079,AED,,FJR,needs review,needs review,,,m6,,,,
,A-8108557,12/06/2022,-4351.57380841229,-4320.296119640024,AED,Closed,UAQ,ok,ok,,Y22,43,junk,,,
C22412,A-8972662,2022-06-22,,-246.98,GBP,In Review,AAN,needs review,needs review,,,37,,,x,
C22423,A-5130389,28/06/2022,26382.39,,OMR,Pending,UAQ,ok,ok,junk,Y22,,,,,
C99313,A-3279345,2022-06-26,19471.9,(19471.90),AED,,AUH,ok,ok,junk,Y22,m6,junk,,,
C17903,A-3993325,2022-06-28,25866.78,25866.78,USD,,UAQ,,,,,m6,,,,
C21453,A-8311436,Jun-10-22,-2476.99,-2476.99,EUR,,AAN,ok,ok,,1,m6,,,,
C96525,A-3323764,26/06/2022,,17892.13,OMR,Closed,AUH,ok,ok,,Y22,,,,,
C49029,A/77506,14 June 2022,(517.19),-517.19,AED,In Review,SHJ,,,,0,,junk,,,
C67588,A-6281160,15/06/2022,-2967.124750168178,-2974.57,GBP,,FJR,,,,Y22,,,,,
C75622,A-8218985,22 June 2022,(4775.54),4824.153657694586,GBP,In Review,AUH,,,,Y22,,,,,
C37011,A-5931759,2022-06-27,15556.63,,SAR,,AAN,ok,ok,,Y22,m6,,,,x
,A-8035837,2022-06-21,8456.5,"8,456.50",OMR,,  FJR,ok,ok,junk,,97,,,,
C76875,A/81360,2022-06-09,27553.32,"27,553.32",USD,,RAK,ok,ok,,Y22,m6,,,,x
C13730,A-9054451,23/06/2022,17011.33,,EUR,Closed,AUH,ok,ok,,Y22,11,,,,
C63793,A-2829477,2022-06-19 00:00:00,,(3618.79),EUR,In Review,SHJ,!!!,!!!,,0,45,,,,
C78950,A-6333125,Jun-10-22,27971.28,27971.28,OMR,CANCELLED,UAQ,needs review,needs review,,Y22,m6,,,,
C71213,,17 June 2022,3566.5,3566.5,OMR,,SHJ,needs review,needs review,,,m6,,,,
C91136,A-4969846,Jun-05-22,(26628.74),(26628.74),USD,CANCELLED,FJR,ملاحظة,ملاحظة,,Y22,m6,,,x,
C40882,A-4266422,Jun-15-22,(21734.64),,OMR,Closed,SHJ,needs review,needs review,,1,m6,,,,
C57983,A/54915,Jun-18-22,13008.7,13008.7,USD,Pending,  AAN,!!!,!!!,,1,,junk,,,
C28744,A-2682037,01/06/2022,22057.66459486552,22039.26,OMR,Open,UAQ,needs review,needs review,,0,m6,,,,
C90069,A-8480472,,"26,723.96","26,770.09",SAR,,FJR,ok,ok,,Y22,,,,x,
C50521,A-1641337,32/13/2023,-502.28,-502.28,SAR,Closed,AAN,,,,,22,,,,
C93215,A-1406656,Jun-08-22,(586.37),617.1021985928348,USD,Pending,UAQ,!!!,!!!,,1,m6,,,,
C74767,A-8971732,,29861.81,"29,861.81",gbp ,,FJR,ملاحظة,ملاحظة,,Y22,,,,,
C41430,A-5934760,2022-06-25 00:00:00,,"-4,153.43",SAR,,FJR,needs review,needs review,,,97,,,x,
,A-4685497,2022-06-19,-2164.95,-2118.46751609507,EUR,Pending,DXB,ok,ok,,,m6,,,x,
C36879,A-9563353,Jun-23-22,22509.80348539606,,USD,Closed,AAN,needs review,needs review,,Y22,,,,,
,A-2663745,22/06/2022,22368.05,22368.05,SAR,Closed,AUH,ملاحظة,ملاحظة,,Y22,m6,,x,,x
C63138,A-2211253,Jun-09-22,not available,-4653.195916688054,AED,Pending,AUH,,,,Y22,m6,,,,
C51906,A-5370365,22 June 2022,29186.414740918503,29179.59944554749,EUR,Closed,AUH,needs review,needs review,,,,,,x,x
C53355,A-7297703,17/06/2022,(16495.95),16495.95,GBP,,RAK,ok,ok,,,m6,,,,
