,A-8473191,Feb-16-22,(5834.23),,EUR,,  DXB,,,,Y22,58,,,,x
C12730,A/4091,Feb-06-22,-4776.52,,EUR,Open,RAK,needs review,needs review,,Y22,,Open,,,x
C49374,A-9243918,32/13/2023,11591.21,,GBP,Pending,RAK,,,,Y22,,Pending,,,
C41824,A-3708150,2022-02-13,,,EUR,Pending,UAQ,,,,0,m2,Pending,,,
C23060,A-5165311,2022-02-09,5006.803343500335,,AED,In Review,RAK,!!!,!!!,,,59,In Review,,,
C64048,A-8293639,02/02/2022,19905.54,,OMR,Open,AUH,ok,ok,,Y22,16,Open,,,
C95496,A-6111580,2022-02-15,not available,,USD,Closed,DXB,needs review,needs review,,Y22,m2,Closed,,,
C62758,A-2723296,26/02/2022,-2152.348722154753,,USD,Pending,DXB,ok,ok,,1,m2,Pending,,x,x
C15133,A-5248448,03 February 2022,5584.75,,GBP,Closed,RAK,ok,ok,junk,,55,Closed,,,
C64849,A-8811350,2022-02-15,2306,,AED,In Review,FJR,needs review,needs review,,1,m2,In Review,,,x
C10644,A-1923616,2022-02-17,9569.6,,GBP,CANCELLED,UAQ,ok,ok,,1,,CANCELLED,,,
C95465,A-3408297,13/02/2022,25641.45,,EUR,CANCELLED,SHJ,ok,ok,junk,Y22,m2,CANCELLED,,,
C96249,A/22600,27 February 2022,"21,143.72",,GBP,CANCELLED,AAN,!!!,!!!,,,m2,CANCELLED,,,
C71815,A-4448861,32/13/2023,10328.909160844027,,AED,CANCELLED,DXB,ok,ok,,0,,CANCELLED,,,x
,A-1675396,28/02/2022,24358.93,,SAR,,DXB,ok,ok,,Y22,14,,,x,x
C12951,A-9699587,16/02/2022,14365.15,,EUR,,AUH,ok,ok,,,m2,,,,
C37172,A-9035069,32/13/2023,,,usd ,In Review,FJR,ملاحظة,ملاحظة,,Y22,,In Review,,,
C25947,A-5307977,Feb-08-22,-6899.7,,EUR,,AUH,ok,ok,junk,,,,,x,
C88447,A/5089,2022-02-08,-3069.95,junk,AED,Open,AUH,ملاحظة,ملاحظة,,1,,Open,,,
C96187,A-8092699,2022-02-06 00:00:00,-1051.72,,SAR,,AAN,!!!,!!!,junk,Y22,19,,x,,
C13183,A-6130384,2022-02-25 00:00:00,(23006.65),,USD,CANCELLED,RAK,,,,Y22,m2,CANCELLED,,,
C28463,,26 February 2022,17777.658527129282,,EUR,CANCELLED,DXB,ok,ok,,,m2,CANCELLED,,,
C93060,A-3574803,2022-02-13,-7185.121830625425,,OMR,CANCELLED,SHJ,ok,ok,,Y22,m2,CANCELLED,,x,
C98943,A-7664648,,-284.16,,AED,In Review,FJR,,,,Y22,m2,In Review,,x,
C17801,,Feb-06-22,"18,229.36",,SAR,CANCELLED,AAN,ملاحظة,ملاحظة,,Y22,,CANCELLED,,,
C61568,A-7565658,2022-02-28,9948.436471198682,,AED,Pending,DXB,!!!,!!!,,,m2,Pending,,,
,A-9647277,Feb-12-22,12363.47,,EUR,Pending,DXB,needs review,needs review,,Y22,51,Pending,,,
C14023,A-1532099,25/02/2022,(17720.73),,EUR,Open,RAK,ملاحظة,ملاحظة,junk,Y22,89,Open,,,
C73216,A-5473750,Feb-25-22,,,OMR,CANCELLED,FJR,,,,1,m2,CANCELLED,,,
C76341,A-6889759,32/13/2023,"12,250.06",,EUR,Open,UAQ,ok,ok,,,m2,Open,,,
C78478,A-2778878,Feb-11-22,22687.88,,AED,In Review,UAQ,ok,ok,,Y22,31,In Review,,,
,A-5782386,Feb-11-22,1865.17,,SAR,Closed,AAN,ملاحظة,ملاحظة,,1,m2,Closed,x,,
C46091,A-5403696,2022-02-16,"20,153.88",,SAR,CANCELLED,UAQ,,,junk,Y22,m2,CANCELLED,,,
C85134,A-3653054,2022-02-08,not available,,EUR,Open,  FJR,ملاحظة,ملاحظة,junk,Y22,,Open,x,,
C50292,A-1649940,Feb-28-22,16642.21,,GBP,Closed,UAQ,needs review,needs review,junk,Y22,,Closed,,,
C24211,,Feb-21-22,"15,103.58",,SAR,,UAQ,ok,ok,,Y22,m2,,,,
C49051,A-3017063,32/13/2023,4848.73,,SAR,Closed,AAN,needs review,needs review,junk,,,Closed,,,
C55899,A-6223815,Feb-21-22,10754.75,junk,EUR,Pending,FJR,ملاحظة,ملاحظة,junk,Y22,m2,Pending,x,,
C81756,A-5225111,14 February 2022,-438.19,,GBP,,  AAN,,,,,m2,,,,
C70879,A-4638907,16/02/2022,24037.38,,OMR,,RAK,ok,ok,,Y22,m2,,,x,
C97323,A-9859295,09 February 2022,-6374.634001022767,junk,USD,Pending,FJR,ok,ok,,1,,Pending,,,x
C37489,A-7559248,32/13/2023,"10,215.78",,GBP,CANCELLED,SHJ,,,,Y22,69,CANCELLED,,,
C95572,A-4111670,2022-02-20,"23,714.30",,USD,Closed,SHJ,ملاحظة,ملاحظة,,Y22,m2,Closed,,,
,A/36979,2022-02-12,8808.39,,OMR,In Review,SHJ,ok,ok,,Y22,m2,In Review,x,,
C91554,A-9144872,2022-02-10,11830.344496072212,,USD,CANCELLED,FJR,ok,ok,,Y22,,CANCELLED,,,
C13110,A-2525797,Feb-13-22,-3484.955782099327,,SAR,Open,SHJ,ok,ok,,Y22,m2,Open,,,
C61377,,12 February 2022,"5,347.91",,EUR,Open,  SHJ,ok,ok,,Y22,m2,Open,,x,
C45181,A/13822,32/13/2023,-3702.5382438892307,,SAR,CANCELLED,RAK,ok,ok,,0,,CANCELLED,,x,
C73710,A-1285945,28/02/2022,"-7,011.68",,SAR,In Review,SHJ,ملاحظة,ملاحظة,,Y22,,In Review,,,
C26329,,19/02/2022,,,GBP,,RAK,needs review,needs review,,Y22,60,,x,,
C53132,A-6443374,2022-02-11 00:00:00,"5,121.40",,GBP,In Review,DXB,,,,,m2,In Review,,,
C37504,A-7552865,18/02/2022,not available,,OMR,,DXB,needs review,needs review,,,m2,,,,
C78761,,2022-02-16,23074.74,,USD,,RAK,,,,Y22,,,,,
C42682,A-1284720,23/02/2022,11898.68,,OMR,,AAN,,,,0,94,,x,x,
C57484,A-9607306,2022-02-26 00:00:00,6756.342699546139,junk,EUR,Closed,FJR,ok,ok,,,55,Closed,,,
C20343,A-6230329,08 February 2022,-1538.97,,EUR,In Review,UAQ,,,,,87,In Review,,,
C15514,A-4257877,2022-02-22 00:00:00,15158.65,,SAR,In Review,RAK,ملاحظة,ملاحظة,,0,m2,In Review,,,
C53471,A-1009576,32/13/2023,-833.19,,EUR,,AAN,ok,ok,,Y22,,,,,
C63447,A-9934713,2022-02-03 00:00:00,(9081.03),,SAR,,FJR,needs review,needs review,,0,20,,,,
C53116,A-1925708,2022-02-06,24171.82,,GBP,,SHJ,,,,Y22,m2,,,,
C60374,A-9781094,2022-02-05 00:00:00,20398.63,,USD,,AAN,needs review,needs review,,0,,,,,
C42833,A-4317270,2022-02-12,9566.52,,GBP,,  SHJ,,,junk,,m2,,x,,
C65873,A-7653088,32/13/2023,29705.62,junk,EUR,,UAQ,needs review,needs review,,Y22,m2,,,,
C89377,A-2457316,,19820.09,,SAR,In Review,SHJ,,,,1,m2,In Review,,,
C73639,A-3533124,11 February 2022,not available,,USD,CANCELLED,SHJ,,,junk,Y22,,CANCELLED,,,
C18333,A-4484035,07/02/2022,not available,,SAR,,  FJR,,,,,,,,,x
C92439,A-8976927,03 February 2022,-3691.79,,USD,,DXB,!!!,!!!,,Y22,m2,,,x,
C87243,A-4229892,17/02/2022,10619.20747161779,,SAR,In Review,UAQ,,,,,33,In Review,,,
,A-1856167,2022-02-25 00:00:00,(4251.38),,GBP,Open,RAK,!!!,!!!,,,62,Open,,,
C93486,A-7274824,0000-00-00,-4005.89,junk,USD,,UAQ,,,,1,,,,,
C13901,A-1058028,0000-00-00,8741.665254404,,sar ,,FJR,,,,Y22,,,,,
C42164,A-1737929,2022-02-12,14205.84,,GBP,Open,  FJR,,,,0,26,Open,,,
C67983,A-5057136,05 February 2022,"28,573.92",,AED,,UAQ,ملاحظة,ملاحظة,,Y22,69,,,,
,A-3855691,0000-00-00,14171.55494236305,,OMR,Open,SHJ,ok,ok,,,,Open,,,
C49942,A-7326042,14/02/2022,not available,,EUR,Open,DXB,ok,ok,,,m2,Open,,,
C33337,A-8689935,2022-02-01,5689.234142839018,,USD,CANCELLED,DXB,,,,Y22,m2,CANCELLED,,,
C84229,A-6654965,2022-02-25,(28059.08),,EUR,CANCELLED,  UAQ,,,,,27,CANCELLED,,,
C19419,A/47725,32/13/2023,,,SAR,,UAQ,needs review,needs review,,Y22,m2,,,x,x
C46786,A-1778313,,4460.23,,AED,,FJR,!!!,!!!,,Y22,48,,x,,
C67228,A-8498900,09/02/2022,27685.771263146606,junk,GBP,,AUH,needs review,needs review,,1,m2,,,,
C13562,A/26801,2022-02-23,"16,053.17",junk,eur ,In Review,UAQ,,,,,m2,In Review,,,
C87978,A-7091235,18 February 2022,4799.741228553176,,USD,Pending,FJR,,,,Y22,m2,Pending,,,
C83201,A-8482499,2022-02-11 00:00:00,7653.42,,USD,Closed,SHJ,ok,ok,,Y22,m2,Closed,,x,
C11230,A-7120141,Feb-20-22,8706.39,junk,OMR,,RAK,needs review,needs review,,1,m2,,,,
C74033,A-2301277,25/02/2022,9532.15,,SAR,Closed,AUH,!!!,!!!,,Y22,,Closed,,,
C69115,,2022-02-28 00:00:00,not available,,USD,,FJR,ok,ok,,0,m2,,,,x
C58416,A-6301758,Feb-12-22,,,OMR,,RAK,ok,ok,,Y22,63,,,,
C61456,A-4307084,2022-02-13,6999.4,,USD,Closed,SHJ,needs review,needs review,,,76,Closed,x,,
C37762,A-2961706,2022-02-10,4306.62,,GBP,Closed,AUH,,,,Y22,m2,Closed,,,
C87843,A-9859657,2022-02-20,19967.17,junk,AED,Open,UAQ,ok,ok,,Y22,m2,Open,,,
C90653,A-9266851,2022-02-24 00:00:00,(18986.03),,USD,Pending,AUH,ok,ok,,Y22,m2,Pending,,,
C15428,A-1216710,03/02/2022,7087.3157560123245,,AED,Pending,RAK,!!!,!!!,,,m2,Pending,,,
C95986,A-2796537,0000-00-00,23568.23,,GBP,,SHJ,needs review,needs review,,Y22,m2,,,,x
C74137,A-6417145,2022-02-12,28530.98,,OMR,In Review,DXB,,,,0,42,In Review,x,,
C70256,A-8098585,02/02/2022,29386.7,junk,OMR,,SHJ,ok,ok,,0,m2,,,,
C12874,A-3179100,17 February 2022,,,USD,,FJR,ok,ok,,,m2,,,,
C97027,A-2614023,06 February 2022,,,omr ,,  DXB,,,,0,m2,,,,
C20023,A-9501232,13/02/2022,,,OMR,,AUH,ok,ok,,0,77,,,,
C30328,A-3777209,32/13/2023,3561.04,,OMR,Closed,UAQ,!!!,!!!,,Y22,,Closed,,,
C77715,A-2421815,07/02/2022,-6869.36,,USD,,DXB,needs review,needs review,,0,m2,,,,
C46258,A-1465914,2022-02-06,29377.14,,OMR,Open,DXB,ok,ok,,1,m2,Open,,,
C12751,A-5882540,28/02/2022,(601.72),,OMR,CANCELLED,RAK,ok,ok,,Y22,m2,CANCELLED,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
ClientNumber,Acct,_POSTING_DATE__,Value,,currency_code,Status,BRANCH,Commentary,ops_comment,,year_added_2022,new_col_202202,status,mystery_2022_02_30,mystery_2022_02_81,mystery_2022_02_36
C35070,A-8615024,Feb-04-22,4873.98,,USD,Open,AAN,needs review,needs review,,Y22,82,Open,,x,
C54167,A-3880920,,29365.46,,GBP,Closed,AAN,,,,Y22,22,Closed,,,
C38267,A-5047798,32/13/2023,,,GBP,In Review,DXB,,,,Y22,10,In Review,,,
C65338,A-2130182,2022-02-21,419.4435026600223,,USD,Closed,AAN,ok,ok,junk,1,m2,Closed,x,,
C10820,A-9192444,Feb-18-22,"5,781.82",junk,USD,Open,SHJ,ملاحظة,ملاحظة,,Y22,70,Open,,,
C49617,A-2253688,0000-00-00,"6,175.66",,EUR,CANCELLED,  AUH,!!!,!!!,,Y22,86,CANCELLED,,,
C33683,A-7911274,2022-02-25 00:00:00,14116.04,junk,EUR,Pending,AUH,ok,ok,,Y22,82,Pending,,,
C90362,A-5066597,2022-02-12,26698.93445715489,,usd ,,SHJ,!!!,!!!,,Y22,,,,,
C77603,A-1875073,2022-02-21 00:00:00,28493.701842222912,junk,OMR,,DXB,ok,ok,,,m2,,,,
C88057,A-5015326,2022-02-13,19384.96,,USD,Open,RAK,ok,ok,,,36,Open,,,
C46426,A-8233090,32/13/2023,"-6,427.93",,USD,CANCELLED,AUH,ok,ok,,Y22,m2,CANCELLED,,,
C82772,A-5776695,27/02/2022,-7528.876920694709,,GBP,In Review,FJR,needs review,needs review,,Y22,19,In Review,,,
C95982,A-8761505,Feb-26-22,709.5,,USD,,FJR,ok,ok,,Y22,31,,,,
C43246,A-5920125,2022-02-12,(29014.10),,SAR,Open,  RAK,ok,ok,,Y22,m2,Open,,,
C95656,A-5097216,03 February 2022,,,AED,Pending,AUH,ok,ok,,Y22,,Pending,,,
,A-8626165,09/02/2022,4796.04,junk,AED,,DXB,ملاحظة,ملاحظة,,1,m2,,,,
C42514,,2022-02-15,-6565.04,,OMR,,DXB,ملاحظة,ملاحظة,,,m2,,,,x
,A-1705413,2022-02-23,18819.58,,USD,,AUH,ملاحظة,ملاحظة,,Y22,,,,,
C15697,A-3662104,21 February 2022,(3429.18),,AED,,FJR,needs review,needs review,,Y22,,,,x,
C26387,A-4835343,,18134.17,junk,EUR,CANCELLED,FJR,ok,ok,junk,,,CANCELLED,,,
,A-2695237,,20220.23,,OMR,Pending,  AAN,ok,ok,,,,Pending,,,
C72321,A-3628908,2022-02-15 00:00:00,(29679.98),,SAR,,UAQ,,,,Y22,m2,,,,x
C56662,,Feb-20-22,(6884.48),,SAR,,FJR,ملاحظة,ملاحظة,,,m2,,,,
C53380,A-5856654,2022-02-04 00:00:00,-3179.5,,GBP,Open,UAQ,ملاحظة,ملاحظة,,0,,Open,,,
,A-5798979,32/13/2023,21061.02,,GBP,,RAK,needs review,needs review,,Y22,m2,,,,
C79871,A/89264,32/13/2023,"7,819.53",,SAR,Pending,AUH,needs review,needs review,,0,,Pending,,,x
C95063,A/82628,2022-02-22 00:00:00,"24,107.52",,GBP,Pending,SHJ,ملاحظة,ملاحظة,,1,m2,Pending,,,
C84027,A-4559981,2022-02-08 00:00:00,(10997.41),,USD,Pending,RAK,ok,ok,,Y22,m2,Pending,x,,
C62945,A-1187799,20 February 2022,4769.19,,GBP,Closed,UAQ,ok,ok,,0,m2,Closed,,,
C16478,A-3485804,2022-02-20,(3538.39),,omr ,Pending,  FJR,ملاحظة,ملاحظة,,0,,Pending,,,x
C87123,A/60704,2022-02-05,"-1,562.34",,SAR,,AUH,ok,ok,,,m2,,,,
C13095,A-4007686,Feb-24-22,(8499.13),,EUR,Open,AUH,,,,Y22,m2,Open,,,
C82770,,16/02/2022,10337.81,,SAR,,AUH,ok,ok,,Y22,m2,,,,
C22304,A/80301,2022-02-10,14440.59,,USD,CANCELLED,RAK,ok,ok,junk,Y22,m2,CANCELLED,,,x
C87506,A-3636700,32/13/2023,not available,,SAR,In Review,DXB,ok,ok,,,m2,In Review,,,
C35635,A-8028210,16/02/2022,21694.14,,OMR,,AUH,needs review,needs review,,Y22,22,,,,
C41896,A-1493060,32/13/2023,8040.45,,SAR,Pending,AUH,needs review,needs review,,Y22,m2,Pending,,,
C30980,A-4016474,Feb-15-22,,,GBP,,AUH,,,,Y22,,,,,
C37905,A-2553164,22 February 2022,,,aed ,Open,SHJ,ok,ok,,,m2,Open,x,,
C89985,A-4805488,2022-02-24,(5078.68),,USD,Open,RAK,ok,ok,,,m2,Open,,,
C65271,A-1267502,03 February 2022,,junk,SAR,,UAQ,ok,ok,,,,,,,
C68562,A-6974607,25/02/2022,6764.68,junk,USD,CANCELLED,DXB,needs review,needs review,,Y22,46,CANCELLED,,,x
C87226,A-2670883,Feb-11-22,17229.54,,usd ,Pending,DXB,ok,ok,,,m2,Pending,,,
C80958,A-3493416,2022-02-25,15041.92945789999,,AED,,FJR,ok,ok,,1,,,,,
,A-1437496,21/02/2022,not available,,EUR,,UAQ,,,,1,,,,,x
C47452,A-4859814,25 February 2022,,,AED,Closed,UAQ,ok,ok,,1,m2,Closed,,,
,A-6256904,Feb-18-22,"10,553.66",,USD,CANCELLED,AUH,ملاحظة,ملاحظة,,Y22,,CANCELLED,x,,
C49533,A-8921643,05 February 2022,11110.51591683347,,AED,Closed,UAQ,needs review,needs review,,Y22,20,Closed,,x,
C70776,A-2167409,0000-00-00,-4027.33,,EUR,In Review,DXB,ok,ok,,,83,In Review,,,
C35242,A/57682,32/13/2023,9735.27,,USD,CANCELLED,FJR,needs review,needs review,,,,CANCELLED,,,x
C10171,A-2121854,32/13/2023,-4437.01,,AED,Pending,SHJ,ok,ok,,0,,Pending,,,x
C38417,A-6393818,2022-02-15,26037.31,junk,USD,Closed,SHJ,,,,1,m2,Closed,,,
C93223,A-5087022,0000-00-00,19812.17892624162,,EUR,CANCELLED,AAN,ok,ok,junk,,m2,CANCELLED,,,
C28720,A-3177154,28 February 2022,5602.25,,AED,In Review,AAN,!!!,!!!,,0,99,In Review,,,
C83727,A-3982274,22/02/2022,19359.21,,AED,Closed,SHJ,ok,ok,,Y22,m2,Closed,,,
C12390,,2022-02-17,,,SAR,,  RAK,needs review,needs review,,,m2,,,,
C29820,A-9995260,26 February 2022,13057.97,junk,SAR,Pending,FJR,ok,ok,,Y22,m2,Pending,,,
,A-2990668,Feb-27-22,19638.08,,USD,Pending,SHJ,needs review,needs review,,Y22,m2,Pending,,,
,A-7329676,27 February 2022,9627.89,,AED,Pending,AUH,,,junk,,,Pending,,,
C64075,A-9232274,2022-02-12,-2248.45,,AED,Closed,DXB,needs review,needs review,,0,m2,Closed,,,
C41661,A-3718014,08/02/2022,15774.07,,OMR,,DXB,needs review,needs review,,Y22,m2,,,,
C35090,A-6576357,0000-00-00,,junk,GBP,In Review,  RAK,needs review,needs review,,,m2,In Review,x,,
C27738,A-6471182,Feb-09-22,(15442.99),,gbp ,CANCELLED,DXB,,,,,m2,CANCELLED,,,
C32518,A-3819527,2022-02-09,23532.39,,SAR,Pending,SHJ,needs review,needs review,,Y22,57,Pending,,x,x
C79157,A-2888676,32/13/2023,2579.16,,EUR,In Review,SHJ,ok,ok,,,,In Review,x,,
C58293,A-3466302,23 February 2022,-917.7,,EUR,,  SHJ,ok,ok,,1,,,x,,
C50022,A-9425178,2022-02-01,-430.98,,AED,In Review,RAK,needs review,needs review,,Y22,m2,In Review,,,
C45267,A-6726202,2022-02-15,,,SAR,CANCELLED,FJR,needs review,needs review,,Y22,,CANCELLED,,,
C97086,A-1710523,Feb-22-22,5097.265987157544,junk,USD,,AAN,ok,ok,,Y22,23,,,,
,A-6072212,09/02/2022,2688.819487544997,,OMR,,  AAN,ok,ok,,Y22,m2,,x,,
C34120,A-6063438,16 February 2022,-1722.03,,AED,In Review,RAK,needs review,needs review,,,,In Review,,,
C57350,A-7442212,07 February 2022,-4919.37,,GBP,Open,FJR,!!!,!!!,,Y22,55,Open,,,
,A-7543824,05/02/2022,,,SAR,,  UAQ,ok,ok,,,m2,,,,
C32515,A-8659167,22 February 2022,,,SAR,,SHJ,ok,ok,,0,,,x,x,
C52925,A-1554104,22/02/2022,,,OMR,Closed,UAQ,ok,ok,junk,Y22,m2,Closed,,,
C74077,A-2913114,2022-02-27 00:00:00,12678.35,,USD,Open,UAQ,needs review,needs review,,1,54,Open,,,
C31629,A/75475,25/02/2022,29074.14,,AED,,  AUH,,,,Y22,m2,,,,
C27927,A-8119519,32/13/2023,,,USD,In Review,DXB,needs review,needs review,,0,71,In Review,,,
C77077,A/9558,08 February 2022,20180.77,,omr ,Pending,UAQ,,,,Y22,,Pending,,,
C35425,A-2617214,32/13/2023,,,USD,Pending,FJR,ملاحظة,ملاحظة,,Y22,,Pending,,,
C74962,A-9961912,2022-02-09,26479.1,,usd ,In Review,AUH,ok,ok,,,m2,In Review,,x,
,A-6670605,Feb-02-22,"-6,455.87",junk,OMR,In Review,FJR,needs review,needs review,,0,,In Review,,,
C92953,A-8363771,2022-02-06,(29997.07),,GBP,Open,RAK,!!!,!!!,junk,0,11,Open,,,
C18213,A-9336981,2022-02-07,598.18,,AED,Open,FJR,ملاحظة,ملاحظة,,1,27,Open,,,
C15318,A-5114850,2022-02-07,17247.65,,GBP,,UAQ,needs review,needs review,,1,m2,,,,
C20284,A-9543499,2022-02-07,9.0,,USD,Pending,RAK,!!!,!!!,,1,m2,Pending,,,
C98146,A-7855782,2022-02-11,,,SAR,,FJR,,,,0,m2,,x,,
C83968,A-4710396,14/02/2022,(24567.97),,SAR,,SHJ,,,,Y22,m2,,,,x
C73366,A-3481555,07 February 2022,-6380.92,,AED,,UAQ,ok,ok,,,m2,,,x,
C13233,A-1071146,2022-02-05,13933.44,,OMR,CANCELLED,AUH,needs review,needs review,,0,63,CANCELLED,,,
C69372,A-2077811,32/13/2023,(5150.54),,GBP,In Review,UAQ,!!!,!!!,,Y22,m2,In Review,,x,
C54058,A-5701244,2022-02-23,16514.72,,OMR,,AAN,ملاحظة,ملاحظة,,1,m2,,,,
C45303,A-2148068,16/02/2022,25261.84,,USD,Closed,FJR,ملاحظة,ملاحظة,,Y22,m2,Closed,,,
C74325,A-9145631,2022-02-06,(19795.94),,USD,Closed,AUH,,,,Y22,m2,Closed,x,,
C25351,A-4646595,2022-02-20,12333.18,,USD,Closed,AAN,ok,ok,,Y22,,Closed,,,
C65766,A/22017,22 February 2022,19541.68,,EUR,Closed,AUH,ok,ok,,1,,Closed,,,
C93696,A-1318523,2022-02-14 00:00:00,24719.81,,EUR,Open,FJR,,,,1,,Open,,x,
C97520,A-4997414,Feb-11-22,22336.8,,SAR,Open,DXB,ok,ok,,,m2,Open,,,
C46419,A-8327554,Feb-28-22,8093.370477909238,,USD,Open,UAQ,!!!,!!!,,,m2,Open,,,
C99793,A/79204,25 February 2022,-4003.02,,OMR,In Review,RAK,ok,ok,,Y22,m2,In Review,,,
C33154,A-9356885,Feb-15-22,"-5,878.75",,EUR,Closed,DXB,!!!,!!!,,,81,Closed,,,
C57602,A-2771440,Feb-22-22,not available,,EUR,CANCELLED,  UAQ,ok,ok,junk,Y22,96,CANCELLED,,,
C51703,A-9272323,32/13/2023,18813.75,,USD,Pending,UAQ,ملاحظة,ملاحظة,junk,Y22,m2,Pending,x,,
C71025,A-9473286,Feb-21-22,10846.20773720567,,USD,Closed,AUH,needs review,needs review,,Y22,m2,Closed,,,
C99756,A-3864138,07 February 2022,,junk,AED,Pending,RAK,!!!,!!!,,Y22,,Pending,,,
C12576,A-3518330,2022-02-27,"6,171.71",,EUR,CANCELLED,DXB,ok,ok,,Y22,m2,CANCELLED,,,
C13501,A-8571722,20/02/2022,22474.55461741472,,AED,,FJR,ملاحظة,ملاحظة,,1,m2,,,x,
,A-5779427,Feb-17-22,-5567.65,,USD,Closed,UAQ,needs review,needs review,,0,m2,Closed,x,,
C86291,A-9257310,08/02/2022,8190.134584059151,,USD,Open,FJR,ok,ok,,,,Open,,,
C33074,A-3614158,08/02/2022,23055.55563680059,,GBP,Open,FJR,needs review,needs review,,Y22,m2,Open,,,
C82039,A-5731836,12/02/2022,"20,388.23",,EUR,Open,RAK,,,,Y22,m2,Open,,,
C37701,A-8213895,Feb-09-22,7639.58,,GBP,CANCELLED,  AUH,,,,,27,CANCELLED,x,,
C45740,A-7102511,02/02/2022,10273.14,,SAR,Closed,DXB,,,,1,m2,Closed,,,
,A-9219896,2022-02-17,(18789.16),junk,GBP,,  FJR,,,,,m2,,,,x
C42786,A-3245586,2022-02-23 00:00:00,17498.64,,GBP,CANCELLED,RAK,ok,ok,,Y22,30,CANCELLED,,x,
C92280,A/90332,2022-02-11,14629.26,,SAR,Pending,AUH,,,,Y22,,Pending,,,x
,A-9305111,2022-02-11,,junk,EUR,,SHJ,needs review,needs review,,Y22,91,,,,
C76761,A-3099516,2022-02-16,653.7632640217978,,AED,Open,DXB,!!!,!!!,junk,0,,Open,,,
C29418,A-6698787,Feb-16-22,13174.0564148312,junk,EUR,Closed,SHJ,,,,Y22,74,Closed,,,
C79451,A-4240305,2022-02-23 00:00:00,-889.455973152649,,AED,Closed,FJR,,,,,,Closed,,,
C62626,A-6874837,Feb-08-22,25141.98,,SAR,,SHJ,ok,ok,,Y22,,,,,
C40115,A-4525674,Feb-24-22,-3461.03,,EUR,,UAQ,,,,,m2,,,,
