CUST IDENTIFIER,Unnamed: 0, POSTING DATE  ,gross amount,AMOUNT,CCY_CODE, status  , Region  ,REASON_TEXT#, REASON_TEXT  ,,year_added_2022, new_col_202204 , Commentary  ,mystery_2022_04_85,mystery_2022_04_30,mystery_2022_04_15
,x,02 April 2022,"18,822.60",(18822.60),GBP,CANCELLED,AUH,ok,ok,,,56,ok,,,
C27921,,27/04/2022,6260.79,,GBP,Closed,AUH,ملاحظة,ملاحظة,,Y22,15,ملاحظة,,,
C83447,,2022-04-25,,9445.201882131927,OMR,,SHJ,ok,ok,,0,13,ok,,x,
C80720,,06/04/2022,,-852.08,EUR,,FJR,,,,Y22,m4,,x,,
C66672,,14 April 2022,"-5,882.66",(5886.06),AED,,SHJ,needs review,needs review,,Y22,53,needs review,,,
C23102,,09 April 2022,29046.05079572072,,USD,Closed,FJR,ملاحظة,ملاحظة,,Y22,,ملاحظة,,,
C83487,,25 April 2022,"10,874.31",10874.31,USD,,UAQ,!!!,!!!,junk,0,m4,!!!,,x,
C29326,,32/13/2023,9155.34,,EUR,,  DXB,needs review,needs review,,Y22,m4,needs review,,,
C42671,,04 April 2022,,,SAR,Open,  AUH,ok,ok,,Y22,m4,ok,,,
C79090,,0000-00-00,,(6230.21),GBP,Closed,UAQ,,,,1,65,,,,
C29703,x,2022-04-26,15068.05,15068.05,SAR,,SHJ,ملاحظة,ملاحظة,,,m4,ملاحظة,,,x
,,Apr-23-22,-2847.881301260241,"-2,850.97",USD,Pending,AAN,ok,ok,,,m4,ok,,,
,,Apr-24-22,22002.91,22002.91,USD,Pending,AAN,ok,ok,,0,,ok,,x,
C34427,,01/04/2022,21015.16,21015.16,AED,Pending,AAN,ok,ok,junk,1,m4,ok,,,
C10116,,10 April 2022,"14,965.05",14929.8,SAR,CANCELLED,DXB,,,,Y22,58,,,,
C75661,,06/04/2022,24893.05,24893.05,USD,In Review,SHJ,,,,Y22,m4,,,x,x
C99892,,Apr-05-22,not available,11317.39919033074,USD,,AUH,ok,ok,,,,ok,,,
,,2022-04-10,,14479.02207671525,EUR,Pending,  UAQ,ملاحظة,ملاحظة,,,,ملاحظة,,,x
C57717,,2022-04-12,24313.54,24313.54,SAR,Open,AUH,,,,Y22,m4,,,,
C34530,,0000-00-00,,11770.66,EUR,,  AUH,ملاحظة,ملاحظة,,Y22,m4,ملاحظة,,,x
C22485,,2022-04-27,"-7,436.97",-7426.006809881752,AED,Pending,SHJ,,,,,m4,,,x,
C10088,,20/04/2022,-3264.67,-3264.67,USD,In Review,FJR,,,,0,m4,,,,
,,20 April 2022,22398.54770137976,22417.72379483997,USD,Pending,  RAK,needs review,needs review,,Y22,m4,needs review,,,
C75701,,,-4540.420347166313,-4536.31,EUR,In Review,AUH,ok,ok,,Y22,m4,ok,,,
C63486,,2022-04-04,,"28,031.77",OMR,,AUH,!!!,!!!,,Y22,,!!!,,x,
C36360,,03/04/2022,7164.95,7164.95,USD,Open,UAQ,ok,ok,junk,Y22,m4,ok,,,
C19454,x,2022-04-14,-5663.9,-5663.9,OMR,CANCELLED,AUH,ok,ok,,Y22,,ok,,,
C73263,,2022-04-21,1920.7992239465568,1969.56,GBP,Open,UAQ,ok,ok,,0,85,ok,,,
C42888,,Apr-03-22,(26018.66),26033.831560496066,EUR,CANCELLED,SHJ,needs review,needs review,junk,Y22,,needs review,,,x
C24978,x,2022-04-07 00:00:00,26212.25171047194,26191.72874668359,AED,CANCELLED,  FJR,ok,ok,,Y22,,ok,,,
C23426,x,28/04/2022,"19,701.99","19,701.99",GBP,Open,  FJR,ok,ok,,,37,ok,,,
C74115,x,Apr-11-22,3721.712331055924,"3,717.40",USD,,AUH,needs review,needs review,,,,needs review,,,
C37345,,32/13/2023,12182.36,12182.36,OMR,In Review,AUH,,,,Y22,32,,,,
C66707,,09/04/2022,,9273.31573643061,GBP,Pending,DXB,ملاحظة,ملاحظة,,Y22,84,ملاحظة,,,
C75449,,Apr-19-22,(2160.08),2113.49,USD,CANCELLED,AAN,needs review,needs review,,Y22,m4,needs review,,,
C72800,,04 April 2022,,-5495.47,AED,Pending,SHJ,,,,Y22,,,,x,
C59429,,2022-04-25 00:00:00,27481.99,27481.99,EUR,CANCELLED,UAQ,,,,Y22,,,,,
C41789,,16 April 2022,1891.59,1891.59,GBP,In Review,FJR,ok,ok,,Y22,85,ok,,,
,x,2022-04-14,6822.240657972751,,AED,Open,DXB,ok,ok,,1,,ok,,,
C25107,,2022-04-22,2375.5,2362.1795374923677,SAR,Open,FJR,needs review,needs review,junk,0,,needs review,,,
C96170,,,21217.83072343883,,AED,CANCELLED,DXB,needs review,needs review,,Y22,,needs review,,,
C62457,,2022-04-04,1361.21,,USD,Closed,FJR,needs review,needs review,junk,,,needs review,,,x
C44085,,12 April 2022,23947.70971912784,23940.25,OMR,CANCELLED,DXB,,,,Y22,m4,,,,
C80470,,Apr-20-22,"-6,203.14","-6,203.14",SAR,Open,AAN,ok,ok,junk,Y22,18,ok,x,,
C64784,,2022-04-16,18659.79,"18,659.79",AED,Open,DXB,,,,0,11,,,,
C24356,,Apr-19-22,9434.57,not available,OMR,,AAN,ملاحظة,ملاحظة,,Y22,83,ملاحظة,,,
C69373,,13 April 2022,"7,248.64",,OMR,Closed,UAQ,ok,ok,,Y22,m4,ok,,,
C24816,,2022-04-17,,,USD,Closed,AAN,,,,Y22,16,,,,
C81767,,03/04/2022,,27526.09,AED,Pending,SHJ,needs review,needs review,junk,,m4,needs review,,x,x
C73949,,18/04/2022,5807.28066885912,,SAR,Pending,FJR,!!!,!!!,,,75,!!!,,,
C29446,,Apr-20-22,,,OMR,,AUH,,,,Y22,,,,,
C53112,,32/13/2023,26242.59,26242.59,AED,Open,  DXB,ok,ok,,Y22,m4,ok,,,
,,01/04/2022,,,USD,,SHJ,,,,Y22,75,,,,
C19987,,2022-04-16,11292.79435416022,11273.17,SAR,Open,SHJ,ملاحظة,ملاحظة,junk,,,ملاحظة,,,
C69189,,2022-04-16,-3225.45,,SAR,In Review,UAQ,ok,ok,,Y22,,ok,,,
C41888,,Apr-07-22,27464.82549480592,,SAR,,RAK,,,,,,,,,x
C56440,,18 April 2022,"6,710.75",6680.04,EUR,CANCELLED,DXB,,,,Y22,m4,,,,
,,21/04/2022,518.6066577207764,,GBP,,DXB,needs review,needs review,,Y22,96,needs review,x,,
C11211,,15 April 2022,23257.59,23306.48930737996,USD,,SHJ,,,,Y22,m4,,,,
C86536,,2022-04-06,-5539.69,-5521.305128755823,GBP,Pending,AUH,,,junk,0,92,,,,
C38379,,17 April 2022,22813.71,22774.01502248484,OMR,In Review,RAK,ملاحظة,ملاحظة,,0,m4,ملاحظة,,,
C51798,,2022-04-12,23035.07,23035.07,USD,,AAN,ok,ok,,Y22,42,ok,,,
C96831,,2022-04-27 00:00:00,23859.812639967993,23832.08163736798,SAR,CANCELLED,AAN,ok,ok,,0,,ok,,,
C12123,,02 April 2022,(2913.85),2913.85,EUR,,RAK,needs review,needs review,,1,69,needs review,,,
C91761,,22/04/2022,-142.4075033713529,-191.53,GBP,Pending,FJR,ok,ok,,,m4,ok,,,x
,,10/04/2022,1982.47,1982.47,GBP,Pending,RAK,needs review,needs review,,Y22,60,needs review,,,
C64984,,26 April 2022,27790.87,,OMR,Pending,RAK,,,junk,,m4,,,x,
C60134,,Apr-07-22,-1018.026581192613,-1016.24,OMR,In Review,FJR,,,junk,Y22,m4,,,x,
C37859,,02/04/2022,2344.8257393145636,2330.25,SAR,Open,AAN,needs review,needs review,,,,needs review,,,x
C77414,,Apr-05-22,(6115.00),6180.518862934096,OMR,Open,AUH,!!!,!!!,,Y22,m4,!!!,,,
C46550,,05 April 2022,not available,21773.510611721464,SAR,,FJR,needs review,needs review,junk,,,needs review,,,
C83453,,22 April 2022,27985.96,27985.96,USD,,AUH,needs review,needs review,,Y22,,needs review,,,
C10979,,2022-04-21 00:00:00,,14702.31,OMR,CANCELLED,FJR,needs review,needs review,,0,,needs review,,,
C33076,,2022-04-25,,7095.32,SAR,Pending,SHJ,needs review,needs review,,Y22,m4,needs review,x,,
,,Apr-20-22,,,SAR,Closed,FJR,ok,ok,,Y22,98,ok,,x,
C77626,,23/04/2022,15248.84,15226.77146529379,SAR,CANCELLED,DXB,needs review,needs review,,Y22,m4,needs review,,,
C83873,,Apr-24-22,26365.33,26365.33,GBP,CANCELLED,  RAK,ok,ok,,Y22,m4,ok,,,x
C86935,x,2022-04-11,,,aed ,Pending,UAQ,ok,ok,,Y22,m4,ok,,,
,,13 April 2022,-4739.503887242013,-4743.944066187541,OMR,In Review,SHJ,needs review,needs review,,Y22,m4,needs review,,,
,,04/04/2022,,6408.54,EUR,,  UAQ,needs review,needs review,junk,0,m4,needs review,,,
,,28 April 2022,"29,391.98",(29371.52),GBP,,FJR,ok,ok,,Y22,m4,ok,x,,
C68372,,05 April 2022,(2457.38),-2420.31,USD,Open,AUH,,,,Y22,m4,,,,
C27647,,2022-04-04,,-2758.5,GBP,,DXB,needs review,needs review,,Y22,m4,needs review,,x,
C44120,,04 April 2022,not available,not available,USD,,RAK,,,,0,m4,,,,
C16657,,28/04/2022,2679.85,2679.85,AED,Open,DXB,,,,,,,,,
,,24 April 2022,"-4,453.84",(4453.84),SAR,,SHJ,!!!,!!!,,0,,!!!,,,
C26826,,Apr-22-22,12091.2,,SAR,,  AAN,ملاحظة,ملاحظة,,Y22,85,ملاحظة,,,
C44721,,Apr-16-22,10694.66,10694.66,USD,Open,AAN,!!!,!!!,,1,m4,!!!,,x,
C77891,,17 April 2022,-6521.308953149531,-6467.488022073422,SAR,Closed,RAK,ok,ok,,Y22,,ok,,,
,,2022-04-07,(18798.59),"18,798.68",AED,Closed,AUH,ok,ok,,,m4,ok,x,,
,,2022-04-01,(418.87),(418.87),AED,,  SHJ,needs review,needs review,,Y22,m4,needs review,,,
C21433,,2022-04-09,,926.88,EUR,,AAN,ok,ok,junk,1,88,ok,,,
C48888,x,2022-04-06,,2466,USD,Open,DXB,ok,ok,,,m4,ok,,,
C23513,,2022-04-09,13497.34,13497.34,AED,Open,UAQ,needs review,needs review,,Y22,m4,needs review,,,
C48803,,07/04/2022,(8872.44),8872.44,SAR,In Review,AAN,ok,ok,,Y22,,ok,,,
C35591,,2022-04-05,8323.87,8323.87,OMR,CANCELLED,RAK,ok,ok,,,,ok,,,x
C56759,,32/13/2023,29628.01691941189,29623.42758094204,AED,Pending,  FJR,needs review,needs review,,Y22,,needs review,,,
C36961,,11/04/2022,23801.00065665653,23784.14,OMR,Closed,AUH,needs review,needs review,,,m4,needs review,,,
C38274,,18 April 2022,-5114.52,-5070.658633864692,USD,,RAK,,,,Y22,,,,,
C93577,,32/13/2023,"21,873.11",,GBP,,AUH,ok,ok,,Y22,,ok,,x,
,,2022-04-09,,18435.91,EUR,Pending,AUH,ok,ok,,Y22,86,ok,x,,
C26858,,2022-04-08,22635.48,22635.48,AED,In Review,UAQ,!!!,!!!,,Y22,m4,!!!,,,
C21761,,0000-00-00,27646.55,27646.55,USD,CANCELLED,SHJ,,,,Y22,44,,,,
,,,"-6,838.47",,AED,Pending,DXB,,,,Y22,47,,,,
C67570,,Apr-02-22,10682.9,10682.9,SAR,CANCELLED,UAQ,ok,ok,,0,,ok,,,x
C62234,x,2022-04-08 00:00:00,,not available,EUR,CANCELLED,DXB,ملاحظة,ملاحظة,,1,,ملاحظة,x,,x
C41289,,Apr-04-22,-5678.394824515502,-5686.68,GBP,Open,SHJ,,,,Y22,m4,,,,
C40121,,Apr-12-22,28911.2,not available,GBP,Open,SHJ,ok,ok,,Y22,m4,ok,,,
,,Apr-07-22,,(2043.90),EUR,,DXB,needs review,needs review,,Y22,89,needs review,,,
C10660,,2022-04-23,,not available,EUR,,AUH,,,,Y22,m4,,x,,
C86703,,Apr-02-22,-6075.24,-6075.24,OMR,Pending,AUH,,,,,,,,,
C82657,,32/13/2023,(22909.01),22909.01,SAR,CANCELLED,FJR,needs review,needs review,junk,Y22,,needs review,,x,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
CUST IDENTIFIER,Unnamed: 0, POSTING DATE  ,gross amount,AMOUNT,CCY_CODE, status  , Region  ,REASON_TEXT#, REASON_TEXT  ,,year_added_2022, new_col_202204 , Commentary  ,mystery_2022_04_85,mystery_2022_04_30,mystery_2022_04_15
,,28 April 2022,29353.21,,AED,CANCELLED,SHJ,ملاحظة,ملاحظة,junk,,m4,ملاحظة,,,
C71722,,2022-04-13,5484.62,"5,484.62",GBP,CANCELLED,AUH,needs review,needs review,,Y22,m4,needs review,x,,
C56773,,2022-04-17,,,EUR,Open,  FJR,ok,ok,junk,Y22,m4,ok,,,
C43577,,2022-04-25 00:00:00,,,SAR,,FJR,ok,ok,,0,,ok,,,
C85075,,13/04/2022,-2480.62,-2480.62,SAR,CANCELLED,DXB,ملاحظة,ملاحظة,,Y22,,ملاحظة,,,x
C82048,,14 April 2022,-6313.160766120732,not available,USD,Closed,RAK,,,,,m4,,,,
C47630,x,2022-04-06 00:00:00,,not available,USD,,SHJ,,,,1,m4,,,,x
C49501,,32/13/2023,16007.54,not available,OMR,,RAK,,,,1,28,,,,
C29952,,2022-04-05,-2651.73,,SAR,,AAN,,,,,13,,,,
C90349,,32/13/2023,22551.53,"22,551.53",USD,,SHJ,needs review,needs review,,,78,needs review,,,
C53910,,13/04/2022,20775.56,20775.56,USD,Open,SHJ,,,,Y22,,,,,
C11815,,2022-04-01,9038.32,,SAR,Pending,FJR,,,,,m4,,,,
C59873,,32/13/2023,25391.92,,GBP,Closed,SHJ,needs review,needs review,,Y22,,needs review,,,x
C60545,,21 April 2022,22318.89,22318.89,EUR,Closed,RAK,ملاحظة,ملاحظة,junk,Y22,m4,ملاحظة,,,
C75333,,06/04/2022,"-6,308.03",,SAR,CANCELLED,AAN,,,,Y22,59,,,,x
C37258,,12/04/2022,"-4,393.01",-4427.93,SAR,Pending,DXB,,,,Y22,73,,,,
C93550,,04/04/2022,28262.19,28219.844549559166,EUR,,UAQ,!!!,!!!,,Y22,m4,!!!,,,
C37737,,,-5834.55,-5834.55,AED,CANCELLED,UAQ,ok,ok,,1,77,ok,,,
C64125,,Apr-16-22,(8108.19),8110.713450937852,USD,Closed,UAQ,ملاحظة,ملاحظة,,Y22,m4,ملاحظة,,,
C96145,,26/04/2022,"23,859.85",23859.85,OMR,Pending,UAQ,needs review,needs review,junk,,m4,needs review,,,
,,14 April 2022,11612.27,11612.27,GBP,In Review,  FJR,ملاحظة,ملاحظة,,0,,ملاحظة,,,
C39098,,2022-04-27,25480.06770700295,25512.55,USD,Pending,UAQ,needs review,needs review,,0,m4,needs review,,x,x
C61909,,2022-04-08 00:00:00,10870.17,10867.9051420654,SAR,,RAK,,,,,44,,,,
C13301,,2022-04-19,,,USD,CANCELLED,FJR,needs review,needs review,,Y22,82,needs review,,,
,,Apr-22-22,5921.69,not available,SAR,Open,RAK,ok,ok,,,,ok,,,
C39536,,Apr-19-22,"12,959.26",12959.26,AED,Closed,SHJ,,,,Y22,m4,,,,
,,2022-04-24,29087.7161869567,29121.643106301173,EUR,Closed,AUH,needs review,needs review,,Y22,17,needs review,,,
C70328,,2022-04-03,-154.94,-154.94,GBP,CANCELLED,DXB,ملاحظة,ملاحظة,,Y22,44,ملاحظة,,,
C13072,,21/04/2022,13463.3,(13469.41),EUR,Open,UAQ,needs review,needs review,junk,Y22,98,needs review,,,
C33557,,2022-04-09,"1,203.86",,USD,Pending,RAK,needs review,needs review,,Y22,m4,needs review,,,
C87799,,2022-04-10,-1983.35,-1983.35,OMR,,DXB,needs review,needs review,,1,m4,needs review,,x,
C30650,,2022-04-03,26585.68771054362,26580.32,OMR,,DXB,ok,ok,,Y22,m4,ok,,,
C18971,x,17 April 2022,"10,139.84",10169.60568272633,AED,Open,SHJ,ok,ok,,Y22,m4,ok,,,
C10581,,05/04/2022,,(1716.23),OMR,CANCELLED,FJR,ok,ok,,0,m4,ok,,x,
C24190,,28/04/2022,26338.53,26298.494330318958,usd ,Pending,FJR,ملاحظة,ملاحظة,,1,,ملاحظة,,,
C73229,x,2022-04-23 00:00:00,4736.28,4736.28,eur ,Pending,SHJ,!!!,!!!,,0,m4,!!!,x,,
,,08/04/2022,,11866.02,USD,Open,AUH,ok,ok,,Y22,m4,ok,,,
C49691,,Apr-08-22,16997.62787805313,16949.28,EUR,CANCELLED,  FJR,,,,Y22,,,,,
C99758,,26 April 2022,-7534.7,-7534.7,USD,In Review,AAN,ok,ok,,Y22,,ok,,,
,,2022-04-26,29542.98,29522.09470627656,USD,Pending,AUH,ملاحظة,ملاحظة,,1,m4,ملاحظة,,,
C63393,,14/04/2022,-1260.62,(1249.65),AED,,  RAK,!!!,!!!,,,,!!!,x,,
C91836,,26/04/2022,9017.92,9056.201901721277,USD,CANCELLED,UAQ,ok,ok,,Y22,43,ok,,,
C24404,,2022-04-20,28631.15,"28,631.15",GBP,Closed,FJR,ok,ok,,,m4,ok,,,
C36509,,23/04/2022,,15728.79,OMR,In Review,  DXB,ok,ok,junk,Y22,m4,ok,,,
C21912,,27/04/2022,"16,748.70",16748.7,SAR,Closed,RAK,ok,ok,,,,ok,,,
C65154,x,2022-04-13,"23,723.22",23723.22,SAR,Pending,UAQ,ملاحظة,ملاحظة,,0,30,ملاحظة,,,
C64120,,32/13/2023,4539.17,,OMR,In Review,FJR,,,,Y22,m4,,,,
C39846,,2022-04-21,934.75,not available,OMR,,RAK,ok,ok,,Y22,83,ok,,,x
C40236,,24/04/2022,23994.26,,OMR,Open,UAQ,!!!,!!!,,Y22,m4,!!!,,,
C26670,,2022-04-07,-4838.46,,USD,Open,SHJ,needs review,needs review,,0,,needs review,,,
C43576,,Apr-25-22,25711.556744784753,(25674.57),EUR,,AUH,ok,ok,,Y22,73,ok,x,x,
C45249,,15 April 2022,24462.586906485863,24464.44,SAR,Open,FJR,needs review,needs review,,Y22,,needs review,,,
C45820,x,Apr-27-22,-1528.05,,EUR,Closed,UAQ,,,,,33,,x,,
,,2022-04-20,"-1,024.64",-1024.64,SAR,Closed,  AAN,,,,Y22,m4,,,,
C13181,,,25958.1,25912.20935217518,AED,Open,  SHJ,ملاحظة,ملاحظة,,,m4,ملاحظة,,,
,,Apr-15-22,886.07,,USD,Pending,SHJ,ok,ok,,0,m4,ok,,,
C65836,,2022-04-01,6004.52,6004.52,GBP,Open,FJR,,,,,,,,,
C79794,,2022-04-23,4591.853009414791,4577.77,AED,In Review,RAK,ok,ok,,Y22,m4,ok,x,,
,,2022-04-17 00:00:00,9533.88,,OMR,,  SHJ,ok,ok,junk,0,m4,ok,,,
C66396,,2022-04-25,not available,1995.14,SAR,Closed,SHJ,,,,1,,,,,
C40717,x,02/04/2022,,17823.76,OMR,In Review,SHJ,!!!,!!!,,,,!!!,,,
C68484,,2022-04-14,14380.519088023819,14346.3,gbp ,In Review,RAK,ok,ok,,Y22,,ok,,,
C72813,,13 April 2022,(18085.11),18085.11,SAR,Closed,FJR,ok,ok,,0,,ok,,,
C51677,,26 April 2022,(6743.84),6789.19,SAR,,FJR,!!!,!!!,,Y22,,!!!,,,
C20115,,17/04/2022,24460.79448787351,,SAR,Pending,AAN,ok,ok,,1,m4,ok,,,
C38055,,32/13/2023,(9372.43),9372.43,OMR,Pending,DXB,needs review,needs review,,Y22,,needs review,,,
,,32/13/2023,,"1,455.88",OMR,CANCELLED,  DXB,needs review,needs review,,,,needs review,,,
,,2022-04-01 00:00:00,21962.01930952794,21942.1,SAR,,SHJ,needs review,needs review,,Y22,,needs review,,,
C16335,x,19/04/2022,25766.4,25766.4,SAR,CANCELLED,AAN,ok,ok,,Y22,m4,ok,,,
C38784,x,Apr-04-22,,,SAR,,DXB,ok,ok,,,m4,ok,,,
C58719,,2022-04-09,,-4989.03,SAR,In Review,DXB,ملاحظة,ملاحظة,,Y22,m4,ملاحظة,,,
C44719,,2022-04-13 00:00:00,"4,694.08","4,689.23",SAR,,  SHJ,,,,Y22,10,,,,
C99457,,06 April 2022,5558.07,5558.07,EUR,Closed,AUH,ok,ok,,Y22,m4,ok,,,
C50047,,32/13/2023,24160.08,24160.08,GBP,CANCELLED,DXB,ملاحظة,ملاحظة,,1,19,ملاحظة,,,
C63995,,2022-04-12,27302.9,"27,302.90",SAR,In Review,AUH,ok,ok,,,66,ok,,,
C40184,,32/13/2023,-6094.638752269817,,OMR,CANCELLED,FJR,,,,Y22,m4,,,,
C87495,,2022-04-20 00:00:00,(12600.59),12551.38,OMR,,UAQ,ملاحظة,ملاحظة,,Y22,m4,ملاحظة,,,
C85455,,0000-00-00,1742.55,"1,742.55",USD,,RAK,!!!,!!!,,,m4,!!!,,,
C93012,,04/04/2022,not available,20231.82158100859,GBP,CANCELLED,AAN,ملاحظة,ملاحظة,junk,Y22,,ملاحظة,,,
C11393,,,17109.6,17109.6,EUR,In Review,UAQ,ok,ok,,Y22,,ok,,,
C96683,,10/04/2022,3001.12,3047.732082847423,EUR,,SHJ,,,,1,,,,,
C44998,,Apr-02-22,not available,(4540.25),EUR,,DXB,ok,ok,,Y22,94,ok,,,x
C86853,,32/13/2023,24814.02,"24,813.59",GBP,,AUH,ok,ok,,0,m4,ok,,,x
C43852,,2022-04-08,20110.886679987634,20082.81,AED,In Review,UAQ,ok,ok,,,m4,ok,,,
,,06 April 2022,"29,964.69",(29982.47),EUR,In Review,AAN,ok,ok,,,m4,ok,,x,
C64704,,22/04/2022,29086.26,29077.92877023908,AED,In Review,AAN,!!!,!!!,,Y22,m4,!!!,,,
C45615,,2022-04-25,20496.15441175439,not available,EUR,In Review,SHJ,,,,Y22,,,,,
C99840,x,12/04/2022,-6722.615140451193,(6781.81),OMR,CANCELLED,DXB,needs review,needs review,,Y22,m4,needs review,,,
C94420,,2022-04-14,-945.25,-945.25,GBP,Pending,RAK,ok,ok,,1,,ok,x,,
C56430,,0000-00-00,-197.05881719860503,(230.70),OMR,Pending,FJR,,,,Y22,,,,,x
C84111,,2022-04-16 00:00:00,,1901.9,SAR,Closed,DXB,ok,ok,,,m4,ok,,,
C73416,,2022-04-23,20638.77000822834,20667.22,USD,Pending,SHJ,,,,Y22,m4,,,,
C18390,,2022-04-24,(14809.30),,SAR,,FJR,needs review,needs review,,0,m4,needs review,,,
C80392,,26/04/2022,12109.76,12109.76,OMR,,  DXB,needs review,needs review,,Y22,50,needs review,,,
C78040,,Apr-08-22,not available,"4,041.56",USD,,  DXB,!!!,!!!,,0,,!!!,,,
C30506,,32/13/2023,,,OMR,Open,UAQ,needs review,needs review,,Y22,,needs review,,,
C93171,,Apr-07-22,5919.2182246212515,5974.367211364693,GBP,,DXB,,,,0,m4,,,,
C27884,,15/04/2022,,15223.67,EUR,,AUH,ok,ok,,1,30,ok,,,
C61525,,,"27,020.65",27020.65,USD,Closed,SHJ,!!!,!!!,,Y22,72,!!!,x,,
C80653,,2022-04-08,27119.25,,OMR,Open,AAN,ok,ok,,,m4,ok,,x,x
C11927,,2022-04-22,16518.95,16518.95,SAR,Open,AUH,needs review,needs review,,Y22,m4,needs review,,,
C87341,,32/13/2023,,10372.6118862498,GBP,CANCELLED,DXB,,,,Y22,m4,,x,,x
C57425,,2022-04-12,13009.36191738728,13028.91,USD,,AAN,,,,Y22,,,,,x
C94598,,19/04/2022,28786.98,28786.98,EUR,Closed,DXB,needs review,needs review,,Y22,,needs review,,x,x
C80446,,2022-04-18 00:00:00,"9,640.72",9640.72,EUR,In Review,DXB,ok,ok,junk,Y22,,ok,,,
C40907,x,14 April 2022,,8729.95,USD,Pending,UAQ,ok,ok,,Y22,,ok,,,
C78548,,15 April 2022,13769.06,,OMR,Closed,DXB,ok,ok,junk,Y22,m4,ok,,,
C47676,,2022-04-20,-7684.32182472263,-7662.36,OMR,CANCELLED,RAK,,,,,,,,,x
C33366,,Apr-16-22,not available,not available,USD,Closed,AAN,ok,ok,,,m4,ok,,x,
C15650,,26/04/2022,-3181.94,,OMR,,SHJ,needs review,needs review,,,m4,needs review,,,
C45670,,10 April 2022,,-1107.0694936167781,OMR,Closed,AAN,ملاحظة,ملاحظة,,Y22,m4,ملاحظة,,,
C83817,,2022-04-12,602.2130872979408,643.89,OMR,Pending,FJR,ملاحظة,ملاحظة,junk,0,m4,ملاحظة,,,
C78326,,15 April 2022,9729.74,(9729.74),AED,In Review,AUH,needs review,needs review,,Y22,,needs review,,x,
C59931,x,2022-04-11,21681.549799284396,21651.15,USD,Closed,FJR,needs review,needs review,,,,needs review,x,,
C47005,,20/04/2022,13089.63,13073.897292717165,USD,Open,RAK,,,,Y22,m4,,,,
C21464,,Apr-01-22,(27492.94),27492.94,GBP,In Review,SHJ,!!!,!!!,,Y22,10,!!!,,,
C47391,,2022-04-02,-5701.6,,SAR,Closed,AAN,needs review,needs review,,,m4,needs review,,,
C56247,,Apr-21-22,1833.92,1833.92,OMR,,RAK,needs review,needs review,,,27,needs review,,,x
C10056,,12 April 2022,3596.39,(3646.32),USD,Pending,UAQ,,,,1,,,,,
C58100,x,2022-04-24,1566.82,1566.82,GBP,Open,RAK,,,,,35,,,,
C27961,,10 April 2022,24909.48162572724,24946.703482202858,AED,Open,AAN,,,,Y22,,,,,
C96025,,16/04/2022,16859.52,,GBP,Pending,SHJ,!!!,!!!,,1,m4,!!!,,,
,,Apr-28-22,"29,963.96",29963.96,AED,CANCELLED,SHJ,ملاحظة,ملاحظة,junk,,,ملاحظة,,,
C11743,,21/04/2022,3693.109463409244,3710.19,GBP,,RAK,ملاحظة,ملاحظة,,0,,ملاحظة,,,
