C32113,A-5126600,32/13/2023,9907.929936505008,,EUR,In Review,FJR,needs review,needs review,,0,m3,A-5126600,x,
C65259,A-4495741,2022-03-12,"29,166.74",29166.66379203087,OMR,Pending,AAN,ok,ok,,Y22,,A-4495741,x,
C74729,A-8853851,01/03/2022,-6767.68,"-6,767.68",OMR,Closed,UAQ,,,,1,40,A-8853851,x,
C86078,A-7158733,2022-03-23,"8,619.76","8,619.76",SAR,,SHJ,needs review,needs review,,,83,A-7158733,,
C65181,A-4670583,15 March 2022,"12,416.21",,SAR,Closed,AUH,,,,Y22,m3,A-4670583,,
C53445,A-9467754,10/03/2022,20558.92308579654,20546.51,USD,,FJR,ملاحظة,ملاحظة,,Y22,42,A-9467754,,
,A-6662830,2022-03-01,"10,661.46",10731.72521348324,SAR,Closed,SHJ,,,,Y22,,A-6662830,,
,A-1965264,32/13/2023,16980.58,(16980.58),USD,,AUH,ok,ok,,Y22,m3,A-1965264,,
C84174,A-2905618,2022-03-20,18052.7,18067.579123214575,AED,Open,UAQ,ok,ok,,Y22,m3,A-2905618,,
C68323,A-8735606,Mar-07-22,26677.477626317108,26686.69,GBP,In Review,AUH,,,,Y22,,A-8735606,,
C38744,A-4674479,2022-03-06,9100.41,9095.922375984394,SAR,CANCELLED,RAK,!!!,!!!,,Y22,m3,A-4674479,,
C89081,A-8771144,10 March 2022,5588.3,5588.3,SAR,In Review,AUH,,,,0,,A-8771144,,
C32053,A-3738560,Mar-01-22,4092.073600527687,4094.249787281251,USD,,FJR,,,junk,1,,A-3738560,x,
,A-6559076,2022-03-28,,17355.84,OMR,In Review,AUH,ok,ok,junk,0,m3,A-6559076,,
,A-5121956,Mar-23-22,-6249.56,"-6,249.56",OMR,Pending,RAK,ok,ok,,Y22,,A-5121956,,
C75598,A-3575605,2022-03-06,-1566.3260450799512,"-1,580.82",EUR,Closed,AUH,ok,ok,,Y22,73,A-3575605,,
C76497,A-5772473,05/03/2022,,29076.741046846335,AED,Open,RAK,ok,ok,,1,42,A-5772473,,
,A-6429340,28/03/2022,22677.31,22677.31,GBP,Open,DXB,,,,Y22,m3,A-6429340,,
C95277,A-2876313,Mar-19-22,9317.42,9317.42,AED,Open,AAN,needs review,needs review,,,,A-2876313,,
C11184,A-4753984,22/03/2022,6469.72,(6432.37),SAR,Open,AUH,!!!,!!!,,,m3,A-4753984,,
,A-9335688,2022-03-20,26269.68,(26269.68),GBP,In Review,UAQ,,,,,m3,A-9335688,,
C20836,A-4135476,2022-03-09,-5444.2,-5444.2,USD,In Review,FJR,,,junk,Y22,m3,A-4135476,,
C25779,A-8720662,32/13/2023,17584.41,17584.41,AED,CANCELLED,DXB,,,,Y22,,A-8720662,,
C12811,A-5132599,,18199.89,18199.89,USD,,  DXB,needs review,needs review,,Y22,m3,A-5132599,,
C96304,A-2361028,Mar-11-22,,13439.66,OMR,Pending,  UAQ,ok,ok,,Y22,m3,A-2361028,,
C40855,A-4182924,13 March 2022,-3204.109798344056,,AED,Closed,DXB,needs review,needs review,,0,31,A-4182924,,
C30867,A-6708387,2022-03-26,(28071.53),28071.53,OMR,In Review,UAQ,!!!,!!!,,0,,A-6708387,,
,A-8216390,19/03/2022,17990.74,17984.60744422119,GBP,Pending,AUH,needs review,needs review,,,m3,A-8216390,,x
C13241,A-1164505,Mar-08-22,19776.23448100238,,GBP,In Review,UAQ,ملاحظة,ملاحظة,,,m3,A-1164505,x,
C76295,A-6183739,2022-03-17,,3062.89,EUR,,UAQ,ملاحظة,ملاحظة,,Y22,,A-6183739,,
C17133,A-6213772,21 March 2022,,25265.18,EUR,CANCELLED,UAQ,ok,ok,,0,,A-6213772,x,
C68994,A-3450782,Mar-05-22,526.01,519.1511121873166,OMR,CANCELLED,FJR,,,,Y22,m3,A-3450782,,
C86693,A-7773044,32/13/2023,-6369.913436117123,(6347.52),AED,Open,AUH,ok,ok,,,m3,A-7773044,,x
C46653,A-2527372,2022-03-27,not available,"4,112.63",EUR,In Review,SHJ,,,,,m3,A-2527372,,x
C21790,A-9259964,Mar-20-22,,,aed ,In Review,DXB,,,,Y22,12,A-9259964,,x
C67052,A-5223556,20/03/2022,,-1628.5577109310084,OMR,Open,DXB,,,,,m3,A-5223556,,
,A-7231422,2022-03-01 00:00:00,,3436.9,AED,Open,AUH,needs review,needs review,,1,,A-7231422,,
C92630,A/33881,07/03/2022,,(24415.04),USD,Open,DXB,needs review,needs review,,Y22,m3,A/33881,,
,A-8797395,04/03/2022,(4227.21),-4219.161394213935,OMR,Closed,FJR,needs review,needs review,,Y22,56,A-8797395,,
,A/85927,07 March 2022,,-2455.22,EUR,Closed,FJR,needs review,needs review,,Y22,m3,A/85927,,
C39911,A-9022361,2022-03-02,20359.54992117162,20355.14398712668,sar ,,AAN,,,,,m3,A-9022361,,
C81003,A-7782280,Mar-02-22,25963.67,"25,963.67",GBP,,FJR,ok,ok,,Y22,m3,A-7782280,,x
C71660,A-4879810,2022-03-02,"7,416.39",(7420.13),GBP,In Review,RAK,ok,ok,,Y22,48,A-4879810,,
C41353,,Mar-04-22,24924.81,24924.81,EUR,Open,FJR,,,,Y22,,,,
C20282,A-3310738,12 March 2022,233.4850184055908,(225.43),AED,Pending,FJR,!!!,!!!,junk,1,m3,A-3310738,,
C56329,A-6000770,16/03/2022,"16,989.94",16989.94,USD,CANCELLED,  UAQ,,,junk,Y22,m3,A-6000770,,
C79536,A-1187686,2022-03-02 00:00:00,10244.258525112195,"10,285.35",SAR,Closed,SHJ,ok,ok,,,m3,A-1187686,,
C68064,A-3793077,2022-03-21,,-7711.96,OMR,In Review,AAN,ok,ok,,Y22,,A-3793077,,
,A-5924281,17 March 2022,579.4696724186401,596.27,SAR,Pending,FJR,,,,1,m3,A-5924281,,
C37341,A-4841394,18/03/2022,,-912.94,AED,,SHJ,ok,ok,junk,Y22,m3,A-4841394,,
C16663,A-4621501,2022-03-27,7748.5,,AED,CANCELLED,  RAK,ok,ok,,Y22,61,A-4621501,,x
C38710,A-7394401,27 March 2022,8248.88,8248.88,OMR,In Review,SHJ,ok,ok,,,m3,A-7394401,,
C13819,A-6205775,18 March 2022,,-7595.68,OMR,Closed,UAQ,ملاحظة,ملاحظة,,Y22,m3,A-6205775,,
C33966,A-7418237,10 March 2022,23806,23806,EUR,,RAK,ok,ok,,Y22,m3,A-7418237,,
C10901,A-7498070,2022-03-18 00:00:00,-526.93,not available,eur ,In Review,AUH,ok,ok,,0,m3,A-7498070,,x
C26615,A/83735,2022-03-03,7354.83,7354.83,EUR,In Review,  FJR,needs review,needs review,,1,m3,A/83735,,
C13305,A-2902699,Mar-06-22,-214.21,-242.5084473205792,GBP,In Review,DXB,ok,ok,,,21,A-2902699,,
C10299,A-4365866,Mar-04-22,24286.61,not available,AED,,UAQ,!!!,!!!,,Y22,,A-4365866,,
C26324,A-4571044,2022-03-21,"11,022.69",11044.31,EUR,,AUH,needs review,needs review,,Y22,m3,A-4571044,,
C46201,A-1846919,Mar-17-22,"23,710.93",23667.23,EUR,,  UAQ,ok,ok,,1,13,A-1846919,,
C40842,A/50941,17 March 2022,558.56,(558.56),SAR,Pending,AAN,!!!,!!!,,1,,A/50941,,
C34420,A-1489727,13 March 2022,,-2383.7,SAR,Pending,AUH,ok,ok,,Y22,m3,A-1489727,,
C66750,A-8109329,19 March 2022,,1968.74,SAR,,  RAK,ok,ok,,,,A-8109329,,
C54779,A-7943827,2022-03-17 00:00:00,(7187.97),7184.304047809177,AED,CANCELLED,RAK,needs review,needs review,,,m3,A-7943827,,
C33276,A/97280,2022-03-16,11058.42,11058.42,SAR,In Review,AAN,needs review,needs review,,1,m3,A/97280,,x
C98783,,27 March 2022,"11,275.41",11275.41,GBP,Closed,FJR,,,,Y22,m3,,,
C85191,A-4001359,Mar-28-22,,,GBP,CANCELLED,AAN,!!!,!!!,,1,m3,A-4001359,,
C42783,A-2561320,07/03/2022,22765.86,22806.11111901633,EUR,Open,UAQ,needs review,needs review,,Y22,m3,A-2561320,,
C46267,A-6092406,28/03/2022,12448.06932902527,12415.44879177686,USD,CANCELLED,RAK,needs review,needs review,,,m3,A-6092406,,
C81596,A-9384213,14/03/2022,26568.13,,AED,CANCELLED,  RAK,ok,ok,,1,,A-9384213,,x
C97940,A-8781943,2022-03-02,(21222.26),21257.785210945618,EUR,In Review,SHJ,needs review,needs review,,0,,A-8781943,,x
C86017,A/83694,2022-03-24 00:00:00,"23,532.45",,SAR,Open,RAK,ملاحظة,ملاحظة,,,m3,A/83694,,
C81045,A-9019176,16/03/2022,-3439.166361214521,"-3,391.35",OMR,Open,RAK,ok,ok,,,,A-9019176,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,
cust#,A/C No.,Txn Date,AMT,amount (aed),CCY,State,BR_CODE,remarks,REASON_TEXT,,year_added_2022,new_col_202203, LEDGER_ACCOUNT  ,mystery_2022_03_63,mystery_2022_03_69
C32331,A-7031923,32/13/2023,-1498.313116406027,not available,EUR,Open,AUH,,,,Y22,,A-7031923,,
C27684,A-4592022,17 March 2022,,"26,893.29",GBP,Open,RAK,needs review,needs review,,,97,A-4592022,,
C71383,A-5578392,07 March 2022,(2697.68),-2705.97,GBP,Pending,FJR,ملاحظة,ملاحظة,,,m3,A-5578392,,
,A-8384846,2022-03-02,6842.45,6842.45,GBP,,FJR,needs review,needs review,,1,m3,A-8384846,,
C60094,A-1135918,2022-03-19,6282.01,6282.01,EUR,Pending,FJR,needs review,needs review,,1,31,A-1135918,,
C48344,A-3937705,25 March 2022,4856.37,,omr ,Closed,UAQ,!!!,!!!,,,m3,A-3937705,,
C99740,A-3700933,15/03/2022,-2522.83,-2522.83,USD,CANCELLED,SHJ,ok,ok,,Y22,m3,A-3700933,,
C62864,A-8195610,2022-03-10,23735.83,(23716.51),AED,Closed,FJR,ok,ok,,Y22,m3,A-8195610,,x
C59916,A-2689559,12/03/2022,15061.94,15061.94,EUR,In Review,SHJ,ملاحظة,ملاحظة,,Y22,m3,A-2689559,,
C36411,A-7799003,Mar-03-22,26363.77,26363.77,SAR,Open,AAN,ok,ok,,Y22,m3,A-7799003,,
C51276,A-2382322,2022-03-01,4727.89,(4758.32),EUR,Open,SHJ,,,,Y22,m3,A-2382322,,
C66135,A-6743933,Mar-03-22,1864.8489889674377,(1862.32),OMR,Pending,AUH,needs review,needs review,,Y22,,A-6743933,x,
C29618,,2022-03-23,18771.91,,AED,Closed,  AUH,!!!,!!!,,Y22,m3,,,
C96639,A-6252538,16/03/2022,,17117.479182223116,OMR,,DXB,,,,Y22,m3,A-6252538,,
,A-9686333,23/03/2022,"-1,719.94","-1,719.94",EUR,Open,FJR,ok,ok,,,m3,A-9686333,,
C72776,A-1340452,2022-03-15,7871.23,,usd ,CANCELLED,RAK,ok,ok,,Y22,,A-1340452,,
C38030,A-1441061,2022-03-13,-1712.56,"-1,712.56",GBP,Pending,UAQ,needs review,needs review,,Y22,60,A-1441061,,
C20059,A-3678976,Mar-22-22,(1178.42),1145.42,USD,CANCELLED,UAQ,ok,ok,,1,26,A-3678976,,
C13029,A-3048671,2022-03-19,25416.3,"25,416.30",AED,,SHJ,needs review,needs review,,,,A-3048671,,x
C82306,A-6993578,11 March 2022,-6154.99,"-6,154.99",GBP,,AUH,ok,ok,,1,m3,A-6993578,,
C28236,A-5941491,32/13/2023,10197.57164971408,10201.31,USD,In Review,FJR,,,,Y22,m3,A-5941491,,x
C96028,A-6366299,Mar-17-22,17861.91570711324,,EUR,,FJR,,,,,m3,A-6366299,,
C51413,A-1093953,,21955.650462056532,not available,SAR,,  AUH,ok,ok,,,,A-1093953,,
C44800,A-4903675,Mar-03-22,(23882.38),23882.38,AED,,FJR,needs review,needs review,,Y22,m3,A-4903675,,x
C90376,A-2361058,2022-03-12,,27082.28,SAR,In Review,UAQ,!!!,!!!,,,83,A-2361058,,
,A-8566814,15/03/2022,"11,531.61","11,531.61",USD,Open,FJR,ok,ok,,1,m3,A-8566814,,
C92177,A-8793621,2022-03-18,23687.34478068855,not available,GBP,Open,RAK,needs review,needs review,,1,,A-8793621,,
C37417,A-1712194,26 March 2022,,-5154.17,USD,Closed,UAQ,,,,Y22,83,A-1712194,,
C19019,A-9475127,32/13/2023,17710.62,17710.62,GBP,Closed,FJR,ok,ok,,Y22,14,A-9475127,x,
C85107,A/91530,Mar-06-22,,,USD,,FJR,ok,ok,,,,A/91530,x,
C35596,A/33074,2022-03-01,-1578.32,-1603.2914755413162,AED,Pending,AUH,needs review,needs review,,Y22,62,A/33074,,
C52073,A-3917230,2022-03-14,9241.27,(9241.27),EUR,Closed,UAQ,ok,ok,,,72,A-3917230,,
C70184,A-3831844,2022-03-24,-2847.9,-2847.9,USD,,FJR,ok,ok,,Y22,,A-3831844,,
C51798,A-3247600,2022-03-25,-5300.39,-5300.39,OMR,,AAN,ملاحظة,ملاحظة,,1,68,A-3247600,x,x
C72861,A-1615852,07/03/2022,5611.08,,SAR,,AUH,,,junk,Y22,m3,A-1615852,,
C90452,A-7808875,2022-03-22 00:00:00,"16,122.81",16103.88877361064,GBP,Open,SHJ,,,,,,A-7808875,,
C95558,A-4243076,05/03/2022,,(8325.49),EUR,CANCELLED,  RAK,ok,ok,,Y22,,A-4243076,,x
,A-9211743,25/03/2022,14052.806756420065,14057.14,OMR,Closed,AUH,,,junk,Y22,m3,A-9211743,,
C43737,A-7480126,Mar-06-22,,-6919.74,USD,Open,AAN,needs review,needs review,,Y22,m3,A-7480126,,
C70801,A-3898632,09 March 2022,-3782.54,-3782.54,usd ,Closed,RAK,ok,ok,,Y22,56,A-3898632,,
C76809,A-8937134,28/03/2022,-7331.59,"-7,331.59",SAR,,AAN,,,,Y22,62,A-8937134,,
C49712,,2022-03-09,-5360.68,-5360.68,EUR,,FJR,ok,ok,,0,m3,,,
C72589,A-2683681,2022-03-28,(21473.73),21499.35,USD,Open,DXB,,,,Y22,,A-2683681,,
C73050,A-5245458,2022-03-19,-3085.71,-3085.71,AED,,AAN,ok,ok,,1,m3,A-5245458,,
C14711,A-1755422,32/13/2023,"29,458.24",,SAR,In Review,RAK,ملاحظة,ملاحظة,,,m3,A-1755422,,x
C85127,A/34927,2022-03-05,,16187.82,GBP,Open,DXB,,,,0,,A/34927,,
C13512,A-8619373,23/03/2022,21661.22,21661.22,GBP,,FJR,needs review,needs review,,Y22,,A-8619373,,
C19576,A-6253755,2022-03-28 00:00:00,-7232.27121213757,-7277.48,GBP,,AAN,needs review,needs review,,,m3,A-6253755,,
C10659,A-7493566,32/13/2023,-1561.6,-1561.6,SAR,In Review,UAQ,ok,ok,,0,m3,A-7493566,,
C35692,A-4625746,Mar-11-22,20013.77,20013.77,EUR,CANCELLED,SHJ,ok,ok,,Y22,m3,A-4625746,,
C47143,A-7379038,2022-03-17 00:00:00,10032.86,,omr ,,  UAQ,,,,Y22,,A-7379038,,
C46191,A-2625691,04/03/2022,"15,510.76",15506.640098937525,AED,CANCELLED,RAK,needs review,needs review,,1,m3,A-2625691,,
C36354,A-8892453,28/03/2022,,12559.95,OMR,Closed,RAK,,,junk,Y22,m3,A-8892453,,
C71946,A-2202925,23 March 2022,3520.55,"3,520.55",GBP,CANCELLED,AUH,needs review,needs review,,,45,A-2202925,,
C35046,A-9394688,2022-03-19,7954.92,not available,AED,Closed,UAQ,ملاحظة,ملاحظة,,Y22,94,A-9394688,,x
C19798,A/83429,32/13/2023,(24891.20),24891.2,OMR,Closed,FJR,,,,Y22,17,A/83429,x,
C47435,A-5236886,15 March 2022,15661.7,15661.7,USD,Open,UAQ,,,,,m3,A-5236886,x,
C10900,A-9634915,11/03/2022,-1248.518750578919,-1230.627978258408,EUR,,FJR,ok,ok,,,m3,A-9634915,,
C94333,A/5388,03/03/2022,21762.86,21771.05106232247,OMR,Pending,UAQ,!!!,!!!,junk,Y22,,A/5388,,
C85089,,2022-03-11 00:00:00,29220.78807303243,,OMR,Open,AUH,,,,Y22,m3,,,
C28386,A-2675403,2022-03-02,"3,238.97",,EUR,,UAQ,!!!,!!!,,,m3,A-2675403,,
C92837,A-4653754,32/13/2023,,-3685.738795088033,SAR,,FJR,ملاحظة,ملاحظة,junk,Y22,92,A-4653754,x,
C17585,,Mar-08-22,-3487.16,-3487.16,GBP,Closed,RAK,needs review,needs review,,Y22,,,,
,A-1069664,27 March 2022,13559.74,,OMR,CANCELLED,AUH,ملاحظة,ملاحظة,,,,A-1069664,,
C22144,A-4045478,05/03/2022,26380.30111506331,26374.650162223934,EUR,Closed,UAQ,ملاحظة,ملاحظة,,Y22,78,A-4045478,,
C54478,A-6440348,2022-03-26,25564.73,,USD,CANCELLED,AUH,,,junk,,m3,A-6440348,,x
C65073,A-9752537,20 March 2022,-3513.85,-3513.85,eur ,In Review,  SHJ,needs review,needs review,,,m3,A-9752537,,
C87210,A-6579839,04 March 2022,"16,108.40","16,108.40",OMR,Open,AAN,needs review,needs review,,Y22,m3,A-6579839,,
C18231,A-5960595,Mar-24-22,,,EUR,,DXB,,,,0,,A-5960595,,
C97617,A-1622731,2022-03-27,28116.28,28121.1304242654,GBP,Pending,AUH,,,junk,Y22,,A-1622731,,x
C10331,A-2417563,2022-03-23,,27975.02171866139,AED,Pending,DXB,ok,ok,,0,29,A-2417563,,
C48052,A-8253555,2022-03-15 00:00:00,(16676.82),,gbp ,In Review,AUH,ok,ok,,Y22,m3,A-8253555,,
,A-1734548,2022-03-10,10891.81,,SAR,Pending,AUH,needs review,needs review,,,m3,A-1734548,,
C97951,A-3339046,2022-03-10 00:00:00,,1928.35,GBP,,AAN,ok,ok,,Y22,,A-3339046,,
C44714,A-3114083,Mar-12-22,17510.66,17514.27802660402,EUR,CANCELLED,AUH,ملاحظة,ملاحظة,,Y22,m3,A-3114083,x,
C39335,A-1932513,22 March 2022,,,USD,Closed,UAQ,ملاحظة,ملاحظة,,,m3,A-1932513,,
C33889,A-6567498,2022-03-10 00:00:00,(29868.03),,EUR,CANCELLED,  AUH,needs review,needs review,,Y22,m3,A-6567498,,
C28122,A-6734081,06/03/2022,-2430.9011403930494,-2433.39,EUR,CANCELLED,  AUH,needs review,needs review,,,m3,A-6734081,,
C71894,A-1905612,Mar-27-22,(5860.15),5908.602303244945,USD,,UAQ,needs review,needs review,,Y22,77,A-1905612,,
C32612,A-6890659,Mar-12-22,"10,338.01","10,338.01",EUR,In Review,UAQ,!!!,!!!,junk,Y22,m3,A-6890659,,
C46944,,2022-03-24,"21,988.64",,AED,In Review,AUH,,,,,,,,
,A-3645363,07/03/2022,,767.1,AED,Closed,AUH,needs review,needs review,junk,1,m3,A-3645363,,
C76134,A-9184145,2022-03-10 00:00:00,,2541.9,AED,In Review,RAK,ok,ok,,Y22,,A-9184145,,
C23724,A-3538655,15/03/2022,6223.99,,USD,In Review,DXB,,,,,m3,A-3538655,,
C28340,A-9591674,17/03/2022,,23405.7,GBP,,SHJ,!!!,!!!,,1,m3,A-9591674,,
C22917,A-9980682,2022-03-18,1098.56,1113.7604030250475,OMR,Open,SHJ,needs review,needs review,,,m3,A-9980682,,
C62803,A-9126581,28 March 2022,"4,316.15","4,316.15",SAR,Closed,  FJR,needs review,needs review,,Y22,m3,A-9126581,,
C28908,A-2279574,Mar-28-22,6658.155508604635,"6,639.37",OMR,Closed,UAQ,,,,1,m3,A-2279574,,
,A-7167813,2022-03-27 00:00:00,20520.54026279173,20534.74,OMR,,AAN,ok,ok,,0,80,A-7167813,,
C50386,A-1027477,2022-03-19 00:00:00,14880.88,14880.88,USD,CANCELLED,FJR,ok,ok,,Y22,92,A-1027477,x,
C14124,A-8296121,06/03/2022,19822.13,19822.13,SAR,Pending,SHJ,needs review,needs review,,Y22,,A-8296121,,
C29144,A-4969842,2022-03-09,,(17436.23),USD,,SHJ,,,,Y22,,A-4969842,,
C37890,A-9140649,,-7896.078863206903,-7863.76,SAR,Closed,RAK,,,,,46,A-9140649,,
C12006,A-8213316,Mar-01-22,,"8,236.99",SAR,Closed,SHJ,,,,,,A-8213316,,
C94895,A-6675049,12 March 2022,6960.127006765985,,EUR,,UAQ,ok,ok,,Y22,61,A-6675049,,
C37854,,2022-03-09 00:00:00,,5142.51,AED,,SHJ,ملاحظة,ملاحظة,,Y22,,,,
,A/12525,2022-03-21,"4,028.91",,OMR,In Review,DXB,ok,ok,,,m3,A/12525,,
C82802,A-8584020,2022-03-26,-2446.25,,AED,,  UAQ,needs review,needs review,,Y22,,A-8584020,,
,A-5820674,27/03/2022,,-1888.85276446357,USD,Pending,UAQ,,,,,,A-5820674,,
C12874,A-6947437,2022-03-05,,-2774.19,AED,Pending,AUH,ok,ok,,1,m3,A-6947437,,
C31313,A-1237541,2022-03-08 00:00:00,-1680.85,-1680.85,EUR,,AUH,ok,ok,,Y22,73,A-1237541,,
C87165,A-1265907,04 March 2022,(13207.59),,EUR,Open,FJR,!!!,!!!,,Y22,76,A-1265907,,
