 cust#  ,Account ID#,POSTING DATE,Amount,Gross Amount#,CCY,APPRV_STATE, BR_CODE  ,Memo#,REASON_TEXT,,year_added_2022, new_col_202209 ,Notes,mystery_2022_09_66,mystery_2022_09_72,mystery_2022_09_18
,A-8666824,11 September 2022,,1458.36,SAR,,  AUH,ok,ok,,,,ok,,,
,A-4523758,2022-09-21,28563.98,"28,563.98",AED,In Review,UAQ,,,,Y22,m9,,,,
,A/77007,11 September 2022,15355.25,15353.25520056946,USD,CANCELLED,SHJ,,,,Y22,93,,,,
C65022,A-5414022,18 September 2022,20637.89,(20637.89),AED,Open,RAK,needs review,needs review,,Y22,10,needs review,,x,
C31236,A-8688833,17 September 2022,,-1548.0936180307447,AED,Open,RAK,ملاحظة,ملاحظة,,Y22,m9,ملاحظة,,,
C12511,A-5605692,Sep-19-22,(3947.94),3947.94,GBP,Closed,AAN,ok,ok,,Y22,95,ok,,,x
C45658,A-3354217,Sep-14-22,-4145.55,-4145.55,AED,Closed,AAN,ok,ok,junk,Y22,m9,ok,,,
C48414,A-1319792,02/09/2022,28520.26,28508.39391878473,USD,CANCELLED,FJR,needs review,needs review,,Y22,,needs review,,,
,A-3102372,25/09/2022,1375.4476803345622,1359.8,AED,Pending,RAK,ok,ok,,Y22,m9,ok,,,
,A-1224377,27/09/2022,29151.457506110397,29149.12,EUR,Open,  AUH,needs review,needs review,junk,Y22,94,needs review,,,
C37700,A-4771479,07/09/2022,9411.06,9411.06,AED,Pending,AAN,ok,ok,,0,94,ok,,,
,A-8011530,Sep-13-22,18240.94,18240.94,SAR,Closed,AAN,ok,ok,,Y22,m9,ok,,,
C65987,A-5254172,2022-09-10,"29,329.63",,EUR,In Review,AAN,,,,Y22,96,,,,
C79824,A-2283789,32/13/2023,9726.75,9727.42092545587,EUR,Pending,FJR,!!!,!!!,,Y22,m9,!!!,,,
C64158,A-1889514,07/09/2022,11317.64722770916,11295.34,EUR,In Review,  AAN,needs review,needs review,,Y22,m9,needs review,x,,
C71674,A-4084464,2022-09-21,25395.64,25395.64,USD,Pending,  SHJ,ok,ok,junk,0,,ok,,,
C30548,A-9124403,,5083.533319988749,,EUR,In Review,AUH,ok,ok,,Y22,97,ok,x,,x
C38346,A/66624,32/13/2023,,,GBP,,UAQ,ملاحظة,ملاحظة,,,m9,ملاحظة,,x,
C90261,A-1828853,Sep-12-22,"18,055.22",18055.22,EUR,CANCELLED,AUH,,,,Y22,m9,,,,
C54212,A-8248908,2022-09-11 00:00:00,20484,20437.99617439058,SAR,,AAN,needs review,needs review,,,73,needs review,,,
C63017,A-1010910,15/09/2022,-1534.41,-1534.41,sar ,Closed,DXB,needs review,needs review,junk,,m9,needs review,,,
C88264,A-1027691,2022-09-01,4791.21,4749.147224811941,USD,,AAN,!!!,!!!,,,m9,!!!,,,
C18541,A-3031110,19/09/2022,23247.11139153877,23266.14,AED,,FJR,,,,Y22,,,,,
C61523,A/26483,Sep-09-22,"-7,014.50",-6992.820495922037,GBP,In Review,FJR,ok,ok,,Y22,,ok,,,
C38855,A-6417524,2022-09-19 00:00:00,-1295.66,,AED,Closed,UAQ,ok,ok,,Y22,44,ok,,,
C21944,A-6477968,2022-09-16,,9191.644452969733,GBP,CANCELLED,DXB,ok,ok,,Y22,,ok,,,
C80945,A-2265016,2022-09-12,"19,861.34",,EUR,CANCELLED,FJR,ok,ok,,Y22,m9,ok,,,
C99526,A/49730,Sep-11-22,-5901.8,,SAR,Open,AAN,needs review,needs review,,Y22,m9,needs review,,,x
C34810,A-1896191,27/09/2022,14986.89528888377,14951.40080129141,OMR,CANCELLED,FJR,ok,ok,,0,,ok,,,
C63722,A-2030827,Sep-18-22,10094.476747291294,10104.19,SAR,Open,FJR,ok,ok,,Y22,17,ok,,,
C53701,A-1315205,32/13/2023,-465.8621007859658,-427.88,GBP,CANCELLED,SHJ,,,,1,,,,x,x
C10109,A-1317143,Sep-21-22,11468.24,,EUR,,AUH,,,,0,77,,,,
,A-2978596,2022-09-24,5567.15,5567.15,AED,Pending,SHJ,!!!,!!!,,Y22,m9,!!!,,,x
C56231,A-1382483,2022-09-11 00:00:00,(18420.00),"18,420.00",USD,,AAN,ملاحظة,ملاحظة,,0,,ملاحظة,,,
C27719,A-8684929,2022-09-21 00:00:00,2500.26,2478.935223105207,OMR,In Review,DXB,,,,0,m9,,,,
C22551,A-4711118,Sep-16-22,,"17,011.82",gbp ,In Review,AUH,ملاحظة,ملاحظة,,,,ملاحظة,,,
C30958,A-1051246,2022-09-22,15452.96,15452.96,AED,,  FJR,needs review,needs review,,Y22,m9,needs review,x,,
C25896,A-6552744,0000-00-00,17165.63,17165.63,gbp ,In Review,AUH,ok,ok,,1,69,ok,,,
C29982,A-3330327,32/13/2023,(679.38),-723.07,AED,Open,DXB,,,junk,Y22,29,,,,
C42236,A-2829786,2022-09-26 00:00:00,,-6494.91,GBP,,AUH,ok,ok,,Y22,,ok,,,x
C22354,A-3074030,2022-09-11,17157.54,(17157.54),USD,In Review,DXB,ok,ok,,,m9,ok,,x,
C31197,A/73649,2022-09-04 00:00:00,21895.24,,AED,Pending,AUH,,,,1,m9,,,,
C39593,A-4278847,0000-00-00,,not available,EUR,In Review,UAQ,ok,ok,,Y22,,ok,,x,
C13578,A-2889875,2022-09-23,not available,12341.12622626731,EUR,,DXB,needs review,needs review,junk,Y22,,needs review,,,
C80963,A-9358169,26/09/2022,6510.98,,AED,Closed,DXB,ok,ok,junk,Y22,41,ok,,,
C70937,A-3989380,2022-09-11,24388.86,24388.86,OMR,In Review,RAK,ملاحظة,ملاحظة,,Y22,,ملاحظة,,,
C89567,A-4110140,2022-09-02,not available,-3382.13,USD,,SHJ,ملاحظة,ملاحظة,junk,Y22,,ملاحظة,,,
,A-2911943,2022-09-01,"17,695.85","17,695.85",USD,In Review,SHJ,needs review,needs review,,,27,needs review,,x,
C35179,A-6741592,24/09/2022,7885.9,(7885.90),SAR,,SHJ,,,,,m9,,,x,
C62696,A-7270514,03 September 2022,11249.42690732348,11225.72,OMR,Pending,FJR,ok,ok,,Y22,29,ok,,,
C19580,A/90865,09 September 2022,26453.47,26490.84949604887,SAR,In Review,RAK,!!!,!!!,,Y22,40,!!!,x,,
C46703,A-9559606,07 September 2022,not available,-463.1634645718926,EUR,Open,  RAK,,,,Y22,90,,,x,
C79938,A-1776387,Sep-05-22,27158.03,27158.03,SAR,,RAK,,,,Y22,,,x,,
C90269,A-9818727,2022-09-12 00:00:00,,(4306.60),AED,In Review,UAQ,needs review,needs review,,Y22,m9,needs review,,,
,A-5932293,0000-00-00,9146.89,,GBP,Open,DXB,ok,ok,,Y22,m9,ok,,,
C53082,,2022-09-12 00:00:00,28908.76,(28908.76),USD,,AUH,needs review,needs review,junk,Y22,,needs review,,,
,A-8812772,2022-09-03 00:00:00,not available,,OMR,Closed,RAK,needs review,needs review,junk,Y22,,needs review,,,
C70899,A-2093361,2022-09-20,,25293.73419418519,USD,CANCELLED,UAQ,ok,ok,,Y22,,ok,,,
C29973,A-2737876,0000-00-00,29717.16,29717.16,EUR,Open,DXB,ملاحظة,ملاحظة,,Y22,m9,ملاحظة,,,
C24560,A-2169845,11 September 2022,16496.18717723665,"16,461.30",SAR,In Review,DXB,needs review,needs review,,,m9,needs review,,,
C24275,A-6755790,Sep-17-22,"6,111.18",6080.745738538907,GBP,,RAK,needs review,needs review,,Y22,,needs review,,,
C86939,A-1420946,Sep-10-22,"4,361.24",4361.24,GBP,,  UAQ,needs review,needs review,,Y22,m9,needs review,,x,
C22421,A-9363048,Sep-12-22,"28,460.69",28424.098149931066,sar ,,RAK,,,,,12,,,,
C75912,A-7624146,2022-09-03,18725.446903221007,18742.49,SAR,Open,DXB,needs review,needs review,,1,52,needs review,,,
C48749,A-8402505,09 September 2022,19356.759225869,19393.77,GBP,In Review,SHJ,,,,Y22,m9,,x,x,
C19850,A-4533842,Sep-01-22,,9615.02,USD,Closed,AUH,ok,ok,,0,91,ok,,,
C37396,A-5079146,15 September 2022,"4,880.09",4880.09,EUR,,DXB,,,,Y22,m9,,,,
C29264,A-3366274,27/09/2022,13919.12963332533,,AED,Pending,AUH,ملاحظة,ملاحظة,,,25,ملاحظة,,,x
C93950,A-5409725,2022-09-28 00:00:00,,25035.89,SAR,,RAK,ok,ok,,Y22,m9,ok,,,
C97099,A-3472430,19/09/2022,29279.121180995833,29233.26,EUR,Pending,RAK,,,,Y22,,,,,
C22750,A-8809264,Sep-26-22,16089.34,16089.34,SAR,Closed,DXB,ملاحظة,ملاحظة,,Y22,75,ملاحظة,,,
C37881,A-2776817,2022-09-24,,21597.66969219505,USD,Pending,AAN,ok,ok,,1,m9,ok,,,
C53318,A-8457990,15/09/2022,25620.93,"25,588.76",OMR,,SHJ,,,,1,m9,,x,,
C25289,A-5847099,06 September 2022,(4688.12),-4678.456066477213,GBP,Open,UAQ,ok,ok,,1,94,ok,,,
,A-8002162,02 September 2022,,,OMR,In Review,DXB,needs review,needs review,,,m9,needs review,,,
C34162,A-8152853,2022-09-21,,13693.77,USD,Closed,DXB,!!!,!!!,,Y22,m9,!!!,,x,
C45268,A-9476493,17 September 2022,1597.11,1597.11,AED,,RAK,needs review,needs review,,Y22,,needs review,,,
C21746,A-8444216,32/13/2023,"29,073.46",29113.42,SAR,Open,UAQ,needs review,needs review,,Y22,m9,needs review,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,
 cust#  ,Account ID#,POSTING DATE,Amount,Gross Amount#,CCY,APPRV_STATE, BR_CODE  ,Memo#,REASON_TEXT,,year_added_2022, new_col_202209 ,Notes,mystery_2022_09_66,mystery_2022_09_72,mystery_2022_09_18
,A-9471396,2022-09-27,-3756.65,-3756.65,OMR,,FJR,needs review,needs review,,1,29,needs review,,,
C77694,A-7845249,10 September 2022,-2846.1227802522626,-2812.82,OMR,In Review,  AUH,,,,,,,,,
C69501,A/71608,2022-09-03,15877.68,15884.08890493709,GBP,Closed,AAN,needs review,needs review,,Y22,54,needs review,,,
C76968,A-2541210,32/13/2023,,(3309.13),EUR,Pending,DXB,!!!,!!!,,Y22,12,!!!,,,
C87985,A-1005563,Sep-14-22,-2020.80221675248,not available,GBP,Closed,RAK,ملاحظة,ملاحظة,,Y22,40,ملاحظة,,,
C46822,A-3282269,2022-09-11,,,USD,,FJR,,,,1,m9,,,,
,A-5979158,2022-09-18,29809.79312759468,"29,769.30",USD,Open,AUH,,,,Y22,m9,,,,
C81617,,11 September 2022,-1424.13,-1424.13,AED,Open,  UAQ,needs review,needs review,,1,m9,needs review,,,
C63836,A-3539051,2022-09-21,26244.48,26244.48,GBP,CANCELLED,  UAQ,,,,1,m9,,,x,
C32582,A/38611,2022-09-25,(27314.84),not available,OMR,Pending,FJR,needs review,needs review,junk,,m9,needs review,x,,
C49707,A/1138,Sep-24-22,,4111.17,USD,Pending,AAN,!!!,!!!,,Y22,,!!!,,,
C97257,A-8840431,2022-09-11 00:00:00,"2,501.71",2531.88,AED,,FJR,,,,Y22,m9,,,x,x
,A-2386179,15 September 2022,not available,,GBP,Closed,AUH,needs review,needs review,,,,needs review,,,
C85003,A-6841466,32/13/2023,-2366.276767793889,-2371.550595910934,EUR,In Review,DXB,ملاحظة,ملاحظة,,Y22,20,ملاحظة,,,
C60340,A-1270651,Sep-16-22,23502.89,23502.89,OMR,,FJR,needs review,needs review,,Y22,m9,needs review,,,
C16398,A-4074777,10/09/2022,26373.2,26373.2,GBP,,DXB,,,,1,m9,,,,x
C96798,A-4120756,Sep-03-22,(14738.99),14738.99,EUR,,AUH,needs review,needs review,,Y22,,needs review,,,
C11256,A-5741063,02/09/2022,13669.74,13669.74,AED,,RAK,,,,,m9,,,,
C12672,A-6566518,32/13/2023,28733.33,28733.33,EUR,Pending,UAQ,ملاحظة,ملاحظة,,Y22,,ملاحظة,,,
C72515,A-9712376,10/09/2022,-7747.78,not available,EUR,,UAQ,,,junk,Y22,m9,,,,
C18944,A-1978003,2022-09-17,"17,588.83",17630.73,AED,,RAK,needs review,needs review,,0,m9,needs review,,x,
,A-3114498,Sep-14-22,-668.43,-668.43,AED,,SHJ,,,,Y22,m9,,x,,
C47927,A-8320605,23/09/2022,-3916.067389390395,(3893.34),AED,Closed,RAK,ok,ok,,Y22,80,ok,,,
C92756,A-5072986,,"-2,020.26",-2069.213081312106,gbp ,,AUH,ok,ok,,Y22,47,ok,,,
,A-4005219,Sep-27-22,8105.62,8105.62,EUR,In Review,UAQ,ok,ok,,0,76,ok,,,
C82574,A-1031600,2022-09-19,-4821.13,"-4,852.22",OMR,CANCELLED,AAN,,,,,m9,,,,
C87429,A-9846706,2022-09-16,10969.05,10963.91176863745,GBP,CANCELLED,RAK,ok,ok,,,35,ok,,,
C76983,A-5903545,Sep-10-22,,22610.96,AED,Open,  FJR,ok,ok,,0,,ok,,,
,A-5261248,Sep-24-22,22496.57,22496.57,GBP,Closed,SHJ,,,junk,0,49,,,x,
C31469,A-1205027,2022-09-07,,"25,669.09",GBP,CANCELLED,AUH,needs review,needs review,,Y22,m9,needs review,,,
C80759,A-3507122,04/09/2022,25091.49216150887,(25090.49),sar ,,  SHJ,ok,ok,junk,Y22,,ok,,,
C17000,,Sep-06-22,-5315.71,-5315.71,SAR,Open,UAQ,,,,,,,x,,
C88351,A-3941124,32/13/2023,5328.13,5328.13,eur ,Closed,RAK,ok,ok,,Y22,m9,ok,,,
C97229,A-3262439,2022-09-14 00:00:00,,,GBP,,AAN,needs review,needs review,,,m9,needs review,,,
C59885,A-7968017,2022-09-24,16597.79,,SAR,Open,SHJ,,,,Y22,m9,,,,
C85159,A-4054323,23/09/2022,25313.38,25313.38,EUR,CANCELLED,FJR,ملاحظة,ملاحظة,junk,Y22,m9,ملاحظة,,,
C44278,A-6222593,15 September 2022,(6124.66),-6124.66,OMR,,AAN,needs review,needs review,,Y22,,needs review,,,
,A-4494570,22/09/2022,,"15,534.92",SAR,CANCELLED,SHJ,ok,ok,,,m9,ok,,,
C25077,A-6342194,04 September 2022,"22,088.90","22,088.90",OMR,CANCELLED,AUH,!!!,!!!,,Y22,,!!!,,,
C85188,A/57929,2022-09-04 00:00:00,7318.5,"7,318.50",GBP,,RAK,ok,ok,,Y22,,ok,,,
C41048,,2022-09-24 00:00:00,17243.67,17243.67,SAR,Closed,AAN,!!!,!!!,,Y22,,!!!,,,
C98170,A-5102525,2022-09-25,14509.36,14555.7834572893,GBP,Pending,DXB,,,,,54,,,,
C15900,A-7496376,14 September 2022,-3346.7113044585903,-3389.9406551691445,USD,CANCELLED,AAN,needs review,needs review,,,,needs review,,,
C24335,A-5605836,2022-09-14,,"4,836.60",GBP,Open,DXB,ok,ok,,,m9,ok,,,
,A/8069,2022-09-28,22835.09220033009,"22,895.03",OMR,Closed,UAQ,ok,ok,,Y22,m9,ok,,x,
C32081,A-4918340,Sep-28-22,(2949.93),-2922.64,eur ,CANCELLED,SHJ,,,,,m9,,x,,
C17190,A/23970,Sep-21-22,3959.482255162071,3956.435578341947,AED,Open,SHJ,ok,ok,,,m9,ok,,,
C56498,A-5188051,2022-09-02,,11274.07,AED,In Review,FJR,ok,ok,,,m9,ok,,,
C27555,A-7412588,Sep-12-22,,21806,SAR,,AAN,ملاحظة,ملاحظة,junk,1,m9,ملاحظة,x,,
,A-9946740,,-4794.89,-4794.89,AED,,AAN,needs review,needs review,,0,,needs review,x,,
C65873,A-2274677,2022-09-11 00:00:00,-6734.52,not available,AED,Open,AAN,ok,ok,,0,,ok,,,
C94730,A-5649853,2022-09-01,9495.06,"9,495.06",AED,Open,  AAN,needs review,needs review,,Y22,89,needs review,,x,
,A-6346681,19 September 2022,21202.86,,USD,Closed,AUH,needs review,needs review,,Y22,,needs review,,,
C59679,A-1600400,13/09/2022,"23,129.99",,OMR,In Review,RAK,ok,ok,,Y22,m9,ok,,,
,A-4910957,15/09/2022,-2168.01,(2198.67),USD,Closed,  RAK,needs review,needs review,,Y22,25,needs review,x,,
C29106,A-9957473,,(5918.91),-5918.91,AED,,DXB,ok,ok,,0,96,ok,x,,x
C73538,A-6469204,27/09/2022,-6333.8,-6333.8,USD,Closed,UAQ,ok,ok,,1,m9,ok,,,
C81950,A-7455516,Sep-15-22,,18152.32,EUR,,DXB,!!!,!!!,,Y22,,!!!,,x,
C66500,A-7550817,09/09/2022,11111.29,11111.29,OMR,,FJR,,,,,m9,,,,
C13726,A-2409417,2022-09-18 00:00:00,"-1,788.93",-1788.93,AED,In Review,DXB,ok,ok,,0,41,ok,,,
C65223,A-7898522,17/09/2022,3887.08,3843.812211672894,OMR,,  FJR,needs review,needs review,,,,needs review,,,
C22711,A-6582639,27/09/2022,18208.085444349,18230.16818754582,SAR,Closed,FJR,ملاحظة,ملاحظة,,Y22,83,ملاحظة,,,
,A-1532515,Sep-17-22,18795.71,18795.71,OMR,Closed,FJR,needs review,needs review,,1,m9,needs review,,,
C47073,A-1876224,14 September 2022,15761.61609819721,(15781.58),GBP,Open,UAQ,ok,ok,,,m9,ok,,,
C23166,A-8612467,2022-09-02 00:00:00,-3917.44918233636,,EUR,Pending,AUH,,,,Y22,m9,,,,
C88690,A-7540066,2022-09-20,"2,395.14",,OMR,In Review,SHJ,,,,,66,,,,
C66899,A-9195280,02 September 2022,,not available,USD,Closed,AUH,ok,ok,,Y22,,ok,,,
C97335,A-9197562,32/13/2023,-1928.4,,USD,In Review,UAQ,ok,ok,,,m9,ok,,,
C89335,A/75094,32/13/2023,-6136.16,-6179.994631419379,AED,,FJR,needs review,needs review,,Y22,m9,needs review,,,
C79558,A-1771297,24/09/2022,4225.3,4225.3,SAR,CANCELLED,FJR,needs review,needs review,,1,,needs review,,,
,A-7312296,2022-09-02,not available,4618.063082939638,AED,Pending,  DXB,ok,ok,junk,Y22,m9,ok,,,
C65853,A-5505881,2022-09-13,17840.21,17840.21,USD,Closed,DXB,!!!,!!!,,,m9,!!!,,,
C84191,A/42807,2022-09-14 00:00:00,28741.85,,AED,In Review,SHJ,,,,Y22,m9,,,,
C23117,A-3697110,2022-09-17,19306.47,19306.47,OMR,In Review,UAQ,,,,1,,,,,
C32276,A-3375763,32/13/2023,22048.39,22067.90695095174,EUR,In Review,DXB,ok,ok,,Y22,m9,ok,x,,
C48960,A/99,2022-09-11,not available,12199.86,EUR,CANCELLED,UAQ,ok,ok,junk,0,m9,ok,,,
C25276,A-3003746,18/09/2022,-4010.34,-4010.34,AED,,RAK,needs review,needs review,,1,m9,needs review,,,
C37533,A-2779173,10 September 2022,23933.57,,EUR,Closed,UAQ,,,,Y22,,,,,
C72855,A/28610,2022-09-04 00:00:00,,8152.97,SAR,,UAQ,ok,ok,,0,76,ok,,,x
C68612,A/70951,2022-09-27,"-7,053.37",-7033.988508890898,EUR,,FJR,needs review,needs review,,,m9,needs review,,x,x
C81389,A-4028276,2022-09-27 00:00:00,"22,442.96",22442.96,USD,Open,SHJ,needs review,needs review,,Y22,m9,needs review,x,,
C72943,A-8110808,08 September 2022,20580.92793331723,20582.32,GBP,,FJR,ok,ok,,1,,ok,,,
,A-5801611,2022-09-27,"28,566.34",28566.34,GBP,CANCELLED,AAN,,,junk,1,,,,,
,A-8391986,,,,usd ,Closed,FJR,needs review,needs review,,,m9,needs review,,,
C30984,A-6095430,04 September 2022,3952.912803365276,3994.21,SAR,,AUH,ok,ok,,,m9,ok,x,,
C98501,A-6751201,32/13/2023,28189.08,"28,204.74",SAR,Closed,RAK,,,,Y22,m9,,,,
C99046,A-9686554,Sep-09-22,13120.37,13120.37,GBP,In Review,FJR,,,junk,,50,,,,
C12961,A-7031233,01/09/2022,,205.1750005357327,OMR,In Review,AAN,!!!,!!!,,,35,!!!,,,
C92812,A/2798,20 September 2022,,-7235.34,SAR,CANCELLED,  AAN,needs review,needs review,,,m9,needs review,,,
C42452,,Sep-19-22,18900.208472376104,18945.99,GBP,Open,RAK,needs review,needs review,junk,Y22,10,needs review,,,
C15341,A-5659095,15 September 2022,,(17364.92),AED,In Review,SHJ,needs review,needs review,,0,,needs review,,,
C52942,A-9994061,Sep-04-22,(3407.56),,EUR,In Review,RAK,needs review,needs review,junk,Y22,,needs review,,,
C26480,A-2450866,23/09/2022,15852.1,15858.98935716777,EUR,Open,DXB,ok,ok,,,m9,ok,,,
C99030,A-8996834,Sep-14-22,,6412.74534172328,AED,Open,FJR,,,,,67,,,,
C92388,A-2691411,2022-09-08,-270.8403075320973,-230.34,AED,Open,UAQ,ok,ok,,Y22,53,ok,,,
,A-9158374,2022-09-27,3551.81,3551.81,SAR,Open,AUH,ok,ok,,,60,ok,,,
C83645,A-2244684,2022-09-01,-5683.62,(5705.95),SAR,,SHJ,,,,,,,,,
C83146,A-3971779,2022-09-16 00:00:00,,"5,710.48",USD,Closed,AUH,needs review,needs review,,,,needs review,,,
C68579,A-9381370,21 September 2022,3712.01,3745.176666824136,SAR,In Review,RAK,,,,,m9,,,x,
C53380,A-4640678,04 September 2022,22756.39838710555,22720.16,GBP,,AAN,!!!,!!!,,,,!!!,,,
C16303,,16/09/2022,"22,835.97",,SAR,In Review,AAN,needs review,needs review,,0,55,needs review,,,
C82521,A-1720364,2022-09-01,,"-1,631.42",USD,Pending,UAQ,needs review,needs review,,Y22,m9,needs review,,,
C73443,A-7530572,Sep-02-22,761.7951318844836,not available,GBP,,DXB,ok,ok,,Y22,m9,ok,,,x
C38055,A-2259439,18 September 2022,,18822.91,AED,In Review,AUH,ok,ok,,Y22,m9,ok,,,
C71559,A-8391821,32/13/2023,16379.53,,EUR,Pending,UAQ,ok,ok,,0,m9,ok,,,
