C80001,A-2787347,2022-12-10,"15,395.97",15395.97,EUR,,UAQ,,,,Y22,m12,2022-12-10,,,,
C22406,A-7712157,2022-12-07,2611.979382131303,(2592.37),OMR,Closed,  FJR,,,junk,Y22,,2022-12-07,,x,,
C79987,A-7723257,10 December 2022,not available,13078.03,OMR,,RAK,ok,ok,,Y22,m12,2022-12-10,,,,
C39531,A-9639880,18/12/2022,-6863.916712429618,-6895.91,GBP,,SHJ,,,,Y22,m12,18/12/2022,,,,
C76289,A/53923,Dec-24-22,8599.05,8599.05,GBP,,UAQ,!!!,!!!,,,m12,2022-12-24,x,,,
C60248,A/65623,2022-12-08,23914.39,not available,OMR,In Review,UAQ,ملاحظة,ملاحظة,,,65,32/13/2023,,,,
,A-1943412,23/12/2022,,18256.29,GBP,,UAQ,,,,Y22,m12,Dec-23-22,,,,x
C54332,A-6764083,2022-12-18,21248.69,(21248.69),EUR,CANCELLED,RAK,ok,ok,,,26,2022-12-18 00:00:00,,x,,
,A-2651845,05 December 2022,-7595.458436842933,-7558.19,EUR,,DXB,,,,,41,2022-12-05,,,,
C35143,A-6970806,2022-12-10 00:00:00,-5085.26,-5085.26,OMR,Closed,FJR,ok,ok,,,m12,10/12/2022,,,,
C23960,A-3209365,2022-12-06 00:00:00,-4059.33,-4059.33,SAR,Closed,RAK,,,,,m12,06 December 2022,,,,
C84006,A-9263053,Dec-08-22,14054.01,14021.19544256724,EUR,Closed,SHJ,!!!,!!!,,Y22,m12,08 December 2022,,,,
C32150,A-8900080,2022-12-23,24835.09,24835.09,USD,Pending,RAK,!!!,!!!,junk,Y22,,Dec-23-22,x,,,
C32280,A-7134174,06 December 2022,18854.95,18854.95,AED,,AAN,ملاحظة,ملاحظة,,Y22,,2022-12-06 00:00:00,,,,
,A-6258563,02/12/2022,-2247.1765799725135,(2236.63),usd ,,UAQ,ok,ok,,,11,02 December 2022,,,,
C19181,A-8606425,2022-12-08 00:00:00,17853.12,17853.12,EUR,,DXB,,,,0,,Dec-08-22,,x,,
C86615,A-2280466,13 December 2022,,,AED,CANCELLED,SHJ,ok,ok,,Y22,m12,32/13/2023,,,,
C97721,A-8666426,07/12/2022,838.41,838.41,USD,Closed,FJR,ok,ok,,Y22,,Dec-07-22,,,,
C51818,A/19427,2022-12-01,28480.9,,GBP,,FJR,,,,,,2022-12-01,,,,
C53086,A-2851351,2022-12-15,3105.3,3105.3,OMR,,RAK,,,,Y22,78,0000-00-00,x,,,
C89410,A-9441624,Dec-04-22,,1640.51,AED,Closed,FJR,,,,Y22,84,32/13/2023,,,x,
C19494,A-5899395,08/12/2022,25507.7,,EUR,Closed,AUH,,,,Y22,m12,08/12/2022,,,,
C34881,A/97374,2022-12-25,-6720.83,-6720.83,GBP,,RAK,needs review,needs review,,Y22,60,Dec-25-22,,,,x
C66010,A-1066824,18 December 2022,21768.68201860268,21816.65,GBP,In Review,UAQ,ok,ok,,Y22,17,Dec-18-22,,,,
C52861,A-7444705,24 December 2022,24813.54,24813.54,OMR,CANCELLED,AAN,needs review,needs review,,Y22,,24 December 2022,,,x,
C51435,A-1652434,03/12/2022,-4653.86,,EUR,Open,RAK,,,junk,Y22,m12,Dec-03-22,,,,
C10964,A/17409,14 December 2022,(997.81),-996.7869037978006,EUR,,RAK,needs review,needs review,,,65,,,,,
C29168,A-3384454,2022-12-24,763.8812729338565,,gbp ,CANCELLED,UAQ,,,,Y22,10,24/12/2022,,,,
C94566,A-2076776,2022-12-17,-5969.18,"-5,969.18",SAR,CANCELLED,AUH,!!!,!!!,,,m12,17/12/2022,,,,x
C64505,A-7978737,2022-12-01,20759.5,,SAR,Pending,FJR,!!!,!!!,,Y22,87,01 December 2022,,,,
C97173,A-3839480,2022-12-17,-4259.11,,EUR,Closed,AAN,ملاحظة,ملاحظة,,Y22,,17 December 2022,x,,,
,A-4178065,2022-12-17,6428.94,6428.94,OMR,Open,DXB,,,,0,,32/13/2023,,,x,
C10585,A-1909282,Dec-09-22,,21254.33,AED,Closed,AAN,,,,Y22,m12,Dec-09-22,,,,
,A-4364961,24 December 2022,5145.958223712204,5131.329508164219,AED,CANCELLED,AUH,,,,0,57,2022-12-24 00:00:00,,,,
C58441,A-5458173,21/12/2022,10861.791997715693,10822.85,USD,In Review,AUH,ok,ok,junk,Y22,,2022-12-21,,,,
C31945,A-1078986,32/13/2023,(11716.53),"11,716.53",GBP,,FJR,ok,ok,,,,17/12/2022,x,x,x,
C62378,A-1519598,12/12/2022,"21,194.18",21226.0081724933,EUR,CANCELLED,  RAK,ok,ok,,0,m12,2022-12-12,,,,
C12608,A-4359326,32/13/2023,not available,9015.11,EUR,,RAK,,,,,,Dec-02-22,,,,
,A-7107639,2022-12-12,29304.57,,GBP,Closed,RAK,needs review,needs review,,0,m12,32/13/2023,,x,,
C75089,A-3311362,Dec-28-22,-4433.47,-4433.47,USD,In Review,FJR,needs review,needs review,,Y22,,2022-12-28,,,,
C90587,A-7757533,24 December 2022,(25050.77),25050.77,GBP,Closed,RAK,ok,ok,,Y22,m12,32/13/2023,,,,
C50745,A-3452540,02 December 2022,25147.89,25147.89,OMR,Pending,RAK,ملاحظة,ملاحظة,,1,,32/13/2023,,,,
C76269,A-3886780,32/13/2023,731.78,(731.78),OMR,Pending,AAN,needs review,needs review,,Y22,m12,19 December 2022,,,,
C11584,A-7646976,2022-12-16 00:00:00,"16,150.97",,OMR,Closed,RAK,needs review,needs review,,,65,32/13/2023,x,,,
,A-2885021,2022-12-11 00:00:00,"11,349.26",11319.18491184144,GBP,CANCELLED,AAN,ok,ok,,Y22,m12,2022-12-11,,,,
,A-8297058,2022-12-25 00:00:00,(5721.37),5644.480928043837,EUR,,AUH,!!!,!!!,,Y22,m12,2022-12-25,,,,
C59590,A-5092972,0000-00-00,17297.839840349785,17281.04,AED,In Review,SHJ,!!!,!!!,,,m12,13/12/2022,x,,,
C82210,A-4384872,32/13/2023,,-5690.78,SAR,In Review,  AAN,ok,ok,,Y22,13,2022-12-21,,,,
C80347,A/5984,32/13/2023,-5815.196359946434,-5798.12,OMR,Open,AAN,needs review,needs review,junk,Y22,80,2022-12-22,x,,,
C59108,A-6593751,11 December 2022,"15,463.28",,EUR,In Review,  SHJ,,,,,m12,2022-12-11,x,,,
C87311,A-1362765,Dec-23-22,"-4,716.90",-4716.9,AED,,UAQ,needs review,needs review,,Y22,m12,0000-00-00,,x,,
C84615,A-3665210,23/12/2022,3018.2,3018.2,aed ,Pending,  DXB,,,,Y22,35,23/12/2022,,,x,
C32158,A-2105470,2022-12-19 00:00:00,"-6,626.83",-6626.83,EUR,Closed,DXB,ok,ok,,1,m12,2022-12-19,,,,
C89852,A-5668604,2022-12-21,11787.36,(11761.89),SAR,,FJR,,,,,35,2022-12-21,,,,
C21487,A-3710417,Dec-22-22,,"26,641.99",GBP,Closed,RAK,ok,ok,,Y22,m12,Dec-22-22,,,,
C16288,A-8208434,2022-12-06 00:00:00,2267.78,(2255.01),AED,In Review,SHJ,ok,ok,,Y22,,2022-12-06,,,,
C33329,A-6019841,Dec-08-22,not available,7163.61,USD,,FJR,ok,ok,,1,,32/13/2023,,,,
C89477,A/20119,2022-12-14,,not available,USD,Open,DXB,ملاحظة,ملاحظة,,,m12,2022-12-14,,,,
C60686,A-7321835,2022-12-17,23343.20318098553,23312.7,SAR,,AUH,ملاحظة,ملاحظة,,0,m12,32/13/2023,,,x,
C42992,A-8105759,,-7606.7,"-7,606.70",OMR,CANCELLED,FJR,,,,Y22,,2022-12-14 00:00:00,,,,
C86781,A-8650967,2022-12-18,8095.21,"8,095.21",SAR,Open,AUH,ملاحظة,ملاحظة,,Y22,m12,18 December 2022,,,,
C71220,A-4937591,Dec-18-22,22896.23,,OMR,,UAQ,,,,Y22,,0000-00-00,,x,,
,A-7153473,0000-00-00,164.9,164.9,SAR,,AUH,ملاحظة,ملاحظة,,Y22,,13/12/2022,,x,,x
C63376,A-6104527,08/12/2022,,29620.43911614638,AED,Open,  RAK,ok,ok,,Y22,,2022-12-08 00:00:00,,,,
C14347,A-6875213,26/12/2022,not available,,OMR,,DXB,ok,ok,,Y22,m12,26/12/2022,x,,,
C52903,A-2506643,26 December 2022,-3491.246659641553,"-3,540.22",OMR,,AUH,!!!,!!!,,,27,2022-12-26,,,,
C59160,A-8413007,2022-12-23 00:00:00,not available,-3452.43,EUR,In Review,AUH,ok,ok,,1,,23/12/2022,,,,x
C24882,A-7116409,05/12/2022,not available,,AED,Closed,  AUH,,,,0,m12,Dec-05-22,,,,x
C31106,A-2754613,24/12/2022,(19914.64),(19914.64),USD,Closed,AAN,!!!,!!!,,,45,2022-12-24 00:00:00,,,,
,A-5031472,2022-12-16,11596.75,11596.75,OMR,CANCELLED,FJR,ok,ok,,Y22,m12,2022-12-16,,,,
C42769,A-6938608,2022-12-20,5619.68,(5619.68),USD,,RAK,needs review,needs review,,,m12,20/12/2022,x,,,
C41548,A-3502969,Dec-24-22,22047.94,"22,047.94",USD,,RAK,ok,ok,,Y22,m12,2022-12-24 00:00:00,,,x,
,A-6881292,2022-12-26 00:00:00,-5125.65,-5115.389525844193,USD,Open,UAQ,,,,Y22,31,Dec-26-22,,,,
C54411,,32/13/2023,"14,762.54",14788.459190807962,OMR,CANCELLED,FJR,needs review,needs review,,1,,2022-12-12 00:00:00,,,x,
C86213,A-9841185,,16753.52,16753.52,SAR,Pending,UAQ,ok,ok,,,,27/12/2022,,,,
,A-9726935,2022-12-15,not available,,GBP,In Review,DXB,!!!,!!!,,Y22,m12,2022-12-15,,x,,
C92885,,2022-12-12,19876.53,19888.930264833274,OMR,Open,FJR,,,,Y22,15,2022-12-12,,,,
,A-1963378,11 December 2022,1571.07,1571.07,USD,,AAN,ok,ok,,Y22,m12,2022-12-11 00:00:00,,,,
C16105,,13/12/2022,"13,983.60",13981.01,USD,Open,FJR,needs review,needs review,,0,99,2022-12-13,,,,
C49903,A-7124712,22/12/2022,28162.04,28168.03272372482,USD,,RAK,ملاحظة,ملاحظة,,1,54,Dec-22-22,,,,
C24242,A-5951946,32/13/2023,23225.96,,OMR,Closed,DXB,,,,Y22,30,Dec-17-22,,,x,
C80012,A-5553860,25/12/2022,"4,971.71","4,971.71",EUR,Closed,RAK,needs review,needs review,,Y22,m12,2022-12-25,,,,
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,
 CUSTOMER ID  ,Account ID,POSTING_DT, Value  , NET_VALUE  , currency_code   !!,txn_status,branch_region,NOTES,OPS_COMMENT,,year_added_2022,new_col_202212,POSTING DATE,mystery_2022_12_44,mystery_2022_12_4,mystery_2022_12_83,mystery_2022_12_45
,A-7608348,2022-12-01,14320.03760263262,14281.02,USD,Closed,DXB,ok,ok,,Y22,m12,Dec-01-22,,,,
C24067,,2022-12-27,26651.00810235774,26653.6005840486,AED,CANCELLED,  AAN,needs review,needs review,,Y22,m12,27 December 2022,,,,
C73059,A-5373766,20/12/2022,(26092.02),26092.02,EUR,,  UAQ,needs review,needs review,,Y22,m12,32/13/2023,,,,
C86627,A-8469920,2022-12-17,-4569.53,"-4,571.70",GBP,,FJR,,,,Y22,m12,32/13/2023,,,,
C91048,A-2309940,2022-12-03,,18520.08,USD,Pending,UAQ,ok,ok,,Y22,m12,32/13/2023,x,,,
C69222,A-3460093,03 December 2022,6001.309950227818,6026.11,OMR,Open,DXB,ok,ok,junk,1,,03/12/2022,,,,
,A-9618676,Dec-22-22,"16,909.88",16955.36,USD,Pending,UAQ,ok,ok,,,45,2022-12-22,,,,
C72321,A-2797709,2022-12-17,16773.92711839257,16815.76,EUR,Closed,RAK,needs review,needs review,,Y22,,2022-12-17 00:00:00,,,,
,A-7709335,Dec-22-22,16923.1,(16923.10),AED,Closed,FJR,ok,ok,,,97,Dec-22-22,,,,
C77457,A-5405292,15/12/2022,"-4,391.13",,OMR,,DXB,!!!,!!!,,Y22,78,15/12/2022,,,,
C76033,A/41913,32/13/2023,18513.19,18513.19,GBP,In Review,AAN,needs review,needs review,,1,m12,32/13/2023,,,,
C59191,A/84845,2022-12-20,,(9200.89),SAR,Pending,DXB,ok,ok,,1,m12,2022-12-20,,,,
C46996,A-3994542,13 December 2022,"27,591.44",27591.44,OMR,,AUH,ok,ok,,Y22,m12,2022-12-13,,,,
,A-4766972,2022-12-03,1729.27,,EUR,,FJR,needs review,needs review,,0,,03/12/2022,,,,
C84952,A-9616681,2022-12-10 00:00:00,,not available,USD,,UAQ,,,junk,,,2022-12-10,,,,x
C94712,A/75544,20 December 2022,28578.71,28578.71,SAR,,AAN,needs review,needs review,,,87,20/12/2022,,,,x
C26054,A-8145095,2022-12-13,-1721.19,-1678.70978050148,OMR,Pending,DXB,,,,,,13/12/2022,,,,
C53101,A-5079450,2022-12-10 00:00:00,not available,20139.19,SAR,Closed,AUH,,,,0,m12,2022-12-10,,,,
,A-9196530,25 December 2022,28055.33,28055.33,USD,,FJR,ملاحظة,ملاحظة,,Y22,m12,25/12/2022,x,,,
C12918,A-2840321,,26359.46,26402.34881262622,GBP,,AUH,ملاحظة,ملاحظة,,0,m12,27/12/2022,,,,x
C36673,A-1260957,32/13/2023,25554.23233600083,25564.73,OMR,Closed,AAN,needs review,needs review,,Y22,,04/12/2022,,,,
C34563,A-5716231,32/13/2023,20820.32,20820.32,GBP,,RAK,!!!,!!!,junk,,,Dec-22-22,,,,
,A-3740720,2022-12-12,5393.428865467306,5382.27,GBP,Pending,AUH,!!!,!!!,,,,12/12/2022,,x,,
C27738,A-2699014,2022-12-05,-3726.55,-3726.55,USD,In Review,RAK,!!!,!!!,,Y22,52,Dec-05-22,,,,
C78802,A-2715616,22/12/2022,15019.06,15019.06,GBP,CANCELLED,SHJ,ok,ok,,Y22,m12,22/12/2022,,,,
C97541,,2022-12-19,"22,063.35",,GBP,Open,  SHJ,ok,ok,,Y22,m12,2022-12-19,,,,
C40022,A-4841515,22 December 2022,209.6826446343986,192.83,OMR,Pending,RAK,ملاحظة,ملاحظة,,Y22,,22/12/2022,,,,
C52068,,2022-12-02,618.7925763735907,625.77,USD,,SHJ,ملاحظة,ملاحظة,,Y22,m12,02 December 2022,x,,,
,A/50843,2022-12-23,25763.78,not available,OMR,,AUH,ok,ok,,Y22,m12,32/13/2023,,,x,
C33079,A-5712344,2022-12-12,28660.21,28660.21,EUR,In Review,RAK,ok,ok,,Y22,,12/12/2022,,,,
C44783,A-9848671,24/12/2022,,,USD,,AUH,needs review,needs review,junk,1,m12,24/12/2022,,,,
C83324,A-8494671,Dec-15-22,"-6,748.97",,OMR,Pending,DXB,!!!,!!!,junk,Y22,80,2022-12-15 00:00:00,,,,x
,,Dec-02-22,19939.4,19966.5784558022,OMR,Closed,FJR,needs review,needs review,,,53,32/13/2023,,,,
C35443,A-8565611,Dec-15-22,-1670.3220760762797,(1661.54),USD,Pending,FJR,ok,ok,,Y22,m12,2022-12-15 00:00:00,,,,
C25454,A-9935184,17/12/2022,,18921.23,AED,Pending,SHJ,ok,ok,,,61,Dec-17-22,,,,
C17908,A-5493897,Dec-01-22,"23,396.07",,EUR,Open,DXB,needs review,needs review,,,m12,2022-12-01 00:00:00,,,,
C79543,A-9676651,04 December 2022,14428.171848418739,14429.35,OMR,In Review,RAK,ok,ok,,1,m12,32/13/2023,,,,
C66873,A-5100197,02 December 2022,not available,-7732.46,EUR,,AUH,needs review,needs review,,Y22,m12,02/12/2022,x,,,
C10296,A-2085486,2022-12-02,14149.91,14149.91,SAR,Pending,  RAK,,,,,m12,02 December 2022,,,,
C60461,A-9536723,2022-12-05,(27473.23),,GBP,,FJR,,,,,m12,05 December 2022,,,,
C49154,A-2466334,23 December 2022,26607.98,"26,607.98",SAR,Open,DXB,,,,0,m12,2022-12-23,,x,,
C66146,A-1321905,02/12/2022,15579.01,15529.957174309437,EUR,In Review,  SHJ,,,,Y22,92,Dec-02-22,,,,
,A-6165978,11/12/2022,24390.08,24364.6171276733,AED,,  UAQ,,,,1,,Dec-11-22,,,,
C81321,A/59538,06 December 2022,-3468.89,-3468.89,SAR,Closed,RAK,ok,ok,,Y22,m12,2022-12-06 00:00:00,,,,
C55659,A-6964264,28 December 2022,"22,008.59",22056.91,EUR,Closed,AAN,ok,ok,,Y22,,2022-12-28,,x,,x
C51509,A-8822323,04 December 2022,13427.79,13427.79,SAR,,UAQ,ملاحظة,ملاحظة,,Y22,m12,2022-12-04,,,,
C48947,A-8005912,2022-12-10 00:00:00,-7880.72,"-7,880.72",SAR,Open,SHJ,!!!,!!!,junk,0,m12,Dec-10-22,,,,
C65059,A-8229751,2022-12-22,"20,138.03","20,138.03",EUR,,FJR,ok,ok,,,,32/13/2023,x,,,
C67173,A-4114441,2022-12-24,,,GBP,Pending,UAQ,!!!,!!!,,,m12,32/13/2023,,,,
C90173,A-6813316,,20520.371591334097,20502.68,GBP,Pending,RAK,ok,ok,,0,,2022-12-01 00:00:00,x,x,,
C56840,A-2065308,13 December 2022,23333.77,23333.77,eur ,Pending,SHJ,,,,0,,13/12/2022,,,,
C47754,A-6464841,Dec-01-22,8607.558431314048,8625.142630242031,USD,In Review,AAN,,,,,m12,2022-12-01,,,,
C46513,A-5614950,06/12/2022,18652.612907440514,18648.79,OMR,Open,AAN,,,,Y22,48,2022-12-06,,,,
C45741,A-2298924,2022-12-19 00:00:00,-3826.93,"-3,790.69",SAR,In Review,AUH,,,junk,Y22,,32/13/2023,,,x,
C81801,A-2749030,32/13/2023,-2827.69,"-2,827.69",GBP,Pending,FJR,needs review,needs review,junk,Y22,m12,2022-12-07 00:00:00,,x,,
C75091,A-6014529,2022-12-27 00:00:00,12207.42,,eur ,In Review,UAQ,,,,,51,2022-12-27,,x,,
C95022,A-6293394,Dec-28-22,9220.62,9220.62,EUR,In Review,AAN,needs review,needs review,,0,,28/12/2022,,x,,
C79583,A/13523,2022-12-03,14337.47,(14337.47),AED,Pending,AUH,ok,ok,,Y22,,03/12/2022,,,,
C13859,A-8351242,Dec-06-22,20129.08121887797,20084.15,eur ,CANCELLED,AAN,ok,ok,,Y22,91,2022-12-06,,x,,
C97066,A-2786350,16/12/2022,27040.24,27040.24,GBP,Closed,UAQ,needs review,needs review,,,98,2022-12-16,,,,
C76516,A-9856176,2022-12-25,-953.44,-953.44,OMR,Pending,SHJ,!!!,!!!,,1,,0000-00-00,,,,
C64202,A-2612425,Dec-21-22,(25003.90),,OMR,Open,AUH,,,,,,32/13/2023,,,,
C69266,A-2152736,16/12/2022,-1948.76,"-1,989.40",SAR,,DXB,ok,ok,,Y22,m12,Dec-16-22,,,,
C83701,A/27265,2022-12-24,2339.873968856473,2376.31,USD,Open,AAN,ok,ok,,Y22,m12,24/12/2022,,,,
C27967,A-9327449,15 December 2022,,29090.77,GBP,,SHJ,ok,ok,,Y22,m12,2022-12-15,x,,,
C53668,A-3630564,2022-12-19,12345.61181658232,"12,378.42",GBP,CANCELLED,FJR,needs review,needs review,,0,,2022-12-19,,x,,
C84801,A-8771929,19 December 2022,24560.52102855849,24610.01,AED,,SHJ,ok,ok,,0,62,Dec-19-22,x,,,
C28642,A-8713071,32/13/2023,11400.09,,AED,,AUH,,,junk,Y22,,2022-12-11,,,,
C15212,A-2662289,2022-12-16,12759.5960047653,"12,727.89",EUR,,FJR,needs review,needs review,,1,m12,Dec-16-22,,,x,
C59586,A-8813224,2022-12-06,16145.5,"16,145.50",USD,,DXB,needs review,needs review,,0,m12,0000-00-00,,,,
C16336,A-9792116,10/12/2022,1595.27,,EUR,Open,AUH,needs review,needs review,,,m12,2022-12-10,,x,,
C50802,A-9759590,01/12/2022,"11,202.37",not available,OMR,Closed,AAN,ok,ok,,Y22,,2022-12-01,,,,
C39097,A-4637941,2022-12-13,"17,188.16",17188.16,EUR,,FJR,,,junk,,m12,2022-12-13,,,,
C76039,A-9414764,Dec-02-22,-6256.58,,GBP,Open,AUH,!!!,!!!,,Y22,m12,2022-12-02,x,,,
C13164,A-7176461,Dec-27-22,12089.55,(12089.55),AED,,AAN,,,,Y22,,2022-12-27,x,,,
C43220,A-2238176,32/13/2023,4112.07,4112.07,EUR,Pending,UAQ,,,,Y22,m12,20/12/2022,,,,
C14878,A-6117152,2022-12-16,18275.4,18227.01149606132,OMR,Pending,AUH,needs review,needs review,,Y22,,16 December 2022,,,,
C97816,A-5174550,04/12/2022,18087.01,18087.01,omr ,Closed,RAK,,,,,m12,32/13/2023,,,,
C72922,A-8119046,Dec-20-22,(9351.97),9409.388609868141,EUR,,RAK,ok,ok,,Y22,,Dec-20-22,,,x,
C22841,A-4035619,2022-12-01,6726.56,"6,726.56",AED,,SHJ,needs review,needs review,junk,Y22,m12,01 December 2022,,,,
C92013,A/4196,2022-12-22,,-7694.766099338366,USD,Pending,DXB,,,,Y22,m12,2022-12-22,,,x,
C11723,A-4992510,24 December 2022,5237.41,5267.82991116118,USD,Closed,SHJ,ok,ok,,,26,2022-12-24,,,,
,A-5856438,2022-12-19 00:00:00,20361.42,20361.42,USD,CANCELLED,AAN,,,,1,88,2022-12-19,,,,
C84475,,2022-12-21 00:00:00,20111.89997482959,20157.41,AED,,SHJ,ok,ok,,Y22,38,2022-12-21,x,,,
C83808,A-7307450,0000-00-00,-6504.27,-6537.682809423918,OMR,,DXB,,,,1,,2022-12-01,,x,,x
,A-7367010,10/12/2022,12190.62,"12,190.62",USD,,AAN,ok,ok,,Y22,m12,2022-12-10,,,,
C86007,A-8268438,2022-12-28,27281.5,,OMR,Closed,AUH,ok,ok,,Y22,m12,28/12/2022,,,x,x
