ACC_KEY,Unnamed: 0, net_value  , NET_VALUE  , currency  , txn_status  ,branch,Notes,Unnamed: 0,UNUSED,YEAR_ADDED_2022,new_col_202210, Date  ,mystery_2022_10_84,mystery_2022_10_62,mystery_2022_10_98,Unnamed: 0
A-7335700,,6562.190683576895,6579.55,USD,Pending,UAQ,,,,,m10,2022-10-06 00:00:00,,,,
A-3958032,,(10499.90),10499.9,AED,,FJR,ok,,,Y22,51,10/10/2022,,,,
A-2922957,,(21089.28),21106.96,omr ,In Review,  FJR,,,,Y22,m10,25/10/2022,x,,,
A-6574878,,"26,644.71",26643.157791602483,sar ,In Review,DXB,ok,,,Y22,68,2022-10-21,,,,
A-4463317,,3885.573392141083,3928.17,EUR,,SHJ,ملاحظة,,,,68,19/10/2022,,,,x
A-2802311,,,"5,874.09",USD,Pending,UAQ,needs review,,,Y22,m10,13 October 2022,,,,
A-2365811,,21161.65,21161.65,GBP,In Review,AUH,needs review,,,0,m10,12/10/2022,,,,
A/4462,x,"3,762.41",3801.2077974443846,EUR,Open,UAQ,ok,,,Y22,m10,27 October 2022,,,,x
A-8573711,,29431.97,29431.97,SAR,,FJR,,x,,Y22,84,2022-10-27,,,,x
A-3238736,x,-2084.76,-2084.76,OMR,,FJR,,x,,0,m10,Oct-17-22,,,x,
A-8187744,,16197.00170593974,16257.19727550234,gbp ,In Review,FJR,!!!,,,,51,Oct-28-22,,,,x
A-9788752,,,-1023.35,GBP,,UAQ,,,x,0,m10,Oct-13-22,,,,
A-6635786,,23348.06,"23,372.81",EUR,,  DXB,,,,Y22,m10,2022-10-04,x,,,
A/26004,,10470.65,,EUR,,DXB,ok,,,Y22,,Oct-01-22,,,,
A-8686404,,"23,364.53","23,366.09",SAR,CANCELLED,SHJ,!!!,,,Y22,m10,2022-10-09,,x,,
A-6456342,,,(22266.67),EUR,,FJR,ok,,,Y22,33,13 October 2022,,,,
A-4581194,,18040.7,18034.04056106561,SAR,Pending,AUH,ملاحظة,,,0,m10,28 October 2022,,,,x
A-7187507,,"5,565.37","5,542.35",usd ,In Review,UAQ,needs review,,,Y22,82,2022-10-20 00:00:00,,,,
A-4010221,,2145.8,(2145.80),GBP,In Review,RAK,ملاحظة,,,Y22,44,2022-10-20,,,,
,,8585.18,8585.18,gbp ,In Review,AUH,ok,,x,Y22,,2022-10-09,,,,
A/10666,x,2033.58,,AED,Open,UAQ,ok,,,,m10,2022-10-27,,,,
A-8415361,,,17586.27,SAR,Closed,RAK,ok,,,Y22,m10,20/10/2022,x,,,
A-7213414,,19630.78959854895,19625.137728526,SAR,CANCELLED,RAK,,,,Y22,,2022-10-06,,,,
A/94362,,14757.11096764508,14757.0,GBP,Closed,AUH,ملاحظة,,,,m10,27 October 2022,,,,
A-2030361,,12598.76,(12598.76),EUR,Open,  FJR,needs review,,,1,23,Oct-08-22,,,,
A-8944417,,"7,711.65",7735.749452317733,OMR,,FJR,ok,,,Y22,m10,02 October 2022,,,,
A-8287990,,"21,963.39","21,963.39",SAR,Pending,SHJ,,,,Y22,m10,Oct-26-22,,,,
A-8205461,,(2982.23),2982.23,GBP,Open,RAK,,,,Y22,,2022-10-14,,,x,
A-3402324,,28579.19,,SAR,Pending,FJR,ok,,,Y22,m10,18/10/2022,,x,,
A-6550426,,21476.764590682757,21401.94979770102,EUR,,DXB,needs review,,,1,,25/10/2022,,,,x
A-8421432,,,19643.13,SAR,Pending,  AAN,needs review,,,Y22,m10,08 October 2022,,,,
A-3149341,,24537.04,24537.04,GBP,,UAQ,,,,,,2022-10-09 00:00:00,,,,
A-6194575,,14574.48,not available,USD,Closed,DXB,,,,Y22,,14/10/2022,,x,,
A-6093792,,-2152.828560801656,-2206.251632891428,AED,Pending,FJR,,,,Y22,m10,11/10/2022,,,,
A-1512853,,1699.88,1699.88,AED,In Review,AUH,!!!,,,,m10,2022-10-04 00:00:00,,,,
A-4811670,,8131.53,(8131.53),EUR,,DXB,needs review,,x,Y22,,32/13/2023,,,,
A/69308,,"15,122.70",15122.7,EUR,Pending,SHJ,ملاحظة,,,1,m10,14/10/2022,,x,,
A-7177900,,-5934.53,"-5,934.53",GBP,Pending,RAK,,,,Y22,,0000-00-00,,,,
A-2571992,,(17697.30),(17734.14),USD,,SHJ,needs review,,,1,m10,18 October 2022,x,,,
A-1755030,,"3,032.06",3055.65,USD,CANCELLED,DXB,ok,,x,0,23,,,,,
A-6552264,,(26727.16),(26727.16),SAR,,AUH,needs review,,,,,28 October 2022,,x,,
A-3702434,,15178.33,(15178.33),EUR,Pending,AAN,ok,,,Y22,11,2022-10-10,,,,
A-1554560,,-7805.82,-7805.82,GBP,,AUH,ok,,,1,m10,2022-10-15,,,,
A-2483163,,-5923.2,,AED,Closed,SHJ,needs review,,x,,,2022-10-26 00:00:00,,,,
A-6865983,x,16049.2,16049.2,OMR,In Review,UAQ,!!!,,,Y22,,04/10/2022,,,,
A-2506719,,5996.38,5996.38,OMR,Open,UAQ,ok,,,0,99,0000-00-00,,,x,
A-5725747,x,18162.237168689906,(18202.23),SAR,In Review,  RAK,!!!,,,Y22,m10,23/10/2022,,,x,
A-4146668,,not available,(12205.96),gbp ,CANCELLED,FJR,,x,,Y22,m10,28 October 2022,,,,
A-9274997,,17302.87890607399,17313.47,EUR,Closed,SHJ,!!!,,,Y22,m10,Oct-28-22,x,,,
A-4782438,,"6,885.15",6885.15,EUR,In Review,UAQ,ok,,,Y22,,Oct-01-22,,x,,
A-4648324,,"28,789.71",28789.71,SAR,Pending,AAN,,,,Y22,m10,32/13/2023,,,,
A-3340368,,,14632.45,EUR,,AUH,ok,,,1,m10,08/10/2022,,,,x
A-3222362,,,17204.79775112098,SAR,CANCELLED,  FJR,ok,,,,m10,32/13/2023,,,,
A/3231,,,(7411.97),EUR,,SHJ,ok,,,0,,28/10/2022,,,,
A-2143159,,12570.4,,SAR,Closed,DXB,ok,,,Y22,m10,26/10/2022,,,,
A-3758961,,,5065.25,AED,,AUH,ok,x,,,m10,2022-10-15 00:00:00,,,,
A-2901244,,"-2,345.59",,OMR,Closed,DXB,needs review,x,,Y22,,2022-10-14,,,,
A-5889436,,,,OMR,Closed,AUH,ملاحظة,,,Y22,m10,19/10/2022,,,,
A/67738,,18400.9,not available,USD,,DXB,ok,,,Y22,,Oct-17-22,,,,
A-9292729,,"3,052.44",3052.44,EUR,Closed,  SHJ,,,,,90,23 October 2022,,,,x
A-3112759,,"-7,322.10",,AED,,AUH,,,,,m10,27/10/2022,,,,
A-4441613,,(25752.35),"25,752.35",SAR,CANCELLED,  UAQ,,,,0,m10,Oct-02-22,,,,
A-6557799,,(4591.61),4573.02,AED,CANCELLED,RAK,needs review,,,,,25/10/2022,,,,
A-9387697,,26001.22,26001.22,SAR,,SHJ,ok,,,,,16 October 2022,,,,
A-4529562,,,5938.21,EUR,Open,RAK,ok,,,,m10,Oct-03-22,,,,
A-3343078,,-6937.697112795117,-6938.43,USD,,AAN,,,,Y22,m10,01/10/2022,,,,
A-1104070,,19144.103655113875,,USD,,AAN,,,,Y22,73,,x,,,
A-4947495,,14408.5,14408.5,EUR,Open,DXB,needs review,,,0,,2022-10-21,,,,
A/29379,,23358.32,23358.32,EUR,,RAK,!!!,,,,,08/10/2022,,,x,
A-7697755,,21568.13448738529,21527.76,OMR,Open,SHJ,ok,,,Y22,m10,15/10/2022,,,x,x
A-2914527,,28011.11,"27,995.30",OMR,In Review,DXB,needs review,,,Y22,m10,2022-10-27,,,,x
A/13897,,-576.56,,GBP,Open,UAQ,,,,Y22,m10,2022-10-12 00:00:00,,,,x
A-5036005,,8531.78,,EUR,In Review,DXB,ملاحظة,,,Y22,,0000-00-00,,,,
A-9093726,,2921.58,2921.58,OMR,Open,UAQ,ok,,,,54,Oct-10-22,,,,
A-7341053,,,8102.68,sar ,In Review,AAN,ok,,x,,,2022-10-17,,,,
A-5438165,,(3458.81),3511.104778720766,EUR,Closed,FJR,needs review,,,Y22,m10,Oct-24-22,,,,
,,"22,236.19",22236.19,SAR,Closed,FJR,!!!,x,,1,m10,2022-10-03 00:00:00,,,,
A-7363026,,"28,840.13",28877.49,OMR,Open,RAK,needs review,,,1,,23/10/2022,,,,
A-6513723,,,,OMR,In Review,FJR,needs review,,,Y22,,06 October 2022,,,,
A-3598986,,25457.25,25457.25,AED,,RAK,ok,,,Y22,m10,2022-10-15,x,,,
A/55917,,8694.69,8694.69,EUR,Closed,DXB,ok,,,Y22,m10,Oct-16-22,,,,
,,,,,,,,,,,,,,,,
ACC_KEY,Unnamed: 0, net_value  , NET_VALUE  , currency  , txn_status  ,branch,Notes,Unnamed: 0,UNUSED,YEAR_ADDED_2022,new_col_202210, Date  ,mystery_2022_10_84,mystery_2022_10_62,mystery_2022_10_98,Unnamed: 0
A-6695785,,"25,707.45",25707.45,EUR,Closed,SHJ,,,,0,m10,11/10/2022,,,,
A-8600659,,6732.41,6732.41,usd ,In Review,DXB,ok,x,,0,m10,2022-10-04,,,,
A-4344524,,(21599.42),21640.08080488842,AED,Open,RAK,needs review,,,Y22,m10,2022-10-14,x,,,
A-7330162,,,"10,886.26",OMR,Open,UAQ,needs review,,,1,m10,2022-10-16,,,,
A-1510694,,4808.38,4784.786386112791,SAR,Pending,  SHJ,ok,,,,m10,32/13/2023,,,,
A-3172841,,27381.23932966739,27380.85,USD,,SHJ,,,,,m10,Oct-17-22,,,,
A-4260761,,-4172.43,-4172.43,USD,,SHJ,ok,,,Y22,m10,Oct-13-22,x,,,
A-5488948,,12229.88,12182.967539617704,OMR,,  FJR,ملاحظة,,x,,65,2022-10-11,,,,x
A-6860615,,9726.4,9726.4,GBP,,FJR,ok,,,Y22,m10,2022-10-22 00:00:00,,,,
A-2718645,,23213.219959611415,23228.27848187403,AED,Open,AUH,needs review,,,,53,32/13/2023,,,,
A-9939547,,15685.5,15685.5,OMR,In Review,AAN,needs review,,,1,,09/10/2022,,,,
,,-3272.354281989883,-3222.47112051879,AED,Open,RAK,ملاحظة,,,,,04 October 2022,,,,
A-4492983,,-7920.96,(7920.96),USD,CANCELLED,UAQ,needs review,,,Y22,84,07/10/2022,,,,
A-4716379,,-2236.46,-2236.46,EUR,Pending,AAN,,,,Y22,m10,Oct-11-22,,,x,
A-3754552,,-1063.38,-1063.38,EUR,Closed,UAQ,,,,,m10,09 October 2022,,,,
A-2320225,,19981.03,19981.03,USD,,AAN,ok,,,Y22,m10,Oct-28-22,,,,
A-2332046,,,not available,SAR,CANCELLED,SHJ,ok,,,Y22,92,32/13/2023,,,,
A-9574200,,"1,959.36",1977.3900113355492,AED,In Review,DXB,ملاحظة,,,Y22,m10,03 October 2022,,,,
A-7681578,,17705.06,17728.12739932709,OMR,,RAK,!!!,x,,,m10,Oct-01-22,x,,,
A-6037197,,"6,400.36","6,400.36",GBP,Open,DXB,needs review,,,1,,0000-00-00,,,,x
A-4446621,,(983.86),983.86,SAR,In Review,SHJ,needs review,,,0,89,Oct-24-22,,,,
A/40531,,-7620.1,-7620.1,USD,Open,SHJ,,,,Y22,m10,2022-10-11,,,x,x
A-1337219,,"22,883.03",22883.03,EUR,Open,UAQ,,,,Y22,30,19 October 2022,,,x,
A-7696864,x,982.71,982.71,EUR,Closed,  SHJ,ok,,x,Y22,m10,Oct-15-22,,,,
A-6954231,,9034.920860732347,not available,OMR,CANCELLED,AUH,needs review,,,Y22,m10,Oct-20-22,x,,,
A/84785,,11282.16,11282.16,SAR,Pending,  AUH,needs review,,,0,,06/10/2022,,,,
A-9757588,,(25856.23),,SAR,Closed,FJR,,,,,93,Oct-22-22,,,,
A/6494,,-7095.903048756165,-7046.24,USD,Open,DXB,ok,,x,,m10,32/13/2023,,,,
A-7678691,,not available,-6670.547082050694,OMR,,AUH,needs review,,,Y22,m10,,,,x,x
A-5729275,,5634.992009813042,"5,616.70",EUR,Open,AAN,!!!,,,0,89,2022-10-07,,,,
A-6166134,,-3303.7,,OMR,Closed,FJR,ok,,,1,,16 October 2022,,x,,
A-5727806,,-951.64,-951.64,AED,Pending,AAN,,,,Y22,92,2022-10-20,,,x,
A-9731014,,15921.51,15937.23374024922,USD,,AAN,ok,,x,1,77,27 October 2022,,,,
A-5095762,,"3,174.24",(3174.24),GBP,In Review,AUH,,,x,0,80,25 October 2022,,,,
A/65558,,19631.51,19631.51,GBP,Closed,AUH,needs review,,,Y22,,0000-00-00,,x,,
A-6676638,,not available,"4,440.64",GBP,Closed,FJR,ok,,,Y22,84,27/10/2022,,,,
A-4251110,,"6,533.65",6533.65,USD,,FJR,,,x,Y22,,2022-10-28,,,x,
A-5081403,,,-6817.25,AED,Pending,UAQ,ok,x,,,m10,,,,,
A-2939983,,4656.42,,USD,Pending,SHJ,,,,0,m10,Oct-10-22,,,,
A-8725276,,3285.4,3285.4,USD,Pending,UAQ,,,,Y22,88,2022-10-07,x,x,,x
A-5720580,,not available,(13881.60),USD,Closed,  AAN,ok,,,,,32/13/2023,x,,,
A-2628399,,8920.57,(8920.57),OMR,Pending,UAQ,ok,,,0,10,2022-10-01,,,,
A-8536510,,-1202.58,-1242.365469568917,OMR,Pending,AAN,,,,Y22,m10,2022-10-09,,,,
A-2288890,,-7571.76,(7571.76),AED,,AAN,,x,,Y22,m10,22/10/2022,,,,
A-6034447,,"19,736.37",,AED,Pending,UAQ,ملاحظة,,,0,32,2022-10-13,,,,
A-1878861,,3589.8,3589.8,GBP,,  FJR,ok,,,Y22,m10,23/10/2022,,,,
A-8481223,,18121.66058153331,18122.53862160371,OMR,Open,RAK,,x,,Y22,,2022-10-12,x,,,
A-1497269,x,(24504.11),(24487.19),eur ,Pending,DXB,needs review,,,Y22,m10,2022-10-07,,,,
A-1055797,,21734.55,21734.55,OMR,Open,AUH,,,,0,m10,2022-10-24,,,,
A-7214802,,9708.54,9708.54,GBP,,SHJ,,,,,,Oct-02-22,,,,
A-3277220,,-981.58,-981.58,SAR,In Review,SHJ,!!!,,,Y22,m10,32/13/2023,,,,
A-7016837,,-2003.68,-2003.68,GBP,Open,AUH,needs review,,,Y22,m10,15 October 2022,,,,
A-6253977,,6176.91,6150.738288098722,EUR,Open,SHJ,needs review,,,Y22,11,15 October 2022,,,,
A-5047280,,973.82,973.82,GBP,Pending,FJR,ملاحظة,,,Y22,m10,32/13/2023,,,,
A-1100933,,"18,770.34",18809.18493786525,AED,In Review,UAQ,needs review,,,Y22,,32/13/2023,,,,
,,,"3,633.94",AED,CANCELLED,UAQ,needs review,,,Y22,,32/13/2023,,,,
A/24956,,10277.64,,USD,Pending,AAN,!!!,,x,Y22,m10,06 October 2022,,x,,
A-5831632,,13054.97,13054.97,SAR,Open,RAK,!!!,,,Y22,,Oct-04-22,,,,
A/46820,,23036.660640858314,23018.5810486751,SAR,,UAQ,,,,Y22,,25 October 2022,,,,
A-8539067,,19.0,19.00,SAR,Pending,DXB,ok,,,1,m10,10/10/2022,,,,
A-3048878,,"8,417.05",8409.6853470156,AED,CANCELLED,FJR,,,,1,73,20/10/2022,,,,
,,,,EUR,,AAN,ok,,x,,m10,0000-00-00,,,,
A-1607356,x,,8757.63,omr ,Pending,DXB,needs review,,,Y22,m10,15/10/2022,,,,x
A-4765290,,,13083.85,SAR,Closed,SHJ,needs review,,,,,2022-10-12,,x,,
A-7946257,,,not available,AED,In Review,AAN,ok,,,Y22,,2022-10-27 00:00:00,,,,
A-3106220,,not available,23146.48,EUR,,  UAQ,ok,,,,m10,32/13/2023,,x,x,
A/63657,,"12,842.38",,GBP,Pending,FJR,ok,,,Y22,,27 October 2022,,,,
A-7036311,,"29,333.00",29381.30265499565,AED,Pending,AUH,,x,,1,m10,2022-10-09 00:00:00,,,,
A-2148521,,15926.19479456908,15971.80439548116,AED,,RAK,ok,,,Y22,m10,0000-00-00,,,,
A-8183399,,,"21,529.79",AED,Pending,UAQ,ok,,,Y22,m10,2022-10-17,,,,
A-5185785,,10040.36,not available,USD,In Review,UAQ,ok,,,Y22,m10,2022-10-23,,,,
A-9250336,x,,not available,SAR,,SHJ,ok,,,Y22,m10,32/13/2023,,,,
A-1967635,,(2452.65),2486.71,OMR,,RAK,ok,,,Y22,,05/10/2022,,x,,
A-1855237,,"13,243.32",13289.98560333358,SAR,,AUH,needs review,,,0,,Oct-02-22,,,,
A-9723017,,11226.46,11226.46,USD,,AUH,ok,,,Y22,35,Oct-12-22,x,,,
A-2355139,x,-6726.48,-6726.48,EUR,,UAQ,needs review,,,,,2022-10-18 00:00:00,,,,
A-6529700,,,27876.4792268092,EUR,Closed,FJR,needs review,,x,,15,20 October 2022,,,,
A-1636535,,-4969.17,-4976.776694588229,OMR,Closed,SHJ,needs review,,,0,m10,05 October 2022,,,,
A-6098505,,29609.97369704337,29634.3056711841,USD,,RAK,,,x,0,m10,04 October 2022,,x,,
A-7978945,,12591.7,12591.7,EUR,In Review,UAQ,needs review,,,1,,12/10/2022,,,,
A-6334922,,"2,333.99","2,312.63",gbp ,Closed,RAK,!!!,,x,0,75,2022-10-18,,,,
A-2173983,,8256.1,8284.262723018934,OMR,,FJR,ok,,,Y22,96,19/10/2022,,,,
A-9371464,,3786.1026572228125,3820.4045736841526,SAR,,  AAN,needs review,,x,Y22,m10,2022-10-07,,x,,
A-4985340,,7938.775153027035,7900.81,EUR,Pending,AUH,needs review,,,Y22,,2022-10-11,,,,
A-3903154,x,-507.34790278077,-476.36,GBP,,AUH,,,,Y22,m10,2022-10-22,,,x,
A-1067769,,28807.92,,OMR,Closed,AAN,ok,,,Y22,m10,06/10/2022,,,,x
A-4923882,,17251.2,17251.2,AED,Closed,AAN,ok,,,Y22,,2022-10-05,x,,,
A-4584107,,18708.59,"18,758.08",AED,In Review,UAQ,needs review,,x,Y22,15,,,,,
A-2322483,,-48.53,-48.53,EUR,CANCELLED,AAN,needs review,,,Y22,,27/10/2022,,,,
A-9914675,,7722.258856402012,7735.95,EUR,In Review,DXB,ok,,,,58,2022-10-25 00:00:00,,,,x
A-4839438,,20983.22,"20,983.22",AED,,RAK,needs review,,,1,,03/10/2022,,,,
A-2227529,,25546.890058745288,25566.82514672459,SAR,CANCELLED,AAN,,,,Y22,,32/13/2023,,,x,
A-6466784,,815.82,815.82,OMR,,RAK,needs review,,,Y22,m10,32/13/2023,x,,,x
A-2972763,,(26118.18),26118.18,SAR,,AAN,,,,Y22,m10,Oct-15-22,x,,,
A-7210621,,"-6,027.71",(6027.71),USD,In Review,DXB,ok,,,1,43,2022-10-17,,,x,
A-5002720,,24396.66,24414.42169243572,AED,Closed,SHJ,,,,,,21 October 2022,,,,
A-9200116,,,28732.49,SAR,,AAN,ok,,,,m10,2022-10-09,,x,,
A-4045780,,"14,306.38",14306.38,SAR,Open,AUH,ok,,,Y22,47,Oct-25-22,,,,
A-8880055,,3508.78003999144,not available,SAR,,AAN,!!!,x,x,0,m10,2022-10-11,,,,
A-1880958,,20213.25,(20239.08),AED,,AAN,,,,Y22,,2022-10-19,,,x,
A-7956118,,"-3,146.28","-3,188.57",USD,Closed,AUH,ملاحظة,,,Y22,,Oct-12-22,,,,
A-7869331,x,297.78,297.78,SAR,,FJR,needs review,x,,,61,2022-10-17,,,,
A-4744452,x,17869.71,17869.71,SAR,Closed,SHJ,needs review,,,,16,32/13/2023,,,,
A-6987803,,16653.41,"16,653.41",sar ,Open,DXB,ok,,,1,m10,Oct-16-22,,x,,x
A-2039343,x,25578.82199448448,25609.8,GBP,In Review,SHJ,ملاحظة,,,Y22,,2022-10-15,,,,
A-4280147,,-5206.08,,USD,Open,FJR,,,,Y22,m10,2022-10-16,,,,
A-6257301,,14689.77,14689.77,SAR,CANCELLED,AUH,!!!,,,,,28 October 2022,,,,x
A-4553277,,not available,"-2,735.05",AED,Open,UAQ,ملاحظة,,,Y22,,32/13/2023,,,,
A-6691651,x,17968.32,17968.32,OMR,Pending,AUH,ok,,,Y22,m10,01 October 2022,,,,
A/29837,,,8935.16,GBP,Pending,DXB,!!!,,x,,m10,Oct-09-22,,,,
A/83652,,25598.81,25616.287699904144,EUR,Pending,RAK,needs review,,,Y22,,32/13/2023,,,x,x
A-7241753,,,not available,USD,Closed,DXB,,,,1,m10,2022-10-11,,x,,
,,,"3,392.55",EUR,Open,UAQ,ok,,,,,2022-10-20,,,,
,,(2778.06),-2778.06,AED,,FJR,ملاحظة,,,Y22,98,2022-10-27 00:00:00,,,,
A-1887760,x,-379.49737248405825,not available,SAR,Closed,  UAQ,!!!,,,Y22,53,12/10/2022,,,,
A-7023233,,,6915.19,SAR,,RAK,ok,,,Y22,,2022-10-28,,,x,
A-8341706,,(5018.91),(5049.32),AED,Closed,  FJR,ملاحظة,,,Y22,,2022-10-08,,,,
A-1994032,,(5447.89),5429.676843382701,EUR,Open,RAK,ok,,x,Y22,,32/13/2023,,,,x
A-8497466,,,"20,597.90",SAR,Closed,SHJ,,,,0,51,32/13/2023,,,x,
A-4222175,,4306.384275805364,4338.44,EUR,Pending,DXB,ok,,,,m10,Oct-03-22,,,,
A-2210371,,5429.808668232035,,OMR,,  AUH,ok,,,Y22,,2022-10-15,,,,
,,,not available,OMR,Open,RAK,ok,,,0,,2022-10-23,,,,
A-1693164,x,not available,,AED,,AAN,needs review,,,1,90,13/10/2022,,,,x
A-4738608,,(29123.67),29123.67,AED,,DXB,,,,1,96,09 October 2022,,,x,
A-7102438,,,13717.08,OMR,Closed,AUH,needs review,,,Y22,,14/10/2022,,,,
A/89463,,"21,445.55",21397.68972999908,GBP,CANCELLED,DXB,,,,Y22,,Oct-02-22,,,,
A-6167154,x,-6162.070791962157,-6131.03,AED,,AUH,ok,,,Y22,m10,Oct-22-22,,,,x
A-7891745,,,,GBP,In Review,AAN,,,,,71,2022-10-06,,,,
A-6774307,,22306.95006722989,22347.3,EUR,Closed,DXB,needs review,,,Y22,m10,13/10/2022,,,,
A-8351343,,10341.76,10341.76,AED,Open,AAN,!!!,,,,,26 October 2022,,,,
