_cust#__,,DATE,Amt,AMOUNT,Currency, state  ,BR_CODE,Notes, Commentary  ,,year_added_2022, new_col_202201 ,mystery_2022_01_4,mystery_2022_01_77,mystery_2022_01_62,mystery_2022_01_41,Unnamed: 0
,,2022-01-07,23011.59,"22,997.72",OMR,Closed,AAN,needs review,needs review,,Y22,m1,,,,,
C43754,,Jan-12-22,15356.53963494836,15308.33,AED,Closed,AAN,ok,ok,,Y22,,,,,,
C56012,,2022-01-15,"6,924.65",6920.03,SAR,CANCELLED,UAQ,ok,ok,,Y22,34,,,x,,x
C83343,,2022-01-10,-4017.2,-3999.794354770546,USD,,AAN,,,,Y22,,,,,,
C33392,,Jan-20-22,668.9711509081917,658.54,aed ,Closed,  UAQ,needs review,needs review,,Y22,84,x,,,,
C38405,,2022-01-22,22207.81227091972,"22,142.47",aed ,,AUH,,,,Y22,54,,x,,,
C17058,,2022-01-08 00:00:00,,(7176.03),EUR,Pending,FJR,ok,ok,,Y22,,,,,,
C28849,,2022-01-11,-1745.71,-1745.71,OMR,Closed,AUH,,,,,23,,,,,
,,2022-01-04,16333.52,16333.52,USD,Closed,RAK,,,,0,,,,x,,
C44639,,Jan-16-22,9733.86,9733.86,OMR,Closed,AUH,!!!,!!!,,Y22,m1,,,,,
C20516,,2022-01-20 00:00:00,-2127.06,-2127.06,AED,In Review,RAK,ok,ok,,,m1,,,,,
C11871,,2022-01-03 00:00:00,17332.41,17332.41,AED,Pending,AAN,ok,ok,junk,,19,,,,x,x
C57792,,25/01/2022,17721.188093771954,17762.39,EUR,Closed,RAK,,,,0,,,,x,,
C53273,,2022-01-22,1861,1861,OMR,In Review,AUH,needs review,needs review,,Y22,,,,,,
C19956,,13 January 2022,14078.34,(14065.76),GBP,,DXB,needs review,needs review,,Y22,44,,,,x,
C70712,,2022-01-27,3555.63,3522.212763182429,AED,,AUH,ok,ok,,,m1,,,,,
C39130,,2022-01-28,21919.01733643138,"21,906.23",USD,,AUH,!!!,!!!,,,m1,,,,,
C59324,,2022-01-06 00:00:00,24255.11,"24,255.11",GBP,In Review,UAQ,ok,ok,,,m1,,,,,
C51412,,2022-01-28,17082.35386573501,"17,076.73",AED,,FJR,!!!,!!!,,,m1,x,,,,
C90302,,Jan-28-22,-3315.66,not available,SAR,Closed,FJR,ok,ok,,,m1,,,,,
C93816,,2022-01-25,27506.44,27506.44,USD,,FJR,needs review,needs review,,0,m1,,,x,x,x
C73017,,Jan-23-22,,"23,271.44",GBP,Pending,  FJR,ok,ok,,Y22,33,,,,,
C79264,junk,2022-01-21 00:00:00,-6063.34,(6063.34),USD,In Review,RAK,ملاحظة,ملاحظة,,Y22,m1,,,,,
C97525,,Jan-08-22,1696.88,1703.879999446975,EUR,Pending,  UAQ,needs review,needs review,,1,,,,,,
,,Jan-15-22,(25389.05),25389.05,GBP,Pending,AAN,ok,ok,junk,Y22,,,,,,
C80143,,2022-01-18 00:00:00,5469.83154263616,(5429.85),GBP,Open,  RAK,ملاحظة,ملاحظة,,Y22,95,,,,,
C57871,,32/13/2023,(15946.20),,SAR,Closed,RAK,,,,Y22,m1,x,,,,x
C12832,,22/01/2022,"16,071.85",not available,USD,,DXB,!!!,!!!,,Y22,m1,,,,x,
C53463,,2022-01-07 00:00:00,(26243.74),26243.74,SAR,Closed,AAN,,,junk,,m1,,,,,
C23941,,09 January 2022,22851.22,22820.29475150619,USD,In Review,AAN,ملاحظة,ملاحظة,,1,,,,,,
,,25/01/2022,8948.25,"8,948.25",USD,,DXB,ok,ok,,1,,,,,,
C51088,,Jan-24-22,,25581.01,AED,Closed,RAK,!!!,!!!,,Y22,74,,,,x,
C20597,,11/01/2022,,(5711.27),EUR,Closed,AUH,,,,Y22,m1,,,,x,
C73340,,2022-01-22,13245.93,"13,245.93",USD,Open,RAK,ok,ok,,Y22,m1,,,,,
C16777,,2022-01-10,-7281.295782488904,-7320.89,USD,Pending,RAK,!!!,!!!,,Y22,m1,,,,,
,junk,03 January 2022,"11,804.53",11803.55,eur ,In Review,SHJ,ok,ok,,,m1,,,,,
C51759,,2022-01-26,16203.29,16203.29,OMR,,UAQ,ملاحظة,ملاحظة,,Y22,85,,,x,x,
C97616,,Jan-06-22,8592.663740006992,8637.06,GBP,In Review,DXB,ملاحظة,ملاحظة,,1,40,,,,x,
C71203,,Jan-18-22,-1152.509924475355,-1132.08,EUR,Pending,FJR,needs review,needs review,,,m1,,,,,
C42040,junk,2022-01-19 00:00:00,25979.19,25979.19,USD,CANCELLED,UAQ,ok,ok,,Y22,m1,,,,,
C94784,,,"-6,426.62",(6426.62),GBP,,  RAK,,,,0,m1,,,,,
C42785,,2022-01-14,"17,526.01",17526.01,SAR,,AUH,ملاحظة,ملاحظة,,1,m1,x,,,,
C83196,,2022-01-22,"11,912.23",11958.44,GBP,Open,RAK,ok,ok,,Y22,m1,,,,,
C74003,,Jan-15-22,(8136.43),8136.43,OMR,CANCELLED,AUH,ملاحظة,ملاحظة,,1,m1,,,,,
C29969,,Jan-13-22,20531.55,,GBP,Pending,  UAQ,ok,ok,,Y22,m1,,,,,x
C12657,,Jan-17-22,-5166.371434127278,,USD,,AAN,!!!,!!!,,Y22,95,,,,,
C79595,,2022-01-22 00:00:00,6716.37,6692.465427707462,USD,In Review,DXB,needs review,needs review,,,,,,,x,
C71068,,32/13/2023,(4263.61),-4215.0104271059945,AED,,UAQ,needs review,needs review,,,m1,,,,,
C41004,junk,2022-01-14,"-4,177.27",-4187.771429539085,USD,In Review,AAN,ok,ok,,0,,,,,x,
C56076,,Jan-01-22,,(1908.60),SAR,Pending,UAQ,ok,ok,,Y22,,,,x,,x
C80551,,2022-01-26,13125.99,13125.99,AED,CANCELLED,FJR,ok,ok,,1,m1,,,,,
C92060,,2022-01-20,14881.51,14881.51,USD,CANCELLED,AUH,ok,ok,,Y22,m1,,,,,
C41790,,2022-01-16,24139.32,24139.32,AED,CANCELLED,FJR,needs review,needs review,,Y22,44,,,,,x
,,06/01/2022,25780.60899518475,,EUR,Open,FJR,ok,ok,junk,0,73,,,,,
C62630,,04/01/2022,-3562.42,,EUR,In Review,AAN,ok,ok,,Y22,m1,,,,,
C40981,,08 January 2022,2524.31,2527.884476436852,USD,,DXB,needs review,needs review,,Y22,m1,,,x,,
C79877,junk,16 January 2022,22449.8,22449.8,SAR,In Review,AUH,ملاحظة,ملاحظة,,Y22,,,x,,,
C10736,,2022-01-16,16219.874917711662,16295.028882035267,EUR,CANCELLED,DXB,needs review,needs review,,0,m1,,,,,
C79353,,04/01/2022,3939.39,(3939.39),USD,,DXB,!!!,!!!,,Y22,m1,,,,,
,junk,Jan-09-22,19576.16,19576.16,AED,Open,AAN,,,,Y22,52,x,,,x,
,,Jan-01-22,not available,-1538.689204345655,SAR,,AAN,ok,ok,,,39,,,,,
C85192,,09 January 2022,not available,6110.8,SAR,,UAQ,needs review,needs review,junk,1,,x,,,,
C74226,,2022-01-02,17408.12,17408.12,GBP,,UAQ,,,,1,m1,,,,x,
C13531,,2022-01-22,(280.20),not available,GBP,,  SHJ,ok,ok,,Y22,23,,,,,
C69380,,20 January 2022,20911.69,20920.19011354711,EUR,Closed,FJR,,,,Y22,m1,,,,,
C36713,,06 January 2022,24400.43,"24,400.43",GBP,Pending,DXB,ملاحظة,ملاحظة,,1,53,,x,,x,
C41093,,Jan-19-22,,-7949.05,EUR,,AAN,needs review,needs review,,0,55,,,,,
,,2022-01-16 00:00:00,(9543.20),9543.2,GBP,,DXB,ملاحظة,ملاحظة,,Y22,82,,,,,
C46378,,2022-01-01 00:00:00,22600,"22,560.33",AED,Closed,FJR,ok,ok,,0,,,,,,
C64372,,2022-01-02,28171.88,not available,GBP,,SHJ,ok,ok,,Y22,,,x,,,
C99428,,0000-00-00,,3783.91,eur ,CANCELLED,FJR,ملاحظة,ملاحظة,,Y22,m1,,,,,
C79863,,,,(24354.46),AED,In Review,AUH,!!!,!!!,,0,,,,,,
C46718,,2022-01-17 00:00:00,"3,102.03",3063.91,SAR,,UAQ,ok,ok,,Y22,m1,,,,x,
C58943,,32/13/2023,,"23,565.27",GBP,Open,AUH,,,,,33,,,,,
C85784,,Jan-24-22,,(28528.24),GBP,In Review,FJR,needs review,needs review,,Y22,m1,,,,,
C11170,,32/13/2023,686.5867864296513,665.7719204493757,GBP,Open,AAN,needs review,needs review,,Y22,,x,,,,x
C36132,,Jan-14-22,not available,304.79,AED,Open,RAK,needs review,needs review,,Y22,m1,,,,,
C67489,,26/01/2022,-3805.3427545292393,,SAR,Closed,UAQ,,,,Y22,m1,,,x,,
C16603,,2022-01-06 00:00:00,"28,668.31",28644.35,AED,In Review,AUH,ok,ok,,,,,,,,
C80047,,Jan-17-22,not available,,OMR,,AUH,ok,ok,,Y22,m1,,,,,
C76459,,,"-2,679.03",-2679.03,SAR,Closed,SHJ,ملاحظة,ملاحظة,,1,,,,,,
C32361,,2022-01-03,(2109.45),2133.4,SAR,Open,AUH,ok,ok,,Y22,m1,,,x,,x
C41325,junk,03 January 2022,,1293.35,SAR,Open,RAK,,,,1,m1,,,,,
C41626,,2022-01-18,-1019.51,-1019.51,OMR,,FJR,!!!,!!!,,Y22,m1,,,,,
,,2022-01-16,not available,,USD,Open,DXB,ok,ok,,Y22,,,,,,
C39626,,0000-00-00,17736.22,17736.22,AED,Open,AAN,needs review,needs review,,Y22,m1,,,,x,
C84872,,2022-01-12,-1670.42,(1683.58),EUR,,RAK,ok,ok,,,63,x,,,x,
C94583,,,-3973.609645398693,-3964.44,SAR,CANCELLED,SHJ,,,junk,,16,,x,,,
,,2022-01-03 00:00:00,17048.61,"17,048.61",gbp ,,AAN,!!!,!!!,,,m1,,x,x,,
C58308,,Jan-01-22,2779.4,not available,EUR,In Review,FJR,ok,ok,,Y22,82,,,,,x
,,0000-00-00,6547.72,6504.532931358502,usd ,Pending,AUH,,,,Y22,m1,,x,,,
C17729,,Jan-06-22,14518.34155508903,14499.49,EUR,CANCELLED,SHJ,ok,ok,,1,19,,,,,
C62351,,25 January 2022,"29,216.36",(29216.36),SAR,CANCELLED,AUH,,,,Y22,44,,,,,
,,2022-01-23,5317.5,5317.5,OMR,Pending,SHJ,ok,ok,junk,Y22,,,,,,
C97326,,03 January 2022,9293.0,,AED,Open,SHJ,ok,ok,,,,x,,,x,
C43083,,2022-01-28,15888.32107334561,15869.59468582909,OMR,Open,  FJR,,,,Y22,10,,,x,,x
C26135,,Jan-02-22,28471.25,28512.60818738488,SAR,Closed,  SHJ,needs review,needs review,,1,22,,,,,x
C42169,,32/13/2023,-1996.04,,GBP,,  AUH,ok,ok,,0,m1,,,,,
C13135,,2022-01-21,10531.692542174178,10578.33,SAR,CANCELLED,DXB,needs review,needs review,,Y22,m1,,,,,
C22908,,2022-01-22 00:00:00,not available,"25,213.09",GBP,Open,UAQ,ok,ok,,Y22,m1,,,,,
,,,27418.78,not available,OMR,,AUH,,,,Y22,,,,,,
C62583,,Jan-07-22,(8316.79),8316.79,AED,Closed,AAN,ملاحظة,ملاحظة,,Y22,45,,x,,,
C16105,,2022-01-23,23611.00128386783,"23,564.96",USD,Open,AAN,ok,ok,,0,m1,,,,,
C99854,,07/01/2022,23167.77245658804,,USD,In Review,SHJ,needs review,needs review,,Y22,26,,,,,
C12291,junk,2022-01-20,,"20,438.66",USD,In Review,RAK,ok,ok,,,34,,,x,,x
--- HEADER REPEATED BELOW (PAGINATION) ---,,,,,,,,,,,,,,,,,
_cust#__,,DATE,Amt,AMOUNT,Currency, state  ,BR_CODE,Notes, Commentary  ,,year_added_2022, new_col_202201 ,mystery_2022_01_4,mystery_2022_01_77,mystery_2022_01_62,mystery_2022_01_41,Unnamed: 0
C28852,,Jan-08-22,"4,777.45",4751.971469523014,GBP,,SHJ,,,,,60,,,,x,
C49542,,0000-00-00,9586.07,9586.07,OMR,,AAN,ملاحظة,ملاحظة,,Y22,49,,,,,
C69544,,Jan-27-22,not available,8854.77,omr ,Pending,UAQ,ok,ok,,Y22,m1,,,,x,
C74476,,2022-01-12 00:00:00,(25103.00),25098.34,AED,,RAK,needs review,needs review,,Y22,m1,,,,,
C97122,junk,,24365.730888885053,24399.01,AED,In Review,DXB,ok,ok,,Y22,m1,,,x,,x
C78404,,32/13/2023,14301.49,14301.49,SAR,,DXB,needs review,needs review,,1,m1,x,,,,
C19399,,2022-01-27,12913.04870382448,"12,874.61",SAR,Pending,RAK,ok,ok,,Y22,,,,,,
C72962,,2022-01-26 00:00:00,14377.24203742217,14414.06,GBP,CANCELLED,UAQ,needs review,needs review,,1,m1,x,,,,
C17558,,2022-01-17,,26457.33,USD,,DXB,ok,ok,junk,Y22,m1,x,,,,
C48022,,2022-01-08,3989.42,3989.42,SAR,In Review,FJR,ok,ok,,1,m1,,,,,
C42203,,32/13/2023,15954.92,,SAR,,DXB,ملاحظة,ملاحظة,,1,80,,,,,
C62219,,2022-01-11,14330.95,14368.93945496879,aed ,In Review,AUH,needs review,needs review,,,m1,,,,,
C33770,,2022-01-05 00:00:00,8176.22,8219.084906276488,EUR,Open,RAK,,,,Y22,,,,,,
C63407,,Jan-14-22,542.67,542.67,USD,Closed,  FJR,,,,Y22,30,,,x,,
C76679,,,,-5654.94,AED,Closed,AAN,needs review,needs review,,Y22,m1,x,,,,
C98354,,2022-01-11,27006.94,"27,006.94",GBP,CANCELLED,AAN,ok,ok,,Y22,m1,,,,,
,,Jan-20-22,939.71,939.71,AED,CANCELLED,UAQ,,,,Y22,m1,,x,,,
C58060,junk,2022-01-15,15420.31,(15420.31),EUR,CANCELLED,RAK,ok,ok,,Y22,m1,,,,x,x
C76120,,Jan-16-22,-577.38,-612.1912378222435,USD,,AAN,ok,ok,,Y22,m1,,,,x,
C43811,,2022-01-16,16691.84,16681.48754000628,USD,,RAK,needs review,needs review,,Y22,,,,,,
C87812,,2022-01-10,(22417.17),,OMR,CANCELLED,SHJ,needs review,needs review,,Y22,43,,,,,
C83839,,2022-01-14,11944.04,"11,944.04",USD,,DXB,needs review,needs review,,Y22,,,,,,
C55093,,Jan-12-22,,20226.66,EUR,CANCELLED,RAK,,,,1,m1,,x,,x,
C89513,,Jan-11-22,-172.29,-172.29,OMR,Open,UAQ,ok,ok,,1,43,,,,,
,,32/13/2023,20195.12,20151.73085063536,aed ,Closed,RAK,ok,ok,,0,m1,x,,,,
C72921,,16 January 2022,,26631.98945121473,SAR,Open,AAN,,,,Y22,m1,,,,,
C99568,,2022-01-04,5858.67,"5,858.67",OMR,,DXB,ok,ok,,1,,,,,x,
C36676,,Jan-22-22,"-6,015.51","-6,015.51",EUR,CANCELLED,FJR,,,,1,,,x,,,
C95725,,2022-01-13 00:00:00,13274.64372125442,13315.64421918727,USD,In Review,AUH,,,,Y22,,,,,,
C89566,,Jan-21-22,22244.55,not available,EUR,Open,SHJ,ملاحظة,ملاحظة,,Y22,m1,,,,,
C50178,,2022-01-13 00:00:00,(5411.89),-5421.48,omr ,In Review,SHJ,,,,,88,,,,,
C36478,,0000-00-00,16667.84,(16667.84),SAR,Open,SHJ,needs review,needs review,,Y22,m1,,,,,
C59537,,06/01/2022,10611.62,10611.62,EUR,Open,SHJ,ok,ok,,Y22,,,,,,
,junk,16/01/2022,(15002.68),(14996.66),SAR,Closed,DXB,ملاحظة,ملاحظة,,Y22,m1,,,,,
C81696,,2022-01-14,29821.14916529021,29849.22,USD,CANCELLED,UAQ,ok,ok,,,m1,,,,,
,,2022-01-10,13250.54,,GBP,Closed,FJR,ok,ok,junk,Y22,m1,,,x,,
C89276,,02/01/2022,29654.89,29654.89,SAR,,UAQ,ok,ok,,Y22,,,,,,
C16778,,13 January 2022,26410.14,26385.606262171535,USD,Pending,FJR,ok,ok,,0,m1,,,x,,
C70881,,26/01/2022,13671.05403713679,,GBP,,AAN,ok,ok,,Y22,m1,,,,,x
C46036,,2022-01-02,21136.57424717106,21142.12,SAR,,DXB,ok,ok,,Y22,57,,,,,
C46241,,28/01/2022,25652.5,,USD,,UAQ,needs review,needs review,,,75,,,,,x
C64447,,27 January 2022,not available,11491.14,OMR,In Review,SHJ,ملاحظة,ملاحظة,,Y22,,,,,,
C40171,junk,2022-01-10 00:00:00,,13383.7867139078,OMR,Closed,  SHJ,ok,ok,,Y22,m1,,,,x,
C18818,junk,32/13/2023,"-5,910.33",-5910.33,OMR,Closed,DXB,ok,ok,junk,,m1,,,x,,
C81428,,2022-01-17,24802.07,"24,802.07",SAR,,UAQ,ok,ok,,Y22,58,,,x,,
C74455,,Jan-13-22,4633.713475612214,,EUR,Pending,FJR,ok,ok,,Y22,,,,,,
C61028,,2022-01-13,7462.7,7462.7,AED,Open,RAK,ok,ok,junk,Y22,,,,x,,
C19274,,,,,USD,,RAK,ok,ok,,Y22,m1,,,,x,
C61099,junk,2022-01-05 00:00:00,,14244.56,GBP,Pending,SHJ,ok,ok,,1,,,x,,,
C76043,,0000-00-00,-5916.31,-5916.31,OMR,Open,SHJ,,,,Y22,,,,,,
C96563,,10/01/2022,14624.8,14624.8,USD,,FJR,ok,ok,,Y22,,,x,,x,
,,13 January 2022,"16,040.95",16040.95,USD,,UAQ,needs review,needs review,,Y22,m1,,,,,x
C32568,junk,2022-01-05,22069.89261667277,22021.33,OMR,CANCELLED,AAN,needs review,needs review,,,,,,,,
C33794,,32/13/2023,-3281.020693392541,-3269.01,OMR,,FJR,ok,ok,,Y22,41,,,,,
C69756,,Jan-03-22,16945.61,16945.61,SAR,Open,AUH,!!!,!!!,,Y22,66,,,,,
C64726,,Jan-20-22,22339.33,(22339.33),OMR,CANCELLED,RAK,needs review,needs review,,Y22,m1,,x,,,
C34381,,06 January 2022,27106.98,27106.98,EUR,Pending,DXB,needs review,needs review,,,,,,,,
C18033,junk,27 January 2022,19638.94397291704,19686.43,OMR,,AUH,ok,ok,,Y22,m1,,,,,
,,13 January 2022,24461.88,24447.37696310815,GBP,CANCELLED,DXB,needs review,needs review,,Y22,81,,,,,
C25603,,25 January 2022,28836.75,"28,849.61",EUR,In Review,RAK,,,,Y22,,,,,,
C89665,,2022-01-01,,,GBP,Closed,RAK,ملاحظة,ملاحظة,,,m1,,,,,
C33374,,21/01/2022,-2509.99,"-2,484.21",EUR,Pending,DXB,ok,ok,,0,,,,,x,
,,21/01/2022,-4989.97,"-4,989.97",AED,,UAQ,needs review,needs review,,0,m1,,,,,
C25315,,15 January 2022,27294.07,,USD,In Review,  UAQ,needs review,needs review,,Y22,51,,,,,
,,2022-01-20 00:00:00,"24,234.78",,USD,Open,UAQ,ok,ok,,1,23,,,,,
C29048,,Jan-19-22,28442.3,,SAR,,SHJ,ok,ok,,1,,,,,,
,,32/13/2023,23746.93,not available,SAR,CANCELLED,FJR,ok,ok,,Y22,,,,,,
C21902,,2022-01-24,,9749.28,AED,,AAN,ok,ok,,1,35,,,,,
,,2022-01-09,22395.09,,OMR,Open,UAQ,ملاحظة,ملاحظة,,Y22,m1,,,,,x
C11384,,03 January 2022,370.04,370.04,AED,Open,AUH,,,,Y22,,,x,,,
,,26 January 2022,11182.74086964663,11177.37,USD,Pending,RAK,needs review,needs review,,,,x,,,,
C27134,,2022-01-02,23385.05,(23385.05),OMR,Open,DXB,ok,ok,,0,m1,,,,,x
C40092,,32/13/2023,"9,736.68",9721.95,EUR,Closed,AAN,needs review,needs review,,Y22,m1,,,,,
,,14 January 2022,785.74,not available,SAR,CANCELLED,RAK,,,,Y22,,,,,x,
C78795,,24/01/2022,19114.39250533625,19070.33,aed ,CANCELLED,AAN,,,junk,Y22,,,,,,
C69710,,06 January 2022,29753.93,,AED,Pending,AUH,ملاحظة,ملاحظة,,1,m1,,,,,
C15358,,2022-01-27,-6873.496560452723,-6915.164712040585,AED,,FJR,ok,ok,,0,m1,,,,,
C18987,,2022-01-09,28547.79,28547.79,SAR,,AUH,ok,ok,,Y22,m1,,,,x,
C57910,,2022-01-03,27234.99,,OMR,Open,SHJ,ok,ok,,,,,,,,x
C68832,,32/13/2023,-594.51,-594.51,SAR,In Review,RAK,,,,,,,,,,
C73709,,Jan-03-22,11319.85,11319.85,eur ,Open,FJR,ok,ok,,1,m1,,,,,
,,08 January 2022,10280.563720791662,10299.63,GBP,Pending,AUH,needs review,needs review,,1,,,,,,
C39117,,32/13/2023,26522.6093182585,26542.84,AED,Open,FJR,ok,ok,,Y22,m1,,,,,
C20035,,32/13/2023,,12573.66,GBP,Pending,  FJR,ok,ok,junk,Y22,10,,,x,,
C61242,,Jan-16-22,5834.71,,USD,Open,RAK,needs review,needs review,,,,,,,,x
,,2022-01-02,-7729.591169515401,,EUR,Pending,AAN,ok,ok,,Y22,m1,,,,,
C80069,,2022-01-22 00:00:00,11361.81606532235,,SAR,,AUH,ok,ok,,0,m1,,x,,,x
C23839,,2022-01-07,3662.04,3662.04,SAR,,AAN,ok,ok,,0,67,,,,,
C79351,,Jan-12-22,(29471.09),29458.22,EUR,In Review,FJR,ok,ok,,,87,,,,,
C78575,,2022-01-03,29493.05795212385,(29477.21),OMR,Pending,DXB,ok,ok,,Y22,,,,,,
C42817,,13/01/2022,1961.96,"1,961.96",GBP,Closed,AUH,,,,,m1,,,,,
C45437,junk,2022-01-21,16145.21,16124.7095767227,GBP,Open,RAK,needs review,needs review,,,83,,,,,
C36760,,Jan-15-22,20053.76,(20053.76),OMR,,FJR,needs review,needs review,,0,,,,,,
C45727,,2022-01-23,29961.51,"29,961.51",OMR,,AAN,,,junk,1,m1,,,,,
C63151,,25/01/2022,"-1,639.72",-1666.983727037801,OMR,Closed,AAN,needs review,needs review,,,,,,,,x
C18754,,2022-01-06,"8,830.23",(8830.23),AED,Open,  AUH,ملاحظة,ملاحظة,junk,0,,,,,,
,,Jan-21-22,4486.87,4532.956602356134,EUR,Pending,DXB,!!!,!!!,,1,,x,,,,
C43168,,Jan-01-22,2083.01,(2083.01),SAR,In Review,UAQ,,,junk,Y22,,,,,,
C70651,,04/01/2022,25173.25,"25,138.93",GBP,Closed,UAQ,needs review,needs review,,Y22,m1,,,,,
C10152,,01/01/2022,-7866.82808467446,-7903.21,EUR,Closed,AAN,ok,ok,,Y22,,,,,x,
C51143,,32/13/2023,-7337.31,"-7,337.31",SAR,In Review,UAQ,ok,ok,junk,Y22,m1,,,,x,
C98541,,25 January 2022,-5568.94,,EUR,Closed,  DXB,needs review,needs review,,0,,,,,,
C20618,,24/01/2022,21410.32990758172,,GBP,CANCELLED,AAN,needs review,needs review,,Y22,,,,,,
C97962,,Jan-23-22,25835.97,25835.97,GBP,In Review,AAN,needs review,needs review,,Y22,,x,,,x,x
C21251,,02/01/2022,(17348.44),,OMR,,AUH,!!!,!!!,,0,m1,,,,,
C21953,,02 January 2022,,-2906.87,AED,Closed,DXB,ok,ok,,Y22,,,,,,
,,2022-01-19,-6507.04,-6507.04,EUR,,DXB,ok,ok,,Y22,77,,,,,
C57170,,2022-01-28 00:00:00,,,SAR,,SHJ,ملاحظة,ملاحظة,,0,,,,,,
C39365,,12 January 2022,5576.06684498227,,USD,Closed,UAQ,ملاحظة,ملاحظة,,0,,x,,,,
C35945,,Jan-14-22,730.70,730.7,AED,Closed,AAN,needs review,needs review,,,16,,,,,
C51732,,2022-01-28,"-2,552.48",not available,SAR,CANCELLED,AUH,,,,,m1,,,,,
C24295,,Jan-27-22,"26,834.89","26,796.35",EUR,In Review,UAQ,ok,ok,,Y22,61,,,x,,
C48827,,,(3174.82),3174.82,AED,In Review,AAN,,,,,43,,x,,,
C99857,,32/13/2023,8732.32,8732.32,USD,,RAK,ok,ok,,Y22,90,x,,,,
C54977,,Jan-21-22,19195.94,,OMR,In Review,  AAN,needs review,needs review,,Y22,m1,,,,,
C55781,,07/01/2022,3132.88,,OMR,Closed,FJR,needs review,needs review,,,m1,,,,,
C24608,,2022-01-03,"-6,087.86",not available,OMR,Pending,AUH,ok,ok,,,m1,x,x,,,
C29296,,08 January 2022,308.34,308.34,AED,,AUH,ملاحظة,ملاحظة,,0,80,,,,,
C86284,,2022-01-09,6575.29,6575.29,SAR,,AUH,,,,0,90,,,,x,
C23935,,25/01/2022,"7,219.71",7219.71,USD,,AAN,!!!,!!!,,0,m1,,,,,
C34082,,06 January 2022,18315.58,18276.907250188593,SAR,,  AUH,,,,Y22,m1,,,,,
C46794,,03/01/2022,7774.810049329031,,GBP,Open,AAN,needs review,needs review,,0,m1,x,,,,
C90810,junk,14/01/2022,,7225.3,SAR,Pending,AAN,ok,ok,junk,Y22,61,,,,,
C80318,,2022-01-21 00:00:00,,10793.34,SAR,Closed,AUH,,,,0,80,,,,,
,,02/01/2022,not available,483.6851298455629,OMR,Open,FJR,!!!,!!!,,0,47,,,,,
,,21 January 2022,,,EUR,,DXB,ok,ok,,Y22,,x,,,,
,junk,32/13/2023,28746.36,,SAR,Closed,FJR,,,,Y22,,,,,,
,,24 January 2022,18454.12564904002,18392.815452127754,SAR,In Review,UAQ,needs review,needs review,,,m1,,,,,
